,Date,Open,High,Low,Close,Volume
0,2005-07-29,7.8,8.6,7.8,8.15,53998
1,2005-08-01,8.3,9.9,8.0,9.75,30412
2,2005-08-02,10.2,10.3,9.25,9.35,50180
3,2005-08-03,9.35,9.35,9.1,9.1,5100
4,2005-08-04,8.8,9.1,8.6,8.85,3004
5,2005-08-05,8.8,9.35,8.8,8.9,6384
6,2005-08-08,9.1,9.2,9.05,9.05,2662
7,2005-08-09,9.15,9.2,9.1,9.2,1380
8,2005-08-10,9.05,9.05,8.8,8.85,1783
9,2005-08-11,8.65,8.65,8.5,8.5,260
10,2005-08-12,8.5,8.85,8.5,8.6,1882
11,2005-08-16,8.75,9.3,8.75,9.2,3067
12,2005-08-17,9.25,9.6,8.75,9.2,5371
13,2005-08-18,9.4,9.4,9.1,9.1,1352
14,2005-08-19,8.9,9.4,8.9,9.3,1451
15,2005-08-22,9.3,9.45,9.15,9.4,1167
16,2005-08-23,9.45,9.45,9.45,9.45,10
17,2005-08-24,9.4,10.3,9.4,10.1,5881
18,2005-08-25,10.1,10.1,9.45,9.6,8735
19,2005-08-26,9.6,10.0,9.6,9.85,3575
20,2005-08-29,9.65,9.8,9.55,9.55,3186
21,2005-08-30,9.55,9.6,9.55,9.6,2005
22,2005-08-31,9.55,9.55,9.55,9.55,200
23,2005-09-01,9.75,9.75,9.55,9.55,873
24,2005-09-02,9.55,9.6,8.8,9.6,316
25,2005-09-05,9.6,9.6,9.6,9.6,360
26,2005-09-06,9.55,9.55,9.55,9.55,21645
27,2005-09-07,9.35,9.6,9.35,9.4,912
28,2005-09-08,9.35,9.35,9.35,9.35,326
29,2005-09-09,9.4,9.4,9.2,9.4,128037
30,2005-09-12,9.2,9.4,9.2,9.4,377
31,2005-09-13,9.2,9.2,9.2,9.2,150
32,2005-09-14,9.2,9.2,9.2,9.2,501
33,2005-09-15,9.2,9.2,9.2,9.2,737
34,2005-09-19,9.4,9.4,9.2,9.2,1301
35,2005-09-20,9.35,9.35,9.2,9.2,2349
36,2005-09-21,9.2,9.25,9.2,9.2,7301
37,2005-09-22,9.3,9.3,9.25,9.3,566
38,2005-09-23,9.3,9.3,9.3,9.3,4648
39,2005-09-27,9.1,9.2,9.1,9.2,5946
40,2005-09-28,9.3,9.4,9.25,9.25,4161
41,2005-09-29,9.2,9.2,9.2,9.2,374
42,2005-09-30,9.2,9.2,9.2,9.2,551
43,2005-10-03,9.05,9.05,9.05,9.05,339
44,2005-10-04,9.05,9.25,9.05,9.1,2550
45,2005-10-05,9.3,9.4,9.25,9.4,817
46,2005-10-06,9.4,9.5,9.2,9.5,1081
47,2005-10-07,9.3,9.3,9.05,9.05,957
48,2005-10-10,9.05,9.25,9.05,9.25,1103
49,2005-10-11,9.05,9.05,9.05,9.05,1300
50,2005-10-13,9.1,9.3,9.1,9.3,550
51,2005-10-14,9.3,9.4,9.3,9.4,546
52,2005-10-17,9.4,9.4,9.35,9.4,1083
53,2005-10-20,9.4,10.0,9.4,9.5,8366
54,2005-10-21,9.7,9.95,9.4,9.95,3571
55,2005-10-24,9.75,10.6,9.55,10.0,3702
56,2005-10-25,9.8,10.0,9.8,10.0,500
57,2005-10-26,9.8,9.8,9.7,9.7,1188
58,2005-10-27,9.9,10.5,9.6,9.6,1617
59,2005-10-28,9.8,11.9,9.8,10.85,35916
60,2005-10-31,11.0,12.2,10.6,10.85,22506
61,2005-11-02,10.8,11.05,10.35,10.7,7150
62,2005-11-03,10.6,10.9,10.05,10.85,3456
63,2005-11-04,10.7,10.95,10.0,10.35,8040
