,Date,Open,High,Low,Close,Volume
0,2010-09-10,4.857,4.857,3.9006,3.9838,21827
1,2010-09-13,3.6594,3.6927,3.3267,3.36,14875
2,2010-09-14,3.335,3.4931,3.335,3.3683,2170
3,2010-09-15,3.6178,3.6178,3.4349,3.6178,2577
4,2010-09-16,3.3267,3.6261,3.3267,3.6261,253
5,2010-09-17,3.3683,3.3683,2.9941,3.1687,3499
6,2010-09-20,3.1022,3.3267,3.1022,3.3101,3126
7,2010-09-21,3.0356,3.1438,2.7861,3.0772,4984
8,2010-09-22,3.0107,3.0107,2.8277,2.8277,2826
9,2010-09-23,2.545,3.4515,2.545,3.4515,14711
10,2010-09-24,3.5347,3.9754,3.2519,3.9754,11504
11,2010-09-27,3.9754,3.9754,3.6594,3.9754,1977
12,2010-09-28,3.7925,3.9671,3.6594,3.9671,5417
13,2010-09-29,3.5762,3.9505,3.5762,3.9505,2364
14,2010-09-30,3.5762,3.6178,3.543,3.543,1900
15,2010-10-01,3.6428,3.8174,3.6095,3.6095,1924
16,2010-10-04,3.4931,3.6594,3.2602,3.6511,3126
17,2010-10-05,3.6511,3.6511,3.2519,3.6511,124
18,2010-10-06,3.6511,3.6511,2.9358,3.4099,5507
19,2010-10-07,3.4099,3.4099,2.836,3.2436,4360
20,2010-10-08,3.0273,3.0273,2.836,2.9857,2407
21,2010-10-11,2.9857,2.9857,2.8943,2.9857,436
22,2010-10-12,2.9857,2.9857,2.9857,2.9857,2
23,2010-10-13,2.9857,2.9857,2.8943,2.9857,537
24,2010-10-14,2.9857,2.9857,2.9109,2.9857,4
25,2010-10-15,2.9857,3.2352,2.9857,3.0939,785
26,2010-10-18,3.0939,3.2269,3.0939,3.2269,2
27,2010-10-19,3.2269,3.2269,2.9358,3.2103,893
28,2010-10-20,3.2269,3.2269,3.0273,3.0273,2
29,2010-10-21,3.2269,3.2269,3.2269,3.2269,2
30,2010-10-22,3.2269,3.2269,3.2186,3.2186,2
31,2010-10-25,3.2186,3.2186,3.2186,3.2186,2
32,2010-10-26,3.2269,3.2269,2.7196,3.1105,12595
33,2010-10-27,2.8943,3.0772,2.8943,3.0772,12
34,2010-10-28,3.0772,3.0772,2.7362,3.0772,4621
35,2010-10-29,3.08,3.08,3.08,3.08,2
36,2010-11-02,3.0689,3.0689,2.8277,2.8277,2
37,2010-11-03,2.9026,3.0772,2.8277,3.0772,1188
38,2010-11-04,3.0772,3.0772,3.0772,3.0772,2
39,2010-11-05,3.0772,3.0772,3.0772,3.0772,2
40,2010-11-08,3.0772,3.0772,3.0772,3.0772,2
41,2010-11-09,3.0772,3.0772,3.0772,3.0772,2
42,2010-11-10,3.0772,3.0772,2.8028,3.0772,339
43,2010-11-12,3.0772,3.0772,2.9941,2.9941,242
44,2010-11-15,3.0772,3.0772,2.703,3.0689,20
45,2010-11-16,2.9941,2.9941,2.8277,2.9941,4
46,2010-11-17,2.9109,2.9109,2.8776,2.9109,392
47,2010-11-18,2.9941,2.9941,2.6614,2.9941,2829
48,2010-11-19,2.8277,2.8277,2.7446,2.8028,521
49,2010-11-22,2.8028,2.8028,2.5949,2.6032,1988
50,2010-11-23,2.8028,2.8028,2.3038,2.3121,5175
51,2010-11-24,2.2455,2.7612,2.2455,2.7362,3813
52,2010-11-25,2.7362,2.7362,2.2455,2.6614,11032
53,2010-11-26,2.6614,2.6614,2.204,2.3453,4541
54,2010-11-29,2.6531,2.6531,2.3121,2.6198,1748
55,2010-11-30,2.6198,2.6198,2.2372,2.2455,8842
56,2010-12-01,2.337,2.4867,2.1624,2.4867,2538
57,2010-12-02,2.337,2.3786,2.2539,2.3786,1445
58,2010-12-03,2.4285,2.4285,2.3703,2.3703,61
59,2010-12-06,2.3204,2.4451,2.2206,2.4451,363
60,2010-12-07,1.9794,2.3453,1.68,1.838,73421
61,2010-12-08,1.8297,1.8297,1.705,1.7216,11958
62,2010-12-09,1.7133,1.8297,1.705,1.7881,5889
63,2010-12-10,1.7964,1.8297,1.7715,1.8297,2485
64,2010-12-13,1.8713,1.8713,1.7216,1.7216,1699
65,2010-12-14,1.8713,1.8713,1.7465,1.7632,6495
66,2010-12-15,1.8713,1.8713,1.705,1.7216,3536
67,2010-12-16,1.8297,1.8297,1.705,1.705,10438
68,2010-12-17,1.8297,1.8297,1.7465,1.7798,952
69,2010-12-20,1.8131,1.8131,1.705,1.7133,725
70,2010-12-21,1.8297,1.8297,1.705,1.7133,602
71,2010-12-22,1.8297,1.8297,1.5968,1.8214,3662
72,2010-12-23,1.7881,1.7881,1.6634,1.6883,10359
73,2010-12-27,1.8297,1.8297,1.6966,1.7881,6138
74,2010-12-28,1.7964,1.7964,1.6883,1.6883,9142
75,2010-12-29,1.8547,1.8547,1.6883,1.6883,10375
76,2010-12-30,1.8463,1.8463,1.6883,1.6883,505
77,2010-12-31,1.85,1.85,1.71,1.84,4469
78,2011-01-03,1.863,1.863,1.68,1.8463,7622
79,2011-01-04,1.838,1.838,1.838,1.838,2
80,2011-01-05,1.838,1.838,1.68,1.8297,12445
81,2011-01-07,1.838,1.838,1.8214,1.8214,2
82,2011-01-10,1.8297,1.8297,1.7715,1.8048,1079
83,2011-01-11,1.6883,1.7465,1.6883,1.7465,2
84,2011-01-12,1.6883,1.7465,1.68,1.7465,12594
85,2011-01-13,1.6883,1.7465,1.6883,1.7465,1806
86,2011-01-14,1.6883,1.7382,1.6883,1.7382,2
87,2011-01-17,1.6883,1.7382,1.68,1.7382,13985
88,2011-01-18,1.6883,1.8214,1.68,1.8214,89896
89,2011-01-19,2.1624,2.1624,1.8214,2.021,85741
90,2011-01-20,2.021,2.021,1.8297,2.0127,718
91,2011-01-21,2.0127,2.0127,1.8713,1.9046,4523
92,2011-01-24,1.9046,1.9046,1.7798,1.863,8812
93,2011-01-25,1.7382,1.8547,1.7382,1.8547,362
94,2011-01-26,1.8547,1.8547,1.7881,1.8297,1445
95,2011-01-27,1.8297,1.8297,1.6467,1.7216,7218
96,2011-01-28,1.7216,1.7216,1.7216,1.7216,664
97,2011-01-31,1.67,1.7,1.56,1.7,12247
98,2011-02-01,1.6966,1.6966,1.5386,1.6384,7146
99,2011-02-02,1.5552,1.5552,1.4554,1.522,10182
100,2011-02-03,1.4638,1.5636,1.4638,1.5636,1693
101,2011-02-04,1.5636,1.8297,1.5386,1.5968,65579
102,2011-02-07,1.6135,1.7881,1.522,1.6301,61319
103,2011-02-08,1.5303,1.6966,1.5303,1.5968,22143
104,2011-02-09,1.5968,1.6051,1.5968,1.6051,482
105,2011-02-10,1.6051,1.6634,1.6051,1.6634,299
106,2011-02-11,1.6051,1.6634,1.6051,1.6634,125
107,2011-02-14,1.6051,1.6051,1.6051,1.6051,1099
108,2011-02-15,1.6218,1.6634,1.5968,1.6634,7990
109,2011-02-16,1.5968,1.6634,1.5968,1.6634,664
110,2011-02-17,1.5968,1.6467,1.5968,1.6467,2
111,2011-02-18,1.5968,1.655,1.5968,1.655,8
112,2011-02-21,1.6634,1.6634,1.6384,1.6384,606
113,2011-02-22,1.5968,1.6384,1.5968,1.6384,4
114,2011-02-23,1.655,1.655,1.5968,1.6384,191
115,2011-02-24,1.655,1.655,1.4139,1.4139,20961
116,2011-02-25,1.4139,1.4554,1.3723,1.4139,35514
117,2011-02-28,1.4638,1.4638,1.3723,1.3889,1770
118,2011-03-01,1.3723,1.4139,1.3723,1.3723,8406
119,2011-03-02,1.3723,1.3889,1.3307,1.3889,1578
120,2011-03-03,1.3889,1.5386,1.2974,1.2974,25971
121,2011-03-04,1.3723,1.4804,1.3307,1.3806,15546
122,2011-03-07,1.3806,1.3806,1.364,1.364,2
123,2011-03-08,1.3307,1.4804,1.3057,1.4721,25048
124,2011-03-09,1.4804,1.4804,1.2558,1.3889,15185
125,2011-03-10,1.2475,1.3556,1.2226,1.2891,7889
126,2011-03-11,1.2059,1.3556,1.2059,1.3556,770
127,2011-03-14,1.2891,1.3889,1.2891,1.3889,6893
128,2011-03-15,1.3806,1.3806,1.2891,1.3806,2744
129,2011-03-16,1.3806,1.3806,1.3556,1.3556,2
130,2011-03-17,1.3556,1.4887,1.2475,1.3972,31797
131,2011-03-18,1.3972,1.3972,1.3224,1.3972,24651
132,2011-03-21,1.3972,1.3972,1.3473,1.3972,1205
133,2011-03-22,1.3972,1.3972,1.3972,1.3972,2
134,2011-03-23,1.3972,1.3972,1.3224,1.3972,1205
135,2011-03-24,1.3972,1.3972,1.2891,1.2891,1204
136,2011-03-25,1.3723,1.655,1.2891,1.655,25472
137,2011-03-28,1.655,1.655,1.5053,1.6384,16373
138,2011-03-29,1.6384,1.8131,1.6218,1.8131,18323
139,2011-03-30,1.8131,2.0792,1.7465,2.0792,14310
140,2011-03-31,2.08,2.12,1.83,2.1,17634
141,2011-04-01,2.1042,2.1042,1.9378,2.0958,4199
142,2011-04-04,2.0792,2.0792,1.9129,1.996,1870
143,2011-04-05,1.996,1.996,1.7964,1.9378,30385
144,2011-04-06,1.9378,2.1042,1.9378,2.1042,1623
145,2011-04-07,1.9378,2.0293,1.9295,2.0293,3644
146,2011-04-08,2.0293,2.0293,1.8131,1.9461,4632
147,2011-04-11,1.863,1.9545,1.8048,1.9545,7217
148,2011-04-12,1.8879,1.8879,1.8713,1.8713,2
149,2011-04-13,1.9378,1.9378,1.9378,1.9378,2
150,2011-04-14,1.9545,1.9545,1.9378,1.9378,2
151,2011-04-15,1.9545,1.9545,1.7632,1.8713,2215
152,2011-04-18,1.8713,1.8713,1.7465,1.8297,18960
153,2011-04-19,1.8297,1.8297,1.68,1.7881,4271
154,2011-04-20,1.7881,1.7881,1.68,1.7881,3245
155,2011-04-21,1.705,1.705,1.705,1.705,2
156,2011-04-26,1.7881,1.7881,1.6634,1.7465,5413
157,2011-04-27,1.6634,1.7382,1.4139,1.5386,21087
158,2011-04-28,1.5386,1.5469,1.5303,1.5469,1205
159,2011-04-29,1.55,1.62,1.54,1.62,5175
160,2011-05-02,1.6218,1.6218,1.5885,1.6218,4852
161,2011-05-04,1.6218,1.6218,1.5885,1.6218,4268
162,2011-05-05,1.6301,1.6301,1.5137,1.6135,3610
163,2011-05-06,1.6135,1.6135,1.6135,1.6135,4210
164,2011-05-09,1.6135,1.6135,1.5636,1.6135,1686
165,2011-05-10,1.6135,1.6135,1.6135,1.6135,2
166,2011-05-11,1.5386,1.5386,1.5137,1.5386,7276
167,2011-05-12,1.5802,1.5802,1.5802,1.5802,2
168,2011-05-13,1.5802,1.5802,1.5802,1.5802,2
169,2011-05-16,1.5719,1.5719,1.5386,1.5386,2
170,2011-05-17,1.5719,1.5719,1.2558,1.3307,22203
171,2011-05-18,1.364,1.364,1.2475,1.364,15192
172,2011-05-19,1.364,1.364,1.2143,1.2143,13034
173,2011-05-20,1.2974,1.364,1.2974,1.364,2056
174,2011-05-23,1.364,1.364,1.3057,1.3057,3849
175,2011-05-24,1.364,1.364,1.339,1.339,2
176,2011-05-25,1.339,1.339,1.3307,1.3307,2
177,2011-05-26,1.3307,1.3307,1.3307,1.3307,2
178,2011-05-27,1.3307,1.4471,1.3057,1.3057,7000
179,2011-05-30,1.4471,1.4471,1.4471,1.4471,1
180,2011-06-01,1.3972,1.3972,1.3972,1.3972,1252
181,2011-06-07,1.3473,1.5636,1.3141,1.4055,41088
182,2011-06-08,1.4471,1.4804,1.3224,1.4139,14212
183,2011-06-09,1.4139,1.4139,1.2475,1.3141,24613
184,2011-06-13,1.3307,1.3307,1.3307,1.3307,2
185,2011-06-14,1.3307,1.4139,1.2642,1.2642,8419
186,2011-06-15,1.2808,1.3972,1.2808,1.3972,3968
187,2011-06-16,1.3307,1.3723,1.2891,1.3723,18649
188,2011-06-17,1.3723,1.3723,1.2143,1.2808,20021
189,2011-06-20,1.2974,1.4139,1.2974,1.2974,7669
190,2011-06-21,1.3473,1.3473,1.2475,1.2475,3007
191,2011-06-22,1.2475,1.2475,1.2475,1.2475,1805
192,2011-06-24,1.2143,1.3307,1.1644,1.3307,8417
193,2011-06-27,1.2392,1.2392,1.2309,1.2309,4088
194,2011-06-28,1.2558,1.2891,1.2558,1.2891,2093
195,2011-06-29,1.2891,1.2891,1.2891,1.2891,2
196,2011-06-30,1.29,1.41,1.28,1.41,7576
197,2011-07-01,1.4139,1.4139,1.2974,1.4139,5318
198,2011-07-04,1.3556,1.3556,1.2392,1.2808,5173
199,2011-07-05,1.2974,1.2974,1.2808,1.2974,2046
200,2011-07-06,1.2974,1.2974,1.1727,1.2891,6478
201,2011-07-07,1.2891,1.2891,1.2891,1.2891,1
202,2011-07-08,1.2392,1.2392,1.2392,1.2392,1
203,2011-07-11,1.2725,1.2808,1.2725,1.2808,2
204,2011-07-12,1.2475,1.2475,1.0313,1.1228,12203
205,2011-07-13,1.1228,1.1228,1.0313,1.1228,1654
206,2011-07-14,1.1145,1.1145,1.1145,1.1145,2
207,2011-07-15,1.0812,1.1061,1.0562,1.1061,1648
208,2011-07-18,1.1228,1.1228,1.0562,1.1228,1806
209,2011-07-19,1.1228,1.1228,1.1228,1.1228,1
210,2011-07-20,1.1228,1.1228,1.1145,1.1145,6
211,2011-07-21,1.1228,1.1228,1.0313,1.0562,7879
212,2011-07-22,1.0562,1.0562,1.0147,1.0562,1444
213,2011-07-25,1.0562,1.0562,1.0562,1.0562,2
214,2011-07-26,1.06,1.06,0.97,0.98,7215
215,2011-07-27,1.0147,1.0147,0.998,0.998,483
216,2011-07-28,0.998,1.1228,0.9481,1.0313,41708
217,2011-07-29,1.06,1.1,1.01,1.05,12000
218,2011-08-01,1.0646,1.0646,0.9315,0.9731,10589
219,2011-08-02,0.97,0.97,0.9,0.96,20863
220,2011-08-03,0.9648,0.9648,0.9648,0.9648,120
221,2011-08-04,0.9065,0.9648,0.84,0.9648,12620
222,2011-08-05,0.84,0.9398,0.84,0.9065,5667
223,2011-08-08,0.865,0.8816,0.84,0.8816,3308
224,2011-08-09,0.8816,0.8899,0.84,0.8816,7342
225,2011-08-10,0.8483,0.8816,0.84,0.84,3343
226,2011-08-11,0.8816,1.0063,0.8816,1.0063,9478
227,2011-08-12,0.9149,0.9897,0.9149,0.9897,1908
228,2011-08-16,0.9398,0.9398,0.9149,0.9149,1579
229,2011-08-18,0.9149,0.9897,0.8816,0.8816,4546
230,2011-08-19,0.9232,0.9232,0.9232,0.9232,1
231,2011-08-22,0.9232,0.9232,0.9232,0.9232,1
232,2011-08-23,0.9232,0.9232,0.8982,0.8982,4
233,2011-08-24,0.9232,0.9232,0.9232,0.9232,2
234,2011-08-25,0.9232,0.9232,0.8982,0.9232,1205
235,2011-08-26,0.9232,0.9232,0.9232,0.9232,1016
236,2011-08-29,0.9232,0.9232,0.865,0.9065,2220
237,2011-08-30,0.9065,0.9065,0.84,0.9065,12
238,2011-08-31,0.91,0.91,0.84,0.91,64
239,2011-09-01,0.9065,0.9065,0.9065,0.9065,2
240,2011-09-02,0.91,0.91,0.9,0.9,2
241,2011-09-05,0.8899,0.8899,0.8899,0.8899,2
242,2011-09-06,0.89,0.91,0.89,0.91,243
243,2011-09-07,0.91,0.91,0.91,0.91,2
244,2011-09-08,0.91,0.91,0.91,0.91,2
245,2011-09-09,0.91,0.91,0.79,0.79,25206
246,2011-09-12,0.8317,0.8317,0.8317,0.8317,1
247,2011-09-13,0.8317,0.8317,0.8317,0.8317,1
248,2011-09-14,0.8317,0.8317,0.7735,0.8317,12614
249,2011-09-15,0.8317,0.8317,0.8317,0.8317,2
250,2011-09-16,0.83,0.83,0.8,0.82,8418
251,2011-09-19,0.8317,0.8317,0.8317,0.8317,1
252,2011-09-20,0.83,0.83,0.83,0.83,1
253,2011-09-21,0.82,0.82,0.82,0.82,7
