,Date,Open,High,Low,Close,Volume
0,2007-12-21,6.024,6.4102,4.294,5.02,130940
1,2007-12-27,5.0586,5.2517,5.02,5.02,25877
2,2007-12-28,5.0895,5.1358,4.5952,4.5952,45721
3,2008-01-02,4.8192,4.8269,4.603,4.603,2039
4,2008-01-03,4.5257,4.7497,4.5257,4.7497,9685
5,2008-01-04,4.8038,5.0586,4.6338,5.0123,7814
6,2008-01-07,4.6338,4.8655,4.2477,4.7729,9946
7,2008-01-08,4.1936,4.4794,4.0932,4.3404,6400
8,2008-01-09,4.3635,4.3635,3.8538,3.9774,7137
9,2008-01-10,3.9388,3.9388,3.7071,3.9388,2900
10,2008-01-11,3.8615,3.8615,3.6298,3.7457,1843
11,2008-01-14,3.2437,3.7302,3.0892,3.2437,12226
12,2008-01-15,3.0892,3.2437,3.0892,3.0892,4869
13,2008-01-16,2.7031,3.0506,2.5486,3.0506,3715
14,2008-01-17,2.8575,3.1278,2.8575,3.0429,3497
15,2008-01-18,2.7803,3.1665,2.7803,3.1665,2974
16,2008-01-22,2.7031,3.1665,2.7031,3.0815,12939
17,2008-01-23,3.2051,3.2051,2.7185,3.0506,1822
18,2008-01-24,3.3209,3.3209,3.2746,3.2746,20334
19,2008-01-25,3.4599,3.4677,2.9734,3.3982,3598
20,2008-01-29,2.7803,3.236,2.7803,3.0892,2364
21,2008-01-30,3.236,3.2437,3.1278,3.2051,642
22,2008-01-31,2.8575,3.1665,2.8575,3.1587,224
23,2008-02-01,3.2437,3.2514,3.2437,3.2437,3082
24,2008-02-04,3.2823,3.2823,3.2437,3.2437,434
25,2008-02-05,3.2437,3.2437,2.9579,3.2128,4097
26,2008-02-06,2.9579,3.0815,2.9348,2.9734,1233
27,2008-02-07,2.9734,3.0506,2.9734,3.012,1093
28,2008-02-08,3.0815,3.0815,3.0815,3.0815,1
29,2008-02-12,3.1665,4.2322,3.1665,3.2437,7990
30,2008-02-13,3.2051,3.2051,3.2051,3.2051,76
31,2008-02-14,3.0892,3.2437,3.0892,3.0892,350
32,2008-02-15,3.0892,3.2823,2.8962,3.0738,7966
33,2008-02-18,3.0738,3.0738,3.0738,3.0738,1423
34,2008-02-19,2.9348,2.9425,2.8653,2.8653,2209
35,2008-02-20,2.8575,3.012,2.8575,3.012,1901
36,2008-02-21,3.012,3.012,3.012,3.012,1036
37,2008-02-22,2.8575,3.0738,2.8575,3.0738,783
38,2008-02-25,3.0738,3.0738,2.7185,3.0506,1124
39,2008-02-26,2.7108,2.9734,2.7108,2.7417,2021
40,2008-02-27,2.9734,2.9734,2.7185,2.9348,3115
41,2008-02-28,2.7031,2.7031,2.7031,2.7031,917
42,2008-02-29,2.7031,2.7031,2.4791,2.6799,2407
43,2008-03-03,2.4714,2.4714,2.2783,2.3942,3754
44,2008-03-05,2.3942,2.3942,2.1625,2.2088,5117
45,2008-03-06,2.2088,2.2088,2.0466,2.1547,1073
46,2008-03-07,2.1238,2.1238,2.0157,2.0852,1666
47,2008-03-10,2.0852,2.0852,2.0852,2.0852,1334
48,2008-03-11,2.0466,2.0852,2.008,2.0852,10919
49,2008-03-12,1.9385,2.3092,1.9385,2.3092,1918
50,2008-03-13,2.0852,2.2783,2.0852,2.2011,10360
51,2008-03-14,2.0852,2.1779,2.0852,2.1779,7519
52,2008-03-17,2.0466,2.3015,2.0234,2.3015,880
53,2008-03-20,2.008,2.2011,2.008,2.2011,1189
54,2008-03-25,2.008,2.0466,2.008,2.0466,4379
55,2008-03-26,2.0157,2.0157,2.0157,2.0157,1932
56,2008-03-27,2.1161,2.1161,2.1161,2.1161,6
57,2008-03-28,2.1161,2.1161,2.1161,2.1161,97
58,2008-03-31,1.9308,2.1161,1.8999,1.9848,9132
59,2008-04-01,2.008,2.008,1.8767,1.9308,7713
60,2008-04-02,1.9694,1.9694,1.9694,1.9694,7193
61,2008-04-03,1.9694,1.9694,1.9694,1.9694,2460
62,2008-04-04,1.7995,1.7995,1.7918,1.7918,1832
63,2008-04-07,1.7918,1.8149,1.6605,1.6605,7860
64,2008-04-08,1.6218,1.6605,1.5678,1.6605,12070
65,2008-04-09,1.5832,1.6218,1.5832,1.5832,4054
66,2008-04-10,1.6218,1.7377,1.6218,1.7377,6191
67,2008-04-11,1.7377,1.7377,1.7068,1.7068,706
68,2008-04-15,1.6218,1.7686,1.6218,1.6914,9428
69,2008-04-16,1.6914,1.8535,1.6914,1.7763,21980
70,2008-04-17,1.8535,1.9694,1.8535,1.9617,12526
71,2008-04-18,1.9617,1.9617,1.8149,1.8149,2377
72,2008-04-21,1.8072,1.8072,1.5446,1.5446,12325
73,2008-04-22,1.6141,1.7686,1.4597,1.6527,12960
74,2008-04-23,1.6218,1.6218,1.6218,1.6218,211
75,2008-04-24,1.4751,1.645,1.4519,1.645,5405
76,2008-04-25,1.5292,1.5987,1.4828,1.5987,3535
77,2008-04-28,1.5446,1.6605,1.5446,1.6141,18500
78,2008-04-29,1.6296,2.1547,1.6296,2.0466,97528
79,2008-04-30,2.0775,2.649,2.0775,2.51,119953
80,2008-05-05,2.6258,2.8112,2.5177,2.7958,81348
81,2008-05-06,2.7958,2.7958,2.5254,2.6799,22469
82,2008-05-07,2.7031,2.7031,2.2629,2.4714,31970
83,2008-05-08,2.51,2.6954,2.3555,2.6876,35242
84,2008-05-09,2.6876,2.7031,2.4405,2.6181,19530
85,2008-05-12,2.6413,2.6413,2.1702,2.4173,17756
86,2008-05-13,2.2474,2.3169,2.1238,2.3169,9832
87,2008-05-14,2.1625,2.3169,2.093,2.093,17049
88,2008-05-15,2.2783,2.2783,2.0852,2.093,9529
89,2008-05-16,2.0852,2.093,2.008,2.0852,9281
90,2008-05-19,1.9308,2.008,1.9308,2.0003,5856
91,2008-05-20,2.008,2.008,1.8535,1.9308,8112
92,2008-05-21,1.8535,1.9308,1.7763,1.923,3214
93,2008-05-26,1.9308,1.9308,1.9308,1.9308,2008
94,2008-05-27,1.9308,1.9308,1.645,1.6759,27358
95,2008-05-28,1.6605,1.7377,1.5446,1.7222,24141
96,2008-05-29,1.7222,1.8149,1.6991,1.6991,3835
97,2008-05-30,1.7763,1.8922,1.7763,1.8149,13093
98,2008-06-02,1.7068,1.7377,1.645,1.7222,5586
99,2008-06-03,1.73,1.7995,1.6605,1.7222,9429
100,2008-06-04,1.7222,1.7222,1.7145,1.7222,1019
101,2008-06-05,1.7686,1.7686,1.7531,1.7531,1133
102,2008-06-06,1.7531,1.7531,1.7531,1.7531,41
103,2008-06-09,1.6605,1.6605,1.5446,1.5601,8456
104,2008-06-10,1.506,1.6373,1.4674,1.5832,6782
105,2008-06-11,1.5755,1.6527,1.5755,1.645,10127
106,2008-06-12,1.6527,1.6605,1.6373,1.6527,4220
107,2008-06-13,1.6527,1.6605,1.6373,1.6605,2786
108,2008-06-16,1.6373,1.8844,1.6373,1.8844,6585
109,2008-06-17,1.8844,2.0852,1.8535,1.9694,8337
110,2008-06-18,1.9848,2.0621,1.8922,2.0466,5490
111,2008-06-19,2.0466,2.0466,1.9308,1.9694,4549
112,2008-06-20,1.8922,2.0466,1.8922,2.0234,3760
113,2008-06-23,2.0389,2.0389,1.8922,2.0389,449
114,2008-06-24,2.0466,2.2783,1.9694,2.1547,24516
115,2008-06-25,1.9771,2.1934,1.9771,2.1547,1006
116,2008-06-26,1.9694,1.9694,1.9308,1.9617,3316
117,2008-06-27,1.7763,1.9308,1.7763,1.9308,1422
118,2008-06-30,1.6991,1.8922,1.6682,1.8149,3189
119,2008-07-01,1.8149,1.8535,1.6991,1.8226,2237
120,2008-07-02,1.7763,1.7763,1.7763,1.7763,1
121,2008-07-03,1.8535,1.8535,1.6218,1.6991,6641
122,2008-07-04,1.6991,1.6991,1.6991,1.6991,1
123,2008-07-07,1.6914,1.6914,1.5446,1.5446,728
124,2008-07-08,1.5446,1.6836,1.4751,1.6836,2885
125,2008-07-09,1.6682,1.6836,1.6682,1.6836,1492
126,2008-07-10,1.6218,1.6836,1.6218,1.6836,2202
127,2008-07-11,1.6991,1.6991,1.5832,1.6914,1907
128,2008-07-14,1.6836,1.6836,1.5832,1.5832,2350
129,2008-07-15,1.5446,1.6218,1.506,1.6218,3628
130,2008-07-16,1.6527,1.6605,1.6527,1.6605,1646
131,2008-07-17,1.6527,1.6527,1.5214,1.6527,1457
132,2008-07-18,1.645,1.645,1.645,1.645,1
133,2008-07-21,1.506,1.6991,1.506,1.6991,5150
134,2008-07-22,1.8226,1.8226,1.6991,1.6991,60
135,2008-07-24,1.5369,1.5601,1.2511,1.3902,56329
136,2008-07-25,1.3515,1.4133,1.3129,1.3129,6514
137,2008-07-28,1.3902,1.3902,1.3129,1.3902,3991
