,Date,Open,High,Low,Close,Volume
0,2010-06-02,2.19,2.3,1.8,1.978,72390
1,2010-06-04,2.176,2.176,1.744,1.998,46220
2,2010-06-07,1.89,2.194,1.86,2.19,19425
3,2010-06-08,2.39,2.39,2.1,2.2,20325
4,2010-06-09,2.08,2.08,2.08,2.08,1350
5,2010-06-11,2.08,2.08,1.804,2.058,14920
6,2010-06-14,2.0,2.08,1.92,2.08,18540
7,2010-06-15,2.0,3.018,2.0,2.98,41540
8,2010-06-16,2.89,2.98,2.44,2.8,11635
9,2010-06-17,2.8,2.98,2.4,2.888,2865
10,2010-06-18,2.93,2.93,2.93,2.93,50
11,2010-06-21,3.514,3.998,2.76,3.36,12550
12,2010-06-23,2.998,3.36,2.8,3.36,16255
13,2010-06-24,3.21,3.21,3.21,3.21,5
14,2010-06-25,2.8,3.2,2.8,3.2,2080
15,2010-06-28,2.78,3.2,2.602,3.2,5015
16,2010-06-29,3.34,3.798,3.34,3.798,5135
17,2010-07-01,3.794,4.2,3.794,4.2,1365
18,2010-07-07,3.9,4.28,3.9,4.28,700
19,2010-07-08,3.4,4.18,3.4,4.18,835
20,2010-07-09,3.98,4.42,3.98,4.4,6725
21,2010-07-13,4.92,4.92,4.4,4.86,10625
22,2010-07-16,4.75,4.92,4.75,4.92,1940
23,2010-07-22,3.94,4.88,3.94,4.88,1330
24,2010-07-23,5.84,6.18,5.84,6.18,2780
25,2010-07-26,6.2,6.5,6.18,6.5,855
26,2010-07-29,5.2,6.36,5.2,5.2,805
27,2010-07-30,4.9,4.9,4.9,4.9,325
28,2010-08-02,5.2,5.2,5.2,5.2,5
29,2010-08-04,5.2,5.2,4.66,5.1,2040
30,2010-08-16,4.798,4.798,4.798,4.798,5
31,2010-08-27,5.0,5.0,5.0,5.0,40
32,2010-09-01,3.958,3.958,2.76,2.76,3215
33,2010-09-02,2.8,2.8,2.24,2.4,365
34,2010-09-03,2.0,2.0,1.6,1.6,8295
35,2010-09-06,1.676,1.676,1.35,1.42,20690
