,Date,Open,High,Low,Close,Volume
0,2010-08-19,0.7409,0.8825,0.7159,0.7825,628753
1,2010-08-20,0.8158,0.8241,0.7326,0.7659,102897
2,2010-08-23,0.7492,0.8575,0.7492,0.7908,200673
3,2010-08-24,0.7992,0.8158,0.7575,0.7992,170235
4,2010-08-25,0.8075,1.0323,0.7992,0.9991,253048
5,2010-08-26,1.024,1.1156,0.9158,0.9575,217812
6,2010-08-27,0.9741,0.9825,0.8825,0.8825,110365
7,2010-08-30,0.8658,0.9324,0.8409,0.8492,44048
8,2010-08-31,0.8908,0.8991,0.8325,0.8492,37809
9,2010-09-01,0.8325,0.8991,0.8158,0.8742,40388
10,2010-09-02,0.8658,0.8658,0.8325,0.8325,37327
11,2010-09-03,0.8241,0.9658,0.8158,0.8908,102088
12,2010-09-06,0.9324,0.9658,0.8991,0.9658,39909
13,2010-09-07,0.9241,0.9575,0.8908,0.9075,42492
14,2010-09-08,0.9158,0.9492,0.9158,0.9241,42928
15,2010-09-09,0.9075,0.9075,0.8409,0.8908,45907
16,2010-09-10,0.8658,0.8991,0.8658,0.8991,11759
17,2010-09-13,0.8575,1.074,0.8409,0.9991,181453
18,2010-09-14,0.9908,1.0156,0.9407,0.9658,33207
19,2010-09-15,0.9241,0.9991,0.9158,0.9492,47454
20,2010-09-16,0.8991,0.9241,0.8825,0.8991,60292
21,2010-09-17,0.9158,0.9908,0.8825,0.9825,88096
22,2010-09-20,0.9575,0.9908,0.9241,0.9407,34307
23,2010-09-21,0.9407,0.9908,0.9158,0.9492,51585
24,2010-09-22,0.9241,0.9658,0.9158,0.9658,19605
25,2010-09-23,0.9492,0.9492,0.8991,0.9324,39856
26,2010-09-24,0.9241,0.9407,0.8991,0.9241,25379
27,2010-09-27,0.8991,0.9407,0.8991,0.9407,7666
28,2010-09-28,0.9324,0.9324,0.9075,0.9241,14906
29,2010-09-29,0.9324,0.9324,0.8742,0.9075,35180
30,2010-09-30,0.8825,0.9575,0.8658,0.9575,27284
31,2010-10-01,0.9575,0.9575,0.9158,0.9492,11638
32,2010-10-04,0.9158,0.9575,0.9158,0.9492,8971
33,2010-10-05,0.9407,0.9407,0.9075,0.9158,3207
34,2010-10-06,0.9075,0.9407,0.8991,0.9407,8653
35,2010-10-07,0.9324,0.9324,0.9324,0.9324,600
36,2010-10-08,0.9324,0.9324,0.9158,0.9158,4522
37,2010-10-11,0.9158,0.9158,0.9075,0.9158,1408
38,2010-10-12,0.9075,0.9075,0.8325,0.8575,69263
39,2010-10-13,0.8492,0.8742,0.8492,0.8575,10943
40,2010-10-14,0.8575,0.8825,0.8325,0.8658,41054
