,Date,Open,High,Low,Close,Volume
0,2011-03-22,143.1,150.0,143.0,150.0,56767
1,2011-03-23,154.0,154.0,145.0,145.0,142
2,2011-03-24,131.0,153.0,131.0,153.0,52
3,2011-03-25,153.0,153.1,153.0,153.1,11
4,2011-03-30,160.0,160.0,160.0,160.0,3
5,2011-04-05,174.0,174.0,174.0,174.0,140
6,2011-04-06,174.0,174.0,174.0,174.0,56
7,2011-04-19,173.0,174.0,165.0,174.0,301
8,2011-04-26,182.0,186.0,182.0,182.0,186
9,2011-04-27,184.0,186.0,184.0,186.0,75
10,2011-05-04,177.0,177.0,176.0,176.0,200
11,2011-05-06,174.1,174.1,174.1,174.1,7000
12,2011-05-09,174.2,174.2,172.5,172.5,2500
13,2011-05-10,178.1,178.1,178.1,178.1,3000
14,2011-05-16,183.0,183.0,183.0,183.0,200
15,2011-05-17,185.0,185.0,185.0,185.0,16
16,2011-05-18,185.0,185.0,185.0,185.0,1
17,2011-05-27,175.0,175.0,175.0,175.0,12
18,2011-05-30,157.0,157.0,157.0,157.0,1
19,2011-05-31,152.0,152.0,152.0,152.0,4
20,2011-06-01,157.0,157.0,152.0,152.0,234
21,2011-06-03,145.0,145.0,145.0,145.0,9
22,2011-06-08,145.0,145.0,145.0,145.0,9
23,2011-08-25,145.0,145.0,145.0,145.0,9
24,2012-09-28,85.1,85.1,85.1,85.1,1
25,2014-12-29,1.69,1.69,1.69,1.69,22
26,2015-03-18,1.7,1.7,1.7,1.7,1
27,2015-03-19,1.7,1.7,1.7,1.7,21
28,2017-10-10,1.7,1.7,1.7,1.7,7
29,2018-02-27,1.53,1.53,1.53,1.53,21
30,2018-12-03,1.5,1.5,1.5,1.5,9
31,2019-12-09,1.5,1.5,1.5,1.5,6
32,2019-12-27,1.5,1.5,1.5,1.5,2
