,Date,Open,High,Low,Close,Volume
0,2010-01-28,2.1858,2.1975,1.6084,1.6998,300895
1,2010-01-29,1.6467,1.7027,1.6173,1.7027,26866
2,2010-02-01,1.7027,1.7027,1.6762,1.7027,9921
3,2010-02-02,1.6762,1.6762,1.6585,1.6733,7711
4,2010-02-03,1.6733,1.7497,1.6733,1.7497,13925
5,2010-02-04,1.7497,1.7497,1.6704,1.7321,8540
6,2010-02-05,1.6879,1.7292,1.6527,1.7292,9103
7,2010-02-08,1.7321,1.7321,1.6527,1.7027,11461
8,2010-02-09,1.6969,1.6969,1.632,1.6467,8281
9,2010-02-10,1.6467,1.6467,1.5907,1.6438,8283
10,2010-02-11,1.6467,1.6467,1.6467,1.6467,35
11,2010-02-12,1.6467,1.6467,1.6055,1.6438,1920
12,2010-02-15,1.6438,1.6438,1.6055,1.6438,2057
13,2010-02-16,1.6969,1.6969,1.6969,1.6969,67
14,2010-02-17,1.6879,1.6879,1.6055,1.6879,5352
15,2010-02-18,1.6879,1.6879,1.6879,1.6879,35
16,2010-02-19,1.6879,1.6879,1.5613,1.6762,1797
17,2010-02-22,1.5907,1.6849,1.5907,1.6849,545
18,2010-02-23,1.6849,1.6849,1.6849,1.6849,35
19,2010-02-24,1.6849,1.6849,1.6173,1.6762,918
20,2010-02-25,1.6733,1.6733,1.5613,1.6613,7862
21,2010-02-26,1.6527,1.6527,1.5613,1.6438,2605
22,2010-03-01,1.6409,1.6409,1.5466,1.6173,3564
23,2010-03-02,1.5907,1.9384,1.5907,1.9384,37788
24,2010-03-03,1.9561,1.9561,1.7027,1.9148,13439
25,2010-03-04,1.8557,1.9118,1.7881,1.8441,4445
26,2010-03-05,1.8735,1.9118,1.8441,1.8441,917
27,2010-03-08,1.9118,1.9118,1.8883,1.8883,1829
28,2010-03-09,1.9295,2.1005,1.8441,1.8441,7432
29,2010-03-11,1.7881,1.8412,1.7352,1.8412,9476
30,2010-03-12,1.7469,1.7617,1.6909,1.7617,1855
31,2010-03-15,1.7321,1.8412,1.7027,1.8412,10971
32,2010-03-16,1.7617,1.7617,1.7057,1.7057,1054
33,2010-03-17,1.7087,1.7999,1.7087,1.7999,108
34,2010-03-18,1.8147,1.8412,1.8147,1.8176,84705
35,2010-03-19,1.8412,1.8412,1.8412,1.8412,35
36,2010-03-22,1.8412,1.8412,1.8176,1.8176,4609
37,2010-03-23,1.8029,1.8029,1.8029,1.8029,701
38,2010-03-24,1.7881,1.7881,1.7733,1.7733,71143
39,2010-03-25,1.7733,1.8323,1.7733,1.8323,88230
40,2010-03-26,1.8323,1.8323,1.8323,1.8323,35
41,2010-03-29,1.8323,1.8323,1.8176,1.8176,66
42,2010-03-30,1.8176,1.8176,1.7587,1.7587,6763
43,2010-03-31,1.7617,1.7617,1.7321,1.7321,530
44,2010-04-01,1.7587,1.7587,1.7027,1.7027,9015
45,2010-04-06,1.7027,1.7027,1.7027,1.7027,35
46,2010-04-07,1.7027,1.7027,1.7027,1.7027,35
47,2010-04-08,1.7027,1.7027,1.632,1.632,4978
48,2010-04-09,1.5938,1.6055,1.5466,1.6055,11173
49,2010-04-12,1.5319,1.6909,1.4758,1.6909,162832
50,2010-04-14,1.6998,1.6998,1.6998,1.6998,35
51,2010-04-15,1.6998,1.6998,1.6998,1.6998,35
52,2010-04-16,1.6998,1.6998,1.6998,1.6998,35
53,2010-04-19,1.6998,1.6998,1.6998,1.6998,35
54,2010-04-20,1.6998,1.6998,1.6998,1.6998,35
55,2010-04-21,1.6998,1.6998,1.5907,1.5907,1445
56,2010-04-22,1.5907,1.5907,1.5907,1.5907,35
57,2010-04-23,1.5907,1.5907,1.5348,1.5348,613
58,2010-04-26,1.5377,1.6467,1.5377,1.6467,210
59,2010-04-27,1.6733,1.6733,1.6733,1.6733,35
60,2010-04-28,1.6613,1.6613,1.6613,1.6613,35
61,2010-04-29,1.6438,1.6438,1.6438,1.6438,35
62,2010-04-30,1.6409,1.6467,1.5613,1.6467,77
63,2010-05-04,1.6467,1.6467,1.6467,1.6467,35
64,2010-05-05,1.6467,1.6467,1.6467,1.6467,35
65,2010-05-06,1.6467,1.6467,1.6467,1.6467,35
66,2010-05-07,1.526,1.526,1.523,1.523,4397
67,2010-05-10,1.523,1.523,1.523,1.523,35
68,2010-05-11,1.523,1.523,1.523,1.523,35
69,2010-05-12,1.523,1.6173,1.4199,1.6173,1446
70,2010-05-14,1.6144,1.6144,1.5348,1.5348,9865
71,2010-05-17,1.6144,1.6144,1.6144,1.6144,349
72,2010-05-18,1.6144,1.6144,1.6114,1.6114,864
73,2010-05-19,1.5319,1.6144,1.3315,1.5319,15216
74,2010-05-20,1.5319,1.5319,1.5319,1.5319,35
75,2010-05-21,1.5319,1.5319,1.5319,1.5319,35
76,2010-05-24,1.5613,1.5613,1.5613,1.5613,35
77,2010-05-25,1.5613,1.5613,1.4464,1.4464,879
78,2010-05-27,1.5584,1.7321,1.5319,1.7321,32634
79,2010-05-28,1.7321,1.7881,1.6202,1.7292,18080
80,2010-05-31,1.7263,1.7263,1.6969,1.6969,2323
