,Date,Open,High,Low,Close,Volume
0,2010-12-29,12.855,13.178,12.671,12.728,59250
1,2010-12-30,12.771,12.813,12.671,12.72,20872
2,2010-12-31,12.719,12.719,12.108,12.703,13680
3,2011-01-03,12.715,12.785,12.671,12.742,20788
4,2011-01-04,12.742,12.749,12.671,12.749,10375
5,2011-01-05,12.756,12.756,12.671,12.736,8850
6,2011-01-07,12.671,12.72,12.229,12.72,7507
7,2011-01-10,12.707,12.707,12.538,12.693,6553
8,2011-01-11,12.671,12.736,12.664,12.707,5321
9,2011-01-12,12.707,12.884,12.707,12.869,9890
10,2011-01-13,12.875,12.875,12.715,12.84,11270
11,2011-01-14,12.848,12.953,12.749,12.84,8922
12,2011-01-17,12.848,12.848,12.749,12.813,2139
13,2011-01-18,12.827,12.827,12.777,12.819,3593
14,2011-01-19,12.819,12.819,12.777,12.813,6694
15,2011-01-20,12.777,12.813,12.777,12.813,4707
16,2011-01-21,12.819,12.869,12.777,12.869,8428
17,2011-01-24,12.819,12.862,12.819,12.862,3984
18,2011-01-25,12.862,12.862,12.742,12.771,7166
19,2011-01-26,12.771,12.771,12.7,12.771,9324
20,2011-01-27,12.742,12.777,12.742,12.777,151
21,2011-01-28,12.679,12.813,12.679,12.806,2606
22,2011-01-31,12.806,12.806,12.674,12.806,1423
23,2011-02-01,12.798,12.798,12.671,12.777,4563
24,2011-02-02,12.742,12.862,12.671,12.834,7721
25,2011-02-03,12.855,12.855,12.834,12.834,2
26,2011-02-04,12.834,12.834,12.742,12.827,938
27,2011-02-07,12.742,12.813,12.707,12.813,13640
28,2011-02-08,12.813,12.855,12.671,12.855,46813
29,2011-02-09,12.813,12.953,12.671,12.953,50786
30,2011-02-10,12.72,13.137,12.72,13.129,8291
31,2011-02-11,12.72,13.235,12.72,13.227,9754
32,2011-02-14,12.792,13.341,12.792,13.341,8016
33,2011-02-15,13.038,13.306,12.911,13.306,9325
34,2011-02-16,13.306,13.376,13.122,13.376,12126
35,2011-02-17,13.376,13.728,13.376,13.692,4488
36,2011-02-18,13.728,14.002,13.644,13.862,4760
37,2011-02-21,13.981,13.981,13.58,13.862,43744
38,2011-02-22,13.657,13.931,13.657,13.903,45256
39,2011-02-23,13.593,13.967,13.588,13.925,38400
40,2011-02-24,13.532,13.925,13.532,13.854,22226
41,2011-02-25,13.593,13.882,13.593,13.784,16021
42,2011-02-28,13.882,13.882,13.545,13.784,738
43,2011-03-01,13.601,13.84,13.601,13.791,120
44,2011-03-02,13.777,13.777,13.523,13.722,508
45,2011-03-03,12.961,13.453,12.777,13.227,1768
46,2011-03-04,13.369,13.369,12.932,13.157,518
47,2011-03-07,13.009,13.2,13.009,13.157,280
