,Date,Open,High,Low,Close,Volume
0,2012-12-17,1.64,1.64,1.64,1.64,12960
1,2012-12-18,1.67,2.21,1.53,1.65,31710
2,2012-12-19,1.7,1.81,1.51,1.73,14853
3,2012-12-20,1.8,1.8,1.17,1.32,21448
4,2012-12-21,1.32,1.32,1.2,1.22,12550
5,2012-12-27,1.23,1.45,1.23,1.3,9059
6,2012-12-28,1.27,1.27,1.22,1.22,3840
7,2013-01-02,1.22,1.27,1.18,1.27,2313
8,2013-01-03,1.26,1.26,1.12,1.12,3257
9,2013-01-04,1.18,1.18,1.18,1.18,100
10,2013-01-07,1.15,1.34,1.15,1.34,13708
11,2013-01-08,1.4,1.45,1.19,1.26,14617
12,2013-01-09,1.26,1.26,1.25,1.26,1525
13,2013-01-10,1.26,1.26,1.26,1.26,1050
14,2013-01-11,1.24,1.24,1.17,1.21,1365
15,2013-01-14,1.21,1.21,1.21,1.21,15
16,2013-01-15,1.21,1.21,1.17,1.17,610
17,2013-01-16,1.2,1.2,1.2,1.2,20
18,2013-01-17,1.2,1.2,1.08,1.08,1120
19,2013-01-18,1.08,1.08,1.08,1.08,700
20,2013-01-21,1.06,1.06,0.97,0.97,2000
21,2013-01-22,0.92,0.92,0.92,0.92,757
22,2013-01-24,0.9,0.9,0.9,0.9,2228
23,2013-01-25,0.9,0.9,0.9,0.9,72
24,2013-01-31,0.9,1.05,0.9,1.05,3650
25,2013-02-01,1.01,1.01,0.99,0.99,1600
26,2013-02-04,0.99,0.99,0.99,0.99,2020
27,2013-02-05,1.0,1.0,1.0,1.0,15
28,2013-02-06,1.0,1.0,0.96,0.96,373
29,2013-02-07,0.96,0.96,0.94,0.96,2060
30,2013-02-08,0.98,1.11,0.98,1.08,7314
31,2013-02-11,1.08,1.08,1.08,1.08,15
32,2013-02-12,1.05,1.05,1.05,1.05,283
33,2013-02-13,1.05,1.05,1.05,1.05,5217
34,2013-02-14,1.02,1.02,1.01,1.01,1100
35,2013-02-15,1.01,1.01,0.98,0.98,5520
36,2013-02-18,0.98,1.04,0.98,1.04,3570
37,2013-02-19,1.04,1.04,1.04,1.04,1150
38,2013-02-20,1.02,1.02,1.0,1.0,2140
39,2013-02-21,1.01,1.05,1.01,1.05,1070
40,2013-02-22,1.05,1.05,1.05,1.05,550
41,2013-02-25,1.06,1.07,1.03,1.07,1750
42,2013-02-26,1.07,1.08,1.07,1.08,3235
43,2013-02-27,1.09,1.15,1.09,1.11,9531
44,2013-02-28,1.12,1.13,1.07,1.13,3050
45,2013-03-01,1.14,1.15,1.06,1.06,9582
46,2013-03-04,1.05,1.05,1.05,1.05,2700
47,2013-03-05,1.09,1.11,1.06,1.06,2325
48,2013-03-06,1.06,1.06,1.06,1.06,320
49,2013-03-07,1.09,1.2,1.03,1.2,4271
50,2013-03-08,1.19,1.19,1.1,1.1,1382
51,2013-03-11,1.1,1.1,1.1,1.1,938
52,2013-03-12,1.08,1.08,1.03,1.03,770
53,2013-03-13,1.05,1.05,1.05,1.05,50
54,2013-03-14,1.05,1.14,1.05,1.14,1330
55,2013-03-15,1.1,1.16,1.1,1.16,130
56,2013-03-19,1.15,1.15,1.14,1.14,53
57,2013-03-20,1.14,1.14,1.08,1.08,2537
