,Date,Open,High,Low,Close,Volume
0,2012-03-14,5.79,5.79,3.72,3.78,86608
1,2012-03-15,3.79,3.79,3.05,3.41,21016
2,2012-03-16,3.7,3.7,3.41,3.7,1102
3,2012-03-19,3.68,3.68,3.65,3.67,2854
4,2012-03-20,3.66,3.66,3.08,3.24,1130
5,2012-03-21,3.6,3.6,2.5,3.08,6623
6,2012-03-22,3.12,3.22,2.63,3.0,2094
7,2012-03-23,3.01,3.05,2.65,3.0,8492
8,2012-03-26,3.03,3.03,2.71,2.9,5113
9,2012-03-27,2.9,2.99,2.89,2.99,624
10,2012-03-28,3.03,3.1,3.0,3.1,4685
11,2012-03-29,3.1,3.15,3.0,3.15,21143
12,2012-03-30,3.28,3.38,3.0,3.38,14207
13,2012-04-02,3.39,3.39,3.04,3.38,186
14,2012-04-03,3.38,3.38,3.38,3.38,120
15,2012-04-04,3.38,3.38,3.01,3.02,3230
16,2012-04-05,3.24,3.24,2.85,2.85,866
17,2012-04-10,2.97,3.15,2.85,3.14,6468
18,2012-04-11,3.14,3.29,3.14,3.29,5331
19,2012-04-12,3.29,3.29,3.29,3.29,4
20,2012-04-13,3.29,3.38,3.15,3.33,3445
21,2012-04-16,3.33,3.44,3.08,3.26,6679
22,2012-04-17,3.46,3.46,3.15,3.32,16314
23,2012-04-18,3.32,3.55,3.32,3.51,15740
24,2012-04-19,3.6,3.6,3.45,3.56,6827
25,2012-04-20,3.57,3.59,3.4,3.58,12296
26,2012-04-23,3.58,3.58,3.45,3.58,477
27,2012-04-24,3.58,3.6,3.5,3.6,3635
28,2012-04-25,3.55,3.55,3.46,3.47,5215
29,2012-04-26,3.47,3.47,3.43,3.47,15218
30,2012-04-27,3.6,3.6,3.1,3.3,5231
31,2012-04-30,3.3,3.3,3.09,3.1,1107
32,2012-05-02,3.1,3.1,3.1,3.1,7
33,2012-05-04,3.1,3.1,3.09,3.1,1132
34,2012-05-07,3.1,3.1,3.1,3.1,952
35,2012-05-08,3.1,3.1,2.95,3.03,2999
36,2012-05-09,3.03,3.03,2.9,3.03,5213
37,2012-05-10,3.03,3.03,3.03,3.03,4
38,2012-05-11,3.03,3.03,2.66,2.9,2261
39,2012-05-14,3.0,3.0,2.54,2.58,202
40,2012-05-15,3.0,3.0,2.62,2.65,1907
41,2012-05-16,2.65,2.7,2.45,2.7,1275
42,2012-05-17,3.0,3.0,2.43,3.0,529
43,2012-05-18,3.0,3.0,3.0,3.0,4
44,2012-05-21,3.0,3.0,3.0,3.0,4
45,2012-05-22,3.0,3.0,2.97,3.0,6054
46,2012-05-23,3.0,3.0,2.51,3.0,8886
47,2012-05-24,3.0,3.04,2.99,3.04,9654
48,2012-05-25,3.04,3.08,2.51,2.51,3957
49,2012-05-28,3.0,3.0,2.99,2.99,12
50,2012-05-29,3.1,3.1,2.82,3.0,8964
51,2012-05-30,3.0,3.0,3.0,3.0,4
52,2012-05-31,3.0,3.0,3.0,3.0,4
53,2012-06-01,2.99,2.99,2.99,2.99,4
54,2012-06-04,2.99,2.99,2.99,2.99,4
55,2012-06-05,2.99,2.99,2.98,2.99,2204
56,2012-06-06,2.99,2.99,2.99,2.99,44
57,2012-06-08,2.99,2.99,2.99,2.99,1
58,2012-06-11,2.99,2.99,2.97,2.99,2324
59,2012-06-12,2.99,2.99,2.98,2.99,6404
60,2012-06-13,2.99,2.99,2.95,2.97,4852
61,2012-06-14,2.99,2.99,2.98,2.98,4
62,2012-06-15,2.98,2.98,2.98,2.98,4
63,2012-06-18,2.98,2.98,2.98,2.98,4
64,2012-06-19,2.98,2.98,2.7,2.98,624
65,2012-06-20,2.98,2.98,2.7,2.98,104
66,2012-06-21,2.98,2.98,2.98,2.98,4
67,2012-06-22,2.98,2.98,2.98,2.98,4
68,2012-06-25,2.99,2.99,2.98,2.98,4
69,2012-06-26,2.97,2.97,2.96,2.96,4
70,2012-06-27,2.96,2.96,2.96,2.96,4
71,2012-06-28,2.97,2.97,2.97,2.97,4
72,2012-06-29,2.97,2.97,2.97,2.97,4
73,2012-07-02,2.98,2.98,2.97,2.97,1104
74,2012-07-03,2.97,2.97,2.8,2.97,16904
75,2012-07-04,2.97,2.97,2.95,2.95,4
76,2012-07-05,2.95,2.95,2.95,2.95,4
77,2012-07-06,2.97,2.97,2.95,2.95,4
78,2012-07-09,2.97,2.97,2.96,2.97,1004
79,2012-07-10,2.97,2.97,2.7,2.97,204
80,2012-07-11,2.97,2.97,2.96,2.97,2258
81,2012-07-12,2.97,2.97,2.97,2.97,2
82,2012-07-13,2.97,2.97,2.97,2.97,4
83,2012-07-16,2.97,2.97,2.97,2.97,4
84,2012-07-17,2.97,2.97,2.97,2.97,4
85,2012-07-18,2.97,2.97,2.97,2.97,4
86,2012-07-19,2.97,2.97,2.97,2.97,4
87,2012-07-20,2.97,2.97,2.97,2.97,4
88,2012-07-23,2.97,2.97,2.97,2.97,4
89,2012-07-24,2.97,2.97,2.9,2.9,4
90,2012-07-25,2.9,2.9,2.89,2.9,1714
91,2012-07-26,2.9,2.9,2.9,2.9,2
92,2012-07-27,2.9,2.9,2.9,2.9,4
93,2012-07-30,2.9,2.9,2.9,2.9,4
94,2012-07-31,2.9,2.9,2.9,2.9,4
95,2012-08-01,2.97,2.97,2.96,2.96,4
96,2012-08-02,2.97,2.97,2.97,2.97,2
97,2012-08-03,2.97,2.97,2.6,2.97,97
98,2012-08-06,2.97,3.11,2.97,3.11,4340
99,2012-08-07,3.11,3.13,2.8,3.1,12109
100,2012-08-08,3.1,3.11,3.0,3.1,7250
101,2012-08-09,3.1,3.1,3.0,3.0,5332
102,2012-08-10,3.04,3.04,3.0,3.0,23467
103,2012-08-13,3.03,3.03,3.03,3.03,4
104,2012-08-14,3.03,3.03,2.96,3.03,5727
105,2012-08-16,3.03,3.04,2.96,3.03,4289
106,2012-08-17,3.03,3.03,2.99,3.03,3816
107,2012-08-20,3.03,3.03,3.03,3.03,4
108,2012-08-21,3.03,3.03,3.03,3.03,404
109,2012-08-22,3.03,3.03,2.99,3.03,313
110,2012-08-23,3.03,3.05,3.03,3.05,801
111,2012-08-24,3.05,3.09,3.05,3.09,1608
112,2012-08-27,3.08,3.1,3.03,3.03,841
113,2012-08-28,3.0,3.08,3.0,3.05,1652
114,2012-08-29,3.08,3.08,3.03,3.03,4
115,2012-08-30,3.08,3.08,3.0,3.0,502
116,2012-08-31,3.08,3.08,3.0,3.0,4
117,2012-09-03,3.08,3.08,3.0,3.0,1104
118,2012-09-04,3.0,3.0,3.0,3.0,4
119,2012-09-05,3.0,3.05,2.93,3.05,3266
120,2012-09-06,3.08,3.08,2.85,3.08,154
121,2012-09-07,3.08,3.08,3.03,3.03,395
122,2012-09-10,3.03,3.03,3.03,3.03,4
123,2012-09-11,3.03,3.08,3.03,3.08,268
124,2012-09-12,3.08,3.08,3.08,3.08,4
125,2012-09-13,3.08,3.08,2.88,3.08,1358
126,2012-09-14,3.08,3.08,3.06,3.06,9
127,2012-09-17,3.06,3.06,3.06,3.06,4
128,2012-09-18,3.06,3.06,2.89,3.06,1404
129,2012-09-19,3.06,3.06,2.89,3.06,1345
130,2012-09-20,3.06,3.06,3.06,3.06,904
131,2012-09-21,3.06,3.06,2.87,3.06,104
132,2012-09-24,3.06,3.06,3.06,3.06,1
133,2012-09-25,3.06,3.06,3.06,3.06,1
134,2012-09-26,3.0,3.0,2.87,3.0,792
135,2012-09-27,3.0,3.0,3.0,3.0,1
136,2012-09-28,3.0,3.0,2.85,3.0,1220
137,2012-10-01,3.0,3.0,3.0,3.0,4
138,2012-10-02,3.0,3.0,3.0,3.0,4
139,2012-10-03,3.0,3.0,3.0,3.0,4
140,2012-10-04,3.0,3.0,3.0,3.0,1069
141,2012-10-05,3.0,3.06,3.0,3.06,3633
142,2012-10-08,3.06,3.06,3.06,3.06,1004
143,2012-10-09,3.06,3.06,3.05,3.06,375
144,2012-10-10,3.05,3.06,3.05,3.05,196
145,2012-10-11,3.06,3.06,3.05,3.06,551
146,2012-10-12,3.06,3.15,3.06,3.15,2415
147,2012-10-15,3.15,3.3,3.15,3.3,701
148,2012-10-16,3.3,3.3,3.18,3.3,102
149,2012-10-17,3.18,3.37,3.11,3.37,2593
150,2012-10-18,3.38,3.38,3.23,3.38,2518
151,2012-10-19,3.38,3.65,3.37,3.65,31475
152,2012-10-22,3.8,3.8,3.4,3.69,4875
153,2012-10-23,3.68,3.78,3.63,3.75,22118
154,2012-10-24,3.76,3.76,3.71,3.71,140
155,2012-10-25,3.71,3.71,3.4,3.59,29688
156,2012-10-26,3.74,3.74,3.66,3.66,1051
157,2012-10-29,3.66,3.66,3.61,3.62,2175
158,2012-10-30,3.68,3.68,3.5,3.65,504
159,2012-10-31,3.7,3.79,3.5,3.79,16601
160,2012-11-02,3.79,3.79,3.6,3.79,502
161,2012-11-05,3.79,3.95,3.61,3.95,20977
162,2012-11-06,3.99,3.99,3.88,3.88,102
163,2012-11-07,3.88,3.95,3.88,3.95,921
164,2012-11-08,3.95,3.95,3.71,3.9,3357
165,2012-11-09,3.9,3.9,3.71,3.88,6672
166,2012-11-12,3.88,4.28,3.71,4.28,19466
167,2012-11-13,4.05,4.27,4.0,4.1,16633
168,2012-11-14,4.11,4.2,3.95,4.2,6518
169,2012-11-15,4.19,4.19,3.95,3.95,356
170,2012-11-16,4.15,4.15,3.96,4.09,5251
171,2012-11-19,4.2,4.2,3.97,4.0,12336
172,2012-11-20,4.15,4.15,3.95,4.12,4851
173,2012-11-21,4.1,4.1,3.93,4.04,669
174,2012-11-22,4.11,4.11,3.91,4.04,2206
175,2012-11-23,4.09,4.09,3.9,3.9,1001
176,2012-11-26,3.85,4.15,3.85,4.15,6717
177,2012-11-27,4.13,4.13,4.12,4.12,2
178,2012-11-28,4.05,4.05,3.86,4.05,20780
179,2012-11-29,4.11,4.11,4.0,4.09,2605
180,2012-11-30,4.1,4.1,4.08,4.08,702
181,2012-12-03,4.09,4.09,4.09,4.09,2
182,2012-12-04,4.09,4.09,4.0,4.08,701
183,2012-12-05,4.09,4.09,3.81,4.02,4001
184,2012-12-06,4.05,4.05,4.01,4.01,712
185,2012-12-07,3.9,4.02,3.9,4.01,4415
186,2012-12-10,4.01,4.01,3.82,3.95,11405
187,2012-12-11,3.99,4.0,3.8,3.81,13211
188,2012-12-12,3.97,3.98,3.9,3.9,9693
189,2012-12-13,3.9,3.9,3.85,3.85,2520
190,2012-12-14,3.85,3.88,3.8,3.85,8038
191,2012-12-17,3.85,3.85,3.65,3.65,3379
192,2012-12-18,3.85,3.85,3.7,3.83,502
193,2012-12-19,3.83,3.83,3.52,3.81,3871
194,2012-12-20,3.8,3.8,3.51,3.67,2835
195,2012-12-21,3.68,3.68,3.5,3.65,7913
196,2012-12-27,3.69,3.74,3.69,3.74,3800
197,2012-12-28,3.74,3.9,3.74,3.88,4487
198,2013-01-02,3.71,3.71,3.6,3.68,3872
199,2013-01-03,3.63,3.63,3.55,3.55,1818
200,2013-01-04,3.68,3.68,3.55,3.55,402
