,Date,Open,High,Low,Close,Volume
0,2012-10-02,1.05,1.5,1.05,1.39,86855
1,2012-10-03,1.39,1.59,1.35,1.49,2629
2,2012-10-04,1.35,1.35,1.2,1.2,5166
3,2012-10-05,1.19,1.19,1.01,1.01,1720
4,2012-10-08,1.0,1.19,1.0,1.0,705
5,2012-10-09,0.8,1.17,0.8,1.17,1945
6,2012-10-10,1.05,1.17,0.97,1.15,2900
7,2012-10-11,0.93,1.17,0.92,1.1,10616
8,2012-10-12,0.99,1.19,0.99,1.13,1847
9,2012-10-15,1.19,1.2,1.19,1.19,2000
10,2012-10-16,1.28,1.28,1.28,1.28,50
11,2012-10-17,1.03,1.82,1.03,1.57,14066
12,2012-10-18,1.57,1.57,1.56,1.56,1399
13,2012-10-19,1.86,2.0,1.86,2.0,1160
14,2012-10-22,2.4,2.4,1.93,1.93,3266
15,2012-10-23,2.31,2.31,2.31,2.31,1
16,2012-10-24,1.53,1.86,1.53,1.86,480
17,2012-10-25,1.84,1.84,1.69,1.69,49
18,2012-10-26,1.53,1.53,1.53,1.53,115
19,2012-10-29,1.37,1.37,1.3,1.3,4192
20,2012-10-30,1.39,1.39,1.16,1.16,111
21,2012-10-31,1.35,1.35,1.35,1.35,100
22,2012-11-05,1.22,1.22,1.22,1.22,110
23,2012-11-06,1.12,1.22,1.12,1.22,651
24,2012-11-07,1.22,1.39,1.22,1.39,25
25,2012-11-13,1.11,1.11,1.11,1.11,651
26,2012-11-14,1.08,1.08,1.08,1.08,300
27,2012-11-20,1.12,1.12,1.12,1.12,150
28,2012-11-22,1.03,1.03,0.99,0.99,1300
29,2012-11-23,1.01,1.01,1.01,1.01,500
30,2012-11-26,1.03,1.03,1.03,1.03,967
31,2012-11-30,1.14,1.47,1.14,1.47,2460
32,2012-12-03,1.47,1.47,1.47,1.47,40
33,2012-12-05,1.34,1.34,1.34,1.34,1200
34,2012-12-12,1.25,1.25,1.25,1.25,1200
35,2012-12-13,1.13,1.25,1.13,1.25,2351
36,2012-12-19,1.18,1.18,1.18,1.18,1500
37,2012-12-21,1.04,1.04,1.03,1.03,2000
38,2013-01-02,1.19,1.19,1.19,1.19,1400
39,2013-01-04,1.09,1.09,1.09,1.09,101
40,2013-01-07,1.06,1.06,1.06,1.06,1000
41,2013-01-08,1.01,1.01,1.01,1.01,1000
42,2013-01-17,1.11,1.11,1.11,1.11,270
43,2013-01-25,0.91,0.91,0.9,0.9,3416
44,2013-01-29,0.9,0.99,0.9,0.99,1790
45,2013-01-30,0.99,0.99,0.99,0.99,153
46,2013-01-31,0.84,0.84,0.8,0.8,2491
47,2013-02-04,0.85,0.85,0.85,0.85,1100
48,2013-02-05,0.89,0.98,0.89,0.98,713
49,2013-02-06,0.99,0.99,0.99,0.99,605
