,Date,Open,High,Low,Close,Volume
0,2010-06-22,49.716,58.288,47.145,49.288,8894.0
1,2010-06-23,49.288,50.145,43.716,48.43,1000.0
2,2010-06-24,48.86,48.86,48.43,48.43,91.0
3,2010-06-25,49.288,49.716,47.145,49.288,116.0
4,2010-06-28,47.145,47.145,43.716,47.145,308.0
5,2010-06-29,37.716,47.145,37.716,43.288,945.0
6,2010-06-30,42.859,42.859,41.145,42.859,153.0
7,2010-07-01,45.43,45.43,44.573,44.573,
8,2010-07-02,44.145,45.86,44.145,44.573,286.0
9,2010-07-05,45.002,45.002,39.002,44.145,50.0
10,2010-07-06,45.002,45.002,39.859,44.145,473.0
11,2010-07-07,41.573,45.002,41.573,45.002,22.0
12,2010-07-08,44.573,45.002,44.573,45.002,219.0
13,2010-07-09,46.288,46.716,43.716,46.288,1055.0
14,2010-07-12,45.86,45.86,42.859,45.86,216.0
15,2010-07-13,43.716,44.573,43.716,44.573,
16,2010-07-14,48.002,48.002,48.002,48.002,21.0
17,2010-07-16,47.573,47.573,47.573,47.573,468.0
18,2010-07-20,47.573,48.002,47.573,48.002,59.0
19,2010-07-21,48.002,48.002,38.145,38.573,4098.0
20,2010-07-22,38.573,40.716,38.573,40.716,672.0
21,2010-07-23,38.573,39.43,38.573,39.002,592.0
22,2010-07-26,39.002,39.002,38.573,38.573,6.0
23,2010-07-27,38.145,38.145,33.002,36.43,990.0
24,2010-07-28,34.287,35.573,33.002,33.002,36.0
25,2010-07-29,34.287,36.43,31.716,34.287,842.0
26,2010-07-30,35.144,35.144,32.144,34.287,170.0
27,2010-08-02,31.716,33.859,30.859,33.43,165.0
28,2010-08-03,33.859,33.859,30.859,33.43,139.0
29,2010-08-04,33.859,34.287,32.144,32.572,88.0
30,2010-08-05,33.859,33.859,30.43,33.43,112.0
31,2010-08-06,30.859,38.573,30.859,38.573,1496.0
32,2010-08-09,38.145,38.145,34.716,37.287,542.0
33,2010-08-10,34.716,35.144,34.716,35.144,66.0
34,2010-08-11,34.287,34.716,34.287,34.716,23.0
35,2010-08-12,34.287,34.287,34.287,34.287,117.0
36,2010-08-13,33.859,34.287,33.43,34.287,68.0
37,2010-08-16,31.716,35.144,31.716,34.287,30.0
38,2010-08-17,35.144,35.144,34.716,34.716,53.0
39,2010-08-18,35.144,35.144,31.716,31.716,42.0
40,2010-08-19,34.716,34.716,34.287,34.287,2.0
41,2010-08-20,34.716,34.716,34.716,34.716,
42,2010-08-23,30.859,34.716,30.859,34.716,16.0
43,2010-08-24,34.287,34.287,34.287,34.287,
44,2010-08-26,34.287,34.287,30.43,33.859,183.0
45,2010-08-27,34.287,34.287,34.287,34.287,
46,2010-08-30,33.43,33.859,33.43,33.859,468.0
47,2010-08-31,33.43,33.43,33.43,33.43,
48,2010-09-01,33.859,33.859,33.859,33.859,
49,2010-09-02,33.43,37.287,33.43,37.287,2104.0
50,2010-09-03,34.287,36.859,34.287,36.859,138.0
51,2010-09-06,38.145,38.145,34.716,38.145,269.0
52,2010-09-07,37.287,37.716,37.287,37.716,11.0
53,2010-09-08,35.144,37.716,34.287,36.859,3725.0
54,2010-09-09,32.572,36.859,31.287,36.859,479.0
55,2010-09-10,33.43,36.002,32.144,35.573,430.0
56,2010-09-13,36.002,36.002,36.002,36.002,
57,2010-09-14,36.002,36.43,32.144,36.002,1191.0
58,2010-09-15,36.43,36.43,36.43,36.43,
59,2010-09-17,32.572,36.002,32.144,36.002,739.0
60,2010-09-20,36.002,36.002,32.572,36.002,907.0
61,2010-09-21,36.002,36.002,34.716,36.002,47.0
62,2010-09-22,35.573,35.573,33.002,33.002,523.0
63,2010-09-23,36.002,36.002,32.572,32.572,
64,2010-09-24,34.287,35.573,34.287,34.287,3.0
65,2010-09-27,34.716,36.43,34.287,36.43,66.0
66,2010-09-28,36.43,37.716,34.716,34.716,204.0
67,2010-09-29,37.716,38.145,34.716,34.716,134.0
68,2010-09-30,37.716,42.002,37.716,41.573,984.0
69,2010-10-01,36.859,49.716,36.859,47.573,1840.0
70,2010-10-04,47.573,51.431,42.859,48.86,2042.0
71,2010-10-05,51.431,51.431,48.43,50.145,1435.0
72,2010-10-06,49.716,51.431,48.43,51.431,454.0
73,2010-10-07,50.145,51.431,47.145,47.145,130.0
74,2010-10-08,50.145,51.002,43.288,44.145,1288.0
75,2010-10-11,44.573,45.43,43.288,45.002,848.0
