,Date,Open,High,Low,Close,Volume
0,2006-08-04,1.6777,1.7654,1.6119,1.738,9755952
1,2006-08-07,1.7325,1.738,1.716,1.738,1341347
2,2006-08-08,1.738,1.7435,1.7325,1.7435,1238693
3,2006-08-09,1.738,1.7545,1.727,1.7435,1473083
4,2006-08-10,1.7435,1.749,1.7325,1.738,473462
5,2006-08-11,1.738,1.7435,1.7325,1.738,307184
6,2006-08-14,1.727,1.738,1.727,1.738,608710
7,2006-08-16,1.738,1.738,1.7216,1.727,404376
8,2006-08-17,1.727,1.7325,1.727,1.727,464484
9,2006-08-18,1.7216,1.727,1.6722,1.727,801335
10,2006-08-21,1.727,1.727,1.716,1.727,722099
11,2006-08-22,1.7106,1.727,1.7106,1.716,272641
12,2006-08-23,1.7106,1.727,1.7051,1.7216,760156
13,2006-08-24,1.716,1.7545,1.716,1.7545,2558183
14,2006-08-25,1.7435,1.7873,1.7435,1.7709,2149514
15,2006-08-28,1.7818,1.8148,1.7818,1.8148,1546464
16,2006-08-29,1.7982,1.9409,1.7982,1.9409,1456299
17,2006-08-30,1.897,1.897,1.8421,1.8695,147933
18,2006-08-31,1.897,1.897,1.8477,1.8641,377638
19,2006-09-01,1.886,1.919,1.8641,1.9079,1204539
20,2006-09-04,1.897,1.9299,1.8915,1.9299,133295
21,2006-09-05,1.9299,1.9736,1.897,1.9736,725612
22,2006-09-06,1.9736,1.9736,1.9464,1.9573,68111
23,2006-09-07,1.9573,1.9573,1.8806,1.9299,92702
24,2006-09-08,1.9299,1.9409,1.9299,1.9299,151640
25,2006-09-11,1.9299,1.9353,1.9299,1.9353,34348
26,2006-09-12,1.9299,1.9464,1.919,1.9244,219167
27,2006-09-13,1.9079,1.9244,1.9079,1.919,207848
28,2006-09-14,1.919,1.919,1.9079,1.919,75332
29,2006-09-15,1.919,1.919,1.919,1.919,78065
30,2006-09-18,1.919,1.919,1.9079,1.9079,6637
31,2006-09-19,1.919,1.919,1.8806,1.9025,219752
32,2006-09-20,1.9025,1.9025,1.8477,1.8641,196918
33,2006-09-21,1.8641,1.8641,1.7929,1.8641,268346
34,2006-09-22,1.8641,1.8641,1.7982,1.8587,36105
35,2006-09-25,1.8421,1.8531,1.8421,1.8531,34543
36,2006-09-26,1.8531,1.8531,1.8421,1.8421,60890
37,2006-09-27,1.8367,1.8531,1.8201,1.8477,1556026
38,2006-09-28,1.8421,1.8477,1.8421,1.8477,7415
39,2006-09-29,1.8695,1.8915,1.8477,1.8915,97385
40,2006-10-02,1.897,1.919,1.8421,1.8421,305232
