,Date,Open,High,Low,Close,Volume
0,2011-01-24,1.7719,1.7719,1.7719,1.7719,74348
1,2011-01-25,2.0178,2.4213,1.6415,1.7623,190040
2,2011-01-26,1.6838,1.6838,1.4979,1.6345,57017
3,2011-01-27,1.5023,1.8662,1.4988,1.7975,44125
4,2011-01-28,1.7596,1.7623,1.6001,1.7578,6787
5,2011-01-31,1.75,1.81,1.65,1.81,7559
6,2011-02-01,1.8142,1.8371,1.6741,1.7887,76254
7,2011-02-02,1.7314,1.7623,1.7006,1.7623,1248
8,2011-02-03,1.7843,1.7843,1.6741,1.7508,19748
9,2011-02-04,1.7508,2.0971,1.683,2.0627,66552
10,2011-02-07,2.0619,2.2469,1.7623,2.053,21064
11,2011-02-08,2.0522,2.1403,2.0178,2.1394,4255
12,2011-02-09,2.1385,2.1385,1.7649,2.0266,6185
13,2011-02-10,2.009,2.0619,1.8415,2.0442,20507
14,2011-02-11,1.9385,2.0266,1.8063,1.9729,12042
15,2011-02-14,1.8944,2.0169,1.7667,2.0169,16785
16,2011-02-15,2.009,2.009,1.8239,1.9385,5221
17,2011-02-16,1.9385,1.9385,1.7754,1.8856,4597
18,2011-02-17,1.8856,1.9816,1.8504,1.9816,11202
19,2011-02-18,1.9816,2.0266,1.9816,2.009,612
20,2011-02-21,2.009,2.009,1.9121,2.0002,5255
21,2011-02-22,1.9958,1.9958,1.8768,1.9385,7830
22,2011-02-23,1.9385,1.9605,1.8063,1.9605,33684
23,2011-02-24,1.9605,1.9605,1.9121,1.9297,1510
24,2011-02-25,1.9288,1.9288,1.8548,1.9288,4017
25,2011-02-28,1.9261,1.9393,1.8535,1.9327,2373
26,2011-03-01,1.9327,1.9723,1.8931,1.9723,7433
27,2011-03-02,1.9723,1.9723,1.9195,1.9657,5720
28,2011-03-03,1.9195,1.9657,1.8931,1.9591,32663
29,2011-03-04,1.9596,1.9843,1.9121,1.9826,10567
30,2011-03-07,1.9826,2.0046,1.9165,2.0046,20213
31,2011-03-08,2.0046,2.0442,1.9297,2.0354,230489
32,2011-03-09,2.0266,2.0442,1.9438,2.0442,15265
33,2011-03-10,2.0448,2.0646,2.0448,2.0514,227
34,2011-03-11,2.025,2.0712,2.025,2.0712,8682
35,2011-03-14,2.0619,2.0619,1.9438,2.0354,5493
36,2011-03-15,1.9438,2.0266,1.9438,2.0266,8829
37,2011-03-16,2.0266,2.0266,1.9129,1.9208,11622
38,2011-03-17,1.9129,2.025,1.9129,2.0185,5753
39,2011-03-18,2.025,2.058,2.025,2.058,9897
40,2011-03-21,2.058,2.058,2.058,2.058,227
41,2011-03-22,2.058,2.058,2.0514,2.058,443
42,2011-03-23,2.0442,2.0486,1.9385,2.0178,9499
43,2011-03-24,2.0119,2.025,1.9129,1.9987,16309
44,2011-03-25,2.0119,2.0185,1.9855,2.0185,5289
45,2011-03-28,1.9921,2.2097,1.9921,2.2031,21620
46,2011-03-29,2.2163,2.6451,2.2163,2.6451,19510
47,2011-03-30,2.8166,3.806,2.8166,3.6939,42344
48,2011-03-31,3.69,3.69,2.95,3.57,18726
49,2011-04-01,4.2744,5.1253,4.1556,5.1253,50768
50,2011-04-04,5.4749,6.9261,5.4749,6.9261,23451
51,2011-04-05,8.2453,9.888,7.5857,8.6477,99414
52,2011-04-06,9.3469,9.3469,7.9221,8.1134,46097
53,2011-04-07,8.1134,9.0369,7.9155,8.4036,25267
54,2011-04-08,8.3772,8.5421,7.7572,8.0936,6825
55,2011-04-11,7.7572,7.7572,6.5303,7.2559,19413
56,2011-04-12,7.058,7.2427,6.5962,6.8535,3487
57,2011-04-13,6.8535,6.9063,6.405,6.9063,1825
58,2011-04-14,6.7282,7.1899,6.5962,7.1899,1449
59,2011-04-15,6.9261,7.5857,6.9261,7.5197,2166
60,2011-04-18,7.2559,7.2559,6.8601,6.9195,4409
61,2011-04-19,6.8601,7.2493,6.7282,7.2493,3473
62,2011-04-20,7.2427,7.2493,6.9261,7.2361,2056
63,2011-04-21,7.2163,7.2361,6.5962,7.1899,3458
64,2011-04-26,7.1899,7.1899,6.5962,6.9129,2645
65,2011-04-27,6.4973,6.8601,6.3324,6.8601,761
66,2011-04-28,6.5962,6.992,6.5962,6.9129,518
67,2011-04-29,6.92,6.92,6.27,6.91,1854
68,2011-05-02,6.8733,6.8733,6.5962,6.8667,159
69,2011-05-04,6.2664,6.8271,5.1781,5.1781,24215
70,2011-05-05,5.1781,5.2638,4.4393,5.2638,1160
71,2011-05-06,5.2374,5.2374,4.6504,5.2374,659
72,2011-05-09,4.6108,4.6108,3.7005,3.8588,15901
73,2011-05-10,3.8522,3.8522,3.3641,3.496,3071
74,2011-05-11,3.3707,3.595,3.2322,3.595,4885
75,2011-05-12,3.5884,3.8192,3.2519,3.8192,2827
76,2011-05-13,3.806,4.1556,3.806,4.1556,1229
77,2011-05-16,4.1556,4.2876,4.0897,4.1227,2703
78,2011-05-17,3.9577,4.2744,3.8588,3.9577,1327
79,2011-05-18,3.9577,3.9577,3.6279,3.9512,914
80,2011-05-19,3.9512,3.9512,3.9512,3.9512,62
81,2011-05-20,3.9577,4.2084,3.8852,4.2084,740
82,2011-05-23,4.1952,4.1952,4.1952,4.1952,88
83,2011-05-24,4.2084,4.2216,3.6609,4.2216,1669
84,2011-05-25,4.2216,4.2216,4.2216,4.2216,26
85,2011-05-26,4.1556,4.1556,3.6279,3.9512,4533
86,2011-05-27,3.9182,3.9182,3.6939,3.9182,276
87,2011-05-30,3.8588,3.8588,3.5422,3.8258,1655
88,2011-05-31,3.7599,3.8918,3.6939,3.8918,559
89,2011-06-01,3.9182,3.9182,3.9182,3.9182,30
90,2011-06-02,3.7928,3.8918,3.7599,3.8918,1871
91,2011-06-03,3.8918,4.0237,3.8258,4.0237,13771
92,2011-06-06,3.9248,3.9512,3.9248,3.9512,45
93,2011-06-07,3.9577,4.0897,3.8258,4.0897,5891
94,2011-06-08,4.0897,4.2546,3.9577,4.2546,5420
95,2011-06-09,4.2546,4.8812,4.2546,4.7823,12903
96,2011-06-10,4.8153,5.277,4.6833,5.277,8590
97,2011-06-13,5.2836,5.8113,5.2836,5.6728,14022
98,2011-06-14,5.6728,5.6794,5.5408,5.6728,966
99,2011-06-15,5.6728,5.6728,4.6174,5.6068,16159
100,2011-06-16,5.4947,5.4947,4.9472,5.3562,525
101,2011-06-17,5.3364,5.3364,4.6174,5.0659,1977
102,2011-06-20,4.6833,5.0461,4.4195,5.0461,3272
103,2011-06-21,4.6174,5.0395,4.6174,4.9736,6731
104,2011-06-22,4.967,5.0725,4.8153,5.0725,849
105,2011-06-24,5.0197,5.0263,4.8087,4.9472,355
106,2011-06-27,4.9406,4.9472,4.0633,4.9208,11134
107,2011-06-28,4.8812,4.8812,4.4854,4.6833,5041
108,2011-06-29,4.7031,5.1187,4.4854,5.1187,4258
109,2011-06-30,5.12,5.12,4.75,5.11,1736
110,2011-07-01,4.9142,5.1319,4.7691,5.1319,1621
111,2011-07-04,5.1319,5.1319,4.967,5.0791,296
112,2011-07-05,5.0791,5.2044,4.6504,5.1121,1872
113,2011-07-06,5.1319,5.1319,4.3931,4.3931,3090
