,Date,Open,High,Low,Close,Volume
0,2010-04-14,7.5062,7.7338,7.1367,7.1476,220860
1,2010-04-15,7.3415,7.3756,7.1476,7.1476,94676
2,2010-04-16,7.3248,7.3248,7.0518,7.2499,372
3,2010-04-19,7.0518,7.0518,6.6137,7.0459,599
4,2010-04-20,7.2791,7.3073,6.8922,7.2225,250902
5,2010-04-21,6.8922,7.2225,6.8922,7.2225,373
6,2010-04-22,7.1592,7.1652,7.1592,7.1592,1060
7,2010-04-23,6.8809,7.0809,6.8809,6.9146,2392
8,2010-04-26,7.1652,7.3073,6.9487,7.1652,2728
9,2010-04-27,7.0518,7.0518,6.9546,6.9546,880
10,2010-04-28,6.8809,6.8809,6.824,6.8809,899
11,2010-04-29,7.2274,7.3073,6.9378,6.9378,760
12,2010-04-30,6.8293,7.2499,6.824,7.2499,1119
13,2010-05-05,7.0518,7.0518,6.7673,6.7673,235330
14,2010-05-07,6.7165,6.7673,6.7099,6.7099,31471
15,2010-05-10,6.824,6.824,6.824,6.824,368
16,2010-05-11,6.8293,6.8293,6.6249,6.6249,19250
17,2010-05-12,6.8809,6.8809,6.824,6.824,837
18,2010-05-13,6.8581,6.8581,6.8581,6.8581,1783
19,2010-05-14,6.824,6.9951,6.824,6.9951,3212
20,2010-05-17,6.9951,6.9951,6.9951,6.9951,377
21,2010-05-18,6.9951,6.9951,6.9951,6.9951,5518
22,2010-05-20,6.9828,6.9893,6.5403,6.9828,1824
23,2010-05-25,6.329,6.824,6.329,6.7954,574
24,2010-05-26,6.5403,6.7385,6.5403,6.7385,2403
25,2010-05-27,6.7673,6.824,6.7673,6.824,19992
26,2010-05-28,6.824,6.8581,6.653,6.8581,16059
27,2010-05-31,6.7385,6.8354,6.7385,6.8354,1482
28,2010-06-01,6.824,6.824,6.5969,6.6651,12010
29,2010-06-04,6.6249,6.6651,6.6076,6.6651,533
30,2010-06-07,6.6076,6.6076,6.6076,6.6076,329
31,2010-06-08,6.4547,6.6076,6.4547,6.6076,2034
32,2010-06-09,6.5969,6.6076,6.5969,6.6076,121
33,2010-06-10,6.4829,6.494,6.4829,6.494,73
34,2010-06-11,6.6651,6.6651,6.5455,6.5455,4369
35,2010-06-14,6.5455,6.5455,6.5455,6.5455,145
36,2010-06-15,6.4033,6.4033,6.4033,6.4033,174
37,2010-06-16,6.4033,6.5403,6.4033,6.5403,53789
38,2010-06-17,6.4033,6.4547,6.2613,6.2613,40404
