,Date,Open,High,Low,Close,Volume
0,2013-07-11,0.8679,1.0125,0.5786,0.7714,34087
1,2013-07-12,0.7714,0.8196,0.6171,0.6171,9204
2,2013-07-15,0.6075,0.6268,0.5979,0.6268,6121
3,2013-07-17,0.6268,0.6268,0.5979,0.5979,17
4,2013-07-18,0.5979,0.675,0.5496,0.675,4993
5,2013-07-19,0.6654,0.7618,0.6654,0.7618,2385
6,2013-07-23,0.7618,0.7618,0.675,0.675,2384
7,2013-07-30,0.6846,0.6846,0.6654,0.6654,415
8,2013-08-06,0.675,0.675,0.6364,0.6364,2748
9,2013-08-07,0.5979,0.5979,0.5786,0.5786,1400
10,2013-08-12,0.6075,0.6075,0.6075,0.6075,2489
11,2013-08-14,0.6075,0.6075,0.5882,0.5882,502
12,2013-08-16,0.6171,0.6557,0.6171,0.6557,539
13,2013-08-27,0.6557,0.6557,0.6557,0.6557,207
14,2013-08-29,0.6557,0.6557,0.6557,0.6557,104
15,2013-10-21,0.7136,0.7329,0.7039,0.7039,209
16,2013-10-22,0.6943,0.6943,0.6943,0.6943,52
17,2013-10-23,0.6943,0.6943,0.6943,0.6943,52
18,2013-11-26,0.7425,0.7425,0.7136,0.7136,2018
19,2013-12-06,0.7136,0.7136,0.6654,0.675,4770
20,2013-12-09,0.6846,0.7232,0.6846,0.7232,2593
21,2013-12-10,0.7136,0.7232,0.7136,0.7232,2593
22,2013-12-20,0.7232,0.7232,0.6268,0.6268,3111
23,2013-12-30,0.6268,0.6268,0.6268,0.6268,2479
24,2014-02-03,0.6268,0.6268,0.6268,0.6268,52
25,2014-03-20,0.6461,0.6461,0.6461,0.6461,104
26,2014-03-21,0.6461,0.6461,0.6461,0.6461,52
27,2014-03-24,0.6461,0.6461,0.6461,0.6461,31
28,2014-03-25,0.6461,0.6461,0.6461,0.6461,83
29,2014-03-26,0.6461,0.6461,0.6461,0.6461,104
30,2014-03-27,0.6461,0.6461,0.6461,0.6461,104
31,2014-03-28,0.6461,0.6461,0.6461,0.6461,104
32,2014-03-31,0.6461,0.6461,0.6461,0.6461,31
33,2014-04-03,0.6557,0.6557,0.6557,0.6557,81
34,2014-05-13,0.6654,0.6654,0.6654,0.6654,52
35,2014-05-14,0.6654,0.6654,0.6654,0.6654,31
36,2014-05-15,0.6654,0.6654,0.6654,0.6654,52
37,2014-05-16,0.6654,0.6654,0.6654,0.6654,31
38,2014-05-19,0.6654,0.6654,0.6654,0.6654,31
39,2014-05-20,0.6654,0.6654,0.6654,0.6654,83
40,2014-05-21,0.6654,0.6654,0.6654,0.6654,52
41,2014-05-22,0.6654,0.6654,0.6654,0.6654,52
42,2014-05-23,0.6654,0.6654,0.6654,0.6654,570
43,2014-05-26,0.6654,0.6654,0.6654,0.6654,560
44,2014-05-27,0.6654,0.6654,0.6654,0.6654,674
45,2014-05-28,0.6654,0.6654,0.6654,0.6654,1037
46,2014-05-29,0.6654,0.6654,0.6654,0.6654,104
47,2014-05-30,0.6654,0.6654,0.6654,0.6654,104
48,2014-06-09,0.6654,0.6654,0.6654,0.6654,21
49,2014-06-10,0.675,0.6943,0.675,0.6943,214
50,2014-06-11,0.6943,0.7232,0.6943,0.7232,2323
51,2014-07-11,0.7329,0.7329,0.7329,0.7329,104
52,2014-07-14,0.675,0.675,0.675,0.675,1452
53,2014-07-15,0.675,0.675,0.675,0.675,52
54,2014-07-16,0.675,0.675,0.675,0.675,31
55,2014-07-17,0.675,0.675,0.675,0.675,52
56,2014-07-18,0.675,0.675,0.675,0.675,41
57,2014-07-22,0.6461,0.6461,0.6268,0.6268,156
58,2014-07-24,0.6268,0.6268,0.5882,0.5882,363
59,2014-07-28,0.5786,0.5786,0.5786,0.5786,207
60,2014-07-31,0.7232,0.7329,0.7232,0.7329,3941
61,2014-08-01,0.7039,0.7039,0.6654,0.6654,2644
62,2014-08-04,0.6557,0.6557,0.6268,0.6268,2904
63,2014-08-11,0.6171,0.6171,0.5786,0.5786,3111
64,2014-08-27,0.5786,0.5786,0.5786,0.5786,2852
65,2014-08-29,0.54,0.54,0.44357,0.44357,2852
66,2014-09-01,0.43393,0.5207,0.43393,0.5207,3567
67,2014-09-02,0.5786,0.6461,0.5786,0.6461,472
68,2014-09-03,0.5979,0.6268,0.5979,0.6268,2916
69,2014-09-04,0.6268,0.7039,0.6268,0.7039,2330
70,2014-09-05,0.7039,0.8389,0.7039,0.8196,1084
71,2014-09-08,0.8196,0.8196,0.7618,0.7618,3671
72,2014-09-09,0.7329,0.7329,0.675,0.675,2293
73,2014-09-12,0.675,0.675,0.675,0.675,9
74,2014-09-18,0.6943,0.6943,0.6943,0.6943,52
75,2014-09-19,0.6943,0.6943,0.6364,0.6364,2479
76,2014-09-22,0.6461,0.675,0.6461,0.675,3370
77,2014-09-23,0.6943,0.6943,0.6943,0.6943,52
