,Date,Open,High,Low,Close,Volume
0,1998-11-24,21.839,21.839,21.839,21.839,12106.0
1,1998-11-25,20.89,20.89,20.89,20.89,4544.0
2,1998-11-26,19.18,19.18,19.18,19.18,6540.0
3,1998-11-27,17.281,17.281,17.281,17.281,3686.0
4,1998-11-30,15.572,15.572,15.572,15.572,7124.0
5,1998-12-01,14.623,14.623,14.623,14.623,7219.0
6,1998-12-02,16.047,16.047,16.047,16.047,
7,1998-12-03,17.472,17.472,17.472,17.472,13960.0
8,1998-12-04,15.762,15.762,15.762,15.762,3749.0
9,1998-12-07,16.712,16.712,16.712,16.712,2675.0
10,1998-12-08,16.142,16.142,16.142,16.142,674.0
11,1998-12-09,16.142,16.142,16.142,16.142,2349.0
12,1998-12-10,16.142,16.142,16.142,16.142,1743.0
13,1998-12-11,15.762,15.762,15.762,15.762,537.0
14,1998-12-14,14.907,14.907,14.907,14.907,705.0
15,1998-12-15,14.243,14.243,14.243,14.243,4191.0
16,1998-12-16,14.623,14.623,14.623,14.623,1516.0
17,1998-12-17,14.813,14.813,14.813,14.813,2054.0
18,1998-12-18,15.192,15.192,15.192,15.192,2112.0
19,1998-12-21,15.857,15.857,15.857,15.857,1558.0
20,1998-12-22,16.332,16.332,16.332,16.332,3413.0
21,1998-12-23,17.472,17.472,17.472,17.472,2912.0
22,1998-12-28,17.091,17.091,17.091,17.091,2306.0
23,1998-12-29,17.472,17.472,17.472,17.472,2285.0
24,1998-12-30,16.332,16.332,16.332,16.332,380.0
25,1998-12-31,16.332,16.332,16.332,16.332,3697.0
26,1999-01-04,16.522,16.522,16.522,16.522,474.0
27,1999-01-05,16.902,16.902,16.902,16.902,2554.0
28,1999-01-06,16.902,16.902,16.902,16.902,2270.0
29,1999-01-07,16.522,16.522,16.522,16.522,1601.0
30,1999-01-08,16.237,16.237,16.237,16.237,3859.0
31,1999-01-11,16.142,16.142,16.142,16.142,4518.0
32,1999-01-12,15.952,15.952,15.952,15.952,948.0
33,1999-01-13,15.572,15.572,15.572,15.572,1843.0
34,1999-01-14,14.053,14.053,14.053,14.053,2701.0
35,1999-01-15,14.243,14.243,14.243,14.243,6498.0
36,1999-01-18,14.813,14.813,14.813,14.813,1475.0
37,1999-01-19,14.813,14.813,14.813,14.813,1959.0
38,1999-01-20,14.433,14.433,14.433,14.433,775.0
39,1999-01-21,14.813,14.813,14.813,14.813,2212.0
40,1999-01-22,14.243,14.243,14.243,14.243,1264.0
41,1999-01-25,14.053,14.053,14.053,14.053,1259.0
42,1999-01-26,14.433,14.433,14.433,14.433,637.0
43,1999-01-27,15.003,15.003,15.003,15.003,5566.0
44,1999-01-28,15.003,15.003,15.003,15.003,2349.0
45,1999-01-29,16.332,16.332,16.332,16.332,11632.0
46,1999-02-01,14.718,14.718,14.718,14.718,4166.0
47,1999-02-02,14.623,14.623,14.623,14.623,6303.0
48,1999-02-03,14.433,14.433,14.433,14.433,3707.0
49,1999-02-04,14.623,14.623,14.623,14.623,1580.0
50,1999-02-05,14.433,14.433,14.433,14.433,1058.0
51,1999-02-08,14.907,14.907,14.907,14.907,2265.0
52,1999-02-09,14.813,14.813,14.813,14.813,685.0
53,1999-02-10,14.623,14.623,14.623,14.623,710.0
54,1999-02-11,14.623,14.623,14.623,14.623,300.0
55,1999-02-12,14.813,14.813,14.813,14.813,558.0
56,1999-02-15,14.813,14.813,14.813,14.813,3517.0
57,1999-02-16,15.003,15.003,15.003,15.003,7604.0
58,1999-02-17,15.003,15.003,15.003,15.003,5429.0
59,1999-02-18,15.003,15.003,15.003,15.003,4571.0
60,1999-02-19,15.192,15.192,15.192,15.192,9057.0
61,1999-02-22,16.427,16.427,16.427,16.427,5860.0
62,1999-02-23,15.952,15.952,15.952,15.952,3454.0
63,1999-02-24,15.572,15.572,15.572,15.572,4781.0
64,1999-02-25,15.572,15.572,15.572,15.572,3202.0
65,1999-02-26,16.332,16.332,16.332,16.332,5045.0
66,1999-03-01,16.902,16.902,16.902,16.902,8294.0
67,1999-03-02,17.091,17.091,17.091,17.091,7435.0
68,1999-03-03,17.091,17.091,17.091,17.091,800.0
69,1999-03-04,16.332,16.332,16.332,16.332,53.0
70,1999-03-05,16.522,16.522,16.522,16.522,380.0
71,1999-03-08,16.902,16.902,16.902,16.902,1032.0
72,1999-03-09,16.997,16.997,16.997,16.997,959.0
73,1999-03-10,16.522,16.522,16.522,16.522,658.0
74,1999-03-11,16.332,16.332,16.332,16.332,3949.0
75,1999-03-12,16.332,16.332,16.332,16.332,5530.0
76,1999-03-15,16.332,16.332,16.332,16.332,2369.0
77,1999-03-16,16.332,16.332,16.332,16.332,632.0
78,1999-03-17,16.332,16.332,16.332,16.332,1737.0
79,1999-03-18,16.617,16.617,16.617,16.617,748.0
80,1999-03-19,16.332,16.332,16.332,16.332,700.0
81,1999-03-22,16.522,16.522,16.522,16.522,474.0
82,1999-03-23,16.522,16.522,16.522,16.522,501.0
83,1999-03-24,15.952,15.952,15.952,15.952,806.0
84,1999-03-25,16.047,16.047,16.047,16.047,2107.0
85,1999-03-26,16.332,16.332,16.332,16.332,1158.0
86,1999-03-29,16.332,16.332,16.332,16.332,1737.0
87,1999-03-30,16.332,16.332,16.332,16.332,2522.0
88,1999-03-31,16.332,16.332,16.332,16.332,1875.0
89,1999-04-01,16.332,16.332,16.332,16.332,526.0
90,1999-04-06,16.712,16.712,16.712,16.712,1053.0
91,1999-04-07,16.902,16.902,16.902,16.902,2427.0
92,1999-04-08,17.281,17.281,17.281,17.281,2865.0
93,1999-04-09,17.472,17.472,17.472,17.472,1959.0
94,1999-04-12,17.757,17.757,17.757,17.757,1053.0
95,1999-04-13,17.661,17.661,17.661,17.661,1106.0
96,1999-04-14,17.091,17.091,17.091,17.091,526.0
97,1999-04-15,16.712,16.712,16.712,16.712,1896.0
98,1999-04-16,16.902,16.902,16.902,16.902,353.0
99,1999-04-19,16.617,16.617,16.617,16.617,1654.0
100,1999-04-20,16.902,16.902,16.902,16.902,685.0
101,1999-04-21,16.617,16.617,16.617,16.617,2159.0
102,1999-04-22,16.617,16.617,16.617,16.617,2612.0
103,1999-04-23,16.522,16.522,16.522,16.522,1685.0
104,1999-04-26,16.997,16.997,16.997,16.997,1233.0
105,1999-04-27,17.091,17.091,17.091,17.091,1769.0
106,1999-04-28,17.091,17.091,17.091,17.091,901.0
107,1999-04-29,16.902,16.902,16.902,16.902,526.0
108,1999-04-30,17.091,17.091,17.091,17.091,484.0
109,1999-05-04,17.187,17.187,17.187,17.187,237.0
110,1999-05-05,16.997,16.997,16.997,16.997,126.0
111,1999-05-06,16.617,16.617,16.617,16.617,300.0
112,1999-05-07,16.427,16.427,16.427,16.427,685.0
113,1999-05-10,16.332,16.332,16.332,16.332,1000.0
114,1999-05-11,16.902,16.902,16.902,16.902,264.0
115,1999-05-12,15.952,15.952,15.952,15.952,2880.0
116,1999-05-13,15.952,15.952,15.952,15.952,252.0
117,1999-05-14,16.142,16.142,16.142,16.142,790.0
118,1999-05-17,15.477,15.477,15.477,15.477,3381.0
119,1999-05-18,15.572,15.572,15.572,15.572,695.0
120,1999-05-19,15.762,15.762,15.762,15.762,1211.0
121,1999-05-20,15.762,15.762,15.762,15.762,1622.0
122,1999-05-21,15.952,15.952,15.952,15.952,1064.0
123,1999-05-24,15.952,15.952,15.952,15.952,800.0
124,1999-05-25,15.952,15.952,15.952,15.952,790.0
125,1999-05-26,15.952,15.952,15.952,15.952,948.0
126,1999-05-27,15.952,15.952,15.952,15.952,1238.0
127,1999-05-28,16.047,16.047,16.047,16.047,1316.0
128,1999-05-31,16.332,16.332,16.332,16.332,2628.0
129,1999-06-01,16.332,16.332,16.332,16.332,558.0
130,1999-06-02,16.427,16.427,16.427,16.427,937.0
131,1999-06-07,16.332,16.332,16.332,16.332,264.0
132,1999-06-08,16.142,16.142,16.142,16.142,526.0
133,1999-06-09,15.762,15.762,15.762,15.762,647.0
134,1999-06-10,15.572,15.572,15.572,15.572,1827.0
135,1999-06-11,15.477,15.477,15.477,15.477,1580.0
136,1999-06-14,16.047,16.047,16.047,16.047,158.0
137,1999-06-15,16.142,16.142,16.142,16.142,79.0
138,1999-06-16,15.762,15.762,15.762,15.762,264.0
139,1999-06-17,16.047,16.047,16.047,16.047,269.0
140,1999-06-18,15.762,15.762,15.762,15.762,1974.0
141,1999-06-21,15.952,15.952,15.952,15.952,448.0
142,1999-06-22,15.572,15.572,15.572,15.572,131.0
143,1999-06-23,15.477,15.477,15.477,15.477,6477.0
144,1999-06-24,15.762,15.762,15.762,15.762,553.0
145,1999-06-25,15.572,15.572,15.572,15.572,584.0
146,1999-06-28,15.762,15.762,15.762,15.762,526.0
147,1999-06-29,16.142,16.142,16.142,16.142,1027.0
148,1999-06-30,16.142,16.142,16.142,16.142,5308.0
149,1999-07-01,15.477,15.477,15.477,15.477,53.0
150,1999-07-02,16.332,16.332,16.332,16.332,421.0
151,1999-07-05,16.047,16.047,16.047,16.047,26.0
152,1999-07-06,15.572,15.572,15.572,15.572,259.0
153,1999-07-07,15.477,15.477,15.477,15.477,158.0
154,1999-07-08,15.572,15.572,15.572,15.572,526.0
155,1999-07-09,15.477,15.477,15.477,15.477,142.0
156,1999-07-12,15.572,15.572,15.572,15.572,131.0
157,1999-07-13,15.477,15.477,15.477,15.477,264.0
158,1999-07-14,15.287,15.287,15.287,15.287,896.0
159,1999-07-15,15.383,15.383,15.383,15.383,53.0
160,1999-07-16,15.383,15.383,15.383,15.383,63.0
161,1999-07-19,15.383,15.383,15.383,15.383,105.0
162,1999-07-20,15.192,15.192,15.192,15.192,2396.0
163,1999-07-21,15.572,15.572,15.572,15.572,916.0
164,1999-07-22,15.762,15.762,15.762,15.762,105.0
165,1999-07-23,15.857,15.857,15.857,15.857,526.0
166,1999-07-26,15.572,15.572,15.572,15.572,869.0
167,1999-07-27,15.572,15.572,15.572,15.572,1011.0
168,1999-07-28,15.762,15.762,15.762,15.762,264.0
169,1999-07-29,15.762,15.762,15.762,15.762,642.0
170,1999-07-30,16.142,16.142,16.142,16.142,2064.0
171,1999-08-02,16.142,16.142,16.142,16.142,342.0
172,1999-08-03,15.952,15.952,15.952,15.952,421.0
173,1999-08-04,15.572,15.572,15.572,15.572,211.0
174,1999-08-05,15.572,15.572,15.572,15.572,1158.0
175,1999-08-06,15.477,15.477,15.477,15.477,264.0
176,1999-08-09,15.477,15.477,15.477,15.477,111.0
177,1999-08-10,15.287,15.287,15.287,15.287,1853.0
178,1999-08-11,15.192,15.192,15.192,15.192,189.0
179,1999-08-12,15.857,15.857,15.857,15.857,1264.0
180,1999-08-13,15.572,15.572,15.572,15.572,264.0
181,1999-08-16,15.477,15.477,15.477,15.477,969.0
182,1999-08-17,15.572,15.572,15.572,15.572,295.0
183,1999-08-18,15.383,15.383,15.383,15.383,532.0
184,1999-08-19,15.383,15.383,15.383,15.383,295.0
185,1999-08-20,15.572,15.572,15.572,15.572,237.0
186,1999-08-23,15.192,15.192,15.192,15.192,84.0
187,1999-08-24,15.192,15.192,15.192,15.192,95.0
188,1999-08-25,15.098,15.098,15.098,15.098,274.0
189,1999-08-26,15.192,15.192,15.192,15.192,1316.0
190,1999-08-27,15.192,15.192,15.192,15.192,1443.0
191,1999-08-30,15.572,15.572,15.572,15.572,589.0
192,1999-08-31,15.952,15.952,15.952,15.952,2107.0
193,1999-09-01,15.383,15.383,15.383,15.383,368.0
194,1999-09-02,15.383,15.383,15.383,15.383,
