,Date,Open,High,Low,Close,Volume
0,2011-05-30,30.27,30.27,26.906,26.906,15508
1,2011-05-31,26.897,26.897,22.87,24.456,5845
2,2011-06-01,24.12,26.618,24.12,24.792,1030
3,2011-06-02,24.168,24.984,24.168,24.984,620
4,2011-06-06,24.984,25.84,23.063,24.023,1238
5,2011-06-08,23.543,23.975,22.63,23.975,785
6,2011-06-13,22.678,22.678,22.678,22.678,4
7,2011-06-15,22.678,22.678,22.678,22.678,125
8,2011-06-16,22.294,22.294,21.621,21.621,104
9,2011-06-17,21.141,21.141,21.141,21.141,104
10,2011-06-20,20.66,20.66,20.66,20.66,52
11,2011-06-22,19.699,20.66,19.219,20.66,780
12,2011-06-24,20.66,20.66,20.66,20.66,104
13,2011-06-27,20.66,20.66,20.66,20.66,52
14,2011-06-29,20.756,22.102,20.756,22.102,889
15,2011-06-30,22.102,22.966,22.102,22.966,219
16,2011-07-04,22.678,22.678,22.102,22.678,208
17,2011-07-05,22.774,22.774,21.333,22.438,354
18,2011-07-07,22.39,22.39,22.39,22.39,1
19,2011-07-11,22.39,22.39,21.237,21.237,11
20,2011-07-12,22.39,22.39,22.39,22.39,1
21,2011-07-13,21.141,21.141,19.228,20.66,671
22,2011-07-15,20.18,20.18,19.219,20.18,182
23,2011-07-18,19.219,19.219,19.219,19.219,156
24,2011-07-19,22.39,22.39,22.39,22.39,1
25,2011-07-21,22.38,22.38,22.38,22.38,1
26,2011-07-22,22.38,22.38,22.38,22.38,1
27,2011-07-25,20.199,21.333,20.199,21.333,484
28,2011-07-27,20.18,20.612,19.219,20.612,338
29,2011-08-03,19.603,19.603,19.603,19.603,125
30,2011-08-04,19.603,19.603,18.258,18.258,208
31,2011-08-05,18.258,18.258,17.297,17.297,77
32,2011-08-08,17.297,17.489,16.336,17.489,567
33,2011-08-10,16.528,17.297,16.528,17.297,58
34,2011-08-16,18.162,18.162,18.162,18.162,73
35,2011-08-17,18.258,18.258,18.258,18.258,52
36,2011-08-18,18.258,18.258,16.816,18.258,537
37,2011-08-19,17.297,19.603,17.297,19.603,1301
38,2011-08-22,19.699,19.699,19.699,19.699,54
39,2011-08-23,20.18,20.18,19.699,19.699,140
40,2011-08-24,19.891,19.891,18.93,19.219,59
41,2011-08-29,18.738,19.219,18.738,19.219,73
42,2011-09-01,18.258,18.258,17.297,17.297,130
43,2011-09-15,18.642,18.642,18.642,18.642,1
44,2011-09-16,18.642,18.642,18.642,18.642,1
45,2011-09-23,18.258,18.258,18.258,18.258,3
46,2011-09-28,17.297,17.297,17.297,17.297,104
47,2011-09-30,17.777,17.777,17.777,17.777,31
48,2011-10-10,16.816,16.816,16.816,16.816,104
49,2011-10-11,16.72,16.816,16.72,16.816,120
50,2011-10-12,16.336,16.336,15.855,15.855,135
51,2011-11-15,17.777,17.777,17.777,17.777,10
52,2011-11-18,17.297,17.297,17.297,17.297,2
53,2011-11-21,17.777,17.777,17.777,17.777,2
54,2011-11-22,17.777,17.777,16.913,16.913,114
55,2011-11-23,16.24,16.913,16.24,16.913,19
56,2011-11-24,17.777,17.777,17.777,17.777,2
57,2011-11-25,17.777,17.777,17.777,17.777,1
58,2011-11-28,17.777,17.777,17.777,17.777,1
59,2011-11-29,18.258,18.258,18.258,18.258,2
60,2011-12-09,17.201,19.123,16.913,19.123,21656
61,2011-12-12,19.123,19.123,19.123,19.123,2
62,2011-12-13,19.123,19.123,19.123,19.123,1
63,2011-12-14,19.123,19.123,19.123,19.123,1
64,2011-12-15,19.123,19.123,18.258,18.258,57
65,2011-12-21,18.402,18.402,18.402,18.402,1
66,2011-12-27,17.777,17.777,17.777,17.777,1
67,2011-12-29,17.489,17.489,17.489,17.489,1
68,2011-12-30,18.162,19.123,18.162,19.123,312
69,2012-01-13,18.738,18.738,18.738,18.738,4
70,2012-01-18,18.738,18.738,18.738,18.738,1
71,2012-01-30,19.123,19.123,19.123,19.123,5
72,2012-01-31,19.123,20.948,19.123,20.948,20
73,2012-02-01,19.699,20.948,19.123,19.123,226
74,2012-02-06,18.738,19.123,18.258,18.258,279
75,2012-02-07,18.258,18.258,18.258,18.258,105
76,2012-02-09,18.258,18.258,17.393,17.393,83
77,2012-02-16,17.297,17.297,17.297,17.297,3
78,2012-02-29,18.162,19.123,18.162,19.123,58
79,2012-03-01,19.123,19.123,19.123,19.123,32
80,2012-03-02,19.123,19.219,19.123,19.219,174
