,Date,Open,High,Low,Close,Volume
0,2021-04-22,185.0,194.9,170.0,183.9,6887
1,2021-04-23,185.0,185.0,161.02,183.0,2036
2,2021-04-26,185.0,185.0,168.0,168.0,998
3,2021-04-27,165.0,173.9,165.0,172.98,273
4,2021-04-28,173.98,173.98,166.0,169.7,492
5,2021-04-29,169.7,170.0,163.0,170.0,695
6,2021-04-30,176.0,176.0,169.0,174.98,421
7,2021-05-04,174.98,174.98,168.92,174.98,544
8,2021-05-05,174.98,174.98,174.96,174.98,164
9,2021-05-06,174.98,174.98,174.98,174.98,3
10,2021-05-07,174.98,174.98,169.0,174.88,155
11,2021-05-10,174.98,187.0,173.98,185.0,2272
12,2021-05-11,185.0,185.5,149.0,177.0,2421
13,2021-05-12,177.0,179.88,168.0,179.0,99
14,2021-05-13,179.0,180.0,169.7,180.0,1252
15,2021-05-14,180.0,180.0,180.0,180.0,4
16,2021-05-17,180.0,180.0,179.98,180.0,43
17,2021-05-18,184.0,184.0,150.0,173.9,2174
18,2021-05-19,170.0,170.0,151.62,152.0,1913
19,2021-05-20,157.0,157.0,150.0,150.0,1135
20,2021-05-21,152.0,164.2,151.0,164.2,1014
21,2021-05-24,164.98,169.0,160.5,165.0,1089
22,2021-05-25,169.0,169.0,169.0,169.0,1
23,2021-05-26,169.0,169.0,169.0,169.0,1
24,2021-05-27,169.0,169.0,160.0,161.0,112
25,2021-05-28,168.8,174.0,168.7,172.0,662
26,2021-05-31,170.0,170.0,164.0,170.0,186
27,2021-06-01,172.0,172.0,170.0,172.0,2094
28,2021-06-02,172.0,172.5,170.0,172.5,530
29,2021-06-04,173.0,173.0,173.0,173.0,1
30,2021-06-07,172.0,172.0,172.0,172.0,1
31,2021-06-08,172.0,172.0,164.98,172.0,92
32,2021-06-09,172.0,172.0,170.0,170.0,7
33,2021-06-10,170.0,170.0,170.0,170.0,7
34,2021-06-11,172.0,172.0,166.88,167.0,191
35,2021-06-14,170.0,170.0,169.9,169.9,34
36,2021-06-15,169.0,169.0,151.46,157.04,417
37,2021-06-16,165.0,165.0,151.0,155.62,974
38,2021-06-17,163.0,163.0,145.2,150.0,583
39,2021-06-18,150.0,150.0,145.0,145.0,253
40,2021-06-21,150.0,150.0,140.04,144.5,262
41,2021-06-22,144.5,145.02,144.5,145.0,1368
42,2021-06-23,150.0,150.0,144.98,149.0,74
43,2021-06-24,149.0,149.0,147.0,147.0,4
44,2021-06-25,147.0,147.0,140.0,144.5,84
45,2021-06-28,144.5,147.0,144.48,146.0,432
46,2021-06-29,146.0,146.0,141.98,142.0,23
47,2021-06-30,145.0,145.0,130.0,139.0,423
48,2021-07-01,140.0,140.0,140.0,140.0,1
49,2021-07-02,140.0,144.48,139.9,144.48,21
50,2021-07-05,144.48,144.48,134.02,140.0,62
51,2021-07-06,140.0,144.0,140.0,144.0,15
52,2021-07-07,145.0,146.0,144.0,144.0,73
53,2021-07-08,146.0,151.0,145.58,149.0,856
54,2021-07-09,145.7,155.0,145.7,155.0,178
55,2021-07-12,155.0,155.0,143.1,152.98,144
56,2021-07-13,153.98,153.98,144.0,152.0,267
57,2021-07-14,152.0,153.98,145.0,153.98,111
58,2021-07-15,150.0,150.04,150.0,150.04,39
59,2021-07-16,153.96,153.96,150.0,153.96,512
60,2021-07-19,153.96,153.96,153.96,153.96,1
61,2021-07-20,153.96,153.96,146.0,153.96,82
62,2021-07-21,153.94,160.0,153.94,160.0,527
63,2021-07-22,160.0,166.0,158.0,165.0,228
64,2021-07-23,162.0,162.0,162.0,162.0,9
65,2021-07-26,162.0,165.0,158.5,165.0,104
66,2021-07-27,164.0,164.0,164.0,164.0,2
67,2021-07-28,163.76,163.76,156.0,162.0,25
68,2021-07-29,162.0,162.0,162.0,162.0,1
69,2021-07-30,161.5,161.5,161.5,161.5,1
70,2021-08-02,161.5,161.5,151.0,156.0,120
71,2021-08-03,145.02,161.0,145.02,161.0,105
72,2021-08-04,160.0,160.0,140.0,143.02,177
73,2021-08-05,149.0,149.0,141.0,145.0,117
74,2021-08-06,147.7,150.0,147.44,150.0,21
75,2021-08-09,148.9,148.9,148.9,148.9,1
76,2021-08-10,148.86,149.0,147.0,147.0,72
77,2021-08-11,147.0,147.0,141.98,142.0,19
78,2021-08-12,142.0,142.0,139.98,140.0,75
79,2021-08-13,140.0,140.0,136.9,140.0,34
80,2021-08-16,135.0,140.0,135.0,139.9,2102
81,2021-08-17,142.0,142.0,139.98,140.0,58
82,2021-08-18,140.0,140.0,140.0,140.0,1
83,2021-08-19,139.0,139.0,130.1,139.0,69
84,2021-08-20,139.0,139.0,139.0,139.0,1
85,2021-08-23,139.0,139.0,128.0,135.0,157
86,2021-08-24,139.0,140.0,137.0,140.0,819
87,2021-08-25,142.0,142.0,139.94,140.0,321
88,2021-08-26,140.0,140.0,130.1,138.88,350
89,2021-08-27,138.96,140.0,138.96,140.0,2361
90,2021-08-30,145.0,145.0,144.02,145.0,30
91,2021-08-31,145.0,145.0,133.0,134.02,262
92,2021-09-01,145.0,189.94,144.96,189.94,209
93,2021-09-02,178.0,178.0,169.0,169.0,4
94,2021-09-03,167.94,167.94,145.98,146.0,175
95,2021-09-06,146.5,163.98,146.5,163.0,4
96,2021-09-07,160.98,160.98,160.98,160.98,1
97,2021-09-08,171.0,177.98,156.0,164.98,2395
98,2021-09-09,164.88,168.0,155.02,163.98,240
99,2021-09-10,168.0,168.0,148.0,148.0,414
100,2021-09-13,157.0,157.0,154.98,155.5,32
101,2021-09-14,156.96,163.98,148.5,160.0,317
102,2021-09-15,161.0,161.0,150.02,159.9,45
103,2021-09-16,162.5,162.5,151.0,160.8,60
104,2021-09-17,162.0,162.0,160.0,160.0,19
105,2021-09-20,162.5,162.5,148.0,159.0,149
106,2021-09-21,162.98,162.98,162.98,162.98,1
107,2021-09-22,163.0,163.0,160.0,160.0,91
108,2021-09-23,162.7,162.7,162.7,162.7,1
109,2021-09-24,162.5,162.5,161.2,161.2,4
110,2021-09-27,161.18,161.18,159.98,160.0,40
111,2021-09-28,160.0,160.0,145.0,149.96,111
112,2021-09-29,162.0,162.0,162.0,162.0,1
113,2021-09-30,160.0,160.0,130.0,142.0,445
114,2021-10-01,148.0,148.0,140.0,140.0,65
115,2021-10-04,140.0,140.0,135.0,135.0,85
116,2021-10-05,133.0,134.0,133.0,134.0,60
117,2021-10-06,144.0,144.0,135.0,135.0,37
118,2021-10-07,135.12,135.12,135.12,135.12,92
119,2021-10-08,135.02,135.02,135.02,135.02,78
120,2021-10-11,135.02,135.02,135.02,135.02,398
121,2021-10-12,135.0,135.0,134.0,134.0,57
122,2021-10-13,134.0,144.0,134.0,144.0,73
123,2021-10-14,142.9,142.9,142.9,142.9,1
124,2021-10-15,140.0,140.0,135.0,135.0,39
125,2021-10-18,122.0,125.0,122.0,125.0,63
126,2021-10-19,125.0,125.0,121.02,121.02,532
127,2021-10-20,124.0,128.88,124.0,128.88,15
128,2021-10-21,129.0,129.0,125.5,125.5,11
129,2021-10-22,130.0,133.0,130.0,133.0,66
130,2021-10-25,134.0,134.0,134.0,134.0,285
131,2021-10-26,139.98,139.98,138.0,138.0,68
132,2021-10-27,139.0,139.98,139.0,139.98,236
133,2021-10-28,139.96,139.96,139.92,139.92,101
134,2021-10-29,138.0,144.0,138.0,144.0,628
135,2021-11-02,148.98,148.98,144.98,144.98,158
136,2021-11-03,144.3,144.3,140.0,140.0,84
137,2021-11-04,145.0,147.0,145.0,147.0,19
138,2021-11-05,140.0,140.0,130.0,130.0,50
139,2021-11-08,135.0,144.98,135.0,144.98,20
140,2021-11-09,136.0,136.0,136.0,136.0,74
141,2021-11-10,130.0,136.0,130.0,136.0,82
142,2021-11-12,136.0,142.46,136.0,142.46,12
143,2021-11-15,138.0,142.0,138.0,142.0,157
144,2021-11-16,135.0,135.0,135.0,135.0,103
145,2021-11-17,135.0,141.58,135.0,141.58,13
146,2021-11-18,141.5,141.5,128.0,128.0,59
147,2021-11-19,125.0,125.0,125.0,125.0,45
148,2021-11-22,128.0,128.0,125.1,125.1,34
149,2021-11-23,125.0,125.0,125.0,125.0,92
150,2021-11-24,125.0,125.0,125.0,125.0,35
151,2021-11-25,126.0,126.0,126.0,126.0,4
152,2021-11-26,123.0,123.0,120.02,120.02,79
153,2021-11-29,120.0,120.0,120.0,120.0,183
154,2021-11-30,119.2,122.0,119.2,122.0,71
155,2021-12-01,120.0,120.0,120.0,120.0,72
156,2021-12-02,119.98,119.98,119.0,119.0,21
157,2021-12-03,119.5,119.5,119.5,119.5,18
158,2021-12-06,119.0,119.0,119.0,119.0,229
159,2021-12-07,118.0,118.0,116.0,116.0,90
160,2021-12-08,115.0,115.0,115.0,115.0,116
161,2021-12-09,114.5,115.0,114.5,115.0,1327
162,2021-12-10,115.0,115.0,114.0,114.0,73
163,2021-12-13,114.0,114.0,113.0,113.0,107
