,Date,Open,High,Low,Close,Volume
0,2007-05-30,19.107,22.735,17.879,18.311,2833921
1,2007-05-31,18.777,19.107,17.799,18.083,773824
2,2007-06-01,18.391,18.391,17.06,17.06,739263
3,2007-06-04,17.174,17.174,16.15,16.355,375875
4,2007-06-05,16.707,17.515,16.491,17.401,803400
5,2007-06-06,17.458,18.425,17.412,18.391,342582
6,2007-06-08,18.197,18.425,17.39,18.072,229310
7,2007-06-11,18.311,18.425,17.742,17.913,287620
8,2007-06-12,18.197,18.368,17.765,18.197,487678
9,2007-06-13,18.197,18.299,17.856,18.243,58227
10,2007-06-14,18.254,18.731,18.05,18.652,225962
11,2007-06-15,18.731,18.936,18.709,18.914,135492
12,2007-06-18,19.107,19.323,18.834,19.107,269088
13,2007-06-19,19.289,19.903,18.857,19.892,320274
14,2007-06-20,19.391,19.892,19.391,19.676,238770
15,2007-06-21,19.676,19.733,19.448,19.676,103990
16,2007-06-22,19.584,19.892,19.562,19.88,110017
17,2007-06-25,19.562,19.846,18.083,19.676,92532
18,2007-06-26,19.334,19.835,19.13,19.79,97686
19,2007-06-27,19.346,19.892,19.334,19.448,48422
20,2007-06-28,19.448,19.562,19.357,19.505,89340
21,2007-06-29,19.778,19.778,19.096,19.221,113318
22,2007-07-02,19.221,19.221,18.197,19.096,138316
23,2007-07-03,19.107,19.334,18.572,19.334,79500
24,2007-07-04,19.118,19.562,19.118,19.562,17299
25,2007-07-05,19.846,19.846,19.334,19.676,71505
26,2007-07-06,19.801,19.801,19.573,19.676,42755
27,2007-07-09,19.676,19.79,18.993,19.676,33798
28,2007-07-10,19.562,19.676,18.993,19.061,79356
29,2007-07-11,19.05,19.334,17.628,18.083,127946
30,2007-07-12,18.05,18.277,17.06,17.628,193760
31,2007-07-13,17.97,18.083,17.06,17.39,291651
32,2007-07-16,16.787,17.617,16.502,16.718,456681
33,2007-07-17,16.844,16.946,16.366,16.946,665842
34,2007-07-18,17.06,17.515,17.06,17.174,471009
35,2007-07-19,18.197,18.197,17.754,17.924,44354
36,2007-07-20,18.152,18.197,16.946,17.515,488738
37,2007-07-23,17.504,17.515,16.946,17.515,527150
38,2007-07-24,17.515,18.197,17.287,17.515,50542
39,2007-07-25,17.06,18.197,16.832,17.742,199051
40,2007-07-26,17.742,17.856,17.06,17.06,89076
41,2007-07-27,16.946,16.957,15.809,16.377,284874
42,2007-07-30,16.207,17.162,16.093,17.048,63095
43,2007-07-31,17.242,17.401,16.946,17.026,142354
44,2007-08-01,16.491,16.605,15.809,15.991,175485
45,2007-08-02,16.275,16.832,16.264,16.605,53997
46,2007-08-03,16.81,16.81,16.264,16.264,45364
47,2007-08-06,16.139,16.139,15.411,15.831,99197
48,2007-08-07,16.491,16.491,16.036,16.423,132543
49,2007-08-08,16.718,17.174,15.9,15.9,158346
50,2007-08-09,15.98,16.093,13.648,13.932,208348
51,2007-08-10,13.102,14.16,12.567,13.386,565403
52,2007-08-13,13.875,14.615,13.875,13.989,308861
53,2007-08-14,14.217,14.217,13.42,13.591,208724
54,2007-08-16,12.567,12.852,11.601,12.397,622314
55,2007-08-17,12.056,13.477,11.828,13.079,201114
56,2007-08-20,13.989,13.989,13.591,13.727,90729
57,2007-08-21,13.83,13.83,13.193,13.307,99557
58,2007-08-22,13.625,13.978,13.432,13.875,175967
59,2007-08-23,14.103,14.66,14.057,14.387,104628
60,2007-08-24,14.41,14.774,14.046,14.774,103095
61,2007-08-27,14.808,15.126,14.808,14.933,108589
62,2007-08-28,14.808,14.808,14.558,14.558,55683
63,2007-08-29,13.659,14.364,13.659,14.342,94863
64,2007-08-30,14.558,14.842,14.217,14.217,106438
