,Date,Open,High,Low,Close,Volume
0,2007-10-30,2.87,4.55,2.87,4.37,747077
1,2007-10-31,4.93,4.93,4.07,4.26,293822
2,2007-11-02,4.16,4.27,3.88,4.27,30434
3,2007-11-05,4.45,4.45,3.93,4.44,59242
4,2007-11-06,4.3,4.32,4.1,4.32,39141
5,2007-11-07,4.3,4.5,4.13,4.36,15899
6,2007-11-08,4.28,4.37,4.1,4.33,28593
7,2007-11-09,4.36,4.53,4.21,4.52,27688
8,2007-11-12,4.55,4.78,4.53,4.66,41488
9,2007-11-13,4.54,4.63,4.31,4.52,33188
10,2007-11-14,4.45,4.45,4.15,4.4,8565
11,2007-11-15,4.52,4.52,4.4,4.4,6640
12,2007-11-16,4.4,5.95,4.31,5.74,47073
13,2007-11-19,5.7,5.74,5.56,5.7,12635
14,2007-11-20,5.7,5.7,5.5,5.5,4703
15,2007-11-21,5.79,5.79,5.58,5.74,23108
16,2007-11-22,5.79,6.03,5.79,6.03,10059
17,2007-11-23,6.08,7.23,6.08,6.6,23194
18,2007-11-26,6.6,6.62,6.37,6.62,7240
19,2007-11-27,6.63,6.65,6.56,6.65,3280
20,2007-11-28,6.65,6.7,6.63,6.7,3715
21,2007-11-29,6.7,6.77,6.61,6.77,11327
22,2007-11-30,6.7,6.79,6.55,6.79,3690
23,2007-12-03,6.7,6.7,6.6,6.65,3054
24,2007-12-04,6.7,7.17,6.55,7.17,19719
25,2007-12-05,7.18,7.42,7.14,7.42,18241
26,2007-12-06,7.66,8.23,7.51,8.23,73468
27,2007-12-07,8.23,9.04,8.23,9.04,82284
28,2007-12-10,9.07,9.38,8.81,9.21,60968
29,2007-12-11,9.0,9.09,8.14,8.85,55433
30,2007-12-12,8.61,9.38,8.4,9.33,24042
31,2007-12-13,9.09,9.38,8.95,9.32,34515
32,2007-12-14,9.38,10.53,9.03,10.53,81565
33,2007-12-17,9.91,10.82,9.91,10.82,24690
34,2007-12-18,10.82,10.91,10.36,10.58,9300
35,2007-12-19,10.96,10.96,10.53,10.91,2831
