,Date,Open,High,Low,Close,Volume
0,2017-12-06,0.15,0.15,0.13,0.15,2321619
1,2017-12-07,0.15,0.21,0.14,0.2,1995481
2,2017-12-08,0.22,0.23,0.18,0.18,1311969
3,2017-12-11,0.19,0.2,0.17,0.19,623027
4,2017-12-12,0.19,0.19,0.17,0.18,410538
5,2017-12-13,0.18,0.18,0.17,0.17,222849
6,2017-12-14,0.17,0.17,0.16,0.16,446915
7,2017-12-15,0.16,0.16,0.14,0.15,101326
8,2017-12-18,0.15,0.15,0.13,0.13,99366
9,2017-12-19,0.13,0.14,0.12,0.14,144025
10,2017-12-20,0.14,0.14,0.12,0.13,11363
11,2017-12-21,0.12,0.14,0.12,0.12,188102
12,2017-12-22,0.12,0.15,0.12,0.15,100991
13,2017-12-27,0.15,0.15,0.15,0.15,4900
14,2017-12-28,0.16,0.16,0.14,0.14,12601
15,2017-12-29,0.16,0.16,0.14,0.16,11751
16,2018-01-03,0.16,0.16,0.15,0.15,1151
17,2018-01-04,0.14,0.14,0.14,0.14,2965
18,2018-01-05,0.14,0.15,0.13,0.14,8980
19,2018-01-08,0.14,0.14,0.14,0.14,1151
20,2018-01-09,0.14,0.14,0.13,0.13,27801
21,2018-01-10,0.13,0.13,0.12,0.12,20774
22,2018-01-11,0.13,0.15,0.12,0.15,68261
23,2018-01-12,0.15,0.18,0.15,0.18,6092
24,2018-01-15,0.19,0.19,0.16,0.17,8068
25,2018-01-16,0.17,0.18,0.15,0.16,13273
26,2018-01-17,0.16,0.16,0.14,0.15,11000
27,2018-01-18,0.15,0.17,0.14,0.17,18222
28,2018-01-19,0.17,0.17,0.14,0.14,6101
29,2018-01-22,0.15,0.17,0.15,0.16,153432
30,2018-01-23,0.15,0.18,0.15,0.15,7101
31,2018-01-24,0.15,0.17,0.14,0.16,22093
32,2018-01-25,0.15,0.16,0.14,0.15,17544
33,2018-01-26,0.15,0.16,0.15,0.16,172972
34,2018-01-29,0.16,0.22,0.15,0.22,329113
35,2018-01-30,0.3,0.3,0.22,0.24,932507
36,2018-01-31,0.26,0.26,0.2,0.2,475370
37,2018-02-01,0.21,0.23,0.2,0.22,319908
38,2018-02-02,0.22,0.26,0.21,0.23,895846
39,2018-02-05,0.23,0.24,0.21,0.24,132442
40,2018-02-06,0.24,0.24,0.21,0.22,142915
41,2018-02-07,0.22,0.31,0.22,0.29,719503
42,2018-02-08,0.29,0.34,0.27,0.32,800848
43,2018-02-09,0.32,0.42,0.3,0.38,1237732
44,2018-02-12,0.38,0.43,0.38,0.4,1285900
45,2018-02-13,0.4,0.4,0.36,0.37,453037
46,2018-02-14,0.35,0.38,0.27,0.27,1327948
47,2018-02-15,0.25,0.28,0.23,0.24,1018782
48,2018-02-16,0.23,0.29,0.23,0.27,418707
49,2018-02-19,0.27,0.28,0.26,0.26,115238
50,2018-02-20,0.27,0.28,0.26,0.26,59851
51,2018-02-21,0.27,0.27,0.25,0.25,49294
52,2018-02-22,0.25,0.25,0.22,0.24,395160
53,2018-02-23,0.23,0.25,0.22,0.25,228792
54,2018-02-26,0.26,0.35,0.25,0.32,1300026
55,2018-02-27,0.33,0.35,0.31,0.33,583295
56,2018-02-28,0.33,0.33,0.29,0.32,109974
57,2018-03-01,0.31,0.32,0.29,0.31,412540
58,2018-03-02,0.32,0.32,0.3,0.32,127968
59,2018-03-05,0.32,0.38,0.3,0.35,1564285
60,2018-03-06,0.38,0.38,0.32,0.32,1210326
61,2018-03-07,0.33,0.33,0.3,0.32,410043
62,2018-03-08,0.32,0.34,0.31,0.32,263729
63,2018-03-09,0.32,0.32,0.3,0.31,155472
64,2018-03-12,0.31,0.31,0.28,0.29,412134
65,2018-03-13,0.28,0.31,0.27,0.3,243520
66,2018-03-14,0.3,0.31,0.27,0.3,191963
67,2018-03-15,0.29,0.31,0.28,0.3,109171
68,2018-03-16,0.3,0.37,0.28,0.33,688985
69,2018-03-19,0.33,0.35,0.32,0.33,273635
70,2018-03-20,0.32,0.34,0.32,0.34,56273
71,2018-03-21,0.33,0.34,0.31,0.32,239485
72,2018-03-22,0.31,0.32,0.29,0.31,221139
73,2018-03-23,0.29,0.3,0.28,0.29,156292
74,2018-03-26,0.29,0.3,0.28,0.29,98677
75,2018-03-27,0.3,0.36,0.3,0.33,876338
76,2018-03-28,0.33,0.34,0.31,0.31,61231
77,2018-03-29,0.32,0.33,0.31,0.33,83292
78,2018-04-03,0.32,0.32,0.28,0.28,670342
79,2018-04-04,0.28,0.28,0.11,0.11,5814258
80,2018-04-05,0.11,0.12,0.07,0.07,14533504
81,2018-04-06,0.06,0.06,0.04,0.05,19993211
82,2018-04-09,0.05,0.06,0.04,0.05,9014658
83,2018-04-10,0.05,0.06,0.04,0.05,1777170
84,2018-04-11,0.05,0.06,0.05,0.06,5269026
85,2018-04-12,0.07,0.08,0.05,0.05,12033918
86,2018-04-13,0.05,0.06,0.04,0.06,4609913
87,2018-04-16,0.05,0.06,0.05,0.05,1481884
88,2018-04-17,0.06,0.06,0.05,0.06,2915988
89,2018-04-18,0.06,0.07,0.05,0.06,6169666
90,2018-04-19,0.06,0.07,0.05,0.06,5377202
91,2018-04-20,0.06,0.07,0.05,0.06,2507878
92,2018-04-23,0.06,0.07,0.06,0.06,962227
93,2018-04-24,0.06,0.07,0.05,0.06,5222821
94,2018-04-25,0.06,0.06,0.05,0.06,540793
95,2018-04-26,0.06,0.06,0.05,0.06,161174
96,2018-04-27,0.06,0.06,0.05,0.06,868610
97,2018-04-30,0.06,0.06,0.05,0.05,401468
98,2018-05-02,0.06,0.06,0.05,0.05,3984008
99,2018-05-04,0.05,0.06,0.04,0.05,2348006
100,2018-05-07,0.05,0.06,0.05,0.06,1069408
101,2018-05-08,0.05,0.06,0.04,0.05,825911
102,2018-05-09,0.05,0.05,0.04,0.05,726099
103,2018-05-10,0.05,0.05,0.04,0.05,328072
104,2018-05-11,0.05,0.05,0.04,0.05,611442
105,2018-05-14,0.05,0.06,0.05,0.06,2696403
106,2018-05-15,0.06,0.06,0.05,0.06,1807568
107,2018-05-16,0.06,0.06,0.05,0.06,653105
108,2018-05-17,0.06,0.07,0.05,0.06,2930063
109,2018-05-18,0.07,0.07,0.06,0.06,2247352
110,2018-05-21,0.06,0.06,0.05,0.06,494643
111,2018-05-22,0.06,0.06,0.05,0.05,596927
112,2018-05-23,0.06,0.06,0.05,0.06,281538
113,2018-05-24,0.06,0.06,0.05,0.05,1732654
114,2018-05-25,0.05,0.06,0.04,0.06,2279708
115,2018-05-28,0.05,0.06,0.05,0.06,912299
116,2018-05-29,0.05,0.06,0.04,0.05,1453401
117,2018-05-30,0.05,0.06,0.04,0.06,832242
118,2018-06-01,0.06,0.06,0.05,0.06,255735
119,2018-06-04,0.06,0.06,0.05,0.06,238279
120,2018-06-05,0.05,0.06,0.05,0.06,116229
121,2018-06-06,0.06,0.06,0.05,0.06,1603785
122,2018-06-07,0.05,0.06,0.05,0.06,252784
123,2018-06-08,0.05,0.06,0.05,0.06,384543
124,2018-06-11,0.05,0.06,0.05,0.05,645492
125,2018-06-12,0.05,0.06,0.04,0.06,2129878
126,2018-06-13,0.05,0.05,0.04,0.05,1311751
127,2018-06-14,0.05,0.06,0.04,0.06,2032329
128,2018-06-15,0.06,0.06,0.04,0.05,1126313
129,2018-06-18,0.06,0.06,0.05,0.05,842802
130,2018-06-19,0.05,0.05,0.04,0.05,158372
131,2018-06-20,0.05,0.05,0.05,0.05,95328
132,2018-06-21,0.05,0.05,0.04,0.05,189912
133,2018-06-22,0.05,0.05,0.04,0.05,102691
134,2018-06-25,0.05,0.05,0.04,0.05,34253
135,2018-06-26,0.05,0.05,0.04,0.05,50435
136,2018-06-27,0.05,0.05,0.04,0.04,428797
137,2018-06-28,0.05,0.05,0.04,0.05,58810
138,2018-06-29,0.05,0.05,0.04,0.05,76483
139,2018-07-02,0.05,0.05,0.04,0.05,190598
140,2018-07-03,0.05,0.05,0.05,0.05,44386
141,2018-07-04,0.05,0.06,0.04,0.05,2393350
142,2018-07-05,0.06,0.06,0.04,0.06,5783140
143,2018-07-06,0.06,0.06,0.05,0.06,424246
144,2018-07-09,0.06,0.06,0.05,0.05,1024273
145,2018-07-10,0.06,0.06,0.05,0.06,405952
146,2018-07-11,0.06,0.06,0.05,0.06,785861
147,2018-07-12,0.06,0.08,0.05,0.08,9540768
148,2018-07-13,0.08,0.09,0.05,0.06,17271489
149,2018-07-16,0.07,0.07,0.06,0.06,3534391
150,2018-07-17,0.06,0.07,0.05,0.07,3133738
151,2018-07-18,0.07,0.07,0.06,0.06,4957791
152,2018-07-19,0.06,0.07,0.05,0.06,4214373
153,2018-07-20,0.06,0.06,0.05,0.06,142882
154,2018-07-23,0.06,0.07,0.05,0.06,605119
155,2018-07-24,0.07,0.07,0.06,0.06,1241551
156,2018-07-25,0.06,0.07,0.05,0.06,2225051
157,2018-07-26,0.06,0.06,0.05,0.06,121133
158,2018-07-27,0.06,0.07,0.05,0.06,616263
159,2018-07-30,0.06,0.07,0.05,0.06,1702880
160,2018-07-31,0.06,0.06,0.05,0.06,189480
161,2018-08-01,0.06,0.06,0.05,0.06,280024
162,2018-08-02,0.06,0.07,0.05,0.07,1680455
163,2018-08-03,0.07,0.07,0.06,0.06,5442109
164,2018-08-06,0.06,0.07,0.05,0.06,1065732
165,2018-08-07,0.06,0.07,0.05,0.06,780114
166,2018-08-08,0.06,0.06,0.05,0.06,61657
167,2018-08-09,0.06,0.06,0.05,0.06,165985
168,2018-08-10,0.06,0.06,0.05,0.06,393006
169,2018-08-13,0.05,0.06,0.05,0.06,980609
170,2018-08-14,0.06,0.06,0.05,0.05,4536960
171,2018-08-16,0.05,0.05,0.04,0.05,954337
172,2018-08-17,0.05,0.05,0.04,0.05,231036
173,2018-08-20,0.05,0.05,0.04,0.05,182855
174,2018-08-21,0.04,0.05,0.04,0.05,79565
175,2018-08-22,0.04,0.05,0.04,0.05,1714532
176,2018-08-23,0.04,0.06,0.04,0.05,2637669
177,2018-08-24,0.06,0.06,0.05,0.06,1728240
178,2018-08-27,0.05,0.06,0.04,0.06,1592857
179,2018-08-28,0.06,0.06,0.05,0.06,242057
180,2018-08-29,0.05,0.06,0.05,0.06,133454
181,2018-08-30,0.06,0.06,0.05,0.06,189547
182,2018-08-31,0.06,0.06,0.05,0.06,1134057
183,2018-09-03,0.06,0.06,0.05,0.06,151224
184,2018-09-04,0.05,0.05,0.04,0.05,238911
185,2018-09-05,0.04,0.05,0.04,0.05,300965
