,Date,Open,High,Low,Close,Volume
0,2011-03-24,1.17,1.26,1.1,1.15,287982
1,2011-03-25,1.1,1.18,1.0,1.04,164784
2,2011-03-28,1.06,1.15,1.01,1.02,78914
3,2011-03-29,1.02,1.06,0.97,1.0,47710
4,2011-03-30,0.99,1.04,0.95,1.04,15894
5,2011-03-31,1.0,1.06,0.89,0.95,45391
6,2011-04-01,0.98,1.11,0.91,1.04,58110
7,2011-04-04,1.08,1.25,1.08,1.15,212434
8,2011-04-05,1.2,1.28,1.05,1.08,114028
9,2011-04-06,1.1,1.1,0.93,1.0,73907
10,2011-04-07,0.99,1.09,0.98,1.08,65307
11,2011-04-08,1.04,1.12,1.0,1.09,62900
12,2011-04-11,1.09,1.09,1.02,1.07,11474
13,2011-04-12,1.07,1.07,1.03,1.05,679
14,2011-04-13,1.04,1.06,1.0,1.06,12951
15,2011-04-14,1.06,1.06,1.01,1.01,701
16,2011-04-15,1.03,1.05,1.0,1.01,6314
17,2011-04-18,1.0,1.07,1.0,1.01,6261
18,2011-04-19,1.02,1.07,1.0,1.07,10142
19,2011-04-20,1.06,1.06,1.0,1.05,11726
20,2011-04-21,1.05,1.05,1.01,1.02,6073
21,2011-04-26,1.02,1.02,0.96,0.98,6590
22,2011-04-27,0.98,1.0,0.98,1.0,1300
23,2011-04-28,1.01,1.01,1.01,1.01,30
24,2011-04-29,1.0,1.0,0.97,0.99,2688
25,2011-05-02,1.0,1.0,0.98,0.98,1300
26,2011-05-04,0.99,0.99,0.95,0.96,4223
27,2011-05-05,0.97,0.97,0.95,0.95,31
28,2011-05-09,0.97,1.1,0.97,1.05,8447
29,2011-05-10,1.05,1.05,1.0,1.0,2100
30,2011-05-11,0.99,1.03,0.93,1.0,10130
31,2011-05-12,0.92,1.0,0.92,1.0,4192
32,2011-05-13,1.0,1.0,0.98,0.98,1240
33,2011-05-16,0.98,0.98,0.97,0.97,1170
34,2011-05-17,0.96,0.96,0.93,0.95,1066
35,2011-05-18,0.97,1.0,0.97,1.0,1345
36,2011-05-19,0.99,1.0,0.95,0.96,4415
37,2011-05-20,0.97,0.99,0.96,0.97,1110
38,2011-05-23,0.96,0.97,0.94,0.97,810
39,2011-05-24,0.98,0.98,0.96,0.96,4003
40,2011-05-25,0.96,0.99,0.96,0.99,5300
41,2011-05-26,0.98,0.98,0.96,0.96,1700
42,2011-05-27,0.97,0.97,0.97,0.97,10
43,2011-05-30,0.97,0.97,0.91,0.95,4909
44,2011-05-31,0.95,0.96,0.9,0.93,3377
45,2011-06-01,0.93,0.93,0.92,0.92,485
46,2011-06-02,0.94,0.94,0.9,0.9,4950
47,2011-06-03,0.9,0.9,0.9,0.9,11037
48,2011-06-06,0.9,0.92,0.8,0.92,14626
49,2011-06-07,0.89,0.98,0.89,0.94,17720
50,2011-06-08,0.94,0.94,0.9,0.9,2120
51,2011-06-09,0.93,0.94,0.9,0.94,1505
52,2011-06-10,0.94,0.94,0.91,0.91,1989
53,2011-06-13,0.91,0.91,0.91,0.91,636
54,2011-06-14,0.91,0.93,0.91,0.93,350
55,2011-06-15,0.93,0.95,0.93,0.93,460
56,2011-06-16,0.94,0.94,0.91,0.93,310
57,2011-06-17,0.9,0.94,0.9,0.94,1100
58,2011-06-20,0.94,0.94,0.9,0.9,5115
59,2011-06-21,0.92,0.92,0.89,0.9,2400
60,2011-06-22,0.9,0.9,0.88,0.89,1005
61,2011-06-24,0.89,0.89,0.89,0.89,100
62,2011-06-28,0.92,0.92,0.92,0.92,5
63,2011-06-29,0.89,0.89,0.89,0.89,200
64,2011-06-30,0.89,0.89,0.89,0.89,110
65,2011-07-01,0.89,0.89,0.89,0.89,100
66,2011-07-04,0.88,0.88,0.88,0.88,5
67,2011-07-05,0.84,0.84,0.84,0.84,100
68,2011-07-06,0.84,0.84,0.81,0.81,1311
69,2011-07-07,0.83,0.84,0.78,0.84,3417
70,2011-07-11,0.83,0.84,0.73,0.82,4398
71,2011-07-12,0.82,0.82,0.77,0.8,2397
72,2011-07-13,0.8,0.8,0.7,0.7,3541
73,2011-07-14,0.73,0.75,0.73,0.75,1550
74,2011-07-15,0.78,0.78,0.78,0.78,10
75,2011-07-18,0.75,0.75,0.73,0.73,4436
76,2011-07-19,0.74,0.74,0.74,0.74,500
77,2011-07-20,0.75,0.75,0.75,0.75,10
78,2011-07-21,0.74,0.74,0.72,0.72,1700
79,2011-07-22,0.71,0.74,0.71,0.72,2470
80,2011-07-25,0.72,0.72,0.72,0.72,200
81,2011-07-26,0.72,0.72,0.72,0.72,9790
82,2011-07-27,0.72,0.75,0.72,0.75,960
83,2011-08-02,0.75,0.75,0.75,0.75,200
84,2011-08-03,0.75,0.8,0.7,0.7,1360
85,2011-08-04,0.7,0.7,0.7,0.7,250
86,2011-08-09,0.56,0.67,0.56,0.63,5501
87,2011-08-10,0.63,0.63,0.62,0.62,300
88,2011-08-11,0.63,0.63,0.63,0.63,100
89,2011-08-12,0.63,0.81,0.63,0.81,8935
90,2011-08-16,0.8,0.8,0.78,0.78,567
91,2011-08-17,0.77,0.77,0.77,0.77,190
92,2011-08-18,0.78,0.78,0.62,0.62,2514
93,2011-08-19,0.72,0.72,0.72,0.72,600
94,2011-08-22,0.74,0.74,0.74,0.74,200
95,2011-08-23,0.7,0.7,0.7,0.7,1145
