,Date,Open,High,Low,Close,Volume
0,2011-04-13,2.838,2.8891,2.2943,2.6512,114150
1,2011-04-14,2.5492,2.804,2.5492,2.5492,53868
2,2011-04-15,2.4471,2.5492,2.1328,2.5492,58740
3,2011-04-18,2.4217,2.5492,2.3962,2.4217,13441
4,2011-04-19,2.4217,2.787,2.3791,2.6937,21336
5,2011-04-20,2.6765,2.6765,2.5492,2.5492,20634
6,2011-04-21,2.5492,2.6765,2.5492,2.5576,14078
7,2011-04-26,2.5916,2.617,2.5492,2.5746,19733
8,2011-04-27,2.583,2.6595,2.5576,2.5746,19743
9,2011-04-29,2.5714,2.6489,2.5714,2.6489,4444
10,2011-05-02,2.6512,2.6512,2.5746,2.5746,677
11,2011-05-04,2.5661,2.5661,2.5661,2.5661,3151
12,2011-05-05,2.583,2.583,2.5746,2.5746,891
13,2011-05-06,2.5746,2.5746,2.5746,2.5746,1882
14,2011-05-09,2.5746,2.5746,2.5746,2.5746,1647
15,2011-05-10,2.583,2.583,2.5746,2.5746,34057
16,2011-05-11,2.6086,2.6765,2.5746,2.5746,11839
17,2011-05-12,2.6512,2.6512,2.6002,2.6002,1719
18,2011-05-13,2.6002,2.6002,2.6002,2.6002,1177
19,2011-05-17,2.6086,2.6086,2.6086,2.6086,471
20,2011-05-18,2.6002,2.6002,2.6002,2.6002,736
21,2011-05-19,2.634,2.6765,2.6002,2.6002,10629
22,2011-05-23,2.5916,2.5916,2.5916,2.5916,471
23,2011-05-24,2.5916,2.5916,2.5746,2.5746,64371
24,2011-05-25,2.5916,2.5916,2.5916,2.5916,1725
25,2011-05-26,2.5916,2.5916,2.5916,2.5916,2123
26,2011-05-27,2.5916,2.5916,2.5916,2.5916,1258
27,2011-05-31,2.5629,2.5714,2.5629,2.5714,2236
28,2011-06-01,2.5746,2.5746,2.5746,2.5746,1177
29,2011-06-07,2.6255,2.6765,2.5916,2.5916,1298
30,2011-06-08,2.5916,2.5916,2.5746,2.5746,10003
31,2011-06-10,2.634,2.634,2.634,2.634,363
32,2011-06-13,2.5916,2.5916,2.5916,2.5916,1177
33,2011-06-14,2.5746,2.5746,2.5746,2.5746,824
34,2011-06-15,2.5746,2.5746,2.5746,2.5746,4471
35,2011-06-16,2.5746,2.5746,2.5492,2.5492,7935
36,2011-06-17,2.4896,2.4896,2.4896,2.4896,1498
37,2011-06-21,2.4896,2.4896,2.4896,2.4896,3001
38,2011-06-22,2.4642,2.4642,2.4642,2.4642,154
39,2011-06-28,2.5492,2.5492,2.5068,2.5068,3272
40,2011-06-30,2.5456,2.5456,2.5456,2.5456,5883
41,2011-07-06,2.5492,2.5492,2.5492,2.5492,5
42,2011-07-07,2.5492,2.5492,2.5492,2.5492,10
43,2011-07-11,2.5492,2.5492,2.5407,2.5407,703
44,2011-07-13,2.5407,2.5492,2.5407,2.5492,7687
45,2011-07-18,2.5916,2.5916,2.5916,2.5916,154
46,2011-07-27,2.4302,2.4302,2.3876,2.3876,1507
47,2011-07-28,2.2943,2.2943,2.2943,2.2943,1094
48,2011-08-02,2.1931,2.1931,2.0383,2.0383,12975
49,2011-08-03,1.9969,1.9969,1.8694,1.8694,8003
50,2011-08-04,1.8269,2.2432,1.7421,2.2432,14187
51,2011-08-05,1.9119,2.2007,1.9119,2.2007,1530
52,2011-08-08,2.1243,2.1243,1.8864,1.8864,14124
53,2011-08-10,1.9545,1.9545,1.9545,1.9545,1071
54,2011-08-11,1.9545,1.9545,1.9545,1.9545,423
55,2011-08-12,1.9545,1.9545,1.9545,1.9545,1177
56,2011-08-16,1.8694,1.8778,1.8694,1.8778,2030
57,2011-08-23,1.9119,1.9545,1.9119,1.9545,3094
58,2011-08-29,1.9629,2.3453,1.9629,2.0479,6727
59,2011-08-30,2.1413,2.3791,2.1413,2.2348,6453
60,2011-08-31,2.2447,2.4511,2.2447,2.4511,1177
61,2011-09-01,2.3198,2.3198,2.3113,2.3113,5411
62,2011-09-02,2.2274,2.2274,2.1586,2.1586,2297
63,2011-09-05,2.1751,2.4981,2.1751,2.4981,1765
64,2011-09-07,2.2447,2.2447,2.2104,2.2104,3227
65,2011-09-08,2.236,2.305,2.236,2.305,1627
66,2011-09-09,2.3622,2.3622,2.3622,2.3622,353
67,2011-09-12,2.3962,2.3962,2.3962,2.3962,117
68,2011-09-13,2.4047,2.4728,2.4047,2.4728,1515
69,2011-09-15,2.4728,2.4728,2.3791,2.4642,1150
70,2011-09-16,2.3823,2.3823,2.3823,2.3823,967
71,2011-09-19,2.3113,2.3113,2.3113,2.3113,941
72,2011-09-20,2.3453,2.3453,2.3113,2.3113,2231
73,2011-09-23,2.3135,2.3221,2.3135,2.3221,23
74,2011-09-26,2.2093,2.2093,2.2093,2.2093,1147
