,Date,Open,High,Low,Close,Volume
0,2001-05-10,2.9328,2.9656,2.868,2.9164,45233
1,2001-05-11,2.9004,3.2748,2.9004,3.2096,96899
2,2001-05-14,3.242,3.6172,3.242,3.4544,29085
3,2001-05-15,3.568,3.568,3.2096,3.2096,35051
4,2001-05-16,3.1772,3.2584,3.0144,3.0304,15763
5,2001-05-17,3.2584,3.2584,2.998,3.1608,3152
6,2001-05-18,3.1284,3.1772,3.0956,3.0956,1962
7,2001-05-21,3.0304,3.112,2.998,3.0956,661
8,2001-05-22,3.0956,3.1284,3.0144,3.0144,10429
9,2001-05-23,3.0468,3.0468,2.9816,3.0468,5996
10,2001-05-24,3.0144,3.0468,2.998,2.998,2511
11,2001-05-25,2.998,3.0468,2.998,2.998,2232
12,2001-05-28,2.9816,2.998,2.9816,2.9816,1421
13,2001-05-29,2.9816,2.9816,2.9328,2.9328,4595
14,2001-05-30,2.9164,2.9164,2.8352,2.884,7211
15,2001-05-31,2.7696,2.884,2.7696,2.884,774
16,2001-06-01,2.884,2.9328,2.8352,2.9328,3335
17,2001-06-04,2.884,2.884,2.884,2.884,8552
18,2001-06-05,2.998,3.1284,2.884,2.884,3121
19,2001-06-06,2.884,2.884,2.884,2.884,2261
20,2001-06-07,2.884,2.884,2.884,2.884,1962
21,2001-06-08,2.9164,2.9656,2.9164,2.9656,2332
22,2001-06-12,2.8352,2.9004,2.8352,2.9004,21432
23,2001-06-13,2.9492,2.9492,2.884,2.9164,5234
24,2001-06-15,2.8352,2.884,2.8028,2.8028,3679
25,2001-06-18,2.8028,2.9004,2.7208,2.8028,3332
26,2001-06-19,2.8028,2.884,2.7208,2.8028,15048
27,2001-06-20,2.7536,2.7536,2.7536,2.7536,184
28,2001-06-21,2.7696,2.8352,2.7208,2.8352,3972
29,2001-06-22,2.7208,2.8352,2.7208,2.8352,307
30,2001-06-25,2.8028,2.8028,2.8028,2.8028,430
31,2001-06-26,2.8028,2.8028,2.4768,2.4768,2109
32,2001-06-27,2.6396,2.6396,2.558,2.558,8637
33,2001-06-28,2.7372,2.7372,2.5256,2.5256,369
34,2001-06-29,2.6396,2.6396,2.3952,2.3952,42336
35,2001-07-02,2.3952,2.5092,2.3952,2.4768,3878
36,2001-07-03,2.3952,2.3952,2.216,2.3952,14452
37,2001-07-04,2.1832,2.3788,2.1832,2.2976,2312
38,2001-07-05,2.232,2.3788,2.216,2.3788,5324
39,2001-07-06,2.3788,2.428,2.3788,2.3952,11135
40,2001-07-09,2.428,2.428,2.2484,2.314,5708
41,2001-07-10,2.3788,2.3952,2.314,2.314,11013
42,2001-07-11,2.216,2.2976,2.216,2.2976,5524
43,2001-07-12,2.314,2.4604,2.314,2.33,40153
44,2001-07-13,2.3464,2.4604,2.33,2.33,12774
45,2001-07-16,2.3464,2.3952,2.3464,2.3952,2668
46,2001-07-17,2.6232,2.6232,2.4928,2.558,6897
47,2001-07-18,2.558,2.558,2.4768,2.4768,1363
48,2001-07-19,2.4768,2.5092,2.4768,2.5092,859
49,2001-07-20,2.5092,2.5092,2.3788,2.4768,4303
50,2001-07-23,2.4768,2.5904,2.3952,2.5904,617
51,2001-07-25,2.4768,2.4768,2.4116,2.444,3494
52,2001-07-26,2.4768,2.4928,2.3952,2.444,2213
53,2001-07-27,2.5092,2.5092,2.3952,2.4928,793
54,2001-07-30,2.5092,2.5092,2.428,2.428,4822
55,2001-07-31,2.4768,2.4768,2.3952,2.4604,2307
56,2001-08-01,2.542,2.542,2.3952,2.4116,2400
57,2001-08-02,2.444,2.444,2.4116,2.444,3491
58,2001-08-03,2.428,2.428,2.428,2.428,1173
59,2001-08-06,2.33,2.3952,2.33,2.3952,2025
60,2001-08-07,2.232,2.2644,2.1508,2.1508,6678
61,2001-08-08,2.1508,2.1668,2.118,2.118,9484
62,2001-08-09,2.0856,2.0856,2.0204,2.0204,5348
63,2001-08-10,1.9716,2.0528,1.7268,1.9716,12266
64,2001-08-13,1.874,1.874,1.6944,1.6944,3477
65,2001-08-14,1.7924,1.7924,1.6132,1.6132,5339
66,2001-08-16,1.6132,1.6132,1.4012,1.6132,12319
67,2001-08-17,1.564,1.564,1.564,1.564,2730
68,2001-08-20,1.564,1.564,1.4992,1.548,1227
69,2001-08-21,1.548,1.548,1.548,1.548,2520
70,2001-08-22,1.5316,1.5968,1.5316,1.5316,2053
71,2001-08-23,1.548,1.548,1.548,1.548,3069
72,2001-08-24,1.548,1.548,1.5152,1.548,1257
73,2001-08-27,1.564,1.6132,1.564,1.564,1289
74,2001-08-28,1.4992,1.548,1.4992,1.548,62
75,2001-08-29,1.4992,1.4992,1.4992,1.4992,253
76,2001-08-30,1.4992,1.4992,1.4828,1.4992,1076
77,2001-08-31,1.4992,1.5316,1.4992,1.5316,615
78,2001-09-03,1.5316,1.5316,1.5316,1.5316,4235
79,2001-09-04,1.5152,1.5152,1.434,1.4828,7823
80,2001-09-05,1.5316,1.5316,1.4176,1.45,35669
81,2001-09-06,1.45,1.4828,1.45,1.4828,2467
82,2001-09-07,1.45,1.4828,1.45,1.4828,1759
83,2001-09-10,1.45,1.45,1.1568,1.3852,3883
84,2001-09-11,1.3852,1.4828,1.3688,1.45,28043
85,2001-09-12,1.336,1.336,1.336,1.336,62
86,2001-09-13,1.3524,1.3524,1.1404,1.2876,5467
87,2001-09-14,1.2876,1.3524,1.2876,1.32,284464
88,2001-09-18,1.1568,1.2708,1.1568,1.2708,614
89,2001-09-19,1.32,1.32,1.32,1.32,1
90,2001-09-20,1.2876,1.2876,1.238,1.238,3109
91,2001-09-21,1.2544,1.2544,1.1892,1.222,437
92,2001-09-24,1.238,1.238,0.994,0.994,2809
93,2001-09-25,1.222,1.222,1.0752,1.0752,737
94,2001-09-26,1.222,1.222,1.108,1.222,191
95,2001-09-27,1.0428,1.1404,0.994,0.994,26001
96,2001-09-28,1.01,1.0752,0.994,0.994,55986
97,2001-10-01,1.0916,1.0916,1.01,1.01,1852
98,2001-10-02,1.0752,1.0752,0.994,1.0264,8705
99,2001-10-03,1.0264,1.0264,0.994,1.0264,22126
100,2001-10-04,1.0264,1.0264,1.01,1.0264,14371
101,2001-10-09,1.0752,1.0752,1.0264,1.0752,3069
102,2001-10-10,1.0752,1.0752,0.994,1.0428,30520
103,2001-10-11,1.0752,1.1568,1.0592,1.0752,21686
104,2001-10-12,1.0752,1.0916,1.0752,1.0916,2501
105,2001-10-15,1.0916,1.0916,1.01,1.0752,158
106,2001-10-16,0.994,1.4664,0.994,1.4664,54704
107,2001-10-17,1.6944,1.8576,1.3688,1.5316,61210
108,2001-10-18,1.4664,1.4664,1.3524,1.3524,9437
109,2001-10-19,1.3524,1.3524,1.2876,1.2876,6864
110,2001-10-22,1.4828,1.5968,1.4664,1.5968,22023
111,2001-10-23,1.7432,1.8412,1.564,1.6944,56468
112,2001-10-24,1.6132,1.776,1.6132,1.6132,16514
113,2001-10-25,1.7268,1.7268,1.6132,1.6456,11823
114,2001-10-26,1.7268,1.7268,1.6132,1.7268,8237
115,2001-10-29,1.8088,1.8088,1.6292,1.6616,12043
116,2001-10-30,1.6292,1.6292,1.5968,1.6132,8562
117,2001-10-31,1.5804,1.6132,1.5804,1.5804,7360
118,2001-11-02,1.5968,1.776,1.5316,1.564,26489
119,2001-11-05,1.564,1.564,1.4992,1.4992,12647
120,2001-11-06,1.5316,1.548,1.32,1.32,14134
121,2001-11-07,1.434,1.434,1.32,1.336,25418
122,2001-11-08,1.3524,1.4176,1.32,1.4176,24973
123,2001-11-09,1.4176,1.4828,1.3688,1.434,18933
124,2001-11-12,1.4664,1.4664,1.3852,1.3852,14405
125,2001-11-13,1.45,1.4664,1.4012,1.4664,22626
126,2001-11-14,1.5152,1.548,1.4012,1.4828,46125
127,2001-11-15,1.5316,1.5316,1.4012,1.4664,15293
128,2001-11-16,1.4664,1.4664,1.4012,1.4176,21468
129,2001-11-19,1.4012,1.4012,1.4012,1.4012,4101
130,2001-11-20,1.4012,1.4012,1.3524,1.3524,8789
131,2001-11-21,1.336,1.4176,1.2544,1.3524,21547
132,2001-11-22,1.4176,1.4176,1.336,1.3852,1475
133,2001-11-23,1.3852,1.3852,1.3688,1.3852,2842
134,2001-11-26,1.336,1.3852,1.32,1.3688,3121
135,2001-11-27,1.3524,1.3524,1.32,1.336,2619
136,2001-11-28,1.32,1.3524,1.3036,1.336,14181
137,2001-11-29,1.32,1.336,1.32,1.32,8422
138,2001-11-30,1.3036,1.3036,1.222,1.2544,8002
139,2001-12-04,1.2708,1.2876,1.238,1.2876,745
140,2001-12-05,1.3036,1.3036,1.2708,1.2708,9904
141,2001-12-06,1.2876,1.32,1.2708,1.32,5602
142,2001-12-07,1.2876,1.3036,1.2544,1.3036,7472
143,2001-12-10,1.222,1.2876,1.222,1.2708,8926
144,2001-12-11,1.238,1.2708,1.222,1.2708,3853
145,2001-12-12,1.2708,1.3036,1.1732,1.2544,4860
146,2001-12-13,1.1568,1.238,1.1568,1.222,5135
147,2001-12-14,1.1568,1.1892,1.108,1.124,6609
148,2001-12-17,1.1568,1.2056,1.1568,1.1732,1920
149,2001-12-18,1.1892,1.2056,1.1568,1.2056,1438
150,2001-12-19,1.1568,1.222,1.1568,1.222,1255
151,2001-12-20,1.0752,1.222,1.0752,1.1892,695
152,2001-12-21,1.0752,1.222,1.0752,1.222,2963
153,2001-12-27,1.222,1.222,1.2056,1.2056,2669
154,2001-12-28,1.1404,1.1892,1.1404,1.1892,1431
155,2001-12-31,1.0752,1.1568,1.0752,1.1568,21596
156,2002-01-02,1.0916,1.1892,1.0916,1.1892,737
157,2002-01-03,1.1892,1.2708,1.1892,1.2544,8111
158,2002-01-04,1.2544,1.32,1.2544,1.2708,8961
159,2002-01-07,1.3036,1.3036,1.1892,1.2708,2825
160,2002-01-09,1.222,1.4828,1.222,1.4828,44665
161,2002-01-10,1.4828,1.6456,1.4012,1.4828,47326
162,2002-01-11,1.4828,1.5316,1.4012,1.4664,3295
163,2002-01-14,1.4012,1.45,1.4012,1.45,13482
164,2002-01-15,1.3852,1.4664,1.3852,1.4664,1185
165,2002-01-16,1.4176,1.4176,1.4176,1.4176,1265
166,2002-01-17,1.4012,1.45,1.4012,1.434,21273
167,2002-01-18,1.4828,1.548,1.4828,1.4828,32513
168,2002-01-21,1.5968,1.89,1.5968,1.89,106920
169,2002-01-22,1.9552,2.1344,1.874,1.9228,193063
170,2002-01-23,1.9716,1.9716,1.7924,1.8088,43449
171,2002-01-24,1.8088,1.8412,1.776,1.8252,35266
172,2002-01-25,1.8252,1.8252,1.7924,1.8088,15030
173,2002-01-28,1.8088,1.8576,1.7432,1.7596,19638
174,2002-01-29,1.7596,1.7596,1.6292,1.678,16060
175,2002-01-30,1.6616,1.6616,1.4992,1.6292,28974
176,2002-01-31,1.6292,1.6292,1.564,1.564,16997
177,2002-02-01,1.564,1.6132,1.548,1.5968,22521
178,2002-02-04,1.5804,1.5804,1.5316,1.5316,12687
179,2002-02-05,1.4828,1.6132,1.336,1.5804,50600
180,2002-02-06,1.6292,1.6292,1.548,1.564,19114
181,2002-02-07,1.564,1.6132,1.5316,1.5968,19293
182,2002-02-08,1.5316,1.5804,1.5316,1.5804,13173
183,2002-02-11,1.564,1.564,1.434,1.4992,33499
184,2002-02-12,1.4664,1.4664,1.434,1.4664,4871
185,2002-02-13,1.45,1.4828,1.4012,1.4664,14688
186,2002-02-14,1.4828,1.4828,1.4012,1.4012,6138
187,2002-02-15,1.45,1.45,1.4176,1.45,3382
188,2002-02-18,1.434,1.434,1.4012,1.4176,5895
189,2002-02-19,1.3524,1.3688,1.32,1.3688,1147
190,2002-02-20,1.336,1.3524,1.32,1.3524,9587
191,2002-02-21,1.3688,1.3688,1.32,1.3688,9164
192,2002-02-22,1.32,1.3524,1.32,1.336,16186
193,2002-02-25,1.336,1.3524,1.32,1.336,6566
194,2002-02-26,1.3524,1.3688,1.336,1.3524,12683
195,2002-02-27,1.3524,1.4012,1.3524,1.3852,74872
196,2002-02-28,1.3852,1.434,1.336,1.3524,88916
197,2002-03-01,1.3524,1.3688,1.3036,1.336,74389
198,2002-03-04,1.3688,1.3688,1.336,1.336,46630
199,2002-03-05,1.336,1.336,1.238,1.238,28979
200,2002-03-06,1.2544,1.2876,1.222,1.2544,48609
201,2002-03-07,1.2708,1.3036,1.2708,1.2708,19893
