,Date,Open,High,Low,Close,Volume
0,2013-04-23,43.74,43.74,43.74,43.74,35
1,2013-06-03,40.69,40.69,40.69,40.69,37
2,2013-06-07,37.86,37.86,37.86,37.86,40
3,2013-08-20,37.86,37.86,37.86,37.86,2
4,2013-09-13,35.22,35.22,35.22,35.22,93
5,2013-10-16,32.77,32.77,32.77,32.77,46
6,2013-11-20,32.75,32.75,30.47,30.47,51
7,2013-11-26,28.35,28.35,22.68,22.68,125
8,2013-11-27,18.15,21.78,14.52,14.52,1405
9,2013-12-02,13.0,13.0,13.0,13.0,100
10,2013-12-04,12.01,14.41,12.01,14.41,300
11,2013-12-05,13.0,13.0,13.0,13.0,100
12,2013-12-06,12.0,12.0,9.6,10.0,2695
13,2013-12-09,10.0,10.0,10.0,10.0,100
14,2013-12-11,10.0,10.0,10.0,10.0,10
15,2013-12-12,10.0,12.0,10.0,11.99,500
16,2013-12-13,11.0,12.99,10.0,12.99,800
17,2013-12-16,11.0,12.0,11.0,12.0,151
18,2013-12-18,11.0,11.0,11.0,11.0,100
19,2014-01-02,10.0,10.0,10.0,10.0,100
20,2014-01-14,9.0,9.0,9.0,9.0,100
21,2014-01-15,8.0,8.0,7.0,7.0,231
22,2014-02-12,7.0,7.0,5.5,5.5,600
23,2014-02-17,5.68,5.79,5.0,5.79,1519
24,2014-02-18,4.8,4.8,4.8,4.8,200
25,2014-02-19,4.0,4.2,4.0,4.2,700
26,2014-02-20,4.0,4.0,4.0,4.0,300
27,2014-03-24,4.0,4.0,4.0,4.0,300
28,2014-03-25,4.0,4.0,4.0,4.0,200
29,2014-03-26,3.9,3.9,3.9,3.9,300
30,2014-04-01,3.9,4.4,3.9,4.4,500
31,2014-04-02,5.0,5.0,5.0,5.0,50
32,2014-04-07,4.15,4.15,4.04,4.04,800
33,2014-04-23,4.0,4.75,3.21,4.75,3695
34,2014-04-24,4.0,4.2,4.0,4.2,722
35,2014-04-25,3.6,3.6,3.4,3.4,222
36,2014-05-06,4.0,4.3,4.0,4.3,210
37,2014-05-09,4.3,5.16,4.3,5.15,2819
38,2014-05-12,5.5,5.5,5.47,5.47,380
39,2014-05-13,5.44,5.76,5.43,5.76,1500
40,2014-05-14,5.75,6.9,5.0,5.0,1131
41,2014-05-16,5.0,5.0,5.0,5.0,12
42,2014-05-20,5.0,5.0,4.0,4.0,250
43,2014-05-21,4.0,4.0,3.5,3.5,215
44,2014-05-22,3.4,3.4,3.3,3.3,200
45,2014-05-26,3.31,3.31,3.31,3.31,200
46,2014-06-17,3.34,3.6,3.34,3.6,500
