,Date,Open,High,Low,Close,Volume
0,2014-03-24,1.8,2.2,1.8,2.2,16708
1,2014-03-25,2.5,3.0,2.2,2.2,8971
2,2014-03-26,2.3,2.7,1.9,2.2,4159
3,2014-03-27,2.39,2.39,1.92,1.92,1571
4,2014-03-28,2.2,2.39,2.2,2.2,777
5,2014-03-31,2.59,2.59,2.08,2.37,1271
6,2014-04-01,2.01,2.01,1.96,1.96,2099
7,2014-04-02,1.92,1.92,1.72,1.72,1075
8,2014-04-03,1.72,2.08,1.72,2.08,750
9,2014-04-04,2.07,2.52,2.07,2.52,1100
10,2014-04-07,3.0,3.0,3.0,3.0,10
11,2014-04-08,2.4,2.4,1.93,1.93,1473
12,2014-04-09,1.93,2.31,1.92,2.31,643
13,2014-04-10,1.95,2.2,1.95,2.2,949
14,2014-04-11,2.31,2.31,2.31,2.31,10
15,2014-04-14,2.31,2.32,2.31,2.32,342
16,2014-04-15,2.32,2.32,2.32,2.32,600
17,2014-04-16,2.32,2.98,2.32,2.98,1770
18,2014-04-17,3.0,3.0,2.5,3.0,552
19,2014-05-02,2.3,2.3,2.3,2.3,800
20,2014-05-06,2.02,2.02,2.0,2.0,1720
21,2014-05-08,2.3,2.6,2.3,2.6,400
22,2014-05-12,2.6,2.6,2.6,2.6,118
23,2014-05-20,2.3,2.3,2.3,2.3,213
24,2014-05-22,2.3,2.3,2.3,2.3,43
25,2014-05-26,2.3,2.3,2.3,2.3,1590
26,2014-05-28,2.6,2.75,2.6,2.75,368
27,2014-06-11,2.5,3.0,2.5,3.0,1528
28,2014-06-12,3.2,3.2,3.2,3.2,14
29,2014-06-20,3.0,3.0,3.0,3.0,360
30,2014-06-23,2.8,2.8,2.8,2.8,450
31,2014-06-27,3.0,3.0,3.0,3.0,10
32,2014-07-11,2.85,2.85,2.85,2.85,800
33,2014-07-14,3.0,3.0,3.0,3.0,300
34,2014-07-16,2.95,2.95,2.9,2.9,1000
35,2014-07-17,2.78,2.78,2.78,2.78,500
36,2014-09-04,2.41,3.05,2.41,3.05,920
37,2014-10-07,3.0,3.5,3.0,3.5,908
38,2014-10-09,3.9,3.9,3.9,3.9,100
39,2014-11-14,3.22,3.22,3.22,3.22,800
40,2014-11-18,3.49,3.76,3.49,3.76,1000
41,2014-11-19,3.8,3.8,3.8,3.8,500
42,2014-11-21,3.5,4.0,3.5,4.0,130
