,Date,Open,High,Low,Close,Volume
0,2012-09-04,0.47786,0.5348,0.38458,0.41655,129283
1,2012-09-05,0.39831,0.45288,0.38694,0.45288,8841
2,2012-09-06,0.45288,0.45288,0.36413,0.43242,30757
3,2012-09-07,0.45058,0.45058,0.36183,0.40968,78434
4,2012-09-10,0.45513,0.45513,0.45513,0.45513,17
5,2012-09-11,0.45513,0.45513,0.39831,0.43242,3885
6,2012-09-12,0.45513,0.45513,0.40968,0.45513,3798
7,2012-09-13,0.45513,0.45513,0.40281,0.45513,3534
8,2012-09-14,0.45513,0.45513,0.45513,0.45513,17
9,2012-09-17,0.45513,0.45513,0.38916,0.45513,9536
10,2012-09-18,0.45513,0.45513,0.45513,0.45513,17
11,2012-09-19,0.45513,0.45513,0.38694,0.38694,68119
12,2012-09-20,0.45513,0.45513,0.37558,0.45513,12670
13,2012-09-21,0.45513,0.45513,0.39152,0.45513,4410
14,2012-09-24,0.46433,0.46433,0.38006,0.40968,11939
15,2012-09-25,0.45058,0.45058,0.37558,0.38694,8362
16,2012-09-26,0.45058,0.45058,0.45058,0.45058,2
17,2012-09-27,0.45058,0.45058,0.36874,0.38237,6864
18,2012-09-28,0.45058,0.45058,0.45058,0.45058,2
19,2012-10-01,0.45058,0.45058,0.44616,0.44616,14
20,2012-10-02,0.4415,0.4415,0.38694,0.4415,13855
21,2012-10-03,0.45058,0.45058,0.36637,0.44837,1117
22,2012-10-04,0.45058,0.45058,0.36874,0.45058,5895
23,2012-10-05,0.45058,0.45058,0.45058,0.45058,17
24,2012-10-08,0.45058,0.45058,0.45058,0.45058,17
25,2012-10-09,0.45058,0.45058,0.36874,0.45058,3089
26,2012-10-10,0.45058,0.45058,0.36637,0.45058,3048
27,2012-10-11,0.45058,0.45058,0.45058,0.45058,14
28,2012-10-12,0.45058,0.45058,0.36874,0.45058,3309
29,2012-10-15,0.45058,0.45058,0.45058,0.45058,17
30,2012-10-16,0.45058,0.45058,0.36874,0.45058,6413
31,2012-10-17,0.45058,0.45058,0.3596,0.39831,19826
32,2012-10-18,0.39831,0.39831,0.32774,0.33001,4842
33,2012-10-19,0.34141,0.34141,0.34141,0.34141,882
34,2012-10-22,0.34141,0.35275,0.31864,0.35275,25223
35,2012-10-23,0.35275,0.35275,0.35275,0.35275,17
36,2012-10-24,0.35275,0.35275,0.35275,0.35275,7
37,2012-10-25,0.35275,0.35275,0.30725,0.35275,19389
38,2012-10-26,0.35275,0.35275,0.35275,0.35275,14
39,2012-10-29,0.35275,0.35275,0.28221,0.30725,19783
40,2012-10-30,0.35275,0.35275,0.35275,0.35275,7
41,2012-10-31,0.35275,0.35275,0.30725,0.35275,6160
42,2012-11-02,0.35275,0.35275,0.30725,0.35275,1590
43,2012-11-05,0.35275,0.35275,0.33457,0.35275,1765
44,2012-11-06,0.35275,0.38694,0.28221,0.38694,18020
45,2012-11-07,0.39831,0.39831,0.25491,0.36413,26790
46,2012-11-08,0.2731,0.2731,0.2731,0.2731,4392
47,2012-11-09,0.30725,0.31864,0.2731,0.29586,30634
48,2012-11-12,0.31636,0.31636,0.28449,0.30725,5112
49,2012-11-13,0.33679,0.33679,0.2731,0.2731,17629
50,2012-11-14,0.31408,0.31408,0.2731,0.2731,7
51,2012-11-15,0.31408,0.31408,0.31408,0.31408,2
52,2012-11-16,0.2731,0.2754,0.2731,0.2731,6994
53,2012-11-19,0.2731,0.2731,0.2731,0.2731,7
54,2012-11-20,0.2731,0.2731,0.22757,0.22757,9588
55,2012-11-21,0.2731,0.2731,0.26173,0.2731,2205
56,2012-11-22,0.2731,0.36413,0.264,0.32546,137296
57,2012-11-23,0.32546,0.32546,0.2731,0.30725,22897
58,2012-11-26,0.30725,0.30725,0.24578,0.264,15690
59,2012-11-27,0.30497,0.30497,0.27085,0.30042,18464
60,2012-11-28,0.30042,0.30042,0.24806,0.27993,885
61,2012-11-29,0.27085,0.27085,0.23897,0.26173,41790
62,2012-11-30,0.2731,0.2731,0.22988,0.25715,11433
63,2012-12-03,0.25715,0.25715,0.21394,0.21394,36606
64,2012-12-04,0.23897,0.23897,0.2367,0.2367,7
65,2012-12-05,0.23897,0.23897,0.2367,0.2367,4401
66,2012-12-06,0.24578,0.24578,0.22757,0.24578,13189
67,2012-12-07,0.24578,0.24578,0.22988,0.23897,5497
68,2012-12-10,0.2367,0.23897,0.21394,0.23897,27340
69,2012-12-11,0.24578,0.24578,0.24578,0.24578,2
70,2012-12-12,0.24578,0.24578,0.24578,0.24578,2
71,2012-12-13,0.24578,0.24578,0.23897,0.24578,885
72,2012-12-14,0.24578,0.24578,0.24578,0.24578,7
73,2012-12-17,0.25715,0.25715,0.25034,0.25715,885
74,2012-12-18,0.25715,0.25715,0.25715,0.25715,7
75,2012-12-19,0.25715,0.25715,0.25715,0.25715,7
76,2012-12-20,0.25715,0.25715,0.2071,0.24352,17950
77,2012-12-21,0.25715,0.25715,0.25715,0.25715,2
78,2012-12-27,0.25715,0.30725,0.25715,0.30725,2640
79,2012-12-28,0.30725,0.30725,0.24578,0.24578,4401
80,2013-01-02,0.24352,0.264,0.22757,0.23213,81072
81,2013-01-03,0.23213,0.2344,0.21394,0.2344,42630
