,Date,Open,High,Low,Close,Volume
0,2010-07-23,43.2,48.6,43.0,47.0,149261.0
1,2010-07-26,47.9,48.0,46.6,47.9,9265.0
2,2010-07-27,47.5,47.7,45.2,47.3,2855.0
3,2010-07-28,47.4,47.4,45.6,46.2,2267.0
4,2010-07-29,46.4,46.4,45.3,46.0,2253.0
5,2010-07-30,45.8,46.5,45.7,46.5,887.0
6,2010-08-02,46.4,47.2,46.4,46.7,899.0
7,2010-08-03,46.7,47.0,46.7,47.0,191.0
8,2010-08-04,46.2,46.6,46.0,46.6,302.0
9,2010-08-05,42.8,46.0,42.8,46.0,569.0
10,2010-08-06,46.0,46.8,46.0,46.8,494.0
11,2010-08-09,46.7,46.7,46.2,46.4,453.0
12,2010-08-10,45.8,46.3,45.6,46.3,982.0
13,2010-08-11,46.0,46.0,45.1,45.9,113.0
14,2010-08-12,46.1,46.4,46.0,46.1,215.0
15,2010-08-16,46.0,46.6,45.0,46.6,6511.0
16,2010-08-17,45.6,46.6,45.6,45.7,555.0
17,2010-08-18,45.6,46.0,45.2,46.0,143.0
18,2010-08-19,45.2,45.9,45.2,45.9,127.0
19,2010-08-20,45.8,46.4,45.3,46.3,1346.0
20,2010-08-23,45.6,46.1,45.5,45.6,777.0
21,2010-08-24,45.1,46.5,45.1,46.5,1907.0
22,2010-08-25,46.6,46.7,46.0,46.7,553.0
23,2010-08-26,46.9,47.5,46.6,47.5,1097.0
24,2010-08-27,47.4,47.5,47.4,47.5,348.0
25,2010-08-30,46.1,47.8,46.1,47.8,389.0
26,2010-08-31,47.8,47.9,46.7,47.5,308.0
27,2010-09-01,47.5,48.0,47.0,47.5,989.0
28,2010-09-02,47.5,50.7,47.5,50.7,4095.0
29,2010-09-03,50.9,51.0,49.1,50.7,5521.0
30,2010-09-06,50.7,53.0,50.1,52.5,6774.0
31,2010-09-07,53.1,53.1,51.9,51.9,894.0
32,2010-09-08,51.8,52.2,51.8,52.2,371.0
33,2010-09-09,52.6,54.7,52.6,54.7,8051.0
34,2010-09-10,54.7,65.9,54.7,65.9,1603.0
35,2010-09-13,67.5,72.4,61.5,66.8,5775.0
36,2010-09-14,67.5,67.6,61.8,63.5,875.0
37,2010-09-15,63.0,63.5,60.1,62.0,1184.0
38,2010-09-16,59.5,64.0,58.0,61.9,1067.0
39,2010-09-17,62.0,63.0,60.6,63.0,515.0
40,2010-09-20,64.8,64.8,63.0,63.8,545.0
41,2010-09-21,60.6,62.5,60.6,61.2,2126.0
42,2010-09-22,61.8,61.8,61.0,61.8,568.0
43,2010-09-23,60.6,61.0,60.6,61.0,238.0
44,2010-09-24,61.4,61.4,61.0,61.0,92.0
45,2010-09-27,64.5,64.5,61.0,62.5,3206.0
46,2010-09-28,61.5,61.5,60.6,60.9,271.0
47,2010-09-29,62.0,62.5,61.0,61.0,13125.0
48,2010-09-30,61.0,61.1,60.0,61.1,228.0
49,2010-10-01,60.5,60.5,60.0,60.0,324.0
50,2010-10-04,55.3,59.0,55.2,57.0,295.0
51,2010-10-05,55.3,57.0,55.0,56.1,1802.0
52,2010-10-06,57.9,58.0,57.0,57.0,2229.0
