,Date,Open,High,Low,Close,Volume
0,2006-12-06,6.3675,6.6043,5.4304,6.2034,6950139
1,2006-12-07,6.2546,6.2657,5.7805,6.0399,1211534
2,2006-12-08,6.0341,6.2995,5.7805,6.0623,624522
3,2006-12-11,6.1809,6.1809,5.8763,5.8763,508994
4,2006-12-12,5.7633,5.7633,5.5093,5.5093,452688
5,2006-12-13,5.4754,5.4754,5.1595,5.1878,422003
6,2006-12-14,5.272,5.6054,5.1423,5.2834,404507
7,2006-12-15,5.3289,5.3624,4.3918,4.9333,403915
8,2006-12-18,5.0466,5.1256,4.9562,5.086,125299
9,2006-12-19,5.0634,5.0634,4.7754,4.8151,102624
10,2006-12-20,4.7189,4.8318,4.5835,4.6683,174431
11,2006-12-21,4.8544,4.8544,4.674,4.7639,174702
12,2006-12-22,4.8151,4.8151,4.3181,4.3181,274416
13,2006-12-27,4.4763,4.8036,4.4424,4.7978,108196
14,2006-12-28,4.9055,5.3342,4.9055,5.1988,299837
15,2006-12-29,5.3061,5.3174,5.0237,5.1878,105820
16,2007-01-02,5.1423,5.2892,5.0975,5.1988,94249
17,2007-01-03,5.2834,5.2892,5.0012,5.1878,184653
18,2007-01-04,5.1423,5.1423,4.9562,4.9562,123687
19,2007-01-05,4.9562,5.0466,4.9333,5.0466,56589
20,2007-01-08,5.0184,5.1198,4.9616,5.1142,33148
21,2007-01-09,5.1309,5.1648,5.0466,5.0975,70871
22,2007-01-10,5.1198,5.1309,5.0409,5.0687,30267
23,2007-01-11,5.1142,5.1142,4.9562,4.9787,53768
24,2007-01-12,5.2834,5.4246,5.1878,5.2495,382745
25,2007-01-15,5.4189,6.0852,5.3342,6.0852,785473
26,2007-01-16,6.136,6.723,5.9441,6.5139,1177534
27,2007-01-17,6.7004,7.1746,6.678,7.1464,1375850
28,2007-01-18,7.7334,8.8908,7.6601,8.6652,2573002
29,2007-01-19,8.0267,8.7779,7.8352,8.2075,1388249
30,2007-01-22,8.2356,8.4677,7.5754,7.5981,652284
31,2007-01-23,7.3664,8.4332,7.1746,8.2696,1222240
32,2007-01-24,8.6141,8.7269,8.1399,8.2582,739402
33,2007-01-25,8.2075,8.496,7.8802,7.9477,399762
34,2007-01-26,7.9195,8.2582,7.6205,8.1002,345131
35,2007-01-29,8.2075,8.4227,8.1175,8.4227,350454
36,2007-01-30,8.4897,8.5523,8.1625,8.2582,183154
37,2007-01-31,8.3543,8.3543,8.2075,8.2754,115185
38,2007-02-01,8.3032,8.3543,8.0663,8.1399,129458
39,2007-02-02,8.2356,8.2582,8.0213,8.0945,181581
40,2007-02-05,8.0945,8.1175,7.931,8.0663,103896
41,2007-02-06,8.0213,8.0213,7.7898,7.8802,128565
42,2007-02-07,7.784,7.784,7.6486,7.6942,167844
43,2007-02-08,7.7391,7.7391,7.2421,7.3439,251325
44,2007-02-09,7.2421,7.9252,7.2421,7.9084,263894
45,2007-02-12,7.784,7.8912,7.6205,7.7558,100617
46,2007-02-13,7.7391,8.2528,7.5698,8.2528,238568
47,2007-02-14,8.1175,8.3543,7.9764,8.0663,226010
48,2007-02-15,8.185,8.2582,7.8352,7.9764,238804
49,2007-02-16,7.9252,7.9764,7.6825,7.9707,134513
50,2007-02-19,8.3543,9.675,8.185,9.675,1942800
51,2007-02-20,9.862,10.194,9.0941,9.2577,998313
52,2007-02-21,9.4161,9.907,9.2962,9.3877,393386
53,2007-02-22,9.58,9.642,9.2013,9.569,232504
54,2007-02-23,9.574,9.862,9.252,9.4945,279395
55,2007-02-26,9.912,10.895,9.912,10.578,940410
56,2007-02-27,10.38,10.566,9.675,9.862,783870
57,2007-02-28,9.2238,10.076,9.015,9.534,944248
58,2007-03-01,9.862,10.144,9.2013,9.534,468418
59,2007-03-02,9.85,9.957,9.4387,9.918,161275
60,2007-03-05,9.3877,9.58,9.2464,9.4328,378699
61,2007-03-06,9.625,9.816,9.534,9.793,198489
62,2007-03-07,9.907,9.957,9.675,9.816,254517
63,2007-03-08,9.85,10.189,9.85,10.167,352398
64,2007-03-09,10.285,10.308,10.026,10.239,200979
65,2007-03-12,10.194,10.194,9.957,10.093,157717
66,2007-03-13,10.098,10.239,9.816,10.239,149926
67,2007-03-14,9.534,10.194,9.534,10.149,239722
68,2007-03-15,10.335,10.652,10.285,10.421,159045
69,2007-03-16,10.38,11.323,10.194,11.086,433654
70,2007-03-19,11.227,12.927,11.227,12.786,546681
71,2007-03-20,13.21,13.542,12.271,13.164,535923
72,2007-03-21,13.425,13.542,12.882,13.215,295215
73,2007-03-22,14.157,15.071,14.157,14.203,719346
74,2007-03-23,14.44,14.958,13.689,14.958,411052
75,2007-03-26,15.219,17.883,15.1,16.94,532545
76,2007-03-27,17.697,17.883,15.998,16.162,728856
77,2007-03-28,14.941,15.998,14.632,15.405,768756
78,2007-03-29,15.603,16.518,15.568,16.466,385151
79,2007-03-30,16.607,16.607,15.574,15.902,228816
80,2007-04-02,15.946,15.946,14.626,15.219,254179
81,2007-04-03,14.785,15.845,14.785,15.36,283686
82,2007-04-04,15.568,16.28,15.337,15.518,236053
83,2007-04-05,15.806,15.942,15.344,15.426,162316
84,2007-04-10,15.382,15.382,14.722,15.027,271731
85,2007-04-11,15.196,15.8,15.196,15.477,244038
86,2007-04-12,15.574,15.664,14.835,15.1,245418
87,2007-04-13,15.806,16.302,15.676,15.761,248514
88,2007-04-16,15.857,16.28,15.619,15.857,124983
89,2007-04-17,16.026,16.026,15.196,15.806,98178
90,2007-04-18,15.896,19.226,15.477,17.917,1240078
91,2007-04-19,17.742,18.587,17.08,18.189,344271
92,2007-04-20,18.736,22.036,18.683,21.705,856825
93,2007-04-23,24.065,30.199,23.826,27.321,1601268
94,2007-04-24,28.309,28.545,24.606,26.141,796200
95,2007-04-25,25.007,25.718,23.736,24.628,571246
96,2007-04-26,25.43,26.304,24.679,25.007,289808
97,2007-04-27,25.007,25.243,23.567,24.019,181231
98,2007-04-30,22.648,23.193,21.327,22.258,426257
99,2007-05-02,23.358,25.481,22.794,25.481,368247
100,2007-05-04,26.66,27.744,25.949,26.259,406450
101,2007-05-07,25.481,26.117,24.56,25.549,233433
102,2007-05-08,25.949,26.237,24.205,24.442,196572
103,2007-05-09,24.628,25.718,23.589,24.109,191995
104,2007-05-10,24.725,24.725,22.675,22.884,181541
105,2007-05-11,22.178,24.398,20.666,23.19,464570
106,2007-05-14,24.346,24.346,23.088,23.849,207407
107,2007-05-15,23.499,23.544,22.957,23.121,104509
108,2007-05-16,23.217,23.589,22.658,23.166,75009
109,2007-05-17,23.878,24.77,23.121,23.589,234783
