,Date,Open,High,Low,Close,Volume
0,2008-11-04,5.0,12.9,4.18,6.3,9611
1,2008-11-05,6.98,6.98,3.82,3.82,484
2,2008-11-06,3.2,4.48,3.04,4.48,1941
3,2008-11-07,4.0,4.38,2.72,3.2,12250
4,2008-11-10,2.6,2.9,1.98,2.02,13345
5,2008-11-12,2.02,2.38,1.6,1.6,8998
6,2008-11-13,1.88,1.96,1.3,1.78,12996
7,2008-11-14,1.48,1.78,1.46,1.46,2551
8,2008-11-17,1.6,1.6,1.3,1.58,15634
9,2008-11-18,1.4,1.44,1.34,1.34,700
10,2008-11-19,1.4,1.4,1.3,1.3,838
11,2008-11-20,1.28,1.28,1.04,1.24,1655
12,2008-11-21,1.28,1.3,1.04,1.3,3808
13,2008-11-24,1.3,1.32,1.08,1.32,1458
14,2008-11-25,1.3,1.3,1.2,1.3,48
15,2008-11-26,1.3,1.3,1.28,1.28,15
16,2008-11-27,1.08,1.12,1.08,1.12,42
17,2008-11-28,1.08,1.08,1.08,1.08,10
18,2008-12-02,0.94,0.94,0.94,0.94,77
19,2008-12-03,1.0,1.0,0.96,1.0,580
20,2008-12-04,1.0,1.1,1.0,1.1,600
21,2008-12-05,1.1,1.1,0.86,0.92,16475
22,2008-12-08,0.88,0.9,0.78,0.8,12903
23,2008-12-09,0.8,0.8,0.7,0.76,18818
24,2008-12-10,0.76,0.76,0.68,0.7,10821
25,2008-12-11,0.72,0.74,0.72,0.74,2505
26,2008-12-12,0.76,0.76,0.76,0.76,10
27,2008-12-16,0.76,0.76,0.76,0.76,10
28,2008-12-17,0.76,0.76,0.66,0.66,7839
29,2008-12-18,0.64,0.64,0.6,0.6,1818
30,2008-12-19,0.66,0.7,0.62,0.7,3451
31,2008-12-22,0.72,0.72,0.56,0.56,4858
32,2008-12-23,0.56,0.64,0.56,0.56,5030
33,2008-12-29,0.6,0.6,0.58,0.58,10
34,2008-12-30,0.54,0.6,0.54,0.6,2595
35,2008-12-31,0.58,0.58,0.58,0.58,10
36,2009-01-05,0.6,0.6,0.54,0.6,2651
37,2009-01-06,0.6,0.66,0.6,0.64,2484
38,2009-01-07,0.64,0.66,0.64,0.66,2005
39,2009-01-08,0.66,0.68,0.66,0.68,560
40,2009-01-09,0.6,0.72,0.6,0.64,5429
41,2009-01-12,0.58,0.58,0.58,0.58,10
42,2009-01-13,0.58,0.68,0.58,0.62,17
43,2009-01-14,0.64,0.64,0.58,0.64,330
44,2009-01-15,0.68,0.68,0.68,0.68,10
45,2009-01-16,0.7,0.7,0.6,0.66,1394
46,2009-01-19,0.64,0.64,0.64,0.64,15
47,2009-01-20,0.64,0.64,0.54,0.54,10
48,2009-01-21,0.64,0.64,0.6,0.6,30
49,2009-01-22,0.62,0.62,0.62,0.62,10
50,2009-01-23,0.62,0.62,0.48,0.48,1512
51,2009-01-26,0.5,0.6,0.5,0.56,310
52,2009-01-27,0.6,0.6,0.52,0.56,1515
53,2009-01-28,0.56,0.56,0.46,0.46,3108
54,2009-01-29,0.48,0.52,0.48,0.52,815
55,2009-01-30,0.52,0.56,0.5,0.5,2995
56,2009-02-02,0.48,0.5,0.46,0.5,902
57,2009-02-03,0.46,0.46,0.46,0.46,5
58,2009-02-04,0.46,0.46,0.46,0.46,1
