,Date,Open,High,Low,Close,Volume
0,2016-05-19,18.483,18.818,16.819,17.432,81965
1,2016-05-20,17.424,17.424,16.81,17.424,29910
2,2016-05-23,16.845,17.138,16.004,16.802,1514
3,2016-05-24,16.382,16.802,16.382,16.802,2439
4,2016-05-25,16.928,16.97,16.928,16.928,2440
5,2016-05-31,16.214,16.802,16.214,16.802,223
6,2016-06-01,16.802,17.214,16.281,17.214,155
7,2016-06-02,16.466,16.802,16.466,16.802,696
8,2016-06-03,16.365,16.802,16.365,16.802,2
9,2016-06-07,16.046,16.088,15.214,16.088,4084
10,2016-06-08,16.054,16.054,16.054,16.054,202
11,2016-06-09,16.054,16.802,16.054,16.802,297
12,2016-06-15,16.054,16.777,16.054,16.777,321
13,2016-06-16,16.054,16.752,16.054,16.752,714
14,2016-06-20,16.785,16.785,16.382,16.382,226
15,2016-06-21,16.299,16.634,16.299,16.634,643
16,2016-06-30,15.424,15.962,15.424,15.962,891
17,2016-07-01,16.299,16.299,16.13,16.13,3391
18,2016-07-06,15.634,16.289,15.634,16.289,24
19,2016-07-07,16.289,16.289,16.289,16.289,47815
20,2016-07-08,15.971,15.971,15.971,15.971,1
21,2016-07-13,15.971,15.971,15.971,15.971,1191
22,2016-07-14,15.971,15.971,15.971,15.971,496
23,2016-07-15,15.971,15.971,15.962,15.962,2068
24,2016-07-19,16.299,16.299,16.299,16.299,309
25,2016-07-22,16.802,16.802,16.802,16.802,1208
26,2016-07-25,16.299,16.794,16.299,16.794,719
27,2016-07-26,16.794,16.886,16.029,16.886,3213
28,2016-07-27,16.34,16.718,16.34,16.718,238
29,2016-07-28,16.382,16.634,16.34,16.634,607
30,2016-07-29,16.299,16.299,16.299,16.299,190
31,2016-08-01,16.214,16.214,16.214,16.214,40
32,2016-08-02,16.214,16.223,16.214,16.214,619
33,2016-08-05,16.147,16.147,15.971,15.971,2071
34,2016-08-08,15.962,15.962,15.962,15.962,1191
35,2016-08-09,15.962,16.332,15.962,16.332,160
36,2016-08-11,15.979,15.979,15.962,15.962,554
37,2016-08-12,15.962,15.962,15.962,15.962,119
38,2016-08-24,16.382,16.382,15.878,15.878,31
39,2016-08-26,15.878,15.878,15.878,15.878,993
40,2016-08-30,16.214,16.214,16.214,16.214,119
41,2016-09-02,15.895,15.895,15.878,15.878,265
42,2016-09-05,15.878,15.878,15.878,15.878,119
43,2016-09-08,15.458,15.962,15.458,15.962,813
44,2016-09-09,15.458,15.962,15.458,15.962,43
45,2016-09-12,15.962,15.962,15.962,15.962,1
46,2016-09-13,15.962,15.962,15.962,15.962,2053
47,2016-09-14,15.878,15.878,15.878,15.878,49
48,2016-09-21,15.878,15.962,15.878,15.962,250
49,2016-09-22,16.198,16.289,16.198,16.289,10902
50,2016-09-23,16.299,17.382,16.299,16.954,23408
51,2016-09-26,16.954,16.954,16.752,16.954,772
52,2016-09-27,16.886,17.197,16.886,17.197,1624
53,2016-09-28,16.76,16.76,16.76,16.76,40
54,2016-09-29,16.76,17.811,16.76,17.558,2991
55,2016-09-30,17.222,17.222,17.088,17.088,828
56,2016-10-03,17.382,17.382,17.382,17.382,645
57,2016-10-04,17.382,17.382,17.382,17.382,345
58,2016-10-05,17.382,17.391,17.382,17.391,793
59,2016-10-06,17.391,18.012,17.391,18.012,3573
60,2016-10-07,18.003,18.012,17.634,17.642,5790
61,2016-10-10,17.902,18.062,17.642,18.062,5646
62,2016-10-11,18.062,18.39,17.642,17.642,654
63,2016-10-13,17.642,18.373,17.356,18.373,13565
64,2016-10-14,18.365,18.365,17.651,17.651,2199
65,2016-10-17,17.474,17.886,17.474,17.886,280
66,2016-10-18,17.642,17.642,17.642,17.642,119
67,2016-10-19,17.466,17.466,17.466,17.466,11903
68,2016-10-20,17.886,17.894,17.886,17.894,273
69,2016-10-21,17.894,17.894,17.894,17.894,83
70,2016-10-24,17.651,17.651,17.651,17.651,2656
71,2016-10-25,17.651,17.651,17.5,17.5,1985
72,2016-10-27,17.5,17.5,17.5,17.5,24
73,2016-10-28,17.474,17.474,17.474,17.474,238
74,2016-10-31,17.642,17.659,17.642,17.659,1785
75,2016-11-02,17.449,17.491,17.449,17.474,4321
76,2016-11-03,17.391,17.811,17.348,17.811,3809
77,2016-11-08,17.23,18.297,17.23,18.289,4797
78,2016-11-09,17.474,17.474,17.474,17.474,595
79,2016-11-10,18.289,18.289,18.289,18.289,6
80,2016-11-14,18.289,18.289,18.289,18.289,1
81,2016-11-15,17.474,17.474,17.474,17.474,119
82,2016-11-16,17.222,17.474,17.222,17.474,1191
83,2016-11-17,16.81,17.558,16.81,17.558,1057
84,2016-11-22,17.222,17.222,17.222,17.222,595
85,2016-11-23,17.886,17.886,17.222,17.222,124
86,2016-11-24,17.138,17.474,17.138,17.474,602
87,2016-11-25,17.466,17.525,17.138,17.138,4031
88,2016-11-28,17.055,17.138,17.055,17.096,3398
89,2016-11-29,17.516,17.516,17.516,17.516,6
90,2016-11-30,17.466,17.466,17.466,17.466,6
91,2016-12-01,17.432,17.432,17.432,17.432,2
92,2016-12-02,17.432,17.432,17.055,17.432,280
93,2016-12-05,17.424,17.424,17.424,17.424,6
94,2016-12-06,17.391,17.391,17.055,17.055,653
95,2016-12-07,17.055,17.055,17.055,17.055,505
96,2016-12-08,17.055,17.055,16.382,17.055,2030
97,2016-12-09,17.055,17.407,17.055,17.407,1688
98,2016-12-12,17.374,17.374,17.374,17.374,2
99,2016-12-13,17.391,17.391,17.391,17.391,1
100,2016-12-14,17.374,17.374,17.374,17.374,1
101,2016-12-15,17.374,17.374,16.97,17.222,678
102,2016-12-16,17.222,17.222,17.222,17.222,676
103,2016-12-19,17.374,17.374,17.138,17.306,953
104,2016-12-20,17.407,17.407,16.81,16.81,84
105,2016-12-21,17.055,17.055,16.802,16.802,3492
106,2016-12-22,17.306,17.306,16.76,16.76,2798
107,2016-12-23,16.81,16.81,16.55,16.81,280
108,2016-12-28,17.055,17.055,16.802,16.802,970
109,2016-12-29,17.055,17.055,16.382,16.39,1399
110,2016-12-30,16.382,16.382,16.382,16.382,4944
111,2017-01-02,16.382,16.382,16.382,16.382,595
112,2017-01-03,16.634,16.76,16.299,16.76,303
113,2017-01-05,16.299,16.718,16.299,16.382,1072
114,2017-01-10,16.466,16.466,16.466,16.466,119
115,2017-01-11,16.592,16.592,16.466,16.466,151
116,2017-01-12,16.718,16.76,16.718,16.76,2
117,2017-01-13,16.718,16.718,16.718,16.718,2
118,2017-01-16,16.382,16.676,16.382,16.382,4919
119,2017-01-17,16.676,16.802,16.382,16.382,31313
120,2017-01-18,16.752,16.794,16.382,16.794,7001
121,2017-01-19,16.794,16.794,16.399,16.399,710
122,2017-01-20,16.794,16.794,16.794,16.794,1
123,2017-01-23,16.794,16.794,16.794,16.794,1
124,2017-01-24,16.794,16.794,16.794,16.794,1
125,2017-01-25,16.794,16.794,16.794,16.794,100
126,2017-01-26,16.785,16.794,16.785,16.794,2
127,2017-01-27,16.785,16.794,16.273,16.794,243
128,2017-01-30,16.718,16.718,16.718,16.718,1
129,2017-01-31,16.709,16.709,16.709,16.709,5952
