,Date,Open,High,Low,Close,Volume
0,2009-10-13,940.0,200000.0,940.0,2380.0,27.0
1,2009-10-14,2260.0,3240.0,2080.0,3240.0,22.0
2,2009-10-15,3260.0,4000.0,3260.0,4000.0,42.0
3,2009-10-16,3960.0,5000.0,3500.0,3700.0,58.0
4,2009-10-19,3500.0,3800.0,3040.0,3180.0,17.0
5,2009-10-20,3100.0,3100.0,2580.0,2700.0,39.0
6,2009-10-21,2680.0,2960.0,2260.0,2320.0,24.0
7,2009-10-22,2400.0,3000.0,2260.0,2800.0,73.0
8,2009-10-23,3040.0,3040.0,2500.0,2500.0,23.0
9,2009-10-26,2560.0,2680.0,2400.0,2420.0,5.0
10,2009-10-27,2400.0,2500.0,2300.0,2420.0,6.0
11,2009-10-28,2340.0,2340.0,2200.0,2200.0,12.0
12,2009-10-29,2160.0,2700.0,2120.0,2460.0,22.0
13,2009-10-30,2680.0,2680.0,2220.0,2260.0,9.0
14,2009-11-02,2320.0,2520.0,2260.0,2340.0,9.0
15,2009-11-03,2340.0,2340.0,2060.0,2080.0,17.0
16,2009-11-04,2100.0,2200.0,1680.0,1880.0,20.0
17,2009-11-05,1860.0,2080.0,1800.0,2060.0,5.0
18,2009-11-06,2060.0,2080.0,1900.0,1920.0,2.0
19,2009-11-09,1920.0,1920.0,1640.0,1900.0,3.0
20,2009-11-10,2100.0,2100.0,2100.0,2100.0,
21,2009-11-12,1800.0,2520.0,1800.0,2460.0,25.0
22,2009-11-13,2360.0,2360.0,2200.0,2240.0,1.0
23,2009-11-16,2220.0,2300.0,2020.0,2240.0,5.0
24,2009-11-17,2040.0,2180.0,1900.0,1960.0,6.0
25,2009-11-18,2160.0,2160.0,2160.0,2160.0,
26,2009-11-19,1920.0,2080.0,1900.0,2080.0,2.0
27,2009-11-23,2000.0,2060.0,2000.0,2000.0,1.0
28,2009-11-24,1960.0,2000.0,1800.0,1800.0,8.0
29,2009-11-25,1880.0,1880.0,1700.0,1860.0,1.0
30,2009-11-26,1800.0,1800.0,1700.0,1700.0,3.0
31,2009-11-27,1720.0,1800.0,1720.0,1800.0,1.0
32,2009-11-30,1720.0,1720.0,1520.0,1720.0,4.0
33,2009-12-01,1720.0,1720.0,1620.0,1700.0,2.0
34,2009-12-02,1700.0,1700.0,1520.0,1520.0,3.0
35,2009-12-03,1520.0,1700.0,1520.0,1700.0,
36,2009-12-04,1680.0,1680.0,1540.0,1540.0,1.0
37,2009-12-07,1660.0,1660.0,1560.0,1560.0,2.0
38,2009-12-08,1560.0,1560.0,1560.0,1560.0,
39,2009-12-09,1560.0,1560.0,1380.0,1420.0,1.0
40,2009-12-10,1560.0,1560.0,1280.0,1380.0,2.0
41,2009-12-11,1400.0,1640.0,1380.0,1480.0,3.0
42,2009-12-14,1560.0,1560.0,1560.0,1560.0,
43,2009-12-15,1260.0,1500.0,1260.0,1500.0,1.0
44,2009-12-17,1420.0,1600.0,1420.0,1500.0,5.0
45,2009-12-18,1300.0,1480.0,1300.0,1480.0,
46,2009-12-21,1340.0,1340.0,1280.0,1280.0,
47,2009-12-22,1440.0,1440.0,1300.0,1440.0,
48,2009-12-28,1300.0,1300.0,1300.0,1300.0,
49,2009-12-29,1360.0,1560.0,1360.0,1560.0,1.0
50,2009-12-30,1580.0,1700.0,1580.0,1600.0,1.0
51,2010-01-05,1640.0,1720.0,1640.0,1720.0,
52,2010-01-06,1740.0,1800.0,1440.0,1440.0,1.0
53,2010-01-07,1720.0,1720.0,1720.0,1720.0,1.0
54,2010-01-08,1720.0,1720.0,1720.0,1720.0,
55,2010-01-11,1760.0,1800.0,1760.0,1800.0,
56,2010-01-13,1700.0,1700.0,1700.0,1700.0,1.0
57,2010-01-14,1700.0,1700.0,1700.0,1700.0,1.0
58,2010-01-15,1600.0,1680.0,1600.0,1620.0,2.0
59,2010-01-18,1400.0,1580.0,1400.0,1580.0,1.0
60,2010-01-19,1420.0,1660.0,1420.0,1660.0,1.0
61,2010-01-21,1580.0,1800.0,1580.0,1740.0,10.0
62,2010-01-22,1520.0,2440.0,1520.0,2180.0,70.0
63,2010-01-25,2160.0,2340.0,1760.0,1940.0,27.0
64,2010-01-26,1980.0,2100.0,1800.0,2000.0,4.0
65,2010-01-27,1980.0,1980.0,1720.0,1900.0,5.0
66,2010-01-28,1920.0,1920.0,1920.0,1920.0,
67,2010-01-29,1900.0,1900.0,1640.0,1720.0,8.0
68,2010-02-01,1760.0,1840.0,1680.0,1800.0,3.0
69,2010-02-02,1800.0,1800.0,1640.0,1740.0,13.0
70,2010-02-03,1660.0,1680.0,1620.0,1620.0,6.0
71,2010-02-04,1660.0,1740.0,1520.0,1620.0,11.0
72,2010-02-05,1620.0,1620.0,1500.0,1580.0,2.0
73,2010-02-08,1620.0,1620.0,1460.0,1600.0,1.0
74,2010-02-09,1560.0,1600.0,1480.0,1560.0,2.0
75,2010-02-10,1560.0,1720.0,1560.0,1660.0,3.0
76,2010-02-11,1600.0,1600.0,1600.0,1600.0,
77,2010-02-12,1620.0,1640.0,1620.0,1640.0,1.0
78,2010-02-15,1520.0,1600.0,1460.0,1580.0,4.0
79,2010-02-16,1580.0,1800.0,1520.0,1640.0,11.0
80,2010-02-17,1680.0,1920.0,1680.0,1920.0,19.0
81,2010-02-19,1900.0,1900.0,1700.0,1840.0,1.0
82,2010-02-22,1880.0,1880.0,1620.0,1760.0,4.0
83,2010-02-23,1520.0,1800.0,1520.0,1800.0,
84,2010-02-24,1760.0,1860.0,1580.0,1780.0,4.0
85,2010-02-25,1720.0,1860.0,1720.0,1860.0,2.0
86,2010-02-26,1760.0,1860.0,1760.0,1860.0,1.0
87,2010-03-01,1860.0,2120.0,1860.0,1980.0,5.0
88,2010-03-02,1980.0,1980.0,1760.0,1880.0,5.0
89,2010-03-03,1760.0,1760.0,1600.0,1720.0,20.0
90,2010-03-04,1620.0,1740.0,1620.0,1740.0,2.0
91,2010-03-05,1740.0,1740.0,1640.0,1680.0,2.0
92,2010-03-08,1640.0,1640.0,1620.0,1620.0,4.0
93,2010-03-09,1680.0,1680.0,1520.0,1620.0,5.0
94,2010-03-10,1560.0,1620.0,1500.0,1600.0,9.0
95,2010-03-11,1600.0,1680.0,1560.0,1680.0,7.0
96,2010-03-12,1660.0,1680.0,1600.0,1680.0,9.0
97,2010-03-15,1600.0,1800.0,1600.0,1800.0,11.0
98,2010-03-16,1800.0,1940.0,1800.0,1920.0,20.0
99,2010-03-17,1900.0,1900.0,1840.0,1900.0,11.0
100,2010-03-18,1740.0,1840.0,1700.0,1840.0,9.0
101,2010-03-19,1700.0,1920.0,1700.0,1900.0,6.0
102,2010-03-22,1700.0,1780.0,1640.0,1780.0,8.0
103,2010-03-23,1660.0,1700.0,1640.0,1700.0,6.0
104,2010-03-24,1620.0,1680.0,1620.0,1680.0,1.0
105,2010-03-25,1700.0,1700.0,1600.0,1680.0,8.0
106,2010-03-26,1600.0,1660.0,1560.0,1660.0,3.0
107,2010-03-29,1680.0,1680.0,1600.0,1600.0,4.0
108,2010-03-30,1660.0,1680.0,1660.0,1680.0,1.0
109,2010-03-31,1620.0,1660.0,1520.0,1660.0,4.0
110,2010-04-01,1520.0,1600.0,1520.0,1600.0,2.0
