,Date,Open,High,Low,Close,Volume
0,2008-04-08,284.8,303.2,120.0,132.0,2327.0
1,2008-04-09,133.6,141.6,120.0,125.6,599.0
2,2008-04-10,112.0,116.8,101.6,109.6,293.0
3,2008-04-11,105.6,105.6,91.2,99.2,192.0
4,2008-04-14,96.0,96.0,88.8,88.8,119.0
5,2008-04-15,92.0,92.0,82.4,82.4,160.0
6,2008-04-16,82.4,86.4,81.6,85.6,82.0
7,2008-04-17,85.6,85.6,80.0,84.8,52.0
8,2008-04-18,84.0,84.0,72.0,81.6,343.0
9,2008-04-21,81.6,81.6,80.0,80.0,59.0
10,2008-04-22,76.0,80.0,76.0,80.0,42.0
11,2008-04-23,75.2,79.2,73.6,76.8,163.0
12,2008-04-24,76.0,78.4,72.8,78.4,234.0
13,2008-04-25,78.4,108.8,78.4,108.8,1284.0
14,2008-04-28,112.0,119.2,98.4,105.6,866.0
15,2008-04-29,105.6,105.6,97.6,102.4,533.0
16,2008-04-30,102.4,135.2,98.4,124.8,1137.0
17,2008-05-05,128.0,137.6,117.6,124.0,1524.0
18,2008-05-06,125.6,126.4,107.2,120.0,812.0
19,2008-05-07,119.2,142.4,118.4,124.0,1664.0
20,2008-05-08,129.6,140.0,128.0,136.8,524.0
21,2008-05-09,140.8,140.8,127.2,136.0,277.0
22,2008-05-12,136.0,136.0,112.0,128.0,667.0
23,2008-05-13,129.6,129.6,112.0,113.6,213.0
24,2008-05-14,116.0,117.6,106.4,117.6,189.0
25,2008-05-15,122.4,122.4,104.0,108.8,71.0
26,2008-05-16,105.6,116.8,102.4,112.0,119.0
27,2008-05-19,114.4,114.4,112.8,112.8,16.0
28,2008-05-20,105.6,108.0,91.2,93.6,347.0
29,2008-05-21,103.2,104.0,92.0,104.0,31.0
30,2008-05-23,100.0,100.0,90.4,97.6,7.0
31,2008-05-26,103.2,108.0,91.2,95.2,68.0
32,2008-05-27,88.0,100.0,80.0,94.4,486.0
33,2008-05-28,92.8,93.6,86.4,92.8,34.0
34,2008-05-29,85.6,106.4,85.6,106.4,90.0
35,2008-05-30,104.8,114.4,104.8,114.4,165.0
36,2008-06-02,112.8,112.8,95.2,104.0,250.0
37,2008-06-03,96.0,106.4,90.4,100.8,308.0
38,2008-06-04,103.2,104.0,89.6,104.0,329.0
39,2008-06-05,104.0,121.6,95.2,115.2,632.0
40,2008-06-06,114.4,125.6,104.8,124.0,507.0
41,2008-06-09,112.0,132.0,112.0,121.6,389.0
42,2008-06-10,115.2,121.6,110.4,117.6,280.0
43,2008-06-11,108.8,112.0,95.2,97.6,527.0
44,2008-06-12,97.6,99.2,82.4,93.6,771.0
45,2008-06-13,99.2,99.2,92.8,96.8,65.0
46,2008-06-16,96.0,102.4,92.8,101.6,54.0
47,2008-06-17,92.8,100.0,89.6,99.2,110.0
48,2008-06-18,96.8,96.8,87.2,87.2,25.0
49,2008-06-19,92.0,99.2,86.4,96.0,124.0
50,2008-06-20,98.4,98.4,80.8,87.2,295.0
51,2008-06-23,82.4,97.6,82.4,97.6,53.0
52,2008-06-24,92.0,93.6,88.0,93.6,36.0
53,2008-06-25,88.0,88.0,84.0,88.0,104.0
54,2008-06-26,84.0,90.4,80.8,84.8,262.0
55,2008-06-27,84.0,88.0,80.0,85.6,119.0
56,2008-06-30,88.0,88.8,87.2,87.2,41.0
57,2008-07-01,87.2,89.6,87.2,87.2,28.0
58,2008-07-02,88.8,89.6,88.8,88.8,26.0
59,2008-07-03,81.6,87.2,76.8,84.8,313.0
60,2008-07-04,84.8,88.8,84.0,88.8,148.0
61,2008-07-07,89.6,89.6,89.6,89.6,1.0
62,2008-07-08,88.0,88.0,88.0,88.0,
63,2008-07-09,88.0,88.0,78.4,86.4,133.0
64,2008-07-10,84.8,84.8,79.2,84.8,38.0
65,2008-07-11,79.2,82.4,78.4,80.8,36.0
66,2008-07-14,84.8,84.8,84.8,84.8,
67,2008-07-15,83.2,83.2,83.2,83.2,
68,2008-07-16,83.2,83.2,75.2,81.6,438.0
69,2008-07-17,79.2,81.6,72.8,76.0,167.0
70,2008-07-18,77.6,79.2,73.6,77.6,62.0
71,2008-07-21,72.0,77.6,72.0,77.6,55.0
72,2008-07-22,72.8,76.8,72.8,76.8,43.0
73,2008-07-23,72.8,77.6,72.0,76.8,44.0
74,2008-07-24,75.2,77.6,73.6,77.6,49.0
75,2008-07-25,79.2,79.2,74.4,78.4,41.0
76,2008-07-28,76.8,80.0,76.8,80.0,91.0
77,2008-07-29,80.0,103.2,78.4,102.4,786.0
78,2008-07-30,90.4,99.2,80.0,85.6,709.0
79,2008-07-31,81.6,85.6,76.8,83.2,460.0
80,2008-08-01,82.4,86.4,80.0,84.8,307.0
81,2008-08-04,88.8,98.4,85.6,91.2,923.0
82,2008-08-05,93.6,93.6,82.4,92.8,252.0
83,2008-08-06,90.4,90.4,84.0,84.8,648.0
84,2008-08-07,87.2,92.8,84.8,84.8,254.0
85,2008-08-08,84.8,84.8,79.2,84.8,214.0
86,2008-08-11,88.0,91.2,85.6,85.6,71.0
87,2008-08-12,89.6,89.6,80.0,84.0,153.0
88,2008-08-13,85.6,88.8,79.2,80.0,167.0
89,2008-08-14,76.8,80.0,76.8,80.0,40.0
90,2008-08-18,80.0,80.0,80.0,80.0,41.0
91,2008-08-19,81.6,81.6,74.4,80.0,167.0
92,2008-08-20,80.0,80.0,76.0,76.0,55.0
93,2008-08-21,80.0,80.0,77.6,80.0,129.0
94,2008-08-22,80.0,80.0,80.0,80.0,6.0
95,2008-08-25,80.0,80.0,80.0,80.0,
96,2008-08-26,80.0,80.0,74.4,80.0,232.0
97,2008-08-27,79.2,79.2,79.2,79.2,1.0
98,2008-08-28,80.0,83.2,80.0,83.2,114.0
99,2008-08-29,77.6,84.0,77.6,84.0,141.0
100,2008-09-01,80.0,86.4,80.0,86.4,43.0
101,2008-09-02,86.4,87.2,86.4,87.2,72.0
102,2008-09-03,85.6,85.6,84.0,84.0,55.0
103,2008-09-04,80.0,81.6,75.2,80.0,312.0
104,2008-09-05,81.6,81.6,78.4,80.0,39.0
105,2008-09-08,80.0,80.0,80.0,80.0,
106,2008-09-09,80.0,80.0,75.2,80.0,67.0
107,2008-09-10,76.0,80.0,76.0,79.2,14.0
108,2008-09-11,76.8,80.0,72.8,78.4,40.0
109,2008-09-12,72.0,78.4,72.0,73.6,53.0
110,2008-09-15,78.4,78.4,78.4,78.4,
111,2008-09-16,76.0,76.0,76.0,76.0,1.0
112,2008-09-17,76.0,78.4,68.8,78.4,46.0
113,2008-09-18,76.8,76.8,76.8,76.8,1.0
114,2008-09-19,78.4,78.4,78.4,78.4,27.0
115,2008-09-22,76.8,77.6,76.8,77.6,19.0
