,Date,Open,High,Low,Close,Volume
0,2007-05-28,36.334,46.228,36.334,41.436,859377
1,2007-05-29,41.746,43.138,37.91,38.652,162428
2,2007-05-30,37.154,37.71,35.716,35.964,74611
3,2007-05-31,36.644,37.85,36.026,37.386,44442
4,2007-06-01,37.478,37.478,35.716,35.732,26781
5,2007-06-04,35.562,35.562,32.468,33.52,46583
6,2007-06-05,33.242,33.242,30.924,31.48,66455
7,2007-06-06,31.48,31.82,29.7,31.48,23421
8,2007-06-08,30.506,31.388,30.46,30.954,20823
9,2007-06-11,31.54,32.236,31.54,31.696,17982
10,2007-06-12,32.468,32.932,31.696,32.3,11385
11,2007-06-13,32.438,32.438,31.232,31.48,9286
12,2007-06-14,31.556,31.696,30.97,30.984,15733
13,2007-06-15,30.984,31.308,30.798,31.03,9370
14,2007-06-18,31.664,31.664,30.506,30.924,8466
15,2007-06-19,32.314,34.74,32.314,33.954,35050
16,2007-06-20,34.092,34.788,32.856,32.856,15828
17,2007-06-21,32.732,33.396,31.85,33.042,7908
18,2007-06-22,33.52,33.52,32.004,32.004,8017
19,2007-06-25,31.71,32.778,31.03,31.448,13781
20,2007-06-26,31.0,31.418,31.0,31.388,6415
21,2007-06-27,31.248,31.248,30.924,31.0,5161
22,2007-06-28,31.54,32.452,31.388,32.422,6228
23,2007-06-29,32.608,32.608,31.062,31.232,8434
24,2007-07-02,31.232,31.232,30.46,30.536,3887
25,2007-07-03,31.076,31.076,30.46,30.908,5213
26,2007-07-04,30.924,30.938,30.228,30.536,6560
27,2007-07-05,30.676,30.768,29.932,30.304,5445
28,2007-07-06,30.38,30.844,30.102,30.148,6080
29,2007-07-09,30.46,30.46,30.012,30.274,5572
30,2007-07-10,30.042,30.072,28.604,28.958,20302
31,2007-07-11,29.376,29.376,28.604,28.758,8274
32,2007-07-12,28.604,28.758,27.058,27.522,7192
33,2007-07-13,27.83,28.294,27.072,27.428,5947
34,2007-07-16,27.058,27.072,25.666,26.268,6814
35,2007-07-17,26.284,26.578,25.48,26.284,11062
36,2007-07-18,26.748,26.748,26.362,26.67,5455
37,2007-07-19,27.058,27.49,26.61,26.64,5178
38,2007-07-20,26.67,27.058,26.284,26.284,2662
39,2007-07-23,26.67,26.67,25.974,26.114,1766
40,2007-07-24,25.974,26.052,25.48,25.48,2538
41,2007-07-25,24.892,25.356,24.816,24.97,6155
42,2007-07-26,24.892,25.124,24.738,24.892,4325
43,2007-07-27,24.738,24.738,24.228,24.552,5732
44,2007-07-30,24.428,25.51,23.888,25.51,9010
45,2007-07-31,25.51,25.974,25.202,25.974,11320
46,2007-08-01,25.666,25.666,24.598,25.356,3017
47,2007-08-02,25.51,25.51,24.568,25.202,3587
48,2007-08-03,24.892,24.97,24.892,24.892,644
49,2007-08-06,24.568,24.568,23.348,23.888,3250
50,2007-08-07,24.352,24.584,23.964,24.12,1110
51,2007-08-08,24.816,24.816,23.61,24.274,2262
52,2007-08-09,23.394,24.196,23.394,23.964,1494
53,2007-08-10,23.348,23.348,21.336,21.646,6526
54,2007-08-13,20.918,22.728,20.918,22.42,5160
55,2007-08-14,23.316,23.316,21.614,21.614,1098
56,2007-08-16,19.404,20.858,17.022,17.347,9327
57,2007-08-17,17.008,18.398,16.173,18.291,5773
58,2007-08-20,19.11,19.126,18.338,18.338,13155
59,2007-08-21,18.491,18.491,17.486,18.213,14102
60,2007-08-22,18.245,18.862,18.245,18.832,4862
61,2007-08-23,19.14,19.976,18.398,19.636,4210
62,2007-08-24,18.955,19.636,18.786,19.636,6500
63,2007-08-27,19.326,21.6,19.326,21.508,14747
64,2007-08-28,21.508,21.508,20.734,21.044,2795
65,2007-08-29,19.172,20.796,19.094,20.796,6271
66,2007-08-30,21.476,21.508,19.9,20.564,7075
67,2007-08-31,20.1,20.718,19.806,20.718,940
68,2007-09-03,20.564,20.718,20.254,20.642,1224
69,2007-09-04,20.47,20.47,20.178,20.254,2572
70,2007-09-05,20.254,20.626,19.836,19.836,11863
71,2007-09-06,19.79,20.564,19.512,19.79,565
72,2007-09-07,20.192,20.192,19.326,19.326,2658
73,2007-09-10,19.094,19.172,18.709,19.172,2781
74,2007-09-11,18.802,19.188,18.802,19.172,810
75,2007-09-12,18.862,19.172,18.57,19.172,3620
76,2007-09-13,18.584,18.862,18.57,18.662,902
77,2007-09-14,19.172,19.172,18.57,18.786,832
78,2007-09-17,18.786,18.786,18.57,18.57,1272
