,Date,Open,High,Low,Close,Volume
0,2011-02-09,3.9,4.68,3.9,4.68,88637
1,2011-02-10,5.61,5.9,4.8,5.14,103272
2,2011-02-11,5.14,5.14,4.14,4.21,20530
3,2011-02-14,4.35,4.4,3.7,4.03,19090
4,2011-02-15,4.0,4.0,3.8,3.95,6622
5,2011-02-16,3.95,4.03,3.5,4.02,16950
6,2011-02-17,4.02,4.02,3.73,4.01,1107
7,2011-02-18,4.0,4.03,3.65,4.03,1511
8,2011-02-21,4.0,4.0,3.8,4.0,605
9,2011-02-22,4.0,4.0,3.54,3.55,892
10,2011-02-23,3.54,3.7,3.54,3.7,52
11,2011-02-24,3.7,3.7,3.7,3.7,99
12,2011-02-25,4.0,4.0,3.5,3.66,8722
13,2011-02-28,3.66,3.66,3.66,3.66,1
14,2011-03-01,3.6,3.6,3.6,3.6,201
15,2011-03-02,3.6,3.6,3.6,3.6,2
16,2011-03-03,3.6,3.6,3.19,3.2,4771
17,2011-03-04,3.06,3.53,2.92,3.45,5043
18,2011-03-07,3.45,3.45,3.33,3.33,1601
19,2011-03-08,3.4,3.4,3.3,3.3,117
20,2011-03-09,3.1,3.4,3.1,3.3,5778
21,2011-03-10,3.3,3.3,3.11,3.11,1201
22,2011-03-11,3.14,3.19,3.14,3.19,1370
23,2011-03-14,3.2,3.2,3.1,3.19,651
24,2011-03-15,3.2,3.86,3.2,3.86,18843
25,2011-03-16,4.0,4.45,4.0,4.12,65042
26,2011-03-17,3.4,4.08,3.4,3.66,18704
27,2011-03-18,3.68,3.68,3.09,3.6,2505
28,2011-03-21,3.64,3.64,3.3,3.55,951
29,2011-03-22,3.56,3.56,3.26,3.54,1102
30,2011-03-23,3.58,3.58,3.13,3.13,1767
31,2011-03-24,3.17,3.47,3.16,3.4,5375
32,2011-03-25,3.15,3.35,3.14,3.35,2060
33,2011-03-28,3.5,3.5,3.5,3.5,1
34,2011-03-29,3.2,3.46,3.2,3.46,251
35,2011-03-30,3.2,3.47,3.2,3.45,922
36,2011-03-31,3.61,3.7,3.54,3.7,577
37,2011-04-01,3.7,3.7,3.15,3.39,15273
38,2011-04-04,3.38,3.38,3.34,3.34,102
39,2011-04-05,3.34,3.34,3.16,3.29,2502
40,2011-04-06,3.36,3.36,3.14,3.31,639
41,2011-04-07,3.1,3.17,3.0,3.17,6234
42,2011-04-08,3.2,3.2,2.99,3.16,4500
43,2011-04-11,3.16,3.16,3.02,3.02,598
44,2011-04-12,2.96,3.05,2.96,3.05,99
45,2011-04-13,3.16,3.16,3.16,3.16,1
46,2011-04-14,3.15,3.15,3.15,3.15,1
47,2011-04-15,3.2,3.52,2.98,3.52,7760
48,2011-04-18,3.32,3.58,3.26,3.44,2483
49,2011-04-19,3.14,3.19,3.05,3.05,2580
50,2011-04-20,3.08,3.35,3.06,3.35,3693
51,2011-04-21,3.35,3.35,3.08,3.34,310
52,2011-04-26,3.35,3.35,3.08,3.27,1999
53,2011-04-27,3.27,3.27,3.27,3.27,1
54,2011-04-28,3.32,3.32,3.32,3.32,1
55,2011-04-29,3.32,3.32,3.32,3.32,1
56,2011-05-02,3.15,3.15,3.08,3.08,257
57,2011-05-04,3.32,3.32,3.32,3.32,1
58,2011-05-05,3.3,3.3,3.3,3.3,1
59,2011-05-06,3.28,3.28,3.05,3.15,3622
60,2011-05-09,3.28,3.28,3.28,3.28,1
61,2011-05-10,3.28,3.28,3.04,3.04,996
62,2011-05-11,3.2,3.2,3.2,3.2,1
63,2011-05-12,3.19,3.19,3.07,3.07,321
64,2011-05-13,3.19,3.19,3.07,3.07,310
65,2011-05-16,3.19,3.2,3.07,3.2,2107
66,2011-05-17,3.2,3.2,3.2,3.2,1
67,2011-05-18,3.15,3.15,3.15,3.15,24
68,2011-05-19,3.2,3.2,3.08,3.2,502
69,2011-05-20,3.2,3.2,3.19,3.19,596
70,2011-05-23,3.19,3.19,3.05,3.05,2791
71,2011-05-24,3.05,3.05,3.05,3.05,2
72,2011-05-25,3.05,3.05,3.05,3.05,115
73,2011-05-26,3.05,3.05,3.05,3.05,32
74,2011-05-27,3.05,3.05,3.05,3.05,2
75,2011-05-30,2.99,2.99,2.99,2.99,350
76,2011-06-02,3.0,3.08,3.0,3.08,1270
77,2011-06-06,3.14,3.14,3.14,3.14,1
78,2011-06-07,3.14,3.24,3.14,3.24,5101
79,2011-06-08,3.24,3.5,3.24,3.5,3001
80,2011-06-09,3.52,3.7,3.52,3.7,4000
81,2011-06-10,3.61,3.61,3.6,3.6,1002
82,2011-06-13,3.65,3.65,3.65,3.65,430
83,2011-06-14,3.59,3.59,3.59,3.59,1
84,2011-06-15,3.45,3.65,3.45,3.5,2599
85,2011-06-16,3.67,3.95,3.67,3.85,6529
86,2011-06-17,3.75,4.02,3.68,3.7,4361
87,2011-06-20,4.05,4.05,3.34,3.64,5571
88,2011-06-21,3.63,3.69,3.63,3.69,2450
89,2011-06-22,3.58,3.69,3.5,3.69,2009
90,2011-06-24,3.69,3.69,3.69,3.69,1
91,2011-06-27,3.69,3.69,3.69,3.69,1
92,2011-06-28,3.69,3.69,3.69,3.69,1
93,2011-06-29,3.69,3.69,3.69,3.69,1
94,2011-06-30,3.36,3.67,3.26,3.35,4214
95,2011-07-05,3.4,3.58,3.26,3.48,2014
96,2011-07-06,3.69,3.69,3.69,3.69,1
97,2011-07-07,3.36,3.36,3.26,3.26,1303
98,2011-07-08,3.37,3.37,3.37,3.37,50
99,2011-07-11,3.38,3.59,3.38,3.59,800
100,2011-07-12,3.28,3.59,3.28,3.59,1700
101,2011-07-13,3.69,3.69,3.69,3.69,1
102,2011-07-14,3.4,3.4,3.4,3.4,1
103,2011-07-15,3.4,3.4,3.4,3.4,4001
104,2011-07-18,3.4,3.41,3.4,3.41,2000
105,2011-07-19,3.41,3.41,3.41,3.41,1
106,2011-07-20,3.41,3.41,3.41,3.41,817
107,2011-07-21,3.41,3.41,3.41,3.41,1
108,2011-07-22,3.41,3.41,3.41,3.41,1
109,2011-07-25,3.4,3.4,3.4,3.4,2
110,2011-07-26,3.4,3.4,3.25,3.25,716
111,2011-07-27,3.25,3.25,3.25,3.25,427
112,2011-07-28,3.22,3.22,3.22,3.22,1343
113,2011-07-29,3.18,3.25,3.15,3.25,3051
114,2011-08-01,3.4,3.4,3.25,3.25,2
115,2011-08-02,3.4,3.4,3.4,3.4,2
116,2011-08-03,3.4,3.4,3.4,3.4,2
117,2011-08-04,3.4,3.4,3.4,3.4,1
118,2011-08-05,3.4,3.4,3.4,3.4,1
119,2011-08-08,3.4,3.4,2.85,2.85,5001
120,2011-08-09,2.78,2.78,2.34,2.34,5375
121,2011-08-16,2.5,2.5,2.33,2.33,2290
122,2011-08-17,2.33,2.33,2.33,2.33,860
123,2011-08-18,2.4,2.45,2.37,2.38,10000
124,2011-08-19,2.4,2.4,2.4,2.4,1
125,2011-08-22,2.4,2.4,2.19,2.19,1201
126,2011-08-23,2.1,2.1,2.1,2.1,3987
127,2011-08-31,2.29,2.29,2.29,2.29,1100
128,2011-09-05,2.2,2.2,2.2,2.2,1200
129,2011-09-06,2.09,2.09,1.93,1.93,1600
130,2011-09-12,1.9,1.93,1.9,1.9,4100
131,2011-09-14,1.93,1.94,1.93,1.94,150
132,2011-09-15,1.95,1.95,1.95,1.95,70
133,2011-09-16,1.85,1.85,1.76,1.76,3110
134,2011-09-20,1.67,1.79,1.67,1.76,3200
