,Date,Open,High,Low,Close,Volume
0,2014-03-13,0.87,1.19,0.7,0.9,273696
1,2014-03-14,0.86,0.96,0.79,0.95,99285
2,2014-03-17,0.95,0.97,0.81,0.89,34969
3,2014-03-18,0.91,0.91,0.83,0.87,18297
4,2014-03-19,0.83,0.86,0.8,0.84,24493
5,2014-03-20,0.81,0.81,0.71,0.8,32184
6,2014-03-21,0.79,0.79,0.71,0.77,19986
7,2014-03-24,0.77,0.8,0.71,0.8,18470
8,2014-03-25,0.8,0.8,0.75,0.76,13248
9,2014-03-26,0.8,0.8,0.75,0.76,6259
10,2014-03-27,0.76,0.77,0.73,0.77,5446
11,2014-03-28,0.77,0.77,0.75,0.75,2600
12,2014-03-31,0.75,0.77,0.67,0.69,7391
13,2014-04-01,0.73,0.87,0.68,0.87,28890
14,2014-04-02,0.92,0.92,0.77,0.92,29121
15,2014-04-03,0.92,0.95,0.78,0.84,27355
16,2014-04-04,0.84,0.84,0.77,0.81,817
17,2014-04-07,0.81,0.81,0.72,0.8,11711
18,2014-04-08,0.71,0.79,0.7,0.79,8343
19,2014-04-09,0.73,0.79,0.72,0.77,11541
20,2014-04-10,0.76,0.77,0.76,0.77,1672
21,2014-04-11,0.77,0.77,0.72,0.73,6478
22,2014-04-14,0.74,0.77,0.74,0.74,3743
23,2014-04-15,0.76,0.76,0.72,0.72,600
24,2014-04-16,0.76,0.77,0.76,0.76,5556
25,2014-04-17,0.76,0.77,0.72,0.77,5608
26,2014-04-22,0.77,0.8,0.77,0.8,5135
27,2014-04-23,0.8,0.8,0.74,0.74,4300
28,2014-04-24,0.74,0.82,0.74,0.79,3361
29,2014-04-25,0.81,0.81,0.75,0.75,2
30,2014-04-28,0.81,0.81,0.81,0.81,800
31,2014-04-29,0.8,0.8,0.72,0.74,57480
32,2014-04-30,0.73,0.73,0.72,0.72,1101
33,2014-05-02,0.71,0.76,0.71,0.76,6390
34,2014-05-05,0.79,0.79,0.65,0.7,25295
35,2014-05-06,0.71,0.71,0.65,0.65,81
36,2014-05-07,0.71,0.71,0.7,0.71,2088
37,2014-05-09,0.71,0.71,0.71,0.71,1700
38,2014-05-12,0.69,0.69,0.69,0.69,1600
39,2014-05-13,0.69,0.69,0.69,0.69,150
40,2014-05-14,0.69,0.72,0.69,0.72,200
41,2014-05-15,0.69,0.73,0.69,0.73,200
42,2014-05-19,0.71,0.71,0.71,0.71,30
43,2014-05-21,0.71,0.71,0.64,0.64,2200
44,2014-05-22,0.72,0.72,0.6,0.62,9900
45,2014-05-23,0.6,0.62,0.6,0.62,1109
46,2014-05-26,0.62,0.64,0.56,0.56,4731
47,2014-05-27,0.57,0.67,0.57,0.58,14875
48,2014-05-28,0.59,0.64,0.59,0.6,7100
49,2014-05-29,0.65,0.65,0.59,0.59,3450
50,2014-05-30,0.59,0.59,0.59,0.59,5100
51,2014-06-02,0.6,0.6,0.6,0.6,400
