,Date,Open,High,Low,Close,Volume
0,2011-12-07,0.19,0.23,0.17,0.23,1697556
1,2011-12-08,0.27,0.32,0.25,0.3,1367705
2,2011-12-09,0.3,0.32,0.24,0.26,696024
3,2011-12-12,0.24,0.24,0.16,0.16,459177
4,2011-12-13,0.18,0.22,0.16,0.2,272682
5,2011-12-14,0.19,0.23,0.18,0.18,300741
6,2011-12-15,0.17,0.18,0.16,0.18,90199
7,2011-12-16,0.17,0.18,0.15,0.17,113188
8,2011-12-19,0.15,0.16,0.12,0.15,166803
9,2011-12-20,0.13,0.14,0.12,0.12,149071
10,2011-12-21,0.14,0.16,0.13,0.16,199157
11,2011-12-22,0.18,0.18,0.14,0.14,156308
12,2011-12-23,0.13,0.15,0.13,0.15,38769
13,2011-12-27,0.13,0.15,0.12,0.15,39234
14,2011-12-28,0.13,0.15,0.13,0.14,40895
15,2011-12-29,0.13,0.13,0.12,0.13,31684
16,2011-12-30,0.12,0.15,0.12,0.15,93146
17,2012-01-02,0.15,0.15,0.13,0.15,30650
18,2012-01-03,0.14,0.21,0.13,0.21,184596
19,2012-01-04,0.21,0.21,0.17,0.18,39785
20,2012-01-05,0.16,0.18,0.15,0.18,10400
21,2012-01-09,0.17,0.19,0.17,0.18,36920
22,2012-01-10,0.18,0.21,0.15,0.2,106977
23,2012-01-11,0.2,0.21,0.2,0.21,8210
24,2012-01-12,0.19,0.21,0.18,0.21,33566
25,2012-01-13,0.18,0.18,0.18,0.18,11477
26,2012-01-16,0.17,0.21,0.15,0.21,82082
27,2012-01-17,0.24,0.24,0.19,0.2,33050
28,2012-01-18,0.19,0.22,0.19,0.22,19200
29,2012-01-19,0.22,0.22,0.2,0.22,23034
30,2012-01-20,0.21,0.31,0.21,0.23,430174
31,2012-01-23,0.23,0.32,0.23,0.27,220621
32,2012-01-24,0.31,0.32,0.23,0.25,276508
33,2012-01-25,0.26,0.27,0.22,0.22,77885
34,2012-01-26,0.21,0.26,0.18,0.26,222720
35,2012-01-27,0.26,0.3,0.22,0.24,246246
36,2012-01-30,0.23,0.25,0.19,0.19,264515
37,2012-01-31,0.2,0.22,0.19,0.19,145286
38,2012-02-01,0.2,0.2,0.18,0.19,126990
39,2012-02-02,0.18,0.19,0.18,0.19,10987
40,2012-02-03,0.17,0.2,0.17,0.2,29503
41,2012-02-06,0.2,0.26,0.2,0.22,534518
42,2012-02-07,0.22,0.23,0.21,0.22,83112
43,2012-02-08,0.21,0.21,0.2,0.21,101442
44,2012-02-09,0.21,0.22,0.2,0.21,58960
45,2012-02-10,0.21,0.25,0.21,0.25,430468
46,2012-02-13,0.26,0.37,0.26,0.37,709385
47,2012-02-14,0.39,0.44,0.3,0.3,1128912
48,2012-02-15,0.31,0.31,0.28,0.31,270610
49,2012-02-16,0.31,0.37,0.29,0.37,224612
50,2012-02-17,0.36,0.41,0.35,0.4,250622
51,2012-02-20,0.41,0.53,0.36,0.47,515520
52,2012-02-21,0.47,0.5,0.43,0.46,309813
