,Date,Open,High,Low,Close,Volume
0,2011-05-04,7.1069,7.3588,6.9428,6.9558,389727
1,2011-05-05,6.9688,6.9688,6.6098,6.8108,70862
2,2011-05-06,6.893,6.893,6.7421,6.805,122243
3,2011-05-09,6.8236,6.8615,6.7921,6.8236,33493
4,2011-05-10,6.8302,6.8737,6.6221,6.7921,16275
5,2011-05-11,6.6535,6.8108,6.6535,6.7357,35832
6,2011-05-12,6.66,6.7986,6.6471,6.7543,10697
7,2011-05-13,6.7479,6.7986,6.6786,6.7986,65077
8,2011-05-16,6.685,6.7986,6.685,6.7986,35761
9,2011-05-17,6.7921,6.7986,6.66,6.6786,52720
10,2011-05-18,6.6786,6.7921,6.6285,6.7921,37366
11,2011-05-19,6.7921,6.7986,6.7671,6.7736,7279
12,2011-05-20,6.6786,6.7671,6.6786,6.7357,929
13,2011-05-23,6.685,6.7986,6.6663,6.7986,26854
14,2011-05-24,6.7043,6.8108,6.6098,6.8108,293042
15,2011-05-25,6.7357,6.7986,6.7357,6.7986,6154
16,2011-05-26,6.7986,6.8236,6.7671,6.8236,6292
17,2011-05-27,6.8172,7.2079,6.8172,7.2079,455481
18,2011-05-30,7.1824,7.2391,7.1193,7.1758,21082
19,2011-05-31,7.1257,7.2391,7.1193,7.2325,25534
20,2011-06-01,7.2201,7.2325,7.1636,7.1693,17267
21,2011-06-02,7.1636,7.1758,7.1134,7.1134,22240
22,2011-06-03,7.0502,7.1446,7.0502,7.1446,20027
23,2011-06-06,7.1758,7.1758,7.0438,7.0814,7659
24,2011-06-07,7.1324,7.1758,7.0881,7.1134,4602
25,2011-06-08,7.0814,7.1134,7.0749,7.0749,11844
26,2011-06-09,7.1004,7.1004,6.9246,7.0,9888
27,2011-06-10,6.9311,7.0125,6.9311,7.006,369860
28,2011-06-13,7.0,7.0438,6.9246,6.987,4888
29,2011-06-14,6.9688,7.006,6.9624,7.0,7942
30,2011-06-15,6.9428,6.9806,6.9428,6.9428,14419
