,Date,Open,High,Low,Close,Volume
0,2012-01-04,0.6325,0.9036,0.6256,0.7438,152382
1,2012-01-05,0.7159,0.7159,0.6465,0.6882,15657
2,2012-01-09,0.6604,0.6951,0.6256,0.6951,18463
3,2012-01-10,0.6535,0.6951,0.6535,0.6812,2609
4,2012-01-11,0.6882,0.6882,0.6604,0.6882,4081
5,2012-01-12,0.6882,0.6951,0.6604,0.6951,3372
6,2012-01-13,0.6882,0.6882,0.6882,0.6882,1
7,2012-01-16,0.6256,0.6882,0.5561,0.6882,15527
8,2012-01-17,0.6951,0.6951,0.6256,0.6951,8804
9,2012-01-18,0.5979,0.6535,0.5909,0.6535,10538
10,2012-01-19,0.5979,0.6535,0.5909,0.6535,5823
11,2012-01-20,0.6535,0.6535,0.6535,0.6535,28
12,2012-01-23,0.6535,0.6744,0.6395,0.6744,8461
13,2012-01-24,0.6744,0.6744,0.6604,0.6744,10529
14,2012-01-25,0.6882,0.6882,0.6256,0.6465,8464
15,2012-01-26,0.6465,0.7091,0.6465,0.7091,20903
16,2012-01-27,0.7022,0.7159,0.6951,0.7091,7402
17,2012-01-30,0.7091,0.7159,0.7091,0.7159,8817
18,2012-01-31,0.7159,0.7159,0.6951,0.6951,1900
19,2012-02-01,0.7159,0.7159,0.6951,0.6951,28
20,2012-02-02,0.6951,0.6951,0.6535,0.6604,7666
21,2012-02-03,0.6604,0.6604,0.6604,0.6604,28
22,2012-02-06,0.6604,0.6604,0.6604,0.6604,28
23,2012-02-07,0.6604,0.6604,0.6465,0.6604,5318
24,2012-02-08,0.6604,0.6604,0.6256,0.6604,2186
25,2012-02-09,0.6604,0.6951,0.6535,0.6951,95630
26,2012-02-10,0.6812,0.7438,0.6812,0.6951,12055
27,2012-02-13,0.7647,0.7647,0.7647,0.7647,15
28,2012-02-14,0.7647,0.7647,0.7578,0.7578,157
29,2012-02-15,0.7647,0.9177,0.7647,0.9177,14848
30,2012-02-16,0.9177,0.9177,0.9036,0.9036,330
31,2012-02-17,0.9036,1.0079,0.9036,1.0079,4976
32,2012-02-20,1.0776,1.0776,1.0776,1.0776,213
33,2012-02-21,1.0776,1.0776,1.0079,1.0429,6555
34,2012-02-22,1.0705,1.0776,1.0498,1.0776,1538
35,2012-02-23,1.0776,1.0776,1.0776,1.0776,340
36,2012-02-24,1.0776,1.1818,1.0776,1.1818,13436
37,2012-02-27,1.1818,1.1818,1.1818,1.1818,144
38,2012-02-28,1.3069,1.3069,1.1818,1.1818,1628
39,2012-02-29,1.1818,1.1818,1.1818,1.1818,28
40,2012-03-01,1.1888,1.2165,1.1888,1.1888,1353
41,2012-03-02,1.1956,1.1956,1.1679,1.1679,7198
42,2012-03-05,1.147,1.147,1.147,1.147,28
43,2012-03-07,1.147,1.147,1.1124,1.1124,5293
44,2012-03-13,1.1124,1.1124,1.1124,1.1124,13
45,2012-03-15,1.1054,1.1054,1.0913,1.0913,28
46,2012-03-16,1.0913,1.0913,1.0913,1.0913,130
47,2012-03-19,1.0845,1.0845,1.0776,1.0776,14
