,Date,Open,High,Low,Close,Volume
0,2006-08-10,6.3643,7.1966,6.1685,6.5601,1762761
1,2006-08-11,6.8049,6.8539,6.3643,6.4622,216384
2,2006-08-14,6.4133,6.5601,6.2174,6.5112,60654
3,2006-08-16,6.5112,6.6091,6.2174,6.2664,66752
4,2006-08-17,6.2174,6.2174,5.9237,6.1195,88183
5,2006-08-18,6.1195,6.1195,5.7768,6.0216,47763
6,2006-08-21,6.0216,6.0216,5.7768,5.8258,29323
7,2006-08-22,5.7768,5.8258,5.4831,5.7279,70160
8,2006-08-23,5.7768,6.0216,5.63,6.0216,37119
9,2006-08-24,5.9237,6.0216,5.7768,5.9237,28920
10,2006-08-25,5.8258,5.9237,5.63,5.8747,43242
11,2006-08-28,5.7279,5.8747,5.6789,5.7279,8763
12,2006-08-29,5.6789,5.8258,5.63,5.6789,22134
13,2006-08-30,5.581,5.8258,5.581,5.8258,14841
14,2006-08-31,5.8258,5.9237,5.6789,5.8747,7001
15,2006-09-01,5.7768,5.8552,5.6691,5.7768,17168
16,2006-09-04,5.6985,5.8258,5.6202,5.767,24268
17,2006-09-05,5.6593,5.7572,5.6397,5.7475,20251
18,2006-09-06,5.6887,5.7279,5.3852,5.6691,23705
19,2006-09-07,5.581,5.816,5.581,5.8062,15138
20,2006-09-08,5.7083,5.816,5.6985,5.8062,15736
21,2006-09-11,5.6985,5.816,5.6202,5.6789,24247
22,2006-09-12,5.6789,5.7279,5.63,5.6495,16341
23,2006-09-13,5.63,5.7866,5.6006,5.6985,4938
24,2006-09-14,5.6789,5.767,5.63,5.7083,4312
25,2006-09-15,5.7768,5.7768,5.6202,5.7377,4581
26,2006-09-18,5.7572,5.7572,5.581,5.6887,12023
27,2006-09-19,5.5712,5.6887,5.532,5.6887,19846
28,2006-09-20,5.5712,5.6691,5.4831,5.581,20940
29,2006-09-21,5.6104,5.6104,5.2873,5.3852,30240
30,2006-09-22,5.3852,5.5125,5.2775,5.4341,30991
31,2006-09-25,5.63,5.767,5.6104,5.7279,83854
32,2006-09-26,5.767,5.8258,5.6789,5.8258,29901
33,2006-09-27,5.8552,5.8552,5.532,5.6593,17385
34,2006-09-28,5.767,5.7964,5.532,5.767,25805
35,2006-09-29,5.6593,5.767,5.6202,5.767,7048
36,2006-10-02,5.6593,5.7181,5.5614,5.6789,5812
37,2006-10-03,5.7279,5.7279,5.6202,5.6887,20807
38,2006-10-04,5.7377,5.8258,5.6789,5.8062,28476
39,2006-10-05,5.8649,5.9727,5.8062,5.9237,25961
40,2006-10-06,5.9041,5.9237,5.8552,5.9139,6680
41,2006-10-09,5.9139,5.9727,5.8356,5.9629,24699
42,2006-10-10,5.9727,5.9727,5.8943,5.8943,15082
43,2006-10-11,5.9335,5.9629,5.8356,5.9237,7218
44,2006-10-12,5.8258,5.9139,5.7964,5.8747,502
45,2006-10-13,5.767,5.8747,5.6397,5.8454,7149
46,2006-10-16,5.7475,5.8454,5.6887,5.7768,19794
47,2006-10-17,5.6985,5.8454,5.6985,5.816,6134
48,2006-10-18,5.816,5.8454,5.6887,5.6985,29240
49,2006-10-19,5.6789,5.8454,5.6789,5.8062,4089
50,2006-10-20,5.7866,5.9531,5.7866,5.9237,26285
51,2006-10-23,5.9237,5.9237,5.8356,5.8747,13338
52,2006-10-24,5.8356,5.8649,5.7768,5.8649,28054
53,2006-10-25,5.8552,5.8552,5.7377,5.8258,76235
54,2006-10-26,5.7768,5.8747,5.7768,5.8747,80928
55,2006-10-27,5.7866,5.8747,5.7768,5.7866,18859
56,2006-10-30,5.7377,5.8258,5.7377,5.8258,18143
57,2006-10-31,5.7768,5.816,5.767,5.816,8927
58,2006-11-02,5.8747,5.9041,5.7768,5.8552,31039
59,2006-11-03,5.7866,5.7964,5.7768,5.7866,38472
60,2006-11-06,5.7768,5.8552,5.7475,5.7572,147751
61,2006-11-07,5.6985,5.8258,5.6985,5.8062,7792
62,2006-11-08,5.7083,5.767,5.7083,5.7377,61073
63,2006-11-09,5.7377,5.816,5.7279,5.7279,12832
64,2006-11-10,5.7377,6.1978,5.7377,5.9824,524670
65,2006-11-13,6.0706,6.0706,5.8747,6.002,91498
66,2006-11-14,5.9824,6.002,5.9433,6.002,12512
67,2006-11-15,6.0412,6.0412,5.8943,5.9139,20817
68,2006-11-16,5.9139,6.0412,5.8943,6.0118,4295
69,2006-11-17,6.0118,6.0118,5.8747,5.8747,15516
70,2006-11-20,5.8258,5.9922,5.8258,5.9922,28512
71,2006-11-21,6.0118,6.7657,5.9727,6.7657,1133255
72,2006-11-22,6.8441,7.0497,6.707,7.0399,161233
73,2006-11-23,7.0399,7.0399,6.8441,7.0007,47635
74,2006-11-24,6.8637,7.2455,6.8539,7.2455,117036
75,2006-11-27,7.2455,8.8121,7.1476,8.8023,622090
76,2006-11-28,8.4694,10.77,8.2246,10.77,532371
77,2006-11-29,11.26,13.62,10.878,11.064,623280
78,2006-11-30,11.309,13.218,11.309,13.199,449646
79,2006-12-01,12.876,13.453,12.327,12.327,388686
80,2006-12-04,12.445,14.55,12.347,14.55,289977
81,2006-12-05,14.383,14.383,13.512,13.864,188555
82,2006-12-06,13.894,13.894,12.778,13.61,90620
83,2006-12-07,12.239,16.058,11.456,14.07,458148
84,2006-12-08,14.687,15.813,13.512,15.666,546654
85,2006-12-11,15.284,17.184,15.284,17.125,255980
86,2006-12-12,17.125,17.282,16.273,16.44,86286
87,2006-12-13,16.097,16.929,15.715,16.743,56809
88,2006-12-14,16.4,16.841,14.785,14.795,84868
89,2006-12-15,14.589,14.589,11.847,12.533,237635
90,2006-12-18,12.543,13.776,12.533,13.257,114957
91,2006-12-19,13.316,13.512,11.554,11.642,41224
92,2006-12-20,12.19,12.239,10.77,11.358,78348
93,2006-12-21,11.123,11.407,10.486,11.015,62440
94,2006-12-22,11.24,11.24,9.772,9.791,122175
95,2006-12-27,9.693,10.575,9.2038,9.811,148174
96,2006-12-28,9.987,10.193,9.595,9.742,62381
97,2006-12-29,9.938,9.938,9.0079,9.3017,95781
98,2007-01-02,9.3017,9.3996,8.8121,9.2038,57853
99,2007-01-03,9.2233,11.054,9.1058,10.575,374588
100,2007-01-04,10.281,10.281,9.791,9.899,130539
101,2007-01-05,9.791,10.379,9.791,10.183,75434
102,2007-01-08,10.193,10.349,9.889,9.899,56663
103,2007-01-09,9.899,10.046,9.3996,9.674,37391
