,Date,Open,High,Low,Close,Volume
0,2013-03-25,3.3332,4.0,3.3332,4.0,27649.0
1,2013-03-26,4.8,5.3332,3.0932,3.0932,73106.0
2,2013-03-27,3.28,3.6,2.6668,2.6668,24144.0
3,2013-03-28,2.6932,3.0668,2.6932,3.0668,6083.0
4,2013-04-02,3.1468,4.0,3.1468,4.0,5228.0
5,2013-04-03,4.3468,4.48,3.4668,3.4668,6824.0
6,2013-04-04,3.76,3.76,2.7468,2.7468,10363.0
7,2013-04-05,2.6132,2.8268,2.48,2.8268,17858.0
8,2013-04-08,2.7732,2.9068,2.56,2.56,6843.0
9,2013-04-09,2.56,2.5868,2.5068,2.5068,2643.0
10,2013-04-10,2.4268,2.5068,2.1332,2.3468,14019.0
11,2013-04-11,2.16,2.4532,2.1068,2.16,2448.0
12,2013-04-12,2.16,2.5868,2.1068,2.5868,2258.0
13,2013-04-15,2.2668,2.6668,2.2668,2.6668,2017.0
14,2013-04-17,2.6132,2.6132,2.3468,2.3468,1631.0
15,2013-04-18,2.3468,2.3468,1.8933,1.8933,10964.0
16,2013-04-19,1.8933,1.8933,1.7067,1.76,4785.0
17,2013-04-22,1.84,2.0,1.84,1.84,3108.0
18,2013-04-23,1.84,2.0532,1.84,2.0532,3394.0
19,2013-04-24,2.0,2.08,1.9467,2.08,2438.0
20,2013-04-25,2.0268,2.0268,1.92,1.92,922.0
21,2013-04-26,1.8933,1.8933,1.8933,1.8933,1463.0
22,2013-04-29,1.8933,1.8933,1.7867,1.7867,709.0
23,2013-04-30,1.7867,1.84,1.7867,1.84,1350.0
24,2013-05-02,1.7867,1.7867,1.7867,1.7867,559.0
25,2013-05-06,1.8133,1.8133,1.7867,1.7867,83.0
26,2013-05-07,1.8133,1.8133,1.6267,1.7067,1313.0
27,2013-05-08,1.6533,1.8667,1.6533,1.8667,1611.0
28,2013-05-09,1.8933,2.0532,1.8933,2.0532,176.0
29,2013-05-10,2.0532,2.4532,2.0532,2.3732,2857.0
30,2013-05-13,2.6668,3.2,2.6668,2.88,9303.0
31,2013-05-14,2.7732,2.7732,2.3732,2.5868,2537.0
32,2013-05-15,2.56,2.56,2.1868,2.2668,3577.0
33,2013-05-16,2.3468,2.3468,2.0532,2.2132,1725.0
34,2013-05-17,2.1332,2.1332,2.1068,2.1332,203.0
35,2013-05-20,2.1332,2.4532,2.0,2.4532,882.0
36,2013-05-21,2.0,2.0,2.0,2.0,863.0
37,2013-05-22,2.0,2.0,2.0,2.0,56.0
38,2013-05-23,1.9467,1.9467,1.7333,1.84,525.0
39,2013-05-24,1.7067,2.0268,1.68,2.0268,3374.0
40,2013-05-27,2.0268,2.0268,1.8667,1.8667,769.0
41,2013-05-28,1.8667,2.24,1.8667,2.0268,3931.0
42,2013-05-29,2.16,2.16,2.16,2.16,4.0
43,2013-05-31,2.16,2.3732,2.1068,2.3732,4614.0
44,2013-06-03,2.3732,2.7732,2.3732,2.7732,3506.0
45,2013-06-04,2.7732,2.7732,2.24,2.48,1519.0
46,2013-06-05,2.2132,2.4268,2.2132,2.4268,758.0
47,2013-06-06,2.24,2.2668,2.1332,2.2132,2121.0
48,2013-06-07,2.1868,2.32,2.1868,2.32,69.0
49,2013-06-10,2.32,2.32,2.32,2.32,11.0
50,2013-06-11,2.32,2.32,2.1068,2.1068,703.0
51,2013-06-13,2.1068,2.1068,2.1068,2.1068,38.0
52,2013-06-14,2.1068,2.1868,2.0532,2.1868,1162.0
53,2013-06-17,2.0532,2.1068,2.0532,2.1068,379.0
54,2013-06-18,2.0,2.0,1.9467,1.9467,2288.0
55,2013-06-19,1.9467,1.9467,1.9467,1.9467,38.0
56,2013-06-24,1.8667,2.0,1.8667,2.0,619.0
57,2013-06-25,1.92,1.92,1.92,1.92,38.0
58,2013-06-26,1.8933,1.8933,1.84,1.84,750.0
59,2013-06-27,1.8933,1.8933,1.84,1.84,769.0
60,2013-07-01,1.84,1.9733,1.84,1.9733,2417.0
61,2013-07-02,1.8667,1.8667,1.68,1.8667,188.0
62,2013-07-09,1.7333,1.76,1.52,1.6,2455.0
63,2013-07-10,1.44,1.5467,1.44,1.5467,287.0
64,2013-07-11,1.5467,2.1868,1.5467,2.1868,18618.0
65,2013-07-12,2.16,2.2668,1.92,2.2668,4128.0
66,2013-07-15,2.2668,2.2668,2.0,2.08,484.0
67,2013-07-16,1.92,1.92,1.6267,1.7333,2161.0
68,2013-07-17,1.68,1.7333,1.6267,1.7333,767.0
69,2013-07-19,1.84,1.84,1.84,1.84,75.0
70,2013-07-22,1.8667,1.8667,1.8667,1.8667,10.0
71,2013-07-23,1.7867,1.8667,1.7867,1.7867,425.0
72,2013-07-25,1.8667,1.8667,1.8667,1.8667,10.0
73,2013-07-26,1.8667,1.8667,1.8667,1.8667,8.0
74,2013-07-29,1.8667,1.8667,1.8667,1.8667,10.0
75,2013-07-30,1.8667,1.8667,1.6,1.6,197.0
76,2013-07-31,1.5467,1.6533,1.4667,1.4667,2812.0
77,2013-08-01,1.4667,1.76,1.4667,1.5733,1051.0
78,2013-08-02,1.52,1.52,1.52,1.52,38.0
79,2013-08-05,1.52,1.7333,1.52,1.6533,516.0
80,2013-08-08,1.76,1.9733,1.76,1.9733,1232.0
81,2013-08-09,1.92,1.92,1.92,1.92,750.0
82,2013-08-12,1.8133,1.84,1.5467,1.7067,2709.0
83,2013-08-13,1.7067,1.7067,1.7067,1.7067,38.0
84,2013-08-14,1.5467,1.7067,1.4133,1.7067,563.0
85,2013-08-16,1.7067,1.7067,1.7067,1.7067,15.0
86,2013-08-19,1.7067,1.7067,1.7067,1.7067,19.0
87,2013-08-20,1.7067,1.7067,1.7067,1.7067,11.0
88,2013-08-21,1.7067,1.7067,1.7067,1.7067,11.0
89,2013-08-22,1.7067,2.0268,1.7067,1.8667,3310.0
90,2013-08-26,1.8667,2.24,1.8667,2.16,2586.0
91,2013-08-27,2.16,2.2932,2.16,2.2932,13.0
92,2013-08-28,2.16,2.2932,2.08,2.2932,2153.0
93,2013-08-30,2.2932,2.4268,2.2932,2.4268,3450.0
94,2013-09-02,2.4,2.4,2.4,2.4,11.0
95,2013-09-03,2.4,2.4,2.0268,2.16,1379.0
96,2013-09-05,2.0532,2.0532,1.92,1.92,188.0
97,2013-09-06,1.8667,1.8667,1.2,1.3333,14194.0
98,2013-09-10,1.3333,1.4933,1.28,1.4933,129.0
99,2013-09-11,1.4933,1.7867,1.3333,1.6,11693.0
100,2013-09-12,1.6267,1.76,1.4933,1.7067,1404.0
101,2013-09-13,1.7867,1.7867,1.7333,1.7333,638.0
102,2013-09-16,1.6533,1.6533,1.36,1.5467,2315.0
103,2013-09-17,1.4667,1.5467,1.3333,1.5467,994.0
104,2013-09-18,1.5467,1.5467,1.5467,1.5467,38.0
105,2013-09-19,1.5467,1.5467,1.2533,1.5467,480.0
106,2013-09-20,1.5467,1.5467,1.5467,1.5467,19.0
107,2013-09-23,1.5467,1.5467,1.5467,1.5467,95.0
108,2013-09-24,1.5467,1.5467,1.2533,1.2533,1436.0
109,2013-09-25,1.2533,1.2533,1.1467,1.2,4052.0
110,2013-09-26,1.2533,1.2533,1.2533,1.2533,15.0
111,2013-09-30,1.2533,1.2533,1.2533,1.2533,11.0
112,2013-10-01,1.2533,1.2533,1.2533,1.2533,11.0
113,2013-10-02,1.2267,1.2267,1.2267,1.2267,19.0
114,2013-10-03,1.2267,1.2267,0.9867,0.9867,199.0
115,2013-10-04,1.0667,1.0667,1.0667,1.0667,38.0
116,2013-10-08,1.04,1.04,0.9333,1.0133,2250.0
117,2013-10-14,1.0133,1.0133,1.0133,1.0133,38.0
118,2013-10-16,1.0133,1.0933,1.0133,1.0933,2065.0
119,2013-10-17,1.0667,1.12,1.0667,1.12,2848.0
120,2013-10-18,1.0667,1.2267,1.0133,1.0667,9434.0
121,2013-10-21,1.2,1.3867,1.0667,1.3333,14464.0
122,2013-10-22,1.3333,1.6533,1.3333,1.4667,23307.0
123,2013-10-23,1.44,1.44,1.2533,1.2533,25801.0
124,2013-10-24,1.12,1.12,1.0667,1.0933,4082.0
125,2013-10-25,1.0667,1.0933,1.0667,1.0933,508.0
126,2013-10-28,1.1733,1.3867,1.0933,1.1733,29153.0
127,2013-10-29,1.1733,1.1733,0.9867,1.0133,12130.0
128,2013-10-30,1.04,1.0933,1.04,1.0667,5584.0
129,2013-10-31,1.0933,1.0933,1.0933,1.0933,38.0
130,2013-11-04,1.0933,1.0933,0.96,0.96,17095.0
131,2013-11-05,0.96,1.04,0.96,1.04,1163.0
132,2013-11-06,1.04,1.04,1.04,1.04,19.0
133,2013-11-07,1.0133,1.0133,0.9067,0.9067,1969.0
134,2013-11-08,0.9333,0.9333,0.9333,0.9333,143.0
135,2013-11-12,0.9067,0.9067,0.9067,0.9067,694.0
136,2013-11-13,0.88,0.9067,0.8,0.9067,3105.0
137,2013-11-14,0.9333,1.04,0.9333,0.96,3713.0
138,2013-11-18,1.0133,1.0133,1.0133,1.0133,23.0
139,2013-11-19,1.04,1.04,0.8533,0.8533,7943.0
140,2013-11-20,0.8533,0.8533,0.8,0.8533,863.0
141,2013-11-21,0.8533,0.8533,0.8533,0.8533,19.0
142,2013-11-22,0.8533,0.9867,0.8533,0.96,29366.0
143,2013-11-25,0.9867,1.3333,0.9867,1.1467,73733.0
144,2013-11-26,1.2533,1.36,1.2,1.2267,47440.0
145,2013-11-27,1.28,1.28,0.88,1.1467,30285.0
146,2013-11-28,1.1467,1.1467,0.9333,1.0133,18499.0
147,2013-11-29,1.0667,1.0933,0.9867,1.0667,14847.0
148,2013-12-02,1.0667,1.0667,1.0667,1.0667,1125.0
149,2013-12-03,1.0667,1.12,1.0667,1.0933,16801.0
150,2013-12-04,1.0933,1.0933,1.0667,1.0667,1369.0
151,2013-12-05,1.0667,1.0667,1.0667,1.0667,34.0
152,2013-12-06,1.0667,1.0667,0.9333,1.0133,5322.0
153,2013-12-09,1.04,1.04,0.9333,1.0133,14496.0
154,2013-12-10,1.0133,1.3333,1.0133,1.2533,58716.0
155,2013-12-11,1.2533,1.2533,1.04,1.04,13568.0
156,2013-12-12,1.04,1.04,0.9867,0.9867,16715.0
157,2013-12-13,0.9867,1.1733,0.9867,1.12,10590.0
158,2013-12-16,1.0933,1.1467,1.0133,1.1467,1275.0
159,2013-12-17,1.1467,1.1467,1.0133,1.12,2775.0
160,2013-12-18,1.12,1.12,1.0133,1.0133,4894.0
161,2013-12-19,1.0133,1.0933,1.0133,1.0933,16725.0
162,2013-12-20,1.12,1.2533,1.12,1.1733,16423.0
163,2013-12-23,1.2267,1.2533,1.1467,1.2533,14584.0
164,2013-12-27,1.28,1.8133,1.28,1.8133,81764.0
165,2013-12-30,1.8133,1.8133,1.36,1.36,44079.0
166,2014-01-02,1.44,1.4667,1.3067,1.44,5075.0
167,2014-01-03,1.44,1.44,1.2267,1.3067,6795.0
168,2014-01-07,1.2533,1.3333,1.2,1.2,11761.0
169,2014-01-08,1.2267,1.4667,1.2,1.3333,21621.0
170,2014-01-09,1.3333,1.44,1.3067,1.3067,1913.0
171,2014-01-10,1.4133,1.4133,1.4133,1.4133,184.0
172,2014-01-13,1.44,1.44,1.2267,1.4133,424.0
173,2014-01-14,1.4133,1.4133,1.2533,1.28,14250.0
174,2014-01-15,1.28,1.28,1.2533,1.2533,2195.0
175,2014-01-16,1.3067,1.3067,1.28,1.28,1755.0
176,2014-01-17,1.28,1.36,1.28,1.36,1360.0
177,2014-01-20,1.36,1.76,1.36,1.4667,24145.0
178,2014-01-21,1.7067,1.76,1.4667,1.52,8642.0
179,2014-01-22,1.52,1.52,1.4133,1.4133,3131.0
180,2014-01-23,1.4133,1.44,1.4133,1.44,1424.0
181,2014-01-24,1.44,1.4667,1.36,1.36,9007.0
182,2014-01-27,1.3333,1.3333,1.3067,1.3067,2438.0
183,2014-01-28,1.3333,1.6,1.3067,1.52,27253.0
184,2014-01-29,1.5467,2.0532,1.5467,1.8933,76717.0
185,2014-01-30,2.0,2.16,1.9733,2.0532,13715.0
186,2014-01-31,2.0532,2.2132,1.9733,2.2132,54356.0
187,2014-02-03,2.2132,2.2668,2.08,2.24,13679.0
188,2014-02-04,2.24,2.2668,1.9733,2.2668,57193.0
189,2014-02-05,2.2932,2.5068,2.2932,2.5068,13615.0
190,2014-02-06,2.5068,2.5068,2.32,2.48,4250.0
191,2014-02-07,2.4,2.5332,2.3468,2.5332,14734.0
192,2014-02-10,2.4532,2.8268,2.3468,2.8268,29113.0
193,2014-02-11,2.8268,2.8532,2.6932,2.8532,9256.0
194,2014-02-12,2.7732,2.8532,2.6932,2.6932,5410.0
195,2014-02-13,2.6932,2.8268,2.6932,2.8268,1559.0
196,2014-02-14,3.3332,3.44,3.28,3.4132,43071.0
197,2014-02-17,3.36,3.4668,3.28,3.36,20742.0
198,2014-02-18,3.36,3.4132,2.9868,2.9868,11915.0
199,2014-02-19,2.9332,3.2532,2.8532,3.1732,2587.0
200,2014-02-20,3.0932,3.1468,2.9332,2.9332,3750.0
201,2014-02-21,2.9332,3.28,2.8,3.2,1128.0
202,2014-02-24,3.2,3.2,2.8532,3.04,710.0
203,2014-02-25,2.96,2.96,2.72,2.72,1125.0
204,2014-02-26,2.6932,2.7732,2.6932,2.7732,143.0
205,2014-02-27,2.72,2.72,2.4,2.4,2037.0
206,2014-02-28,2.16,2.3732,2.1332,2.3732,2945.0
207,2014-03-03,2.24,2.24,1.9733,2.16,1915.0
208,2014-03-04,2.16,2.2932,2.1332,2.2932,1212.0
209,2014-03-05,2.2932,2.3468,2.08,2.3468,2422.0
210,2014-03-06,2.3732,2.3732,2.2932,2.2932,75.0
211,2014-03-07,2.2132,2.2132,2.1332,2.2132,371.0
212,2014-03-10,2.2132,2.2132,2.1332,2.1332,767.0
213,2014-03-12,2.24,2.24,1.9467,1.9467,7674.0
214,2014-03-13,1.8933,1.8933,1.8933,1.8933,825.0
215,2014-03-14,1.9467,2.2132,1.9467,2.2132,1194.0
216,2014-03-17,2.2132,2.2668,1.92,2.2132,8564.0
217,2014-03-18,1.92,2.0,1.68,2.0,2779.0
218,2014-03-19,1.68,1.92,1.6,1.92,2228.0
219,2014-03-20,1.92,1.92,1.92,1.92,506.0
220,2014-03-21,1.84,1.84,1.6,1.6267,2362.0
221,2014-03-24,1.6267,1.6267,1.6267,1.6267,806.0
222,2014-03-25,1.7333,1.8667,1.7333,1.7333,338.0
223,2014-03-26,1.68,1.68,1.5467,1.5467,1865.0
224,2014-03-27,1.6,1.6,1.5467,1.5467,2263.0
225,2014-03-28,1.4933,1.4933,1.4933,1.4933,38.0
226,2014-03-31,1.4933,1.4933,1.4933,1.4933,38.0
