,Date,Open,High,Low,Close,Volume
0,2009-05-26,4.5911,4.5911,3.9632,3.9632,770105
1,2009-05-27,4.078,4.3075,4.0508,4.0577,158949
2,2009-05-28,4.2399,4.2399,3.9024,3.9159,23626
3,2009-05-29,3.8977,4.2529,3.8624,4.2529,51064
4,2009-06-01,4.4223,5.0299,4.4223,4.7261,118465
5,2009-06-02,4.9286,5.0299,4.5911,4.6923,87081
6,2009-06-03,4.8475,4.8613,4.3886,4.5236,296899
7,2009-06-04,4.5236,4.6587,4.456,4.5843,25171
8,2009-06-05,4.6923,4.7261,4.6045,4.6518,17977
9,2009-06-08,4.6923,4.6923,4.1927,4.5236,15899
10,2009-06-09,4.456,4.5911,4.456,4.5034,44381
11,2009-06-10,4.456,4.6452,4.456,4.456,14115
12,2009-06-12,4.5236,4.5236,4.321,4.4898,8585
13,2009-06-15,4.4493,4.4493,4.2198,4.3751,30620
14,2009-06-16,4.2198,4.3412,4.2198,4.2535,50031
15,2009-06-17,4.2399,4.3886,4.0508,4.2535,18943
16,2009-06-18,4.105,4.2602,4.0508,4.2602,13788
17,2009-06-19,4.3684,4.3684,4.1523,4.321,3855
18,2009-06-22,4.321,4.321,4.0577,4.0643,5396
19,2009-06-23,4.1859,4.5777,4.1859,4.456,65597
20,2009-06-24,4.5911,4.5911,4.321,4.4493,12883
21,2009-06-25,4.456,4.456,4.2129,4.2129,5427
22,2009-06-26,4.4493,4.4898,4.4493,4.456,5321
23,2009-06-29,4.3481,4.5843,4.3481,4.5843,24240
24,2009-06-30,4.5573,4.5843,4.3886,4.5843,43854
25,2009-07-01,4.3953,4.4223,4.3886,4.4223,50958
26,2009-07-02,4.4629,4.5236,4.3547,4.3547,21081
27,2009-07-03,4.321,4.5102,4.267,4.5102,10153
28,2009-07-06,4.5034,4.5034,4.5034,4.5034,1452
29,2009-07-07,4.4898,4.4898,4.1523,4.3143,17403
30,2009-07-08,4.0847,4.1859,4.0508,4.1859,40510
31,2009-07-09,4.2535,4.2535,4.0847,4.1657,8474
