,Date,Open,High,Low,Close,Volume
0,2007-07-16,8.8716,9.4039,8.8403,9.3709,16537376
1,2007-07-17,9.523,9.625,9.3431,9.3431,18529926
2,2007-07-18,9.3431,9.505,9.3431,9.4542,18545945
3,2007-07-19,9.4986,9.549,9.2115,9.4601,23281051
4,2007-07-20,9.505,9.663,8.9305,8.9305,13227644
5,2007-07-23,9.2681,9.4542,9.0825,9.2883,9097854
6,2007-07-24,9.4661,9.4661,8.5734,8.5734,9128178
7,2007-07-25,8.6365,8.9241,8.2984,8.879,6537773
8,2007-07-26,8.9554,9.0632,8.3997,8.3997,8649424
9,2007-07-27,8.1191,8.2905,7.5239,7.7626,6823473
10,2007-07-30,7.8115,8.1454,7.5576,7.5576,9278770
11,2007-07-31,7.8888,7.9201,7.7626,7.9025,6157549
12,2007-08-01,7.7351,8.1691,7.5372,7.9837,25396552
13,2007-08-02,8.0549,8.0549,7.6587,7.7924,3864873
14,2007-08-03,7.8888,7.8888,7.4989,7.6012,4319688
15,2007-08-06,7.5576,7.6587,7.365,7.4543,4708823
16,2007-08-07,7.6328,7.703,7.3587,7.4612,4305767
17,2007-08-08,7.6012,7.6524,7.3458,7.428,5212256
18,2007-08-09,7.3718,7.5505,7.3395,7.4412,5919602
19,2007-08-10,7.2938,7.4989,7.0517,7.2244,7666416
20,2007-08-13,7.3395,7.4096,6.6684,7.0965,9847217
21,2007-08-14,7.0134,7.02,6.6109,6.6621,7123974
22,2007-08-15,6.5345,6.8602,6.1833,6.7899,4904823
23,2007-08-16,6.6878,6.6878,6.2276,6.4004,8233444
24,2007-08-17,6.2598,6.9433,6.2598,6.8219,29337333
25,2007-08-20,6.8985,7.0392,6.4387,6.7899,3169288
26,2007-08-21,7.0392,7.0392,6.4958,6.4958,2833695
27,2007-08-22,6.3875,6.8347,6.3875,6.7899,6179604
28,2007-08-23,6.9239,7.1223,6.8283,6.9878,1983398
29,2007-08-24,6.7452,7.046,6.7452,6.9433,1031324
30,2007-08-28,6.9239,7.0008,6.8347,6.8347,1197949
31,2007-08-29,6.7772,6.9626,6.7516,6.873,5569773
32,2007-08-30,7.0008,7.1284,6.8794,6.9752,1136856
33,2007-08-31,7.1032,7.1032,6.9049,7.0392,3570105
34,2007-09-03,6.9626,7.3458,6.9433,7.3203,2079879
35,2007-09-04,7.1801,7.773,7.1538,7.6524,5319853
36,2007-09-05,7.8824,8.5339,7.8824,8.1006,3212732
37,2007-09-06,8.1632,8.1632,7.7665,8.0549,7920937
38,2007-09-07,8.1632,8.464,7.8953,8.1123,4001718
39,2007-09-10,7.8567,8.1055,7.8567,8.0666,2472429
40,2007-09-11,7.9965,8.4951,7.9965,8.3364,8014852
41,2007-09-12,8.4257,8.4257,7.9025,7.9025,2095028
42,2007-09-13,8.0168,8.0168,7.7553,7.7553,2994248
43,2007-09-14,7.6901,7.8622,7.3458,7.4412,4840747
44,2007-09-17,7.3137,7.6263,7.1989,7.4742,6613874
45,2007-09-18,7.3587,7.6397,7.3587,7.5505,3860592
46,2007-09-19,7.6653,7.9128,7.646,7.716,3113855
47,2007-09-20,7.7279,7.7279,7.3964,7.4227,4321622
48,2007-09-21,7.4035,7.5444,7.1538,7.4412,6135652
49,2007-09-24,7.3326,7.4797,7.2496,7.3518,943101
50,2007-09-25,7.2304,7.2634,6.9878,7.1093,4488020
51,2007-09-26,7.0645,7.1675,6.8219,6.9178,3885195
52,2007-09-27,7.0706,7.1411,6.8923,7.0772,4010202
53,2007-09-28,7.1801,7.1801,6.7325,6.8026,13747803
54,2007-10-01,6.7325,7.2564,6.7325,7.1479,9620371
55,2007-10-02,7.187,7.4543,7.187,7.3781,7701872
56,2007-10-03,7.4543,7.53,7.3271,7.5182,3776557
57,2007-10-04,7.3326,7.6146,7.3326,7.6012,2682913
58,2007-10-05,7.4543,7.5696,7.1159,7.2755,3179851
59,2007-10-08,7.2877,7.4412,7.1801,7.365,3255517
60,2007-10-09,7.1411,7.3718,7.1411,7.2938,4927808
61,2007-10-10,7.3897,7.4227,7.2634,7.365,3505241
62,2007-10-11,7.2938,7.3075,7.1538,7.187,5428980
63,2007-10-12,7.0898,7.3718,7.0898,7.2755,1395757
64,2007-10-15,7.3781,7.4157,7.2938,7.3271,7215478
65,2007-10-16,7.1607,7.2634,6.9813,7.2367,5622196
66,2007-10-17,7.2755,7.7626,7.2755,7.7351,7150227
67,2007-10-18,7.5576,7.6012,7.2564,7.5878,3778338
68,2007-10-19,7.6524,8.3295,7.4473,8.2013,8085189
69,2007-10-22,7.9267,7.9339,7.7351,7.8953,6578527
70,2007-10-23,8.0728,8.1055,7.9532,8.0802,2789639
71,2007-10-24,7.9718,8.1691,7.9718,8.1191,1167965
72,2007-10-25,8.036,8.2413,8.036,8.2413,3124572
73,2007-10-26,8.1055,8.1555,8.0168,8.087,9379896
74,2007-10-29,8.2013,8.2716,8.1962,8.2716,4510843
75,2007-10-30,8.2716,8.6617,8.2716,8.4378,3842293
76,2007-10-31,8.4898,8.4898,8.1632,8.2206,4270105
77,2007-11-01,8.1555,8.3478,7.7424,8.093,2479584
78,2007-11-02,8.0168,8.1243,7.8253,7.9339,2128690
79,2007-11-05,7.8622,7.8622,7.365,7.5505,2362870
80,2007-11-06,7.5813,7.7279,7.4157,7.6397,2472448
81,2007-11-07,7.6012,7.6012,7.2434,7.5056,1436274
82,2007-11-08,7.3458,7.5113,7.2176,7.4096,2100016
83,2007-11-09,7.365,7.5633,7.1479,7.4674,1505851
84,2007-11-12,7.4157,7.5239,7.2108,7.3271,1024842
