,Date,Open,High,Low,Close,Volume
0,2021-04-07,42.4,43.0,29.2,32.4,26854
1,2021-04-08,32.395,32.395,29.21,32.0,3114
2,2021-04-09,31.5,31.95,29.0,30.0,1177
3,2021-04-12,29.24,29.9,27.0,28.0,1100
4,2021-04-13,28.0,29.22,27.99,28.685,861
5,2021-04-14,27.8,28.7,26.5,28.7,807
6,2021-04-15,28.995,28.995,24.5,27.11,1330
7,2021-04-16,25.5,26.9,25.3,26.48,305
8,2021-04-19,26.4,26.4,25.0,25.0,151
9,2021-04-20,25.0,25.0,24.99,24.99,11
10,2021-04-21,25.0,25.0,24.0,24.0,19
11,2021-04-22,23.4,23.4,21.7,21.9,853
12,2021-04-23,22.45,22.48,21.41,21.41,96
13,2021-04-26,22.3,22.5,22.1,22.5,625
14,2021-04-27,23.87,23.87,23.4,23.4,30
15,2021-04-28,24.5,24.75,23.0,23.98,414
16,2021-04-29,24.0,25.6,24.0,25.6,290
17,2021-04-30,25.6,27.0,25.6,27.0,259
18,2021-05-04,26.0,29.0,25.7,29.0,220
19,2021-05-05,28.87,28.87,25.4,28.8,291
20,2021-05-06,28.0,28.0,26.42,26.42,113
21,2021-05-07,28.78,28.78,26.5,27.6,455
22,2021-05-10,26.6,28.0,23.01,27.99,597
23,2021-05-11,27.0,28.0,26.2,26.2,442
24,2021-05-12,27.2,27.98,24.9,25.0,1112
25,2021-05-13,25.0,25.0,22.02,24.48,223
26,2021-05-14,24.72,26.98,24.72,26.445,1265
27,2021-05-17,26.78,27.795,26.0,27.25,1462
28,2021-05-18,27.32,28.81,27.0,27.46,1866
29,2021-05-19,27.5,28.4,27.0,28.4,373
30,2021-05-20,27.995,27.995,27.95,27.95,56
31,2021-05-21,27.9,27.95,27.9,27.95,9
32,2021-05-24,28.0,28.0,27.2,27.2,52
33,2021-05-25,28.0,28.0,28.0,28.0,17
34,2021-05-26,28.0,28.0,28.0,28.0,1
35,2021-05-27,28.0,28.0,26.0,27.9,116
36,2021-05-28,27.0,27.0,25.6,26.0,126
37,2021-05-31,26.3,26.3,26.3,26.3,5
38,2021-06-01,26.0,26.0,24.0,25.9,396
39,2021-06-02,25.6,26.18,25.0,26.18,149
40,2021-06-04,26.2,26.995,26.2,26.995,45
41,2021-06-07,26.0,26.0,26.0,26.0,5
42,2021-06-08,25.4,26.495,25.0,26.495,1646
43,2021-06-09,25.9,28.1,25.9,28.1,1286
