,Date,Open,High,Low,Close,Volume
0,2012-12-18,7.4479,7.4766,7.4309,7.4766,106966
1,2012-12-19,7.5677,7.6803,7.5677,7.6376,76843
2,2012-12-20,7.698,7.698,7.5493,7.5493,51501
3,2012-12-21,7.5935,7.6163,7.5788,7.6133,36623
4,2012-12-27,7.6376,7.695,7.6376,7.6921,50981
5,2012-12-28,7.7097,7.7392,7.6509,7.7362,54020
6,2013-01-02,7.7965,7.8252,7.7965,7.8193,45339
7,2013-01-03,7.8414,7.8414,7.806,7.8112,23099
8,2013-01-04,7.8112,7.8252,7.806,7.8252,37211
9,2013-01-07,7.7825,7.7825,7.5581,7.5905,85731
10,2013-01-08,7.5581,7.6663,7.5581,7.5729,37395
11,2013-01-09,7.6075,7.6398,7.6075,7.6376,48472
12,2013-01-10,7.6575,7.6803,7.6575,7.6774,33232
13,2013-01-11,7.6663,7.7678,7.6663,7.7473,22039
14,2013-01-14,7.7678,7.8141,7.7678,7.806,28757
15,2013-01-15,7.7678,7.8112,7.7678,7.7774,17734
16,2013-01-16,7.7965,7.7965,7.7561,7.7715,11022
17,2013-01-17,7.7532,7.9017,7.7532,7.8414,30357
18,2013-01-18,7.8576,7.898,7.8576,7.8693,16188
19,2013-01-21,7.8112,7.8318,7.8112,7.8252,12744
20,2013-01-22,7.8414,7.8428,7.7965,7.7965,10634
21,2013-01-23,7.5493,7.6075,7.375,7.4479,54308
22,2013-01-24,7.6075,7.7532,7.4339,7.4479,10849
23,2013-01-25,7.4567,7.4626,7.4398,7.4479,11290
24,2013-01-28,7.5214,7.5214,7.4913,7.5214,16916
25,2013-01-29,7.5361,7.5361,7.5008,7.5361,8197
26,2013-01-30,7.5361,7.5581,7.5067,7.5471,7105
27,2013-01-31,7.5361,7.553,7.5214,7.553,6544
28,2013-02-01,7.5442,7.6663,7.5442,7.6663,13338
29,2013-02-04,7.7215,7.8414,7.6803,7.7678,7324
30,2013-02-05,7.7678,7.7825,7.6803,7.7678,8953
31,2013-02-06,7.7678,7.8414,7.7678,7.8252,6652
32,2013-02-07,7.8252,7.8252,7.8112,7.8163,6408
33,2013-02-08,7.8252,7.8414,7.7678,7.8414,8144
34,2013-02-11,7.8252,7.8377,7.7965,7.8318,5852
35,2013-02-12,7.7965,7.7965,7.7825,7.7965,6032
36,2013-02-13,7.8031,7.8193,7.7965,7.8112,5684
37,2013-02-14,7.7876,7.7965,7.7825,7.7825,7403
38,2013-02-15,7.8252,7.8252,7.7935,7.806,4818
39,2013-02-18,7.8318,7.8318,7.7825,7.7847,6868
40,2013-02-19,7.7825,7.7935,7.7825,7.7906,5684
41,2013-02-20,7.7774,7.7876,7.7774,7.7876,5489
42,2013-02-21,7.7678,7.7788,7.7097,7.7097,20111
43,2013-02-22,7.7678,7.7965,7.7678,7.7825,4649
44,2013-02-25,7.7935,7.8414,7.7935,7.8377,11488
45,2013-02-26,7.8112,7.8281,7.8112,7.8252,7922
46,2013-02-27,7.8252,7.8833,7.8252,7.8745,6923
47,2013-02-28,8.1886,8.419,8.1798,8.419,22166
48,2013-03-01,8.3489,8.3917,8.3188,8.3489,9849
49,2013-03-04,8.3489,8.3635,8.3335,8.3489,5965
50,2013-03-05,8.3489,8.3635,8.3048,8.3635,8900
51,2013-03-06,8.3489,8.3635,8.3335,8.3635,5166
52,2013-03-07,8.3776,8.4348,8.3776,8.4207,7239
53,2013-03-08,8.3917,8.4788,8.3635,8.4788,9258
54,2013-03-11,8.5659,8.5659,8.4656,8.4656,7252
55,2013-03-12,8.4788,8.4823,8.4348,8.4656,6045
56,2013-03-13,8.4269,8.5087,8.4269,8.5087,4755
57,2013-03-14,8.5087,8.5087,8.4656,8.4929,5923
58,2013-03-15,8.4348,8.5087,8.4348,8.5087,4439
59,2013-03-18,8.4348,8.4348,8.3489,8.357,7398
60,2013-03-19,8.3335,8.3335,8.2761,8.3048,5128
61,2013-03-20,8.2761,8.3635,8.1305,8.3635,6877
62,2013-03-21,8.4066,8.4207,8.375,8.3917,3666
63,2013-03-22,8.2467,8.389,8.2467,8.389,2581
64,2013-03-25,8.4207,8.4929,8.2467,8.4788,4841
65,2013-03-26,8.5087,8.5369,8.4207,8.4929,3785
66,2013-03-27,8.5518,8.5518,8.4612,8.47,3893
67,2013-03-28,8.4506,8.5369,8.4207,8.5087,4890
68,2013-04-02,8.4216,8.7974,8.4216,8.6231,4561
69,2013-04-03,8.595,8.595,8.5369,8.543,4243
70,2013-04-04,8.697,8.697,8.507,8.5659,3578
71,2013-04-05,8.5659,8.5659,8.2761,8.2761,12564
72,2013-04-08,8.3188,8.4207,8.2901,8.4154,7678
73,2013-04-09,8.4506,8.4823,8.2989,8.4823,6807
74,2013-04-10,8.4946,8.5747,8.4216,8.5527,16133
75,2013-04-11,8.5659,8.624,8.4207,8.624,3520
76,2013-04-12,8.5659,8.653,8.5518,8.5518,3457
77,2013-04-15,8.6099,8.6099,8.3978,8.3978,5685
78,2013-04-17,8.419,8.4278,8.3202,8.3327,3659
79,2013-04-18,8.3048,8.4207,8.2901,8.2901,4765
80,2013-04-19,8.3202,8.3475,8.3202,8.3327,3252
81,2013-04-22,8.4031,8.4348,8.3335,8.4066,5981
82,2013-04-23,8.4207,8.5105,8.4207,8.4841,2750
83,2013-04-24,8.5228,8.5659,8.5228,8.5518,2569
84,2013-04-25,8.5659,8.5659,8.5404,8.5659,2869
85,2013-04-26,8.5501,8.5501,8.5105,8.5105,2797
86,2013-04-29,8.5149,8.5659,8.4207,8.5659,5568
87,2013-04-30,8.5958,8.6847,8.5958,8.6847,3394
