,Date,Open,High,Low,Close,Volume
0,2008-04-15,9.49,9.49,6.92,6.92,59853
1,2008-04-16,7.2,7.2,6.24,6.5,8499
2,2008-04-17,6.48,6.48,5.8,5.99,6225
3,2008-04-18,5.99,7.03,5.99,6.8,19026
4,2008-04-21,6.85,6.98,6.62,6.84,6658
5,2008-04-22,6.97,6.97,6.25,6.42,2203
6,2008-04-23,6.42,6.42,5.7,6.0,1533
7,2008-04-24,6.0,6.0,5.6,5.95,1886
8,2008-04-25,6.0,6.39,5.6,6.39,984
9,2008-04-28,6.39,7.0,6.3,7.0,3718
10,2008-04-29,6.7,6.98,6.7,6.98,205
11,2008-04-30,6.98,6.98,6.6,6.6,721
12,2008-05-05,6.86,6.86,6.1,6.69,1295
13,2008-05-06,6.6,7.07,6.51,6.79,2762
14,2008-05-07,6.79,6.81,6.55,6.81,863
15,2008-05-08,6.8,6.8,6.63,6.79,628
16,2008-05-09,6.63,6.63,6.6,6.6,75
17,2008-05-12,6.57,6.57,6.11,6.55,185
18,2008-05-13,6.8,6.8,6.8,6.8,5
19,2008-05-14,6.6,6.6,6.59,6.6,265
20,2008-05-15,6.6,6.6,6.6,6.6,5
21,2008-05-16,6.5,6.5,6.5,6.5,5
22,2008-05-19,6.02,6.02,5.0,5.94,4139
23,2008-05-20,5.5,5.5,4.86,4.86,3584
24,2008-05-21,4.99,4.99,4.31,4.93,1344
25,2008-05-23,4.5,5.5,4.5,5.5,1542
26,2008-05-26,5.54,5.54,5.01,5.54,270
27,2008-05-27,5.48,5.48,4.91,5.45,305
28,2008-05-28,5.29,5.48,4.36,4.7,4739
29,2008-05-29,4.7,4.7,4.03,4.37,3626
30,2008-05-30,3.92,4.5,3.5,4.14,17883
31,2008-06-02,4.35,4.7,4.32,4.7,1307
32,2008-06-03,4.7,4.98,4.7,4.98,134
33,2008-06-04,4.9,4.9,4.3,4.7,105
34,2008-06-05,4.79,4.79,4.79,4.79,5
35,2008-06-06,4.65,4.65,4.0,4.5,1109
36,2008-06-09,4.6,4.6,4.0,4.39,112
37,2008-06-10,4.39,4.39,3.1,3.55,7604
38,2008-06-11,3.45,3.65,3.45,3.64,287
39,2008-06-12,3.66,3.66,3.66,3.66,100
40,2008-06-13,2.96,4.29,2.96,3.45,4880
41,2008-06-16,3.45,3.83,3.45,3.83,40
42,2008-06-17,3.83,3.83,3.1,3.35,3651
43,2008-06-18,3.0,3.49,3.0,3.0,2131
44,2008-06-19,2.8,3.2,2.5,3.0,1291
45,2008-06-20,2.98,2.98,2.97,2.97,247
46,2008-06-23,3.19,3.19,2.7,3.05,2136
47,2008-06-24,3.4,3.4,3.4,3.4,5
48,2008-06-26,3.06,3.06,3.06,3.06,310
49,2008-06-27,3.02,3.02,3.02,3.02,5
50,2008-06-30,3.04,3.04,2.42,2.95,1854
51,2008-07-01,2.95,2.95,2.42,2.7,455
52,2008-07-02,2.99,2.99,2.99,2.99,5
53,2008-07-03,2.97,2.97,2.42,2.96,1912
54,2008-07-04,2.96,2.96,2.45,2.75,923
55,2008-07-07,2.85,2.85,2.79,2.79,11
56,2008-07-08,2.85,2.85,2.7,2.7,156
57,2008-07-09,2.85,2.85,2.78,2.78,37
58,2008-07-10,2.3,2.78,2.3,2.78,72
59,2008-07-11,2.77,2.77,2.69,2.69,520
60,2008-07-14,2.77,2.77,2.74,2.75,405
61,2008-07-15,2.85,2.89,2.21,2.89,1794
62,2008-07-16,2.9,2.9,2.79,2.79,222
63,2008-07-17,2.88,2.88,2.31,2.79,1278
64,2008-07-18,2.87,2.87,2.46,2.78,8348
65,2008-07-21,2.86,2.86,2.6,2.85,1305
66,2008-07-22,2.7,2.86,2.55,2.86,1037
67,2008-07-23,2.86,2.86,2.85,2.85,217
68,2008-07-24,2.84,2.84,2.83,2.84,502
69,2008-07-25,2.84,2.84,2.84,2.84,2
70,2008-07-28,2.84,2.84,2.84,2.84,550
71,2008-07-29,2.84,2.84,2.68,2.82,374
72,2008-07-30,2.84,3.09,2.83,3.09,2811
73,2008-07-31,3.09,3.39,2.9,3.33,1125
74,2008-08-01,3.35,3.35,3.28,3.28,12
75,2008-08-04,2.99,3.5,2.7,3.5,2972
76,2008-08-05,3.5,3.5,3.27,3.27,121
77,2008-08-06,3.47,3.47,2.9,3.14,614
78,2008-08-07,3.19,3.19,2.8,2.8,1059
79,2008-08-08,2.92,2.92,2.44,2.7,908
80,2008-08-11,2.72,2.98,2.65,2.98,3780
81,2008-08-12,3.03,3.03,3.03,3.03,2
82,2008-08-13,3.02,3.02,3.02,3.02,2
83,2008-08-14,3.02,3.02,3.02,3.02,2
84,2008-08-18,3.02,3.02,3.02,3.02,2
85,2008-08-19,3.02,3.03,3.02,3.03,182
86,2008-08-20,3.03,3.03,3.03,3.03,1
87,2008-08-21,3.06,3.06,3.05,3.05,6
88,2008-08-22,3.06,3.06,3.06,3.06,1
89,2008-08-25,3.3,3.3,3.25,3.3,813
90,2008-08-26,3.3,3.3,3.28,3.28,6
91,2008-08-27,3.3,3.3,3.29,3.29,151
92,2008-08-28,3.3,3.47,3.29,3.3,2425
93,2008-08-29,3.47,3.47,3.46,3.46,183
94,2008-09-01,3.46,3.9,3.46,3.9,1337
95,2008-09-02,3.8,3.8,3.8,3.8,1
96,2008-09-03,3.75,3.75,3.7,3.75,106
97,2008-09-05,3.59,3.59,3.59,3.59,1
98,2008-09-08,3.0,3.49,3.0,3.49,3495
99,2008-09-09,3.65,3.65,3.1,3.5,672
100,2008-09-10,2.92,3.11,2.92,3.11,276
101,2008-09-11,3.19,3.19,3.19,3.19,1
102,2008-09-12,3.18,3.18,3.18,3.18,1
103,2008-09-15,3.18,3.18,3.18,3.18,1
104,2008-09-16,3.18,3.18,3.17,3.18,17
105,2008-09-17,3.18,3.18,2.94,3.18,371
106,2008-09-18,3.18,3.18,2.7,3.18,172
107,2008-09-19,3.18,3.18,3.18,3.18,1
108,2008-09-22,3.15,3.15,3.15,3.15,5
109,2008-09-23,3.15,3.15,3.15,3.15,81
110,2008-09-24,3.15,3.15,3.15,3.15,1
111,2008-09-25,3.0,3.0,3.0,3.0,3
112,2008-09-26,3.0,3.0,2.99,2.99,7
113,2008-09-29,3.0,3.0,2.99,2.99,7
114,2008-09-30,3.0,3.0,2.99,2.99,38
115,2008-10-01,3.0,3.0,3.0,3.0,1
116,2008-10-02,3.0,3.14,3.0,3.14,231
117,2008-10-03,3.14,3.57,3.14,3.57,915
118,2008-10-06,3.59,3.59,3.59,3.59,1
119,2008-10-07,3.38,3.38,3.29,3.29,164
