,Date,Open,High,Low,Close,Volume
0,2012-04-03,1.5,1.7,1.22,1.69,134135
1,2012-04-04,1.77,1.95,1.47,1.54,20707
2,2012-04-05,1.52,1.54,1.39,1.54,10186
3,2012-04-10,1.54,1.65,1.53,1.56,3977
4,2012-04-11,1.56,1.65,1.56,1.57,2330
5,2012-04-12,1.65,1.65,1.54,1.64,6070
6,2012-04-13,1.64,1.74,1.64,1.74,820
7,2012-04-16,1.74,1.75,1.74,1.75,1070
8,2012-04-17,1.7,1.7,1.7,1.7,768
9,2012-04-18,1.75,1.75,1.74,1.75,340
10,2012-04-19,1.75,1.75,1.65,1.73,1560
11,2012-04-20,1.64,1.7,1.63,1.7,1158
12,2012-04-23,1.71,1.71,1.62,1.7,770
13,2012-04-24,1.7,1.7,1.7,1.7,20
14,2012-04-25,1.69,1.69,1.69,1.69,20
15,2012-04-26,1.69,1.69,1.6,1.6,430
16,2012-04-27,1.64,1.64,1.64,1.64,300
17,2012-04-30,1.65,1.65,1.65,1.65,20
18,2012-05-02,1.65,1.65,1.64,1.64,120
19,2012-05-04,1.65,1.7,1.65,1.7,300
20,2012-05-07,1.7,1.7,1.7,1.7,50
21,2012-05-08,1.7,1.7,1.7,1.7,58
22,2012-05-10,1.75,1.75,1.75,1.75,100
23,2012-05-11,1.75,1.75,1.75,1.75,200
24,2012-05-14,1.75,1.85,1.75,1.85,2000
25,2012-05-15,1.85,1.85,1.85,1.85,30
26,2012-05-16,1.85,1.85,1.76,1.76,1700
27,2012-05-17,1.85,1.85,1.85,1.85,150
28,2012-05-18,1.76,1.8,1.76,1.8,2050
29,2012-05-21,1.8,1.8,1.8,1.8,100
30,2012-05-23,1.8,1.8,1.8,1.8,10
31,2012-05-24,1.71,1.71,1.66,1.71,3290
32,2012-05-25,1.71,1.71,1.71,1.71,10
33,2012-05-28,1.71,1.95,1.71,1.95,2440
34,2012-05-29,1.96,1.99,1.96,1.99,230
35,2012-05-30,2.0,2.0,2.0,2.0,170
36,2012-06-01,2.05,2.06,2.05,2.06,1000
37,2012-06-12,2.08,2.08,1.8,1.8,170
38,2012-06-13,1.75,1.75,1.75,1.75,1330
39,2012-06-29,1.75,2.1,1.75,2.1,1037
40,2012-07-02,2.02,2.3,1.8,2.3,1812
41,2012-07-03,2.14,2.14,2.06,2.06,800
42,2012-07-05,2.1,2.3,2.1,2.3,1303
43,2012-07-06,2.22,2.22,2.22,2.22,700
44,2012-07-09,2.25,2.6,2.0,2.0,1853
45,2012-07-10,2.0,2.0,2.0,2.0,50
46,2012-07-11,2.0,2.0,2.0,2.0,20
47,2012-07-13,2.0,2.0,2.0,2.0,25
48,2012-07-17,2.0,2.05,2.0,2.05,40
49,2012-07-18,2.1,2.12,2.1,2.12,52
50,2012-07-23,2.04,2.04,1.75,1.95,1735
51,2012-07-26,1.93,1.93,1.93,1.93,10
52,2012-07-27,1.91,1.91,1.88,1.88,20
53,2012-07-30,1.88,1.88,1.88,1.88,10
54,2012-07-31,1.88,1.88,1.75,1.88,120
55,2012-08-02,1.95,1.95,1.95,1.95,5
56,2012-08-03,1.95,1.95,1.95,1.95,10
57,2012-08-06,1.95,1.95,1.95,1.95,10
58,2012-08-07,1.95,1.95,1.95,1.95,10
59,2012-08-08,1.95,1.95,1.95,1.95,10
60,2012-08-09,1.95,1.95,1.95,1.95,10
61,2012-08-10,1.95,1.95,1.95,1.95,10
62,2012-08-13,1.95,1.95,1.95,1.95,10
63,2012-08-14,1.95,1.95,1.95,1.95,10
64,2012-08-16,1.95,1.95,1.95,1.95,10
65,2012-08-17,1.95,1.95,1.95,1.95,10
66,2012-08-20,1.95,1.95,1.95,1.95,10
67,2012-08-21,1.95,1.95,1.95,1.95,10
68,2012-08-22,1.95,1.95,1.95,1.95,10
69,2012-08-23,1.95,1.95,1.95,1.95,10
70,2012-08-24,1.95,1.95,1.95,1.95,10
71,2012-08-27,1.95,1.95,1.95,1.95,10
72,2012-08-28,1.95,1.95,1.95,1.95,10
73,2012-08-29,1.95,1.95,1.95,1.95,10
