,Date,Open,High,Low,Close,Volume
0,2021-12-16,9.01,9.97,8.71,9.135,65469
1,2021-12-17,9.248,9.248,7.561,7.7,31542
2,2021-12-20,7.72,8.08,7.4,7.79,7002
3,2021-12-21,7.681,8.08,7.681,8.08,2590
4,2021-12-22,8.08,8.6,8.08,8.55,5387
5,2021-12-23,8.78,9.1,8.64,9.0,10199
6,2021-12-27,9.02,9.02,7.5,7.8,5612
7,2021-12-28,7.9,7.9,7.4,7.742,17390
8,2021-12-29,7.742,8.3,7.7,8.299,4040
9,2021-12-30,8.201,9.08,8.2,9.0,7600
10,2022-01-03,9.0,9.38,9.0,9.22,596
11,2022-01-04,9.22,9.22,8.4,8.6,2623
12,2022-01-05,8.64,8.64,8.29,8.58,1240
13,2022-01-07,8.3,8.4,8.3,8.4,180
14,2022-01-10,8.31,8.579,8.25,8.579,446
15,2022-01-11,8.301,8.4,8.3,8.4,340
16,2022-01-12,8.4,8.66,8.4,8.6,1584
17,2022-01-13,8.43,8.43,8.002,8.37,1505
18,2022-01-14,8.35,8.98,8.35,8.98,700
19,2022-01-17,8.4,8.47,8.26,8.47,701
20,2022-01-18,8.465,8.47,8.27,8.27,1460
21,2022-01-19,8.4,8.699,8.0,8.699,2550
22,2022-01-20,8.55,8.55,8.1,8.1,920
23,2022-01-21,8.1,8.1,7.95,8.09,2172
24,2022-01-24,8.09,8.09,7.9,7.99,1075
25,2022-01-25,8.04,8.088,8.04,8.088,176
26,2022-01-26,7.9,8.1,7.68,8.1,746
27,2022-01-27,8.0,8.0,7.9,7.9,161
28,2022-01-28,7.9,7.9,7.899,7.9,379
29,2022-01-31,8.0,8.0,7.76,7.76,1030
30,2022-02-01,7.761,8.098,7.761,8.098,575
31,2022-02-02,7.95,7.95,7.949,7.95,735
32,2022-02-03,8.09,8.09,8.09,8.09,20
33,2022-02-04,7.999,7.999,7.999,7.999,196
