,Date,Open,High,Low,Close,Volume
0,1998-02-17,2.0448,2.1945,2.0448,2.1945,1704.0
1,1998-02-18,2.3439,2.3439,2.1945,2.1945,1895.0
2,1998-02-19,2.394,2.5935,2.394,2.5935,7018.0
3,1998-02-20,2.793,2.9925,2.6931,2.9925,10727.0
4,1998-02-23,3.192,3.591,3.192,3.591,26066.0
5,1998-02-24,3.6906,3.6906,3.4911,3.4911,5514.0
6,1998-02-25,3.591,3.591,3.2916,3.2916,3780.0
7,1998-02-26,3.2616,3.3015,3.2616,3.2916,9995.0
8,1998-02-27,2.9925,3.2916,2.9925,3.2916,2005.0
9,1998-03-02,2.9925,3.3915,2.9925,3.3915,3208.0
10,1998-03-06,2.793,2.793,2.793,2.793,1003.0
11,1998-03-09,2.793,2.793,2.5434,2.6433,8121.0
12,1998-03-10,2.793,2.793,2.793,2.793,3008.0
13,1998-03-11,2.4936,2.4936,2.4936,2.4936,1003.0
14,1998-03-12,2.2941,2.5434,2.2941,2.394,2737.0
15,1998-03-16,2.4936,2.4936,2.394,2.4936,2206.0
16,1998-03-17,2.5035,2.5035,2.5035,2.5035,802.0
17,1998-03-18,2.4537,2.4537,2.1444,2.1546,8742.0
18,1998-03-20,2.3439,2.3439,2.334,2.3439,4181.0
19,1998-03-23,2.3439,2.3439,2.2941,2.2941,4371.0
20,1998-03-24,2.2941,2.3439,2.2941,2.3241,7319.0
21,1998-03-25,2.2941,2.2941,2.2941,2.2941,1003.0
22,1998-03-26,2.2941,2.2941,2.2542,2.2542,1464.0
23,1998-03-27,2.2941,2.2941,2.2941,2.2941,3008.0
24,1998-03-30,2.2941,2.2941,2.2941,2.2941,501.0
25,1998-04-01,2.1645,2.2743,2.1645,2.2743,2406.0
26,1998-04-02,2.1444,2.1444,2.1444,2.1444,301.0
27,1998-04-06,2.1945,2.1945,2.1546,2.1546,1574.0
28,1998-04-07,2.1444,2.1945,2.1444,2.1945,2687.0
29,1998-04-08,2.1945,2.1945,2.1945,2.1945,1003.0
30,1998-04-09,2.1744,2.1744,2.1744,2.1744,1003.0
31,1998-04-14,2.1645,2.1744,2.1645,2.1744,1684.0
32,1998-04-15,2.1645,2.1945,2.1645,2.1945,4411.0
33,1998-04-16,2.1444,2.1945,2.1444,2.1945,1754.0
34,1998-04-17,2.1945,2.1945,2.1843,2.1843,2005.0
35,1998-04-20,2.1945,2.1945,2.1945,2.1945,501.0
36,1998-04-21,2.1945,2.1945,2.1945,2.1945,1404.0
37,1998-04-23,2.1945,2.1945,2.1945,2.1945,1003.0
38,1998-04-27,2.0946,2.1147,2.0946,2.0946,2506.0
39,1998-04-28,2.0448,2.0448,2.0448,2.0448,612.0
40,1998-04-30,2.0946,2.0946,2.0946,2.0946,150.0
41,1998-05-04,2.0049,2.0049,2.0049,2.0049,1003.0
42,1998-05-08,1.995,1.995,1.995,1.995,501.0
