,Date,Open,High,Low,Close,Volume
0,2011-01-11,5.3675,5.7544,5.3675,5.5807,1125588
1,2011-01-12,5.5333,5.636,5.3675,5.6045,241474
2,2011-01-13,5.5807,5.6045,5.4544,5.5333,135895
3,2011-01-14,5.5807,5.5807,5.3756,5.565,38633
4,2011-01-17,5.5254,5.557,5.5254,5.5412,15722
5,2011-01-18,5.5333,5.636,5.5333,5.636,43605
6,2011-01-19,5.636,6.1963,5.6201,6.1571,67572
7,2011-01-20,6.0859,6.228,6.0149,6.1018,8733
8,2011-01-21,6.1018,6.6937,6.0386,6.5358,83490
9,2011-01-24,6.6068,6.6228,6.4963,6.5517,17081
10,2011-01-25,6.5517,6.5517,6.3701,6.4332,36697
11,2011-01-26,6.5122,6.7254,6.3938,6.5831,55610
12,2011-01-27,6.4569,6.7254,6.3701,6.5358,189757
13,2011-01-28,6.6068,6.6068,6.4728,6.5122,65606
14,2011-01-31,6.4728,6.4728,6.3307,6.4489,9651
15,2011-02-01,6.5122,6.5122,6.2754,6.3307,12913
16,2011-02-02,6.2438,6.3307,5.9912,6.1571,79201
17,2011-02-03,6.1018,6.1097,5.9201,6.0938,12969
18,2011-02-04,5.8965,6.0702,5.8965,6.0702,12850
19,2011-02-07,6.0781,6.3149,6.0781,6.0781,2781
20,2011-02-08,5.9755,6.2359,5.8411,6.0781,792308
21,2011-02-09,6.0702,6.149,6.0702,6.1175,356
22,2011-02-10,6.1175,6.2122,5.9675,5.9675,4035
23,2011-02-11,5.9596,6.1963,5.8806,5.9596,79207
24,2011-02-14,5.9359,5.9359,5.7623,5.8411,36739
25,2011-02-15,5.8255,5.8411,5.565,5.707,10923
26,2011-02-16,5.6834,5.8806,5.5254,5.8806,2258
27,2011-02-17,5.778,5.8727,5.6834,5.707,4078
28,2011-02-18,5.6834,5.707,5.6834,5.707,3721
29,2011-02-21,5.7544,5.7544,5.699,5.699,901
30,2011-02-22,5.7544,5.8411,5.5333,5.6913,3260
31,2011-02-23,5.7623,5.8411,5.7228,5.7228,24531
32,2011-02-24,5.7544,5.7544,5.6439,5.7228,19789
33,2011-02-25,5.7228,5.7467,5.6834,5.7228,8062
34,2011-02-28,5.7623,5.9596,5.7544,5.8176,10570
35,2011-03-01,5.7623,5.9201,5.7623,5.8806,1976
36,2011-03-02,5.8411,5.9596,5.8411,5.8806,1254
37,2011-03-03,5.9912,5.9912,5.9201,5.9201,1026
38,2011-03-04,5.9201,5.9201,5.857,5.9201,1429
39,2011-03-07,5.9596,5.9992,5.857,5.9992,8885
40,2011-03-08,6.0386,6.0622,5.9992,6.0622,2674
41,2011-03-09,6.0622,6.0622,5.9992,6.0386,3987
42,2011-03-10,5.9992,6.3938,5.9992,6.3859,4651
43,2011-03-11,6.3859,6.3859,6.2359,6.2438,685
44,2011-03-14,6.2517,6.4489,5.9992,6.3149,6916
45,2011-03-15,6.2912,6.2912,5.9992,6.1571,4528
46,2011-03-16,6.228,6.228,5.9992,6.149,3749
47,2011-03-17,6.0386,6.0781,6.0386,6.0781,1128
48,2011-03-18,6.0781,6.0781,5.9596,5.9992,1154
49,2011-03-21,5.9992,6.0781,5.7623,6.0702,3579
50,2011-03-22,6.0702,6.0702,5.9992,6.0622,1072
51,2011-03-23,6.0622,6.0622,5.9201,6.0543,1042
52,2011-03-24,6.0543,6.0543,5.9596,6.0386,1887
53,2011-03-25,6.0622,6.0622,5.9596,6.0622,3257
54,2011-03-28,6.0702,6.0702,5.9596,5.9992,3582
55,2011-03-29,6.0386,6.0386,5.9596,5.9992,1078
56,2011-03-30,6.0702,6.0702,5.9596,6.0071,6480
57,2011-03-31,6.0702,6.0702,5.9675,5.9992,1066
58,2011-04-01,5.9992,5.9992,5.9755,5.9833,1223
59,2011-04-04,5.9519,6.2359,5.9519,6.1571,213752
60,2011-04-05,6.141,6.1571,6.0781,6.1571,40507
61,2011-04-06,6.2359,6.2359,6.1018,6.1963,65207
62,2011-04-07,6.1963,6.1963,6.1571,6.1963,4863
63,2011-04-08,6.228,6.228,6.1571,6.228,1774
64,2011-04-11,6.228,6.228,6.1175,6.1963,1050
65,2011-04-12,6.1175,6.1963,6.0781,6.1963,71409
66,2011-04-13,6.1963,6.22,6.1648,6.2122,3625
67,2011-04-14,6.22,6.22,6.1571,6.1886,481
68,2011-04-15,6.1886,6.1886,6.1571,6.1571,127380
69,2011-04-18,6.1175,6.149,5.9992,6.0781,6926
70,2011-04-19,5.9992,6.0938,5.9201,6.0938,6732
71,2011-04-20,5.8806,6.1018,5.8806,6.0702,19617
72,2011-04-21,6.0781,6.0781,5.9912,5.9912,268331
73,2011-04-26,6.0702,6.0702,5.8965,5.9044,229262
74,2011-04-27,5.9123,5.9123,5.8411,5.8411,1004
75,2011-04-28,5.8965,5.9044,5.6913,5.7467,10316
76,2011-04-29,5.8255,5.9044,5.7939,5.8885,14499
77,2011-05-02,5.9044,5.9044,5.8806,5.8806,265
78,2011-05-04,5.8806,5.9044,5.6598,5.8255,3965
79,2011-05-05,5.8806,5.9044,5.8411,5.8806,22610
80,2011-05-06,5.9044,5.9044,5.7623,5.8806,62211
81,2011-05-09,5.8806,5.8806,5.7623,5.8411,12926
82,2011-05-10,5.8806,5.8806,5.8727,5.8806,35257
83,2011-05-11,5.8806,5.928,5.8411,5.8411,2141
84,2011-05-12,5.8411,5.8411,5.7623,5.8411,4894
85,2011-05-13,5.8885,6.1571,5.8885,5.9596,131678
86,2011-05-16,5.9201,5.9675,5.8806,5.9675,3399
87,2011-05-17,5.9675,5.9992,5.9596,5.9992,558
88,2011-05-18,5.9992,5.9992,5.9201,5.9992,74887
89,2011-05-19,5.9992,5.9992,5.9201,5.9596,33584
90,2011-05-20,5.9596,5.9675,5.9439,5.9439,5955
91,2011-05-23,5.9596,5.9992,5.928,5.9992,13213
92,2011-05-24,5.9992,5.9992,5.9596,5.9992,13193
93,2011-05-25,5.9992,6.1175,5.9992,6.0781,3148
94,2011-05-26,6.0781,6.0859,6.0622,6.0622,786
95,2011-05-27,6.0543,6.0938,5.9992,6.0781,3647
96,2011-05-30,6.0386,6.1571,6.0386,6.1571,10990
97,2011-05-31,6.1571,6.3938,6.149,6.3149,103624
98,2011-06-01,6.3544,6.6623,6.3544,6.4728,33342
99,2011-06-02,6.7018,6.7018,6.4728,6.4728,31912
100,2011-06-03,6.6068,6.6068,6.3149,6.4728,16755
101,2011-06-06,6.4728,6.4728,6.3938,6.3938,4148
102,2011-06-07,6.2754,6.3701,6.2754,6.3544,17394
103,2011-06-08,6.4097,6.4097,6.3544,6.3544,7741
104,2011-06-09,6.3544,6.4648,6.3544,6.3938,12654
105,2011-06-10,6.3544,6.4332,6.3544,6.4332,15748
106,2011-06-13,6.3544,6.4728,6.3544,6.4489,455
107,2011-06-14,6.4489,6.4489,6.3701,6.3701,3243
108,2011-06-15,6.3544,6.5042,6.3544,6.3544,370054
109,2011-06-16,6.4412,6.4412,6.3544,6.3544,1889
110,2011-06-17,6.3622,6.3622,6.3544,6.3544,1509
111,2011-06-20,6.3779,6.3779,6.0859,6.1963,1900
112,2011-06-21,6.307,6.307,6.1332,6.2359,1307
113,2011-06-22,6.1332,6.1571,6.1332,6.1571,511
114,2011-06-24,6.1571,6.1571,5.6676,6.1097,9698
115,2011-06-27,6.1175,6.1175,5.7623,5.7623,94062
116,2011-06-28,5.7702,5.7702,5.6045,5.6518,291662
117,2011-06-29,5.6518,5.9201,5.6518,5.9201,38162
118,2011-06-30,5.9596,6.0781,5.9596,6.0781,34217
119,2011-07-01,6.1175,6.1175,5.8649,6.1018,6821
120,2011-07-04,6.1018,6.1018,5.9596,6.0781,6628
121,2011-07-05,6.141,6.141,5.9201,6.1175,101382
122,2011-07-06,6.1332,6.1332,6.0702,6.0781,1444
123,2011-07-07,6.0781,6.0781,6.0702,6.0702,235
124,2011-07-08,6.0622,6.0622,5.9992,6.0622,2585
125,2011-07-11,5.9992,5.9992,5.8806,5.9519,3471
126,2011-07-12,5.9201,5.9519,5.5254,5.9519,27532
127,2011-07-13,5.9992,6.3938,5.8411,6.3938,18257
128,2011-07-14,6.4489,6.4489,6.1571,6.1571,735
129,2011-07-15,6.3149,6.3149,6.2754,6.2754,126
130,2011-07-18,6.3149,6.3149,6.0386,6.1963,1635
131,2011-07-19,6.1963,6.1963,6.0781,6.149,6626
132,2011-07-20,6.1571,6.1571,6.141,6.141,138
133,2011-07-21,6.141,6.141,6.0781,6.141,279
134,2011-07-22,6.141,6.1963,6.1175,6.1963,2743
135,2011-07-25,6.1963,6.1963,6.0228,6.1175,1344
136,2011-07-26,6.1571,6.1571,6.141,6.141,138
137,2011-07-27,6.1254,6.1254,6.1097,6.1097,133
138,2011-07-28,6.0781,6.0781,5.9201,6.0543,1813
139,2011-07-29,6.0622,6.1963,6.0622,6.1963,19135
140,2011-08-01,6.1571,6.1963,5.9992,6.1963,1991
141,2011-08-02,6.1571,6.1571,6.1571,6.1571,216
142,2011-08-03,6.1571,6.1571,5.8333,5.8333,1217
143,2011-08-04,5.8411,5.9201,5.6439,5.9123,6672
144,2011-08-05,5.7228,5.9439,5.3675,5.9201,6207
145,2011-08-08,5.6045,5.8411,5.6045,5.6755,16533
146,2011-08-09,5.486,5.5254,5.2097,5.3675,11925
147,2011-08-10,5.3675,5.4466,5.1307,5.2888,19262
148,2011-08-11,5.2888,5.5254,5.1307,5.2493,48593
149,2011-08-12,5.2888,5.4071,5.1307,5.2729,15014
150,2011-08-16,5.4071,5.4939,5.4071,5.4071,1419
151,2011-08-17,5.4071,5.4071,5.4071,5.4071,265
152,2011-08-18,5.4071,5.4071,5.0518,5.4071,50084
153,2011-08-19,5.4071,5.4071,5.1782,5.3993,41595
154,2011-08-22,5.4229,5.4624,5.4229,5.4624,38717
155,2011-08-23,5.486,5.636,5.2493,5.636,40652
156,2011-08-24,5.636,5.636,5.4466,5.565,12282
157,2011-08-25,5.5254,5.5254,5.5175,5.5254,279
158,2011-08-26,5.5254,5.5254,5.5175,5.5254,1140
159,2011-08-29,5.5254,5.5254,5.5175,5.5254,519
160,2011-08-30,5.6201,5.6834,5.5254,5.5254,129284
161,2011-08-31,5.5175,5.8411,5.3361,5.8411,13554
162,2011-09-01,5.8017,5.8411,5.5333,5.8411,6399
163,2011-09-02,5.9123,5.9123,5.7623,5.7623,592
164,2011-09-05,5.5254,5.6045,5.2097,5.5254,10046
165,2011-09-06,5.5254,5.5254,5.3675,5.5254,1008
166,2011-09-07,5.7149,5.7149,5.6045,5.707,328
167,2011-09-08,5.6124,5.6834,5.6124,5.6834,717
168,2011-09-09,5.6834,5.6834,5.5491,5.6834,1444
169,2011-09-12,5.6834,5.6834,5.5098,5.5098,1512
170,2011-09-13,5.5254,5.5254,5.3675,5.4544,4041
171,2011-09-14,5.5254,5.5254,5.5254,5.5254,265
172,2011-09-15,5.5254,5.5254,5.4071,5.5254,2924
173,2011-09-16,5.5254,5.5254,5.5254,5.5254,24
174,2011-09-19,5.5254,5.5254,5.3675,5.5175,963
175,2011-09-20,5.5254,5.5254,5.1702,5.5254,1330
176,2011-09-21,5.5254,5.565,5.478,5.5491,302845
177,2011-09-22,5.565,5.565,5.4466,5.4466,284
178,2011-09-23,5.5175,5.5175,5.486,5.5175,228
179,2011-09-26,5.5175,5.5175,5.4466,5.4466,1926
180,2011-09-27,5.5098,5.5098,5.4308,5.4939,228
181,2011-09-28,5.486,5.486,5.4624,5.486,222
182,2011-09-29,5.486,5.486,5.486,5.486,619
183,2011-09-30,5.478,5.486,5.478,5.486,126
184,2011-10-03,5.478,5.478,5.478,5.478,88
185,2011-10-04,5.4702,5.4702,5.0913,5.4386,4890
186,2011-10-05,5.3675,5.4071,5.3675,5.4071,1153
