,Date,Open,High,Low,Close,Volume
0,2014-08-13,3.6,4.32,3.6,4.32,9400
1,2014-08-14,5.18,6.21,4.99,6.21,65172
2,2014-08-18,7.15,7.15,5.7,5.7,78255
3,2014-08-19,6.18,6.18,5.26,6.1,2033
4,2014-08-20,5.9,5.9,5.71,5.8,2975
5,2014-08-21,5.78,6.1,5.78,5.9,921
6,2014-08-22,5.83,6.9,5.82,6.01,21355
7,2014-08-25,6.4,6.4,5.9,6.19,27249
8,2014-08-26,6.19,6.19,6.19,6.19,15
9,2014-08-27,5.95,6.39,5.85,6.39,6182
10,2014-08-28,6.37,6.37,5.9,6.11,410
11,2014-08-29,6.11,6.11,5.8,6.09,372
12,2014-09-01,5.9,5.9,5.1,5.1,1400
13,2014-09-02,5.2,5.2,5.2,5.2,610
14,2014-09-03,5.4,5.41,5.4,5.41,100
15,2014-09-04,5.45,6.39,5.45,6.39,7900
16,2014-09-05,6.5,6.6,6.2,6.6,14020
17,2014-09-08,6.4,6.5,6.27,6.5,410
18,2014-09-09,6.2,7.44,6.2,7.1,2165
19,2014-09-10,7.48,8.9,7.48,8.9,492
20,2014-09-11,8.9,8.9,7.12,7.8,1904
21,2014-09-12,7.9,7.9,6.35,7.1,3598
22,2014-09-15,6.8,6.8,5.5,6.18,733
23,2014-09-16,6.2,7.2,6.2,7.1,2320
24,2014-09-17,7.1,7.1,7.1,7.1,275
25,2014-09-18,6.8,6.8,6.0,6.01,660
26,2014-09-19,6.02,6.05,6.02,6.05,103
27,2014-09-22,6.05,6.1,6.0,6.0,440
28,2014-09-23,6.19,6.19,6.19,6.19,260
29,2014-09-24,6.2,6.95,6.2,6.95,350
30,2014-09-25,6.9,6.9,6.8,6.8,160
31,2014-09-26,6.7,6.7,6.7,6.7,804
32,2014-09-29,6.7,6.7,6.7,6.7,10
33,2014-09-30,6.68,6.68,6.3,6.3,37
34,2014-10-01,6.7,6.7,6.31,6.31,20
35,2014-10-02,6.5,7.7,6.5,7.7,1540
36,2014-10-03,7.8,7.8,7.8,7.8,10
37,2014-10-06,7.65,7.65,7.65,7.65,5
38,2014-10-07,7.6,7.6,7.2,7.2,159
39,2014-10-08,7.2,7.2,7.2,7.2,5
40,2014-10-09,7.2,7.2,6.45,6.45,320
41,2014-10-13,6.3,6.5,6.21,6.5,180
42,2014-10-14,6.6,6.8,6.6,6.8,40
43,2014-10-15,6.8,6.9,6.8,6.9,222
44,2014-10-17,6.9,6.9,6.9,6.9,2090
45,2014-10-20,6.95,6.95,6.95,6.95,5
46,2014-10-21,6.7,6.7,6.15,6.65,150
47,2014-10-23,6.1,6.1,6.1,6.1,30
48,2014-10-24,6.0,6.24,5.91,6.24,340
49,2014-10-27,5.9,5.9,5.86,5.86,275
50,2014-10-30,5.9,6.2,5.9,6.2,330
51,2014-10-31,6.2,6.5,6.2,6.5,140
52,2014-11-03,6.7,6.8,6.7,6.8,50
53,2014-11-05,6.99,7.02,6.85,6.85,325
54,2014-11-06,7.1,7.1,7.1,7.1,972
55,2014-11-07,7.2,8.64,6.5,7.3,1080
56,2014-11-10,7.3,8.6,7.3,8.0,291
57,2014-11-12,8.5,10.5,8.5,10.5,78083
58,2014-11-13,10.95,13.14,10.93,12.97,103158
59,2014-11-14,12.99,14.25,12.99,12.99,80089
60,2014-11-17,13.2,14.0,11.75,11.75,19144
61,2014-11-18,11.5,13.4,11.5,12.1,35299
62,2014-11-19,12.2,12.78,12.0,12.05,52969
63,2014-11-20,12.5,12.69,12.1,12.1,880
64,2014-11-21,12.1,12.1,12.05,12.05,106
65,2014-11-24,12.4,12.95,12.1,12.1,609
66,2014-11-25,12.4,12.55,12.0,12.0,33
67,2014-11-26,12.4,12.55,12.34,12.35,6177
68,2014-11-27,12.5,12.55,12.0,12.35,2210
69,2014-11-28,12.4,12.45,12.0,12.25,4390
70,2014-12-01,12.3,12.4,12.26,12.26,6100
71,2014-12-02,12.35,12.4,12.0,12.1,2840
72,2014-12-03,12.05,12.05,11.7,11.7,30
73,2014-12-04,11.5,12.2,11.5,12.0,63
74,2014-12-05,12.1,12.1,12.1,12.1,5
75,2014-12-08,12.2,12.35,12.15,12.35,7737
76,2014-12-09,12.35,12.35,12.35,12.35,3
77,2014-12-10,12.33,12.7,12.33,12.35,12427
78,2014-12-11,12.35,12.5,12.2,12.4,80
79,2014-12-12,12.4,12.4,12.0,12.4,95
80,2014-12-15,12.4,12.4,12.4,12.4,40
81,2014-12-16,12.4,12.4,9.0,9.61,2197
82,2014-12-17,9.0,10.3,9.0,9.0,1150
83,2014-12-18,9.0,9.0,8.0,8.0,705
84,2014-12-19,7.8,7.8,7.5,7.5,30
85,2014-12-22,7.51,7.51,7.51,7.51,5
86,2014-12-23,7.52,8.6,7.45,7.45,19005
87,2014-12-29,7.2,7.8,7.1,7.3,1119
88,2014-12-30,7.0,8.4,7.0,7.35,5870
89,2015-01-02,7.38,7.38,7.3,7.3,410
