,Date,Open,High,Low,Close,Volume
0,2021-02-22,21.0,30.0,21.0,30.0,45042
1,2021-02-23,29.97,29.97,24.1,25.69,7454
2,2021-02-24,24.995,24.995,22.72,24.5,2707
3,2021-02-25,24.8,24.8,22.85,24.5,828
4,2021-02-26,24.48,24.48,23.22,23.3,247
5,2021-03-01,24.495,24.495,23.25,24.0,496
6,2021-03-02,23.99,24.1,23.21,24.1,451
7,2021-03-03,24.1,27.0,24.1,26.0,777
8,2021-03-04,25.02,26.38,25.02,25.98,4341
9,2021-03-05,26.895,26.895,25.1,25.1,1455
10,2021-03-08,24.7,25.4,24.0,24.1,386
11,2021-03-09,24.5,25.09,24.5,24.98,409
12,2021-03-10,24.895,24.895,23.5,23.5,601
13,2021-03-11,24.89,24.89,22.72,23.0,667
14,2021-03-12,22.73,24.995,22.72,24.95,306
15,2021-03-15,24.95,25.5,24.0,24.75,164
16,2021-03-16,24.7,24.7,23.5,24.0,466
17,2021-03-17,23.995,23.995,21.0,22.0,3882
18,2021-03-18,22.2,22.2,19.5,21.0,2191
19,2021-03-19,19.8,22.95,19.8,22.95,1360
20,2021-03-22,22.8,23.5,22.2,23.5,1792
21,2021-03-23,22.5,23.4,22.5,23.4,131
22,2021-03-24,23.5,23.5,22.0,23.295,54
23,2021-03-25,22.0,22.98,22.0,22.98,62
24,2021-03-29,22.0,23.5,22.0,23.5,161
25,2021-03-30,23.5,23.5,22.85,22.85,265
26,2021-03-31,23.395,25.015,23.38,25.015,615
27,2021-04-01,25.01,25.01,24.99,25.01,1294
28,2021-04-06,25.0,26.01,24.5,25.99,2049
29,2021-04-07,24.62,25.97,24.015,25.005,605
30,2021-04-08,25.005,28.995,25.005,28.8,7093
31,2021-04-09,28.86,28.86,26.0,27.4,3687
32,2021-04-12,27.2,28.6,26.6,27.38,718
33,2021-04-13,27.05,27.795,26.0,27.0,626
34,2021-04-14,27.0,27.0,27.0,27.0,1
35,2021-04-15,27.0,27.4,27.0,27.0,93
36,2021-04-16,27.0,27.0,27.0,27.0,5
37,2021-04-19,26.99,26.99,23.8,25.0,1186
38,2021-04-20,25.0,25.0,24.9,24.9,107
39,2021-04-21,24.76,24.9,24.3,24.9,68
40,2021-04-22,24.9,25.68,24.3,25.68,387
41,2021-04-23,25.5,25.5,24.895,25.5,507
42,2021-04-26,25.2,25.295,24.5,24.8,366
43,2021-04-27,24.6,24.9,23.6,24.8,132
44,2021-04-28,24.5,24.5,23.0,23.45,555
45,2021-04-29,23.45,24.45,23.45,24.45,26
46,2021-04-30,24.295,27.9,23.01,25.5,623
47,2021-05-04,25.5,25.5,25.495,25.5,13
48,2021-05-05,25.0,25.3,23.01,24.4,177
49,2021-05-06,24.4,24.5,23.5,24.2,82
50,2021-05-07,23.5,24.1,23.05,24.1,12
51,2021-05-10,24.0,24.0,23.5,23.5,1004
52,2021-05-11,24.2,24.2,24.2,24.2,1
53,2021-05-12,24.0,24.0,24.0,24.0,1
54,2021-05-14,23.5,23.5,22.005,22.5,454
55,2021-05-17,22.5,23.0,22.0,22.0,44
56,2021-05-18,21.8,21.8,21.0,21.0,177
57,2021-05-19,22.4,22.4,20.0,20.0,639
58,2021-05-20,20.5,22.4,20.5,22.4,350
59,2021-05-21,22.3,24.995,22.3,23.0,2512
60,2021-05-24,23.0,23.4,22.5,23.4,188
61,2021-05-25,23.395,23.5,23.395,23.5,11
62,2021-05-26,22.7,23.0,22.7,23.0,15
63,2021-05-27,23.0,23.0,22.995,23.0,56
64,2021-05-28,23.3,23.3,23.0,23.3,195
65,2021-05-31,23.49,23.5,23.0,23.0,35
66,2021-06-01,23.0,23.0,22.995,22.995,7
67,2021-06-02,23.0,23.0,22.0,22.995,163
68,2021-06-07,20.5,22.7,20.5,20.5,1075
69,2021-06-08,21.0,22.5,21.0,22.5,496
70,2021-06-09,22.5,22.9,21.0,21.0,270
71,2021-06-10,22.875,22.875,22.875,22.875,1
72,2021-06-11,22.87,23.7,22.6,23.5,233
73,2021-06-14,23.9,24.4,22.0,23.6,363
74,2021-06-15,23.5,24.0,23.5,24.0,365
75,2021-06-16,24.0,24.0,24.0,24.0,1
76,2021-06-17,23.9,23.9,23.9,23.9,2
77,2021-06-18,23.0,23.8,22.6,23.8,199
78,2021-06-21,23.5,23.5,22.4,23.5,77
79,2021-06-22,22.0,23.0,22.0,23.0,151
80,2021-06-23,23.0,23.0,21.5,21.8,26
81,2021-06-24,21.605,23.4,21.605,23.4,217
82,2021-06-25,23.5,23.5,22.0,23.0,448
83,2021-06-28,23.7,24.0,23.0,23.0,181
84,2021-06-29,22.8,23.8,22.8,23.8,56
85,2021-06-30,23.8,24.0,22.5,23.55,156
86,2021-07-01,23.5,23.5,23.5,23.5,2
87,2021-07-05,23.5,23.5,23.495,23.5,37
88,2021-07-06,23.5,23.5,23.5,23.5,3
89,2021-07-07,23.2,23.99,20.55,22.7,296
90,2021-07-08,22.1,22.7,20.7,21.5,216
91,2021-07-09,21.5,22.7,21.5,22.7,59
92,2021-07-12,22.7,23.9,22.7,23.5,200
93,2021-07-13,23.8,23.8,21.8,21.8,137
94,2021-07-14,22.3,22.3,22.3,22.3,1
95,2021-07-15,22.3,22.4,21.6,21.6,103
96,2021-07-16,22.2,22.5,22.2,22.5,5
97,2021-07-19,22.5,22.5,22.5,22.5,1
98,2021-07-20,22.8,24.0,22.6,24.0,176
99,2021-07-21,24.0,24.0,22.2,23.2,71
100,2021-07-22,23.3,23.9,23.3,23.9,16
101,2021-07-23,23.9,25.0,23.2,23.2,851
102,2021-07-26,23.7,23.7,20.71,22.0,288
103,2021-07-28,21.0,22.0,20.8,22.0,90
104,2021-07-30,22.0,25.0,22.0,24.75,759
105,2021-08-02,24.6,24.65,24.6,24.65,51
106,2021-08-03,24.2,24.2,24.0,24.0,25
107,2021-08-04,24.195,24.195,22.1,24.19,278
108,2021-08-05,23.2,23.5,22.8,23.5,40
109,2021-08-06,22.8,23.995,22.8,23.995,49
110,2021-08-09,23.0,23.89,23.0,23.89,50
111,2021-08-10,23.87,24.695,23.87,24.695,200
112,2021-08-11,24.695,24.695,24.69,24.695,63
113,2021-08-12,24.75,24.75,24.5,24.5,43
114,2021-08-13,23.8,24.98,23.8,24.9,508
115,2021-08-16,24.0,24.0,23.0,24.0,204
116,2021-08-17,23.3,23.3,23.0,23.0,75
117,2021-08-18,23.9,24.0,23.9,24.0,6
118,2021-08-19,22.7,23.5,22.1,23.5,79
119,2021-08-20,22.51,23.29,22.51,23.29,106
120,2021-08-23,23.29,24.9,23.29,24.9,199
121,2021-08-24,24.5,24.5,23.5,23.5,13
122,2021-08-25,23.5,24.9,22.0,24.895,2577
123,2021-08-26,24.8,24.895,23.6,24.895,278
124,2021-08-27,24.2,24.2,22.0,24.2,701
125,2021-08-30,24.15,24.9,24.15,24.9,75
126,2021-08-31,24.0,24.8,22.0,22.0,3749
127,2021-09-01,22.7,22.895,22.0,22.0,56
128,2021-09-02,22.5,22.8,21.43,21.43,382
129,2021-09-03,21.205,21.8,21.0,21.8,122
130,2021-09-06,21.8,22.2,21.0,21.5,291
131,2021-09-07,21.9,21.9,20.37,20.37,611
132,2021-09-08,20.3,20.8,19.52,20.69,399
133,2021-09-09,20.1,20.69,20.0,20.0,335
134,2021-09-10,20.69,20.73,20.69,20.73,8
135,2021-09-13,21.0,21.5,21.0,21.0,867
136,2021-09-14,21.5,21.5,19.5,21.0,237
137,2021-09-16,21.4,22.0,21.4,22.0,166
138,2021-09-20,21.5,23.0,21.5,22.99,128
139,2021-09-21,22.0,22.88,22.0,22.88,41
140,2021-09-22,22.8,23.3,22.8,23.3,135
141,2021-09-23,23.0,23.6,23.0,23.6,302
142,2021-09-24,23.4,23.4,23.395,23.395,12
143,2021-09-27,23.395,24.2,23.2,24.2,693
144,2021-09-28,24.2,24.5,24.2,24.5,70
145,2021-09-29,24.15,24.15,21.9,22.0,1661
146,2021-09-30,22.7,24.0,22.7,24.0,2525
147,2021-10-01,23.3,23.89,23.0,23.85,42
148,2021-10-04,23.85,23.88,22.0,22.0,689
149,2021-10-05,23.0,23.8,21.8,23.8,118
150,2021-10-06,23.2,23.2,22.0,23.19,104
151,2021-10-07,22.5,22.99,22.0,22.99,72
152,2021-10-08,22.01,23.1,22.0,23.1,445
153,2021-10-11,23.08,23.08,23.08,23.08,2
154,2021-10-12,23.0,23.0,22.0,22.0,122
155,2021-10-13,22.7,22.8,21.9,22.0,298
156,2021-10-14,22.0,22.0,22.0,22.0,43
157,2021-10-15,22.0,22.6,22.0,22.6,22
158,2021-10-18,22.6,23.01,22.0,23.01,94
159,2021-10-19,22.99,22.99,22.0,22.98,183
160,2021-10-20,22.2,22.99,22.0,22.99,69
161,2021-10-21,22.2,22.8,22.0,22.8,36
162,2021-10-22,22.1,22.7,21.9,22.0,681
163,2021-10-25,22.65,22.65,22.5,22.5,238
164,2021-10-26,22.65,22.68,22.65,22.68,5
165,2021-10-27,22.1,22.98,22.01,22.8,166
166,2021-10-28,22.795,22.99,22.795,22.99,156
167,2021-10-29,22.16,22.16,22.0,22.0,1021
168,2021-11-02,22.8,22.84,22.1,22.7,31
169,2021-11-03,22.84,22.985,22.0,22.0,290
170,2021-11-04,22.0,22.0,21.5,21.5,12
171,2021-11-05,22.0,22.0,20.05,21.4,176
172,2021-11-08,21.4,21.4,20.15,21.39,405
173,2021-11-09,21.39,21.39,20.16,21.2,263
174,2021-11-12,20.1,21.2,19.0,19.0,414
175,2021-11-15,19.9,19.9,19.9,19.9,26
176,2021-11-16,19.1,19.898,19.0,19.0,361
177,2021-11-17,21.975,21.975,21.975,21.975,300
178,2021-11-18,20.4,21.0,20.4,21.0,13
179,2021-11-19,20.3,20.3,20.0,20.0,75
180,2021-11-22,20.8,20.8,19.05,19.05,62
181,2021-11-23,19.0,19.0,19.0,19.0,50
182,2021-11-24,19.0,19.2,18.8,19.2,314
183,2021-11-26,18.4,19.2,17.0,18.0,169
184,2021-11-29,17.7,17.7,17.5,17.5,214
185,2021-11-30,18.5,20.0,18.5,19.5,489
186,2021-12-01,19.95,19.95,19.95,19.95,11
187,2021-12-02,19.94,20.78,19.94,20.78,170
188,2021-12-03,20.0,20.5,19.5,20.5,21
189,2021-12-10,20.395,20.395,20.395,20.395,14
190,2021-12-13,20.395,20.4,20.395,20.4,16
191,2021-12-14,20.0,20.0,19.0,19.998,21
192,2021-12-15,19.98,19.98,19.978,19.98,35
193,2021-12-20,19.948,19.948,19.948,19.948,1
194,2021-12-21,19.0,19.0,19.0,19.0,5
195,2021-12-22,18.5,19.0,18.5,19.0,651
196,2021-12-23,19.0,20.5,19.0,20.5,1027
197,2021-12-27,20.0,20.0,20.0,20.0,1
198,2021-12-28,20.5,20.5,18.0,18.0,94
199,2021-12-29,18.598,18.998,18.5,18.998,474
200,2021-12-30,18.998,20.0,18.998,19.0,32
201,2022-01-03,19.0,19.0,19.0,19.0,75
202,2022-01-04,19.0,19.0,18.5,19.0,9
203,2022-01-05,19.0,19.0,18.5,18.5,334
204,2022-01-07,18.5,18.5,18.5,18.5,1
205,2022-01-10,19.998,20.5,19.998,20.5,2
206,2022-01-12,19.5,21.4,19.5,21.0,233
207,2022-01-13,21.3,22.0,21.3,21.5,176
208,2022-01-14,21.9,21.995,20.5,21.3,233
209,2022-01-17,20.8,20.8,20.0,20.0,18
210,2022-01-18,21.0,21.1,21.0,21.1,6
211,2022-01-24,20.9,20.9,19.0,19.7,147
212,2022-01-26,18.9,19.7,17.5,19.7,254
213,2022-01-28,18.7,18.7,18.7,18.7,10
214,2022-01-31,19.7,19.7,19.5,19.6,11
215,2022-02-01,19.2,19.2,18.6,18.6,120
216,2022-02-02,18.4,18.7,17.9,18.7,146
217,2022-02-03,18.21,19.0,18.21,19.0,51
218,2022-02-04,19.0,19.0,19.0,19.0,20
