,Date,Open,High,Low,Close,Volume
0,2001-07-17,1704.65,1704.65,1623.27,1704.65,163.0
1,2001-07-18,1656.0,1656.0,1639.19,1656.0,15.0
2,2001-07-19,1663.96,1663.96,1639.19,1639.19,2.0
3,2001-07-20,1639.19,1639.19,1631.23,1631.23,9.0
4,2001-07-23,1656.0,1656.0,1656.0,1656.0,1.0
5,2001-07-24,1623.27,1623.27,1623.27,1623.27,5.0
6,2001-07-26,1623.27,1623.27,1582.58,1623.27,18.0
7,2001-07-27,1566.65,1574.62,1566.65,1574.62,13.0
8,2001-07-30,1549.85,1607.35,1549.85,1607.35,2.0
9,2001-07-31,1549.85,1582.58,1510.04,1582.58,6.0
10,2001-08-02,1510.04,1582.58,1501.19,1510.04,20.0
11,2001-08-03,1525.96,1533.92,1525.96,1533.92,5.0
12,2001-08-06,1485.27,1525.96,1485.27,1525.96,5.0
13,2001-08-07,1464.92,1501.19,1460.5,1501.19,15.0
14,2001-08-08,1452.54,1485.27,1452.54,1485.27,5.0
15,2001-08-09,1420.69,1477.31,1380.0,1477.31,37.0
16,2001-08-10,1420.69,1477.31,1420.69,1477.31,12.0
17,2001-08-13,1420.69,1485.27,1416.27,1485.27,6.0
18,2001-08-14,1420.69,1469.35,1420.69,1469.35,22.0
19,2001-08-16,1485.27,1485.27,1485.27,1485.27,1.0
20,2001-08-17,1477.31,1477.31,1428.65,1469.35,15.0
21,2001-08-20,1420.69,1460.5,1420.69,1460.5,9.0
22,2001-08-21,1477.31,1533.92,1477.31,1533.92,33.0
23,2001-08-22,1501.19,1541.88,1501.19,1541.88,4.0
24,2001-08-23,1541.88,1541.88,1541.88,1541.88,
25,2001-08-27,1570.19,1570.19,1497.65,1497.65,12.0
26,2001-08-28,1460.5,1460.5,1460.5,1460.5,2.0
27,2001-08-29,1489.69,1501.19,1489.69,1501.19,10.0
28,2001-08-30,1541.88,1582.58,1541.88,1582.58,11.0
29,2001-08-31,1574.62,1574.62,1574.62,1574.62,
30,2001-09-04,1590.54,1607.35,1582.58,1582.58,21.0
31,2001-09-05,1582.58,1582.58,1582.58,1582.58,13.0
32,2001-09-06,1598.5,1647.15,1598.5,1647.15,4.0
33,2001-09-11,1623.27,1623.27,1623.27,1623.27,4.0
34,2001-09-14,1566.65,1566.65,1566.65,1566.65,5.0
35,2001-09-17,1518.0,1566.65,1518.0,1566.65,8.0
36,2001-09-18,1525.96,1525.96,1525.96,1525.96,5.0
37,2001-09-19,1525.96,1566.65,1525.96,1566.65,7.0
38,2001-09-21,1493.23,1518.0,1493.23,1518.0,6.0
39,2001-09-25,1485.27,1493.23,1477.31,1493.23,30.0
40,2001-09-26,1518.0,1623.27,1518.0,1623.27,1117.0
41,2001-09-27,1623.27,1623.27,1566.65,1566.65,27.0
42,2001-09-28,1566.65,1566.65,1566.65,1566.65,
43,2001-10-02,1623.27,1623.27,1558.69,1558.69,6.0
44,2001-10-03,1558.69,1558.69,1558.69,1558.69,4.0
45,2001-10-04,1631.23,1663.96,1623.27,1663.96,11.0
46,2001-10-05,1594.96,1594.96,1594.96,1594.96,2.0
47,2001-10-08,1594.96,1594.96,1594.96,1594.96,2.0
48,2001-10-09,1566.65,1566.65,1566.65,1566.65,2.0
49,2001-10-10,1607.35,1607.35,1566.65,1566.65,7.0
50,2001-10-11,1549.85,1549.85,1549.85,1549.85,37.0
51,2001-10-12,1549.85,1663.96,1549.85,1663.96,90.0
52,2001-10-15,1663.96,1728.54,1663.96,1728.54,3.0
53,2001-10-16,1745.35,1794.0,1745.35,1794.0,8.0
54,2001-10-17,1794.0,1866.54,1785.15,1866.54,12.0
55,2001-10-18,1833.81,1907.23,1833.81,1866.54,128.0
56,2001-10-19,1833.81,1842.65,1663.96,1663.96,939.0
57,2001-10-22,1728.54,1753.31,1704.65,1753.31,7.0
58,2001-10-23,1785.15,1866.54,1785.15,1866.54,16.0
59,2001-10-24,1866.54,1947.92,1866.54,1923.15,1275.0
60,2001-10-25,1947.92,1955.88,1866.54,1866.54,678.0
61,2001-10-26,1907.23,1907.23,1891.31,1907.23,65.0
62,2001-10-29,1858.58,1858.58,1842.65,1850.62,80.0
63,2001-10-30,1825.85,1883.35,1825.85,1883.35,49.0
64,2001-10-31,1825.85,2093.88,1785.15,2093.88,289.0
65,2001-11-02,1932.0,2037.27,1923.15,2029.31,985.0
66,2001-11-05,1947.92,1947.92,1858.58,1858.58,26.0
67,2001-11-06,1833.81,1907.23,1833.81,1866.54,10.0
68,2001-11-07,1833.81,1874.5,1833.81,1833.81,123.0
69,2001-11-08,1825.85,1850.62,1794.0,1850.62,116.0
70,2001-11-12,1777.19,1825.85,1745.35,1745.35,9.0
71,2001-11-13,1712.62,1825.85,1712.62,1825.85,19.0
72,2001-11-14,1858.58,1858.58,1858.58,1858.58,12.0
73,2001-11-15,1833.81,1866.54,1833.81,1866.54,2.0
74,2001-11-16,1866.54,1866.54,1866.54,1866.54,2.0
75,2001-11-20,1842.65,1850.62,1842.65,1850.62,43.0
76,2001-11-21,1858.58,1874.5,1858.58,1874.5,35.0
77,2001-11-22,1866.54,1980.65,1866.54,1980.65,62.0
78,2001-11-26,1874.5,1874.5,1874.5,1874.5,1.0
79,2001-11-28,1858.58,1939.96,1858.58,1939.96,6.0
80,2001-11-29,1850.62,1939.96,1850.62,1939.96,15.0
81,2001-11-30,1850.62,1932.0,1850.62,1932.0,12.0
82,2001-12-05,1874.5,1874.5,1866.54,1866.54,6.0
83,2001-12-06,1858.58,1858.58,1858.58,1858.58,1.0
84,2001-12-07,1866.54,1866.54,1866.54,1866.54,3.0
85,2001-12-10,1915.19,1915.19,1915.19,1915.19,
86,2001-12-11,1850.62,1850.62,1850.62,1850.62,4.0
87,2001-12-12,1801.96,1891.31,1801.96,1891.31,14.0
88,2001-12-19,1801.96,1891.31,1801.96,1891.31,3.0
89,2001-12-21,1817.88,1947.92,1817.88,1947.92,394.0
90,2001-12-27,1842.65,1899.27,1842.65,1899.27,4.0
91,2001-12-28,1866.54,1907.23,1866.54,1907.23,25.0
92,2001-12-31,1833.81,1939.96,1833.81,1915.19,95.0
93,2002-01-03,1899.27,1899.27,1899.27,1899.27,2.0
94,2002-01-09,1915.19,1915.19,1915.19,1915.19,1.0
95,2002-01-14,1858.58,1915.19,1858.58,1915.19,3.0
96,2002-01-15,1866.54,1866.54,1866.54,1866.54,2.0
97,2002-01-16,1866.54,1915.19,1794.0,1915.19,1779.0
98,2002-01-17,1915.19,1915.19,1915.19,1915.19,7.0
99,2002-01-18,1915.19,1947.92,1915.19,1947.92,52.0
100,2002-01-21,1955.88,1988.62,1955.88,1988.62,11.0
101,2002-01-22,2029.31,2070.0,2021.35,2070.0,29.0
102,2002-01-23,2061.15,2175.27,2029.31,2175.27,35.0
103,2002-01-24,2223.92,2272.58,2208.0,2272.58,11.0
104,2002-01-25,2256.65,2288.5,2256.65,2288.5,12.0
105,2002-01-28,2264.62,2329.19,2256.65,2329.19,10.0
106,2002-01-29,2346.0,2346.0,2305.31,2313.27,4.0
107,2002-01-30,2280.54,2280.54,2231.88,2231.88,63.0
108,2002-01-31,2231.88,2239.85,2150.5,2150.5,6.0
109,2002-02-01,2118.65,2150.5,2109.81,2109.81,7.0
110,2002-02-04,2126.62,2142.54,2109.81,2134.58,7.0
111,2002-02-06,2150.5,2150.5,2150.5,2150.5,1.0
112,2002-02-07,2134.58,2167.31,2093.88,2134.58,26.0
113,2002-02-11,2093.88,2134.58,2053.19,2134.58,6.0
114,2002-02-12,2053.19,2126.62,2053.19,2126.62,2.0
115,2002-02-13,2150.5,2158.46,2101.85,2158.46,3.0
116,2002-02-15,2183.23,2183.23,2183.23,2183.23,1.0
117,2002-02-18,2150.5,2223.92,2118.65,2208.0,3.0
118,2002-02-19,2126.62,2256.65,2126.62,2256.65,9.0
119,2002-02-20,2272.58,2272.58,2272.58,2272.58,1.0
120,2002-02-21,2264.62,2272.58,2247.81,2264.62,7.0
121,2002-02-22,2264.62,2272.58,2239.85,2247.81,14.0
122,2002-02-25,2247.81,2247.81,2231.88,2247.81,7.0
123,2002-02-26,2231.88,2247.81,2223.92,2247.81,5.0
124,2002-02-27,2231.88,2247.81,2231.88,2247.81,1.0
125,2002-02-28,2223.92,2223.92,2223.92,2223.92,3.0
126,2002-03-01,2215.96,2247.81,2208.0,2247.81,4.0
127,2002-03-04,2231.88,2239.85,2208.0,2239.85,7.0
128,2002-03-05,2215.96,2223.92,2191.19,2223.92,6.0
129,2002-03-06,2191.19,2191.19,2191.19,2191.19,
130,2002-03-07,2208.0,2208.0,2208.0,2208.0,1.0
131,2002-03-08,2191.19,2191.19,2191.19,2191.19,1.0
132,2002-03-11,2175.27,2191.19,2150.5,2191.19,16.0
133,2002-03-12,2191.19,2191.19,2191.19,2191.19,1.0
134,2002-03-15,2208.0,2208.0,2158.46,2208.0,2.0
135,2002-03-18,2183.23,2183.23,2183.23,2183.23,7.0
