,Date,Open,High,Low,Close,Volume
0,1998-01-19,4.144,4.144,4.144,4.144,65226.0
1,1998-01-20,3.808,3.808,3.808,3.808,37909.0
2,1998-01-21,3.78,3.78,3.78,3.78,26481.0
3,1998-01-22,3.416,3.416,3.416,3.416,14160.0
4,1998-01-23,3.472,3.472,3.472,3.472,7835.0
5,1998-01-26,3.528,3.528,3.528,3.528,7480.0
6,1998-01-27,3.528,3.528,3.528,3.528,19709.0
7,1998-01-28,3.584,3.584,3.584,3.584,12903.0
8,1998-01-29,3.836,3.836,3.836,3.836,15855.0
9,1998-01-30,3.948,3.948,3.948,3.948,44884.0
10,1998-02-02,4.144,4.144,4.144,4.144,28843.0
11,1998-02-03,4.116,4.116,4.116,4.116,24297.0
12,1998-02-04,3.696,3.696,3.696,3.696,13848.0
13,1998-02-05,3.808,3.808,3.808,3.808,9715.0
14,1998-02-06,3.92,3.92,3.92,3.92,9994.0
15,1998-02-09,4.032,4.032,4.032,4.032,20266.0
16,1998-02-10,4.032,4.032,4.032,4.032,25427.0
17,1998-02-11,3.976,3.976,3.976,3.976,18461.0
18,1998-02-12,3.584,3.584,3.584,3.584,12971.0
19,1998-02-13,3.64,3.64,3.64,3.64,5380.0
20,1998-02-16,3.808,3.808,3.808,3.808,13131.0
21,1998-02-17,3.948,3.948,3.948,3.948,21430.0
22,1998-02-18,4.088,4.088,4.088,4.088,13485.0
23,1998-02-19,4.032,4.032,4.032,4.032,20173.0
24,1998-02-20,3.808,3.808,3.808,3.808,3913.0
25,1998-02-23,3.92,3.92,3.92,3.92,6789.0
26,1998-02-24,3.92,3.92,3.92,3.92,18014.0
27,1998-02-25,3.836,3.836,3.836,3.836,49792.0
28,1998-02-26,3.864,3.864,3.864,3.864,23606.0
29,1998-02-27,3.92,3.92,3.92,3.92,7877.0
30,1998-03-02,3.892,3.892,3.892,3.892,2935.0
31,1998-03-03,3.864,3.864,3.864,3.864,3795.0
32,1998-03-04,3.78,3.78,3.78,3.78,13983.0
33,1998-03-05,3.724,3.724,3.724,3.724,7826.0
34,1998-03-06,3.724,3.724,3.724,3.724,13814.0
35,1998-03-09,3.808,3.808,3.808,3.808,5060.0
36,1998-03-10,3.864,3.864,3.864,3.864,14590.0
37,1998-03-11,3.612,3.612,3.612,3.612,3146.0
38,1998-03-12,3.668,3.668,3.668,3.668,3415.0
39,1998-03-13,3.864,3.864,3.864,3.864,11208.0
40,1998-03-16,3.808,3.808,3.808,3.808,48122.0
41,1998-03-17,3.724,3.724,3.724,3.724,6460.0
42,1998-03-18,3.668,3.668,3.668,3.668,4900.0
43,1998-03-19,3.78,3.78,3.78,3.78,7202.0
44,1998-03-20,3.808,3.808,3.808,3.808,5735.0
45,1998-03-23,3.64,3.64,3.64,3.64,4107.0
46,1998-03-24,3.528,3.528,3.528,3.528,4529.0
47,1998-03-25,3.612,3.612,3.612,3.612,5693.0
48,1998-03-26,3.332,3.332,3.332,3.332,6747.0
49,1998-03-27,3.444,3.444,3.444,3.444,6485.0
50,1998-03-30,3.444,3.444,3.444,3.444,9243.0
51,1998-03-31,3.388,3.388,3.388,3.388,9530.0
52,1998-04-01,3.444,3.444,3.444,3.444,9209.0
53,1998-04-02,3.388,3.388,3.388,3.388,1535.0
54,1998-04-06,3.332,3.332,3.332,3.332,607.0
55,1998-04-07,3.388,3.388,3.388,3.388,3432.0
56,1998-04-08,3.416,3.416,3.416,3.416,9193.0
57,1998-04-09,3.332,3.332,3.332,3.332,4217.0
58,1998-04-14,3.332,3.332,3.332,3.332,4495.0
59,1998-04-15,3.332,3.332,3.332,3.332,4217.0
60,1998-04-16,3.248,3.248,3.248,3.248,421.0
61,1998-04-17,3.192,3.192,3.192,3.192,2201.0
