,Date,Open,High,Low,Close,Volume
0,1996-11-19,16.952,16.952,16.952,16.952,37046.0
1,1996-11-20,17.496,17.496,17.496,17.496,23178.0
2,1996-11-21,19.244,19.244,19.244,19.244,22422.0
3,1996-11-22,21.115,21.115,21.115,21.115,98627.0
4,1996-11-25,21.297,21.297,21.297,21.297,29677.0
5,1996-11-26,20.512,20.512,20.512,20.512,13846.0
6,1996-11-27,19.909,19.909,19.909,19.909,16976.0
7,1996-11-28,19.305,19.305,19.305,19.305,9582.0
8,1996-11-29,20.874,20.874,20.874,20.874,15499.0
9,1996-12-02,21.115,21.115,21.115,21.115,41914.0
10,1996-12-03,21.718,21.718,21.718,21.718,31518.0
11,1996-12-04,23.529,23.529,23.529,23.529,42079.0
12,1996-12-05,24.433,24.433,24.433,24.433,51672.0
13,1996-12-06,26.304,26.304,26.304,26.304,66779.0
14,1996-12-09,25.036,25.036,25.036,25.036,43577.0
15,1996-12-10,25.7,25.7,25.7,25.7,25447.0
16,1996-12-11,27.148,27.148,27.148,27.148,16428.0
17,1996-12-12,28.354,28.354,28.354,28.354,39130.0
18,1996-12-13,28.354,28.354,28.354,28.354,42869.0
19,1996-12-16,28.233,28.233,28.233,28.233,43210.0
20,1996-12-17,27.148,27.148,27.148,27.148,29285.0
21,1996-12-18,25.821,25.821,25.821,25.821,25755.0
22,1996-12-19,27.148,27.148,27.148,27.148,26833.0
23,1996-12-20,27.087,27.087,27.087,27.087,22131.0
24,1996-12-23,25.096,25.096,25.096,25.096,23371.0
25,1996-12-24,24.433,24.433,24.433,24.433,7552.0
26,1996-12-30,25.459,25.459,25.459,25.459,28045.0
27,1996-12-31,25.579,25.579,25.579,25.579,13349.0
28,1997-01-02,25.338,25.338,25.338,25.338,6730.0
29,1997-01-03,25.398,25.398,25.398,25.398,11241.0
30,1997-01-06,25.338,25.338,25.338,25.338,9413.0
31,1997-01-07,25.158,25.158,25.158,25.158,2743.0
32,1997-01-08,26.062,26.062,26.062,26.062,11685.0
33,1997-01-09,25.941,25.941,25.941,25.941,7691.0
34,1997-01-10,26.304,26.304,26.304,26.304,9372.0
35,1997-01-13,24.735,24.735,24.735,24.735,9117.0
36,1997-01-14,24.794,24.794,24.794,24.794,10204.0
37,1997-01-15,24.131,24.131,24.131,24.131,9676.0
38,1997-01-16,24.131,24.131,24.131,24.131,48340.0
39,1997-01-17,25.338,25.338,25.338,25.338,37434.0
