,Date,Open,High,Low,Close,Volume
0,2003-01-15,9.695,9.695,9.695,9.695,103
1,2003-01-16,9.2106,9.2106,9.2106,9.2106,52
2,2003-01-17,9.2106,9.2106,9.2106,9.2106,52
3,2003-02-24,7.1746,7.1746,7.1746,7.1746,2645
4,2003-02-25,9.1137,9.1137,9.1137,9.1137,36
5,2003-02-26,5.6233,5.6233,5.6233,5.6233,5609
6,2003-03-04,5.6233,5.6233,4.8477,4.8477,12604
7,2003-03-05,4.8477,4.8477,4.8477,4.8477,516
8,2003-03-10,5.5264,5.5264,4.8477,4.8477,12893
9,2003-03-12,4.8477,4.8477,4.8477,4.8477,928
10,2003-03-17,5.4294,5.4294,4.8477,4.8477,11346
11,2003-03-21,4.8477,4.8477,4.8477,4.8477,3610
12,2003-03-24,5.2355,5.2355,4.8477,4.8477,10016
13,2003-03-25,4.8477,4.8477,4.8477,4.8477,556
14,2003-03-26,5.0901,5.0901,5.0901,5.0901,544
15,2003-03-28,5.0901,5.0901,5.0901,5.0901,1733
16,2003-03-31,4.8477,4.8477,4.8477,4.8477,686
17,2003-04-08,5.3325,6.7868,5.3325,6.7868,1720
18,2003-04-09,8.338,9.2106,5.8172,5.8172,2032
19,2003-04-10,8.7258,8.7258,5.8172,5.8172,1341
20,2003-04-17,5.5264,5.5264,5.5264,5.5264,578
21,2003-04-23,6.7868,6.7868,6.7868,6.7868,103
22,2003-04-24,6.302,6.6898,6.302,6.6898,772
23,2003-04-25,4.8962,4.8962,4.8962,4.8962,199
24,2003-05-05,4.8477,4.8477,4.8477,4.8477,95
25,2003-05-12,4.8477,4.8477,4.8477,4.8477,8
26,2003-05-14,4.8477,4.8477,4.8477,4.8477,230
27,2003-05-15,5.5264,5.5264,5.5264,5.5264,1
28,2003-05-23,5.3325,5.3325,5.3325,5.3325,301
29,2003-05-26,5.8172,5.8172,5.8172,5.8172,516
30,2003-05-27,5.3325,5.3325,5.3325,5.3325,516
31,2003-05-28,6.302,6.302,5.8172,5.8172,740
32,2003-05-29,5.7688,5.9142,5.7688,5.8172,1444
33,2003-06-02,7.7563,9.55,6.0111,6.9807,108508
34,2003-06-03,6.8352,6.8352,6.7868,6.7868,464
35,2003-06-04,7.2715,7.2715,7.2715,7.2715,1599
36,2003-06-23,4.9931,4.9931,4.8477,4.8477,151
37,2003-06-27,6.7868,6.7868,6.7868,6.7868,126
38,2003-07-01,6.7868,6.7868,6.7868,6.7868,286
39,2003-07-08,6.7868,6.7868,6.7868,6.7868,85
40,2003-07-10,6.205,6.205,6.205,6.205,218
41,2003-07-21,8.435,8.435,8.435,8.435,1960
42,2003-07-24,4.8962,4.9446,4.8477,4.9446,975
43,2003-07-25,5.8657,5.8657,5.8657,5.8657,342
44,2003-07-28,6.6898,6.6898,6.6898,6.6898,516
45,2003-08-01,5.9142,6.0111,5.9142,6.0111,1924
46,2003-08-05,6.399,6.399,6.399,6.399,1044
47,2003-08-08,6.302,6.302,6.302,6.302,928
48,2003-08-11,6.302,6.302,6.302,6.302,535
49,2003-08-12,5.8172,6.302,5.8172,6.302,619
50,2003-08-14,5.8657,5.8657,5.8657,5.8657,195
51,2003-08-18,5.8172,5.9142,5.8172,5.9142,1734
52,2003-08-19,5.8172,5.8172,5.8172,5.8172,309
53,2003-08-20,5.8172,5.8172,5.8172,5.8172,7267
54,2003-08-21,5.8172,5.8172,5.8172,5.8172,1004
55,2003-08-25,5.8172,5.8172,5.8172,5.8172,1031
56,2003-09-18,5.9142,5.9142,5.9142,5.9142,157
57,2003-09-26,4.8962,5.9627,4.8962,5.9627,1801
58,2003-09-29,4.9446,4.9446,4.9446,4.9446,86
59,2003-10-13,5.8172,5.8172,5.8172,5.8172,95
60,2003-10-14,6.302,6.302,6.0111,6.0111,1111
61,2003-10-15,6.2535,6.2535,5.8172,5.8172,200
62,2003-10-17,6.2535,6.302,6.2535,6.302,1547
63,2003-10-20,6.302,6.6898,6.302,6.6898,1386
64,2003-10-21,6.6898,6.6898,6.6898,6.6898,309
65,2003-10-23,6.6898,7.6594,6.6898,7.6109,886
66,2003-10-27,6.7868,6.7868,6.7868,6.7868,1031
67,2003-10-29,7.6109,7.7563,7.6109,7.7563,1238
68,2003-10-31,7.5624,7.6109,7.5624,7.6109,2278
69,2003-11-03,7.6109,7.6109,7.6109,7.6109,309
70,2003-11-04,7.5624,7.5624,7.5624,7.5624,516
71,2003-11-12,7.5624,7.5624,7.5624,7.5624,1547
72,2003-11-13,7.6594,7.6594,7.6109,7.6109,1022
73,2003-11-14,7.7078,7.7078,7.7078,7.7078,946
74,2003-11-26,6.205,6.205,6.205,6.205,309
75,2003-12-01,7.5624,7.5624,6.205,6.205,1887
