,Date,Open,High,Low,Close,Volume
0,2011-04-12,5.6962,6.0597,5.6902,5.9602,924992
1,2011-04-13,5.9835,6.1008,5.9367,5.9542,306860
2,2011-04-14,5.9367,5.9367,5.8133,5.8486,103576
3,2011-04-15,5.8428,5.8661,5.5904,5.8075,115912
4,2011-04-18,5.8016,5.9542,5.6962,5.8661,152124
5,2011-04-19,5.8075,6.007,5.8075,5.9777,60372
6,2011-04-20,5.9249,5.9835,5.8955,5.9249,17830
7,2011-04-21,5.9249,6.007,5.8722,5.9953,167983
8,2011-04-26,6.0129,6.3061,6.0129,6.2534,139996
9,2011-04-27,6.2534,6.6815,6.2182,6.5468,143742
10,2011-04-28,6.5174,6.658,6.5114,6.5936,42109
11,2011-04-29,6.5114,6.6054,6.5114,6.5526,15261
12,2011-05-02,6.5114,6.5114,6.406,6.488,11713
13,2011-05-04,6.4295,6.576,6.1596,6.5408,68528
14,2011-05-05,6.5114,6.5996,6.3355,6.576,31487
15,2011-05-06,6.5702,6.6463,6.3472,6.6463,59150
16,2011-05-09,6.5526,6.6523,6.3941,6.5996,16861
17,2011-05-10,6.5642,6.6287,6.4176,6.5996,26377
18,2011-05-11,6.4234,6.6287,6.4234,6.5936,27850
19,2011-05-12,6.4939,6.623,6.4939,6.6169,29975
20,2011-05-13,6.5408,6.623,6.5408,6.5878,29834
21,2011-05-16,6.5702,6.623,6.4822,6.5408,36407
22,2011-05-17,6.4588,6.5702,6.4234,6.4529,19989
23,2011-05-18,6.4529,6.6287,6.4529,6.6287,62221
24,2011-05-19,6.623,6.9163,6.4822,6.8284,56842
25,2011-05-20,6.7575,6.8631,6.7462,6.8462,19616
26,2011-05-23,6.752,6.752,6.623,6.7462,13345
27,2011-05-24,6.6463,6.752,6.6463,6.752,5820
28,2011-05-25,6.7462,6.7462,6.5232,6.6876,30803
29,2011-05-26,6.5468,6.7405,6.529,6.6757,2362
30,2011-05-27,6.7405,6.7462,6.4588,6.5996,5503
31,2011-05-30,6.5114,6.8575,6.4529,6.705,29612
