,Date,Open,High,Low,Close,Volume
0,2008-02-14,7.6324,7.6324,3.265,3.3752,315794
1,2008-02-15,3.3072,5.0035,3.1971,4.4522,274679
2,2008-02-18,4.4522,6.4027,4.4522,5.8938,322049
3,2008-02-19,5.9787,6.5384,5.173,5.3851,148870
4,2008-02-20,5.5123,5.9363,4.749,5.0797,65722
5,2008-02-21,5.0882,5.2578,4.5539,4.6896,49154
6,2008-02-22,4.537,4.6557,4.0027,4.4776,44336
7,2008-02-25,4.4098,5.0035,4.0451,4.2486,100041
8,2008-02-26,4.3251,4.3251,3.6465,3.7313,150564
9,2008-02-27,3.7993,4.1808,3.7484,4.0366,85123
10,2008-02-28,4.0706,4.5625,3.8161,3.9434,61990
11,2008-02-29,3.9942,4.3251,3.7484,4.0198,41724
12,2008-03-03,3.7737,3.8841,3.5617,3.8841,15779
13,2008-03-04,3.6974,4.5794,3.6974,4.2402,65161
14,2008-03-05,4.4437,4.4776,3.8841,4.0875,66339
15,2008-03-06,4.0027,4.1045,3.9434,4.0366,16806
16,2008-03-07,4.0537,4.0537,3.9179,4.0282,3695
17,2008-03-10,3.9518,3.9518,3.689,3.8161,17551
18,2008-03-11,3.7993,3.7993,3.5786,3.7059,13270
19,2008-03-12,3.7737,3.7737,3.5279,3.6041,19802
20,2008-03-13,3.5279,4.4098,3.4939,3.9518,115457
21,2008-03-14,4.0282,4.2402,3.7737,3.9942,28626
22,2008-03-17,3.7313,3.7313,3.1971,3.3752,106392
23,2008-03-18,3.3158,3.5192,3.2057,3.5192,16737
24,2008-03-19,3.6041,3.6041,3.4345,3.4345,167
25,2008-03-20,3.5192,3.5192,3.265,3.3328,3503
26,2008-03-25,3.477,3.477,3.3243,3.426,9225
27,2008-03-26,3.3497,3.46,3.231,3.265,20171
28,2008-03-27,3.2904,3.2904,3.231,3.265,3051
29,2008-03-28,3.5617,3.5617,3.248,3.265,6839
30,2008-03-31,3.2225,3.2904,3.1462,3.2904,5225
31,2008-04-01,3.1886,3.2904,3.1886,3.1971,1279
32,2008-04-02,3.2057,3.2225,3.0953,3.2225,4624
33,2008-04-03,3.0529,3.1886,2.9257,3.1123,8378
34,2008-04-04,3.1038,3.1038,2.8833,3.0105,13534
35,2008-04-07,3.0105,3.3328,3.0105,3.248,10299
36,2008-04-08,3.2225,3.2225,3.0868,3.1377,6567
37,2008-04-09,3.0105,3.0445,2.9002,2.9002,12181
38,2008-04-10,2.9766,3.214,2.9002,3.214,16706
39,2008-04-11,3.231,3.3497,3.1377,3.2225,13872
40,2008-04-14,3.1038,3.1377,3.0614,3.0614,2904
41,2008-04-15,3.0614,3.1802,3.0614,3.0614,8472
42,2008-04-16,3.1377,3.1377,3.0105,3.1293,2024
43,2008-04-17,3.1547,3.1547,3.0105,3.0105,355
44,2008-04-18,3.0105,3.1208,2.9852,3.1123,3896
45,2008-04-21,2.9343,3.1293,2.9343,3.1293,1875
46,2008-04-22,3.1208,3.1208,2.7561,2.9681,5596
47,2008-04-23,2.7986,2.9427,2.5695,2.9257,5025
48,2008-04-24,2.6713,2.9172,2.6713,2.8833,2625
49,2008-04-25,2.8833,3.1038,2.8833,3.0529,3565
50,2008-04-28,3.0529,3.0529,2.5441,2.9596,10680
51,2008-04-29,2.9681,2.9681,2.7561,2.9596,713
52,2008-04-30,2.9511,3.1715,2.7986,2.9257,8086
53,2008-05-05,3.0953,3.1293,2.9257,2.9681,7342
54,2008-05-06,2.9427,3.265,2.9427,3.2395,17355
55,2008-05-07,3.248,3.5617,3.1293,3.5617,47137
56,2008-05-08,3.3328,3.7569,3.3328,3.4345,17626
57,2008-05-09,3.4684,3.5448,3.3922,3.5108,2861
58,2008-05-12,3.4855,3.4855,3.2225,3.46,24688
59,2008-05-13,3.2395,3.3922,3.0953,3.3922,13829
60,2008-05-14,3.265,3.3497,3.265,3.265,1374
61,2008-05-15,3.1715,3.2988,3.1038,3.2988,17578
62,2008-05-16,3.1123,3.3922,3.1123,3.3922,15277
63,2008-05-19,3.2225,3.265,3.2225,3.265,1415
64,2008-05-20,3.3413,3.3497,3.3413,3.3497,412
65,2008-05-21,3.1377,3.3072,3.0953,3.3072,2478
