,Date,Open,High,Low,Close,Volume
0,2011-05-05,22.85,22.85,21.8,22.12,96327
1,2011-05-06,22.1,22.14,22.04,22.12,6045
2,2011-05-09,22.15,22.26,22.01,22.1,6861
3,2011-05-10,22.11,22.15,21.0,21.45,94438
4,2011-05-11,21.55,21.66,20.81,20.9,17329
5,2011-05-12,20.45,21.5,20.01,21.4,14932
6,2011-05-13,21.35,21.4,20.8,21.3,20319
7,2011-05-16,21.4,21.49,21.0,21.4,6300
8,2011-05-17,21.4,21.4,20.85,21.35,2104
9,2011-05-18,21.0,21.89,21.0,21.88,3923
10,2011-05-19,21.88,21.88,21.7,21.7,1324
11,2011-05-20,21.89,22.45,21.87,22.45,22949
12,2011-05-23,22.02,22.83,22.02,22.83,19179
13,2011-05-24,22.82,23.3,22.35,22.92,31117
14,2011-05-25,23.0,23.2,22.5,23.08,23255
15,2011-05-26,23.07,23.1,23.0,23.07,6402
16,2011-05-27,25.1,25.88,25.0,25.4,202704
17,2011-05-30,25.99,26.4,25.91,26.1,125178
18,2011-05-31,26.7,28.35,26.7,27.8,120142
19,2011-06-01,28.97,28.97,27.82,27.95,231577
20,2011-06-02,28.0,28.0,26.5,27.4,41718
21,2011-06-03,27.95,28.18,26.6,26.8,17179
22,2011-06-06,27.0,27.0,26.1,26.3,9110
23,2011-06-07,26.3,26.6,25.41,26.19,11606
24,2011-06-08,26.43,26.43,25.6,25.99,4474
25,2011-06-09,25.98,25.98,25.11,25.4,9478
26,2011-06-10,25.5,25.92,25.5,25.85,3826
27,2011-06-13,26.0,26.5,25.66,25.85,12709
28,2011-06-14,25.9,25.9,25.11,25.13,8187
29,2011-06-15,25.09,25.09,23.55,23.95,29998
30,2011-06-16,23.46,23.8,22.61,22.95,28790
31,2011-06-17,22.9,24.8,22.9,23.86,26282
32,2011-06-20,23.93,24.09,23.6,23.62,42784
33,2011-06-21,23.6,23.6,23.05,23.58,8717
34,2011-06-22,23.09,23.57,22.53,23.17,2974
35,2011-06-24,23.17,23.17,22.3,22.55,6473
36,2011-06-27,22.35,22.35,21.4,21.48,11605
37,2011-06-28,21.5,21.98,21.5,21.9,2734
