,Date,Open,High,Low,Close,Volume
0,1996-01-30,12.709,12.709,12.709,12.709,235166.0
1,1996-01-31,13.166,13.166,13.166,13.166,248455.0
2,1996-02-01,13.166,13.166,13.166,13.166,120739.0
3,1996-02-02,13.713,13.713,13.713,13.713,199073.0
4,1996-02-05,13.853,13.853,13.853,13.853,78189.0
5,1996-02-06,13.713,13.713,13.713,13.713,145623.0
6,1996-02-07,13.166,13.166,13.166,13.166,412302.0
7,1996-02-08,13.713,13.713,13.713,13.713,242386.0
8,1996-02-09,15.083,15.083,15.083,15.083,246175.0
9,1996-02-12,16.592,16.592,16.592,16.592,145807.0
10,1996-02-13,17.371,17.371,17.371,17.371,440465.0
11,1996-02-14,16.914,16.914,16.914,16.914,166233.0
12,1996-02-15,16.914,16.914,16.914,16.914,161146.0
13,1996-02-16,16.867,16.867,16.867,16.867,75597.0
14,1996-02-19,16.458,16.458,16.458,16.458,81729.0
15,1996-02-20,16.227,16.227,16.227,16.227,119116.0
16,1996-02-21,16.227,16.227,16.227,16.227,145828.0
17,1996-02-22,16.684,16.684,16.684,16.684,72101.0
18,1996-02-23,16.592,16.592,16.592,16.592,45856.0
19,1996-02-26,16.732,16.732,16.732,16.732,75679.0
20,1996-02-27,16.64,16.64,16.64,16.64,81302.0
21,1996-02-28,16.458,16.458,16.458,16.458,17256.0
22,1996-02-29,17.05,17.05,17.05,17.05,110664.0
23,1996-03-01,17.14,17.14,17.14,17.14,50429.0
24,1996-03-04,17.736,17.736,17.736,17.736,106669.0
25,1996-03-05,18.88,18.88,18.88,18.88,102150.0
26,1996-03-06,19.472,19.472,19.472,19.472,54625.0
27,1996-03-07,21.438,21.438,21.438,21.438,57349.0
28,1996-03-08,19.562,19.562,19.562,19.562,81345.0
29,1996-03-11,19.337,19.337,19.337,19.337,36357.0
30,1996-03-12,19.472,19.472,19.472,19.472,53110.0
31,1996-03-13,19.703,19.703,19.703,19.703,57390.0
32,1996-03-14,19.472,19.472,19.472,19.472,30791.0
33,1996-03-15,19.654,19.654,19.654,19.654,10299.0
34,1996-03-18,20.341,20.341,20.341,20.341,19563.0
35,1996-03-19,20.937,20.937,20.937,20.937,58897.0
36,1996-03-20,21.711,21.711,21.711,21.711,90679.0
37,1996-03-21,21.486,21.486,21.486,21.486,174242.0
38,1996-03-22,21.711,21.711,21.711,21.711,43429.0
39,1996-03-25,21.62,21.62,21.62,21.62,187332.0
40,1996-03-26,21.256,21.256,21.256,21.256,10535.0
41,1996-03-27,21.164,21.164,21.164,21.164,11573.0
42,1996-03-28,21.438,21.438,21.438,21.438,18728.0
43,1996-03-29,21.486,21.486,21.486,21.486,19688.0
44,1996-04-01,21.394,21.394,21.394,21.394,12479.0
45,1996-04-02,21.164,21.164,21.164,21.164,12900.0
46,1996-04-03,20.937,20.937,20.937,20.937,16573.0
47,1996-04-04,20.708,20.708,20.708,20.708,19435.0
48,1996-04-05,20.937,20.937,20.937,20.937,43273.0
49,1996-04-09,20.572,20.572,20.572,20.572,25428.0
50,1996-04-10,20.572,20.572,20.572,20.572,28069.0
51,1996-04-11,20.756,20.756,20.756,20.756,12891.0
52,1996-04-12,20.847,20.847,20.847,20.847,3955.0
53,1996-04-15,21.164,21.164,21.164,21.164,14904.0
54,1996-04-16,21.164,21.164,21.164,21.164,28514.0
55,1996-04-17,21.256,21.256,21.256,21.256,12204.0
56,1996-04-18,21.62,21.62,21.62,21.62,27980.0
57,1996-04-19,21.486,21.486,21.486,21.486,11007.0
58,1996-04-22,21.62,21.62,21.62,21.62,43428.0
59,1996-04-23,21.711,21.711,21.711,21.711,56556.0
60,1996-04-24,21.711,21.711,21.711,21.711,60237.0
61,1996-04-25,21.711,21.711,21.711,21.711,14392.0
62,1996-04-26,20.937,20.937,20.937,20.937,40698.0
63,1996-04-29,21.164,21.164,21.164,21.164,21545.0
64,1996-04-30,21.256,21.256,21.256,21.256,15355.0
65,1996-05-06,21.256,21.256,21.256,21.256,23030.0
66,1996-05-07,21.711,21.711,21.711,21.711,19072.0
67,1996-05-08,21.711,21.711,21.711,21.711,52866.0
68,1996-05-09,21.942,21.942,21.942,21.942,26636.0
69,1996-05-10,21.711,21.711,21.711,21.711,32789.0
70,1996-05-13,21.942,21.942,21.942,21.942,15289.0
71,1996-05-14,22.307,22.307,22.307,22.307,135820.0
72,1996-05-15,22.077,22.077,22.077,22.077,87525.0
73,1996-05-16,22.077,22.077,22.077,22.077,67371.0
74,1996-05-17,21.851,21.851,21.851,21.851,48259.0
75,1996-05-20,21.668,21.668,21.668,21.668,32745.0
