,Date,Open,High,Low,Close,Volume
0,2013-04-24,0.95,0.95,0.78,0.78,57201
1,2013-04-25,0.75,0.81,0.75,0.81,7420
2,2013-04-26,0.79,0.81,0.78,0.81,5447
3,2013-04-29,0.82,0.89,0.8,0.89,65117
4,2013-04-30,0.79,0.89,0.79,0.88,7743
5,2013-05-02,0.85,0.85,0.81,0.84,7800
6,2013-05-06,0.81,0.81,0.8,0.8,5600
7,2013-05-07,0.85,0.85,0.84,0.84,18
8,2013-05-08,0.83,0.83,0.7,0.76,7502
9,2013-05-09,0.83,0.83,0.71,0.78,7999
10,2013-05-10,0.83,0.83,0.83,0.83,6
11,2013-05-13,0.83,0.83,0.74,0.74,6202
12,2013-05-14,0.76,0.76,0.75,0.76,5077
13,2013-05-15,0.76,0.76,0.76,0.76,8
14,2013-05-16,0.76,0.76,0.7,0.7,2445
15,2013-05-17,0.75,0.75,0.73,0.73,10
16,2013-05-20,0.73,0.73,0.73,0.73,5
17,2013-05-21,0.73,0.73,0.73,0.73,6
18,2013-05-24,0.7,0.74,0.7,0.74,10355
19,2013-05-31,0.7,0.74,0.7,0.74,4250
20,2013-06-03,0.75,0.75,0.75,0.75,7002
21,2013-06-04,0.74,0.74,0.7,0.74,1011
22,2013-06-05,0.75,0.75,0.75,0.75,2
23,2013-06-06,0.74,0.74,0.73,0.73,11
24,2013-06-07,0.73,0.73,0.73,0.73,10
25,2013-06-10,0.73,0.73,0.7,0.73,1522
26,2013-06-11,0.73,0.73,0.73,0.73,8
27,2013-06-12,0.73,0.73,0.7,0.73,4004
28,2013-06-13,0.72,0.72,0.7,0.72,1802
29,2013-06-14,0.72,0.72,0.72,0.72,6
30,2013-06-17,0.72,0.72,0.72,0.72,5
31,2013-06-18,0.71,0.71,0.71,0.71,10
32,2013-06-19,0.71,0.83,0.7,0.76,104814
33,2013-06-20,0.77,0.77,0.7,0.76,11970
34,2013-06-21,0.78,0.78,0.72,0.72,650
35,2013-06-24,0.72,0.75,0.7,0.75,1002
36,2013-06-25,0.75,0.75,0.75,0.75,3
37,2013-06-26,0.75,0.75,0.75,0.75,3
38,2013-06-27,0.74,0.74,0.74,0.74,4
39,2013-06-28,0.75,0.77,0.73,0.77,20035
40,2013-07-01,0.75,0.75,0.75,0.75,3
41,2013-07-02,0.75,0.79,0.75,0.79,12468
42,2013-07-03,0.78,0.78,0.78,0.78,7
43,2013-07-05,0.79,0.94,0.7,0.87,13889
44,2013-07-09,0.8,0.8,0.78,0.78,204
45,2013-07-10,0.78,0.98,0.78,0.98,110100
46,2013-07-11,1.01,1.01,0.84,0.99,22358
47,2013-07-12,0.99,0.99,0.91,0.91,1720
48,2013-07-15,1.09,1.11,0.95,1.11,87156
49,2013-07-16,1.11,1.3,0.94,0.99,15060
50,2013-07-17,1.01,1.09,0.9,1.09,22173
51,2013-07-18,1.09,1.09,0.9,1.08,2311
52,2013-07-19,1.0,1.07,0.9,1.07,13456
53,2013-07-22,1.07,1.09,0.9,1.01,18100
54,2013-07-23,1.21,1.21,1.2,1.2,50
55,2013-07-24,1.0,1.15,1.0,1.1,9270
56,2013-07-25,1.2,1.2,1.15,1.18,2360
57,2013-07-26,1.16,1.16,1.01,1.16,1605
58,2013-07-29,1.18,1.18,1.16,1.16,6
59,2013-07-30,1.1,1.18,0.93,1.18,14977
60,2013-07-31,1.0,1.15,1.0,1.05,3305
61,2013-08-01,0.96,1.0,0.9,1.0,4632
62,2013-08-02,1.14,1.14,0.92,0.94,1761
63,2013-08-05,0.94,1.1,0.83,1.1,8840
64,2013-08-06,1.1,1.1,1.1,1.1,8
65,2013-08-07,1.08,1.14,1.02,1.14,44894
66,2013-08-08,0.92,1.12,0.92,0.95,83232
67,2013-08-09,0.82,1.09,0.82,1.09,1202
68,2013-08-12,0.9,0.9,0.81,0.81,1889
69,2013-08-13,0.81,0.82,0.81,0.82,2118
70,2013-08-14,0.89,0.91,0.89,0.91,1396
71,2013-08-16,1.01,1.01,1.01,1.01,5
72,2013-08-19,1.07,1.07,0.9,0.9,3922
73,2013-08-20,1.02,1.02,0.85,1.02,1093
74,2013-08-21,1.02,1.02,0.82,0.82,668
75,2013-08-22,0.84,0.9,0.82,0.82,10499
76,2013-08-23,0.9,0.9,0.9,0.9,5
77,2013-08-26,0.9,0.9,0.9,0.9,2
78,2013-08-27,0.9,0.9,0.9,0.9,2
79,2013-08-28,0.88,0.88,0.78,0.8,10673
80,2013-08-29,0.85,0.85,0.85,0.85,1
81,2013-08-30,0.82,0.82,0.82,0.82,205
82,2013-09-02,0.82,0.82,0.8,0.8,2000
83,2013-09-03,0.8,0.8,0.8,0.8,4
84,2013-09-04,0.8,0.8,0.79,0.79,271
85,2013-09-06,0.79,0.79,0.79,0.79,737
86,2013-09-09,0.79,0.79,0.79,0.79,505
87,2013-09-10,0.72,0.8,0.72,0.8,4371
88,2013-09-11,0.92,0.92,0.85,0.85,133
89,2013-09-12,0.92,0.92,0.82,0.85,2004
90,2013-09-13,0.82,0.83,0.82,0.83,505
91,2013-09-16,0.85,0.89,0.83,0.86,2685
92,2013-09-17,0.86,0.86,0.86,0.86,1
93,2013-09-18,0.86,0.9,0.78,0.83,22720
94,2013-09-19,0.89,0.96,0.72,0.9,44333
95,2013-09-20,0.87,0.87,0.87,0.87,1451
96,2013-09-23,0.84,0.84,0.71,0.75,32035
97,2013-09-24,0.82,0.82,0.82,0.82,1
98,2013-09-25,0.82,0.82,0.76,0.76,2001
99,2013-09-26,0.82,0.86,0.81,0.86,7786
100,2013-09-27,0.95,0.95,0.8,0.87,504
101,2013-09-30,0.87,0.87,0.87,0.87,3
102,2013-10-01,0.82,0.99,0.82,0.99,2413
103,2013-10-02,0.9,0.9,0.82,0.9,1002
104,2013-10-03,0.86,0.86,0.86,0.86,4
105,2013-10-04,0.85,1.02,0.82,0.99,66063
106,2013-10-07,0.94,0.94,0.82,0.82,8402
107,2013-10-08,0.82,0.82,0.77,0.82,1990
108,2013-10-09,0.82,0.82,0.71,0.71,18297
109,2013-10-10,0.81,0.81,0.72,0.79,2201
110,2013-10-11,0.76,0.76,0.76,0.76,10000
111,2013-10-14,0.79,0.88,0.76,0.88,4340
112,2013-10-15,0.88,0.88,0.88,0.88,2
113,2013-10-16,0.88,0.88,0.88,0.88,6
114,2013-10-17,0.88,0.88,0.88,0.88,8
115,2013-10-18,0.88,0.88,0.75,0.75,2018
116,2013-10-21,0.88,0.88,0.71,0.78,4641
117,2013-10-22,0.85,0.85,0.85,0.85,4
118,2013-10-23,0.85,0.85,0.85,0.85,5
119,2013-10-24,0.85,0.85,0.85,0.85,5
120,2013-10-25,0.85,0.85,0.85,0.85,6
121,2013-10-28,0.85,0.85,0.85,0.85,12
122,2013-10-29,0.84,0.84,0.84,0.84,4
123,2013-10-30,0.84,0.84,0.84,0.84,13
124,2013-10-31,0.84,0.84,0.84,0.84,5
125,2013-11-04,0.84,0.95,0.77,0.78,10046
126,2013-11-05,0.87,0.87,0.78,0.78,223
127,2013-11-06,0.88,0.88,0.79,0.8,802
128,2013-11-08,0.88,0.88,0.85,0.85,6
129,2013-11-12,0.88,0.88,0.71,0.71,7201
130,2013-11-13,0.8,0.8,0.8,0.8,2
131,2013-11-14,0.76,0.76,0.68,0.68,3716
132,2013-11-15,0.68,0.7,0.68,0.7,1984
133,2013-11-18,0.7,0.7,0.64,0.69,5379
134,2013-11-19,0.7,0.7,0.59,0.7,2852
135,2013-11-20,0.7,0.7,0.7,0.7,2
136,2013-11-21,0.7,0.7,0.7,0.7,2
137,2013-11-22,0.7,0.7,0.7,0.7,3
138,2013-11-25,0.7,0.7,0.7,0.7,2
139,2013-11-26,0.65,0.77,0.6,0.77,42430
140,2013-11-27,0.85,0.88,0.69,0.88,1706
141,2013-11-29,0.76,0.76,0.69,0.76,5797
142,2013-12-02,0.73,0.73,0.68,0.73,1005
143,2013-12-03,0.73,0.73,0.73,0.73,3
144,2013-12-04,0.73,0.73,0.73,0.73,3
145,2013-12-05,0.73,0.73,0.73,0.73,5
146,2013-12-06,0.73,0.73,0.73,0.73,3
147,2013-12-09,0.73,0.73,0.73,0.73,7
148,2013-12-10,0.73,0.73,0.73,0.73,3
149,2013-12-11,0.73,0.73,0.65,0.65,2502
150,2013-12-12,0.65,0.65,0.62,0.65,2403
151,2013-12-13,0.65,0.65,0.65,0.65,2
152,2013-12-16,0.65,0.65,0.54,0.65,11762
153,2013-12-17,0.65,0.65,0.64,0.65,2397
154,2013-12-18,0.65,0.65,0.65,0.65,2
155,2013-12-19,0.65,0.7,0.65,0.7,7117
156,2013-12-20,0.7,0.7,0.58,0.69,2552
157,2013-12-23,0.69,0.81,0.58,0.58,23330
158,2013-12-27,0.55,0.62,0.48,0.55,7800
159,2013-12-30,0.66,0.68,0.56,0.56,1324
160,2014-01-02,0.67,0.67,0.67,0.67,1
161,2014-01-03,0.67,0.67,0.67,0.67,2
162,2014-01-07,0.67,0.67,0.67,0.67,2
163,2014-01-08,0.61,0.68,0.55,0.55,1366
