,Date,Open,High,Low,Close,Volume
0,2010-04-16,0.48,0.48,0.31,0.31,941399
1,2010-04-19,0.31,0.31,0.27,0.3,93219
2,2010-04-20,0.29,0.29,0.27,0.27,13314
3,2010-04-21,0.28,0.28,0.23,0.23,97203
4,2010-04-22,0.23,0.25,0.21,0.23,85113
5,2010-04-23,0.24,0.24,0.23,0.23,43011
6,2010-04-26,0.23,0.23,0.21,0.22,21116
7,2010-04-27,0.21,0.28,0.2,0.28,77764
8,2010-04-28,0.28,0.28,0.24,0.26,53314
9,2010-04-29,0.26,0.27,0.26,0.27,13519
10,2010-04-30,0.27,0.27,0.25,0.26,4334
11,2010-05-04,0.26,0.26,0.26,0.26,300
12,2010-05-05,0.26,0.26,0.24,0.24,10600
13,2010-05-06,0.22,0.23,0.22,0.23,7267
14,2010-05-10,0.21,0.21,0.21,0.21,19
15,2010-05-11,0.21,0.23,0.21,0.23,19360
16,2010-05-12,0.23,0.23,0.22,0.22,1712
17,2010-05-13,0.22,0.22,0.22,0.22,1040
18,2010-05-14,0.22,0.23,0.22,0.23,2300
19,2010-05-17,0.21,0.21,0.2,0.2,6896
20,2010-05-18,0.2,0.2,0.2,0.2,100
21,2010-05-19,0.22,0.22,0.21,0.21,2940
22,2010-05-20,0.21,0.21,0.21,0.21,600
23,2010-05-21,0.21,0.21,0.21,0.21,3480
24,2010-05-24,0.22,0.22,0.22,0.22,500
25,2010-05-25,0.22,0.23,0.22,0.23,4000
26,2010-05-26,0.22,0.23,0.22,0.22,57009
27,2010-05-27,0.22,0.23,0.22,0.23,370
28,2010-05-28,0.23,0.23,0.23,0.23,5100
29,2010-05-31,0.23,0.23,0.21,0.23,76492
30,2010-06-01,0.21,0.21,0.2,0.21,35143
31,2010-06-02,0.2,0.2,0.2,0.2,83
32,2010-06-04,0.21,0.21,0.2,0.2,17383
33,2010-06-07,0.19,0.2,0.19,0.2,2900
34,2010-06-08,0.2,0.21,0.2,0.2,140231
35,2010-06-09,0.19,0.19,0.18,0.18,9710
36,2010-06-10,0.18,0.18,0.18,0.18,15890
37,2010-06-11,0.18,0.18,0.17,0.17,5100
38,2010-06-14,0.17,0.2,0.17,0.19,54637
39,2010-06-15,0.19,0.19,0.18,0.18,9730
40,2010-06-16,0.18,0.18,0.18,0.18,2000
41,2010-06-17,0.18,0.18,0.18,0.18,5500
42,2010-06-18,0.18,0.18,0.18,0.18,15720
43,2010-06-21,0.18,0.19,0.16,0.19,45300
44,2010-06-22,0.19,0.19,0.19,0.19,27100
45,2010-06-23,0.19,0.19,0.18,0.18,4428
46,2010-06-24,0.18,0.18,0.17,0.17,6400
47,2010-06-25,0.16,0.16,0.16,0.16,30200
48,2010-06-28,0.16,0.16,0.16,0.16,22069
49,2010-06-29,0.16,0.16,0.15,0.15,2000
50,2010-06-30,0.16,0.17,0.16,0.17,3700
51,2010-07-01,0.16,0.17,0.16,0.17,1236
