,Date,Open,High,Low,Close,Volume
0,1996-01-10,28.9,28.9,28.9,28.9,34793.0
1,1996-01-11,28.7,28.7,28.7,28.7,35155.0
2,1996-01-12,27.5,27.5,27.5,27.5,14864.0
3,1996-01-15,28.3,28.3,28.3,28.3,13535.0
4,1996-01-16,27.5,27.5,27.5,27.5,5513.0
5,1996-01-17,28.1,28.1,28.1,28.1,11498.0
6,1996-01-18,27.5,27.5,27.5,27.5,3257.0
7,1996-01-19,26.6,26.6,26.6,26.6,4165.0
8,1996-01-22,25.4,25.4,25.4,25.4,2535.0
9,1996-01-23,25.9,25.9,25.9,25.9,4302.0
10,1996-01-24,27.7,27.7,27.7,27.7,8026.0
11,1996-01-25,26.9,26.9,26.9,26.9,7847.0
12,1996-01-26,27.2,27.2,27.2,27.2,9195.0
13,1996-01-29,27.5,27.5,27.5,27.5,6168.0
14,1996-01-30,27.6,27.6,27.6,27.6,13310.0
15,1996-01-31,28.6,28.6,28.6,28.6,9169.0
16,1996-02-01,28.2,28.2,28.2,28.2,4308.0
17,1996-02-02,28.1,28.1,28.1,28.1,5823.0
18,1996-02-05,27.5,27.5,27.5,27.5,2929.0
19,1996-02-06,27.6,27.6,27.6,27.6,7846.0
20,1996-02-07,27.5,27.5,27.5,27.5,2729.0
21,1996-02-08,27.8,27.8,27.8,27.8,2694.0
22,1996-02-09,28.1,28.1,28.1,28.1,3506.0
23,1996-02-12,30.7,30.7,30.7,30.7,15377.0
24,1996-02-13,29.0,29.0,29.0,29.0,5111.0
25,1996-02-14,29.0,29.0,29.0,29.0,23936.0
26,1996-02-15,29.0,29.0,29.0,29.0,15126.0
27,1996-02-16,29.8,29.8,29.8,29.8,4130.0
28,1996-02-19,29.8,29.8,29.8,29.8,2317.0
29,1996-02-20,29.3,29.3,29.3,29.3,13643.0
30,1996-02-21,29.5,29.5,29.5,29.5,1117.0
31,1996-02-22,30.6,30.6,30.6,30.6,4556.0
32,1996-02-23,30.0,30.0,30.0,30.0,12298.0
33,1996-02-26,30.4,30.4,30.4,30.4,7161.0
34,1996-02-27,30.6,30.6,30.6,30.6,5879.0
35,1996-02-28,29.8,29.8,29.8,29.8,1915.0
36,1996-02-29,30.6,30.6,30.6,30.6,13066.0
37,1996-03-01,30.6,30.6,30.6,30.6,10159.0
38,1996-03-04,31.2,31.2,31.2,31.2,7562.0
39,1996-03-05,32.8,32.8,32.8,32.8,8587.0
40,1996-03-06,32.9,32.9,32.9,32.9,10093.0
41,1996-03-07,33.6,33.6,33.6,33.6,5560.0
42,1996-03-08,33.6,33.6,33.6,33.6,9023.0
43,1996-03-11,33.6,33.6,33.6,33.6,3835.0
44,1996-03-12,31.9,31.9,31.9,31.9,861.0
45,1996-03-13,32.9,32.9,32.9,32.9,3390.0
46,1996-03-14,32.9,32.9,32.9,32.9,13937.0
47,1996-03-15,33.6,33.6,33.6,33.6,7924.0
48,1996-03-18,35.3,35.3,35.3,35.3,12102.0
49,1996-03-19,35.3,35.3,35.3,35.3,22011.0
50,1996-03-20,35.3,35.3,35.3,35.3,6781.0
51,1996-03-21,36.0,36.0,36.0,36.0,21397.0
52,1996-03-22,35.0,35.0,35.0,35.0,2575.0
53,1996-03-25,34.2,34.2,34.2,34.2,1125.0
54,1996-03-26,32.9,32.9,32.9,32.9,501.0
55,1996-03-27,33.1,33.1,33.1,33.1,3514.0
56,1996-03-28,31.5,31.5,31.5,31.5,11287.0
57,1996-03-29,31.3,31.3,31.3,31.3,7339.0
58,1996-04-01,31.5,31.5,31.5,31.5,2479.0
59,1996-04-02,31.8,31.8,31.8,31.8,3206.0
60,1996-04-03,31.7,31.7,31.7,31.7,1782.0
61,1996-04-04,31.7,31.7,31.7,31.7,2225.0
62,1996-04-05,32.2,32.2,32.2,32.2,3107.0
63,1996-04-09,31.5,31.5,31.5,31.5,2369.0
64,1996-04-10,31.7,31.7,31.7,31.7,1924.0
65,1996-04-11,31.8,31.8,31.8,31.8,2891.0
66,1996-04-12,31.5,31.5,31.5,31.5,937.0
67,1996-04-15,31.7,31.7,31.7,31.7,711.0
68,1996-04-16,31.9,31.9,31.9,31.9,2708.0
69,1996-04-17,32.2,32.2,32.2,32.2,3278.0
70,1996-04-18,32.4,32.4,32.4,32.4,1650.0
71,1996-04-19,32.3,32.3,32.3,32.3,5479.0
72,1996-04-22,33.0,33.0,33.0,33.0,9704.0
73,1996-04-23,34.4,34.4,34.4,34.4,4919.0
74,1996-04-24,34.6,34.6,34.6,34.6,5664.0
75,1996-04-25,34.4,34.4,34.4,34.4,4615.0
76,1996-04-26,33.4,33.4,33.4,33.4,2635.0
77,1996-04-29,33.7,33.7,33.7,33.7,1970.0
78,1996-04-30,34.2,34.2,34.2,34.2,3302.0
79,1996-05-06,34.7,34.7,34.7,34.7,3298.0
80,1996-05-07,37.4,37.4,37.4,37.4,10398.0
81,1996-05-08,37.4,37.4,37.4,37.4,7025.0
82,1996-05-09,38.6,38.6,38.6,38.6,15659.0
83,1996-05-10,39.8,39.8,39.8,39.8,14808.0
84,1996-05-13,43.4,43.4,43.4,43.4,14173.0
85,1996-05-14,42.2,42.2,42.2,42.2,15799.0
86,1996-05-15,40.6,40.6,40.6,40.6,13402.0
87,1996-05-16,40.1,40.1,40.1,40.1,1096.0
88,1996-05-17,40.1,40.1,40.1,40.1,6442.0
89,1996-05-20,41.3,41.3,41.3,41.3,2420.0
90,1996-05-21,41.3,41.3,41.3,41.3,3714.0
91,1996-05-22,40.1,40.1,40.1,40.1,1782.0
92,1996-05-23,38.6,38.6,38.6,38.6,3267.0
93,1996-05-24,36.2,36.2,36.2,36.2,3430.0
94,1996-05-27,36.2,36.2,36.2,36.2,1950.0
95,1996-05-28,36.2,36.2,36.2,36.2,6761.0
96,1996-05-29,36.5,36.5,36.5,36.5,5655.0
97,1996-05-30,36.5,36.5,36.5,36.5,3492.0
98,1996-05-31,37.0,37.0,37.0,37.0,9254.0
99,1996-06-03,37.0,37.0,37.0,37.0,10960.0
100,1996-06-04,34.7,34.7,34.7,34.7,6928.0
101,1996-06-05,33.9,33.9,33.9,33.9,3853.0
102,1996-06-07,34.1,34.1,34.1,34.1,3006.0
103,1996-06-10,35.8,35.8,35.8,35.8,3002.0
104,1996-06-11,36.6,36.6,36.6,36.6,11735.0
105,1996-06-12,37.0,37.0,37.0,37.0,16751.0
106,1996-06-13,36.8,36.8,36.8,36.8,20379.0
107,1996-06-14,35.3,35.3,35.3,35.3,1657.0
108,1996-06-17,35.3,35.3,35.3,35.3,4758.0
109,1996-06-18,35.9,35.9,35.9,35.9,2367.0
110,1996-06-19,38.9,38.9,38.9,38.9,12332.0
111,1996-06-20,38.8,38.8,38.8,38.8,15329.0
112,1996-06-21,39.4,39.4,39.4,39.4,12620.0
113,1996-06-24,41.8,41.8,41.8,41.8,11283.0
114,1996-06-25,43.0,43.0,43.0,43.0,13790.0
115,1996-06-26,42.5,42.5,42.5,42.5,22379.0
116,1996-06-27,43.0,43.0,43.0,43.0,8004.0
117,1996-06-28,42.5,42.5,42.5,42.5,7875.0
118,1996-07-01,43.0,43.0,43.0,43.0,6459.0
119,1996-07-02,43.0,43.0,43.0,43.0,4996.0
120,1996-07-03,44.2,44.2,44.2,44.2,5876.0
121,1996-07-04,47.4,47.4,47.4,47.4,5268.0
122,1996-07-05,47.4,47.4,47.4,47.4,16712.0
123,1996-07-08,46.6,46.6,46.6,46.6,8370.0
124,1996-07-09,47.4,47.4,47.4,47.4,8942.0
125,1996-07-10,46.6,46.6,46.6,46.6,12840.0
126,1996-07-11,47.9,47.9,47.9,47.9,3687.0
127,1996-07-12,49.9,49.9,49.9,49.9,8418.0
128,1996-07-15,51.1,51.1,51.1,51.1,8494.0
129,1996-07-16,49.9,49.9,49.9,49.9,11966.0
130,1996-07-17,49.9,49.9,49.9,49.9,5932.0
131,1996-07-18,49.4,49.4,49.4,49.4,2347.0
132,1996-07-19,50.6,50.6,50.6,50.6,7695.0
133,1996-07-22,48.2,48.2,48.2,48.2,9106.0
134,1996-07-23,47.9,47.9,47.9,47.9,5025.0
135,1996-07-24,48.2,48.2,48.2,48.2,6046.0
136,1996-07-25,48.7,48.7,48.7,48.7,3697.0
137,1996-07-26,48.9,48.9,48.9,48.9,4781.0
138,1996-07-29,50.6,50.6,50.6,50.6,3181.0
139,1996-07-30,49.9,49.9,49.9,49.9,4901.0
140,1996-07-31,49.9,49.9,49.9,49.9,3207.0
141,1996-08-01,49.4,49.4,49.4,49.4,2367.0
142,1996-08-02,50.1,50.1,50.1,50.1,4287.0
143,1996-08-05,50.6,50.6,50.6,50.6,5196.0
144,1996-08-06,52.6,52.6,52.6,52.6,3291.0
145,1996-08-07,57.9,57.9,57.9,57.9,9991.0
146,1996-08-08,56.7,56.7,56.7,56.7,7917.0
147,1996-08-09,56.7,56.7,56.7,56.7,4846.0
148,1996-08-12,59.8,59.8,59.8,59.8,5076.0
149,1996-08-13,59.5,59.5,59.5,59.5,4308.0
150,1996-08-14,59.5,59.5,59.5,59.5,3401.0
151,1996-08-16,57.1,57.1,57.1,57.1,5532.0
152,1996-08-19,58.6,58.6,58.6,58.6,12912.0
153,1996-08-20,56.2,56.2,56.2,56.2,6453.0
154,1996-08-21,53.8,53.8,53.8,53.8,4249.0
155,1996-08-22,55.4,55.4,55.4,55.4,12139.0
156,1996-08-23,56.2,56.2,56.2,56.2,7414.0
157,1996-08-26,56.2,56.2,56.2,56.2,4138.0
158,1996-08-27,53.8,53.8,53.8,53.8,1804.0
159,1996-08-28,55.4,55.4,55.4,55.4,7909.0
160,1996-08-29,55.4,55.4,55.4,55.4,8756.0
161,1996-08-30,58.6,58.6,58.6,58.6,3402.0
162,1996-09-02,61.7,61.7,61.7,61.7,13936.0
163,1996-09-03,63.9,63.9,63.9,63.9,18972.0
164,1996-09-04,64.4,64.4,64.4,64.4,16779.0
165,1996-09-05,61.2,61.2,61.2,61.2,11775.0
166,1996-09-06,60.3,60.3,60.3,60.3,15863.0
167,1996-09-09,60.3,60.3,60.3,60.3,21090.0
168,1996-09-10,61.0,61.0,61.0,61.0,16150.0
169,1996-09-11,50.6,50.6,50.6,50.6,10864.0
170,1996-09-12,52.3,52.3,52.3,52.3,12665.0
171,1996-09-13,53.3,53.3,53.3,53.3,5715.0
172,1996-09-16,50.6,50.6,50.6,50.6,4602.0
173,1996-09-17,50.9,50.9,50.9,50.9,11806.0
174,1996-09-18,52.8,52.8,52.8,52.8,6582.0
175,1996-09-19,51.8,51.8,51.8,51.8,6782.0
176,1996-09-20,50.6,50.6,50.6,50.6,2963.0
177,1996-09-23,50.6,50.6,50.6,50.6,9136.0
178,1996-09-24,48.2,48.2,48.2,48.2,3682.0
179,1996-09-25,45.6,45.6,45.6,45.6,8626.0
180,1996-09-26,44.4,44.4,44.4,44.4,8240.0
181,1996-09-27,46.5,46.5,46.5,46.5,4814.0
182,1996-09-30,46.3,46.3,46.3,46.3,6341.0
183,1996-10-01,46.3,46.3,46.3,46.3,2971.0
184,1996-10-02,45.8,45.8,45.8,45.8,5393.0
185,1996-10-03,45.8,45.8,45.8,45.8,5982.0
186,1996-10-04,46.3,46.3,46.3,46.3,8545.0
187,1996-10-07,47.5,47.5,47.5,47.5,10202.0
188,1996-10-08,49.4,49.4,49.4,49.4,7396.0
189,1996-10-09,51.8,51.8,51.8,51.8,18783.0
190,1996-10-10,53.3,53.3,53.3,53.3,13552.0
191,1996-10-11,50.9,50.9,50.9,50.9,3165.0
192,1996-10-14,52.8,52.8,52.8,52.8,7605.0
193,1996-10-15,52.8,52.8,52.8,52.8,2491.0
194,1996-10-16,52.3,52.3,52.3,52.3,6662.0
195,1996-10-17,51.8,51.8,51.8,51.8,8055.0
196,1996-10-18,46.8,46.8,46.8,46.8,3785.0
197,1996-10-21,49.7,49.7,49.7,49.7,5386.0
198,1996-10-22,49.2,49.2,49.2,49.2,4433.0
199,1996-10-23,48.7,48.7,48.7,48.7,7413.0
200,1996-10-24,47.0,47.0,47.0,47.0,5052.0
201,1996-10-25,47.2,47.2,47.2,47.2,3841.0
202,1996-10-28,45.8,45.8,45.8,45.8,4967.0
203,1996-10-29,46.5,46.5,46.5,46.5,5287.0
204,1996-10-30,47.5,47.5,47.5,47.5,3443.0
205,1996-10-31,48.2,48.2,48.2,48.2,6419.0
206,1996-11-04,48.7,48.7,48.7,48.7,2495.0
207,1996-11-05,47.7,47.7,47.7,47.7,2514.0
208,1996-11-06,48.2,48.2,48.2,48.2,7363.0
209,1996-11-07,48.2,48.2,48.2,48.2,3225.0
210,1996-11-08,47.0,47.0,47.0,47.0,1978.0
211,1996-11-12,48.0,48.0,48.0,48.0,2679.0
